,datetime,open,high,low,close,volume
0,2023-04-11,1.04000,1.04000,0.96000,0.96500,59500
1,2023-04-10,1.06000,1.06000,1.01000,1.03000,6400
2,2023-04-06,1.03000,1.06000,1.03000,1.05000,18300
3,2023-04-05,1.03900,1.07000,1.03000,1.04000,31700
4,2023-04-04,1.06000,1.09000,1.04000,1.05000,8300
5,2023-04-03,1.03000,1.10000,1.03000,1.07500,42100
6,2023-03-31,1.05000,1.06000,1.03000,1.03200,34600
7,2023-03-30,1.01000,1.04000,1.01000,1.02000,50800
8,2023-03-29,1.05000,1.05000,1.00320,1.03000,32581
9,2023-03-28,1.08000,1.09000,1.00000,1.01000,171120
10,2023-03-27,1.07000,1.09000,1.04000,1.07000,41268
11,2023-03-24,1.05000,1.08000,1.00000,1.07000,160359
12,2023-03-23,1.06730,1.08000,1.05000,1.06770,21182
13,2023-03-22,1.03000,1.08000,1.02000,1.06000,60930
14,2023-03-21,1.05000,1.08990,1.03000,1.05500,54486
15,2023-03-20,1.00000,1.06000,1.00000,1.06000,34234
16,2023-03-17,1.04140,1.06000,1.02220,1.04000,17917
17,2023-03-16,1.04000,1.06890,1.01000,1.05000,20031
18,2023-03-15,1.05010,1.06990,1.04500,1.04500,23432
19,2023-03-14,1.08000,1.08000,1.05000,1.05000,25503
20,2023-03-13,1.09000,1.10000,1.05000,1.05000,27210
21,2023-03-10,1.09000,1.10000,1.08000,1.09000,12285
22,2023-03-09,1.08000,1.11000,1.08000,1.08000,25941
23,2023-03-08,1.11000,1.12000,1.08000,1.08000,22248
24,2023-03-07,1.10000,1.10990,1.07300,1.08500,15435
25,2023-03-06,1.12000,1.12010,1.10000,1.11000,14630
26,2023-03-03,1.11000,1.13000,1.08000,1.11500,25306
27,2023-03-02,1.12970,1.12990,1.10000,1.11000,8120
28,2023-03-01,1.11000,1.12000,1.09010,1.10000,15286
29,2023-02-28,1.12000,1.13000,1.10000,1.12000,8794
30,2023-02-27,1.15000,1.15000,1.07000,1.09810,37543
31,2023-02-24,1.16000,1.16000,1.12000,1.12000,21517
32,2023-02-23,1.20660,1.21000,1.13060,1.15000,43280
33,2023-02-22,1.17000,1.21000,1.17000,1.19000,12062
34,2023-02-21,1.22990,1.22990,1.17010,1.17500,25293
35,2023-02-17,1.20000,1.22840,1.18000,1.22000,15940
36,2023-02-16,1.23010,1.25980,1.17000,1.18000,28431
37,2023-02-15,1.16500,1.27000,1.15000,1.23000,27665
38,2023-02-14,1.15000,1.20000,1.14000,1.17000,29925
39,2023-02-13,1.18000,1.29000,1.12000,1.14010,92969
40,2023-02-10,1.23000,1.23000,1.20000,1.21860,301650
41,2023-02-09,1.20000,1.24000,1.18150,1.24000,39575
42,2023-02-08,1.19000,1.20950,1.18950,1.19000,13271
43,2023-02-07,1.22000,1.22000,1.16000,1.19000,13151
44,2023-02-06,1.14000,1.24000,1.14000,1.21000,38394
45,2023-02-03,1.16000,1.25000,1.16000,1.16000,40234
46,2023-02-02,1.19000,1.23000,1.11010,1.20000,70772
47,2023-02-01,1.10000,1.15500,1.08500,1.12000,83538
48,2023-01-31,1.03000,1.10000,1.03000,1.08000,29937
49,2023-01-30,1.07000,1.07000,1.03000,1.05000,16454
50,2023-01-27,1.05000,1.08700,1.02040,1.03000,35138
51,2023-01-26,1.10000,1.12000,1.05000,1.05500,9426
52,2023-01-25,1.08000,1.08000,1.05000,1.05000,21225
53,2023-01-24,1.11000,1.13140,1.00000,1.07000,71214
54,2023-01-23,1.05000,1.14990,1.05000,1.12000,25337
55,2023-01-20,1.09000,1.13360,1.05150,1.06000,26266
56,2023-01-19,1.15000,1.15000,1.06000,1.06850,22145
57,2023-01-18,1.16000,1.17940,1.10000,1.10500,13537
58,2023-01-17,1.15000,1.17980,1.06000,1.08000,83497
59,2023-01-13,1.13000,1.19000,1.11000,1.18000,38291
60,2023-01-12,1.10000,1.15000,1.07000,1.12000,78840
61,2023-01-11,1.05000,1.10000,1.05000,1.09000,38535
62,2023-01-10,1.02000,1.10000,1.02000,1.07000,42310
63,2023-01-09,1.04000,1.06000,1.03000,1.03000,24626
64,2023-01-06,1.04000,1.05000,1.01410,1.04160,49818
65,2023-01-05,1.03010,1.05000,1.02260,1.02260,21248
66,2023-01-04,1.01000,1.05000,1.01000,1.05000,19338
67,2023-01-03,0.99750,1.05000,0.99750,1.03000,44797
68,2022-12-30,1.03000,1.05000,0.95000,0.95000,38979
69,2022-12-29,1.03000,1.03500,0.98500,1.01500,19293
70,2022-12-28,0.96000,1.05000,0.96000,1.02680,34899
71,2022-12-27,0.96000,1.02000,0.96000,0.99010,80770
