,datetime,open,high,low,close,volume
0,2023-04-11,8.50000,8.67000,8.50000,8.65000,800
1,2023-04-10,8.56000,8.56000,8.56000,8.56000,300
2,2023-04-06,8.66100,8.66100,8.66100,8.66100,0
3,2023-04-05,8.66100,8.66100,8.66100,8.66100,0
4,2023-04-04,8.66100,8.66100,8.66100,8.66100,0
5,2023-04-03,8.66100,8.66100,8.66100,8.66100,0
6,2023-03-31,8.66100,8.66100,8.66100,8.66100,0
7,2023-03-30,8.66100,8.66100,8.66100,8.66100,0
8,2023-03-29,8.29000,8.66100,8.25000,8.66100,1600
9,2023-03-28,8.70000,8.70000,8.70000,8.70000,0
10,2023-03-27,8.70000,8.70000,8.70000,8.70000,0
11,2023-03-24,8.70000,8.70000,8.70000,8.70000,0
12,2023-03-23,8.70000,8.70000,8.70000,8.70000,0
13,2023-03-22,8.73000,8.73000,8.70000,8.70000,400
14,2023-03-21,8.30000,8.30000,8.30000,8.30000,4000
15,2023-03-20,8.53000,8.53000,8.53000,8.53000,200
16,2023-03-17,8.25000,8.25000,8.25000,8.25000,300
17,2023-03-16,8.60000,8.60000,8.25500,8.25500,1100
18,2023-03-15,8.12000,8.12000,8.12000,8.12000,100
19,2023-03-14,8.12000,8.12000,8.12000,8.12000,0
20,2023-03-13,8.36500,47.89000,8.00000,8.12000,3800
21,2023-03-10,8.03000,8.05000,8.00000,8.00000,1600
22,2023-03-09,8.01700,8.73000,8.01700,8.73000,500
23,2023-03-08,8.75000,8.75000,8.75000,8.75000,100
24,2023-03-07,8.45900,8.45900,8.45900,8.45900,0
25,2023-03-06,8.84000,8.84000,8.45900,8.45900,300
26,2023-03-03,8.70000,8.70000,8.01700,8.01700,1300
27,2023-03-02,8.45000,8.45000,8.45000,8.45000,0
28,2023-03-01,8.44000,8.45000,8.00000,8.45000,2600
29,2023-02-28,8.90000,8.90000,8.90000,8.90000,0
30,2023-02-27,8.90000,8.90000,8.80000,8.90000,1400
31,2023-02-24,8.80000,8.80000,8.80000,8.80000,0
32,2023-02-23,8.84000,8.84000,8.68800,8.80000,2200
33,2023-02-22,8.87700,8.87700,8.87700,8.87700,200
34,2023-02-21,8.82000,8.82000,8.82000,8.82000,200
35,2023-02-17,8.17500,8.17500,8.17500,8.17500,200
36,2023-02-14,8.32900,8.32900,8.17500,8.17500,1000
37,2023-02-13,8.50000,8.60000,8.50000,8.50000,1000
38,2023-02-10,8.00000,8.75000,7.99000,8.75000,3800
39,2023-02-09,6.21000,7.94000,6.21000,7.50000,10100
40,2023-02-08,8.82000,8.82000,5.60000,5.75000,26900
41,2023-02-07,8.80800,9.20000,8.80000,8.80000,700
42,2023-02-03,8.80000,9.30000,8.80000,8.81100,4000
43,2023-02-02,9.50000,9.88000,8.30000,8.30000,5700
44,2023-02-01,9.57500,9.57500,9.57500,9.57500,700
