,datetime,open,high,low,close,volume
0,2023-04-11,0.72300,0.76800,0.69000,0.76800,67700
1,2023-04-10,0.72000,0.74800,0.68000,0.71700,70700
2,2023-04-06,0.71000,0.71200,0.70000,0.71000,103600
3,2023-04-05,0.71400,0.76100,0.69500,0.70800,55300
4,2023-04-04,0.76000,0.78400,0.71000,0.71200,114500
5,2023-04-03,0.69900,0.75400,0.69500,0.74100,235400
6,2023-03-31,0.71600,0.76700,0.68500,0.69900,168000
7,2023-03-30,0.76000,0.78000,0.71300,0.71300,168300
8,2023-03-29,0.89000,0.92100,0.71100,0.77000,779400
9,2023-03-28,0.84100,0.88000,0.84000,0.84000,131400
10,2023-03-27,0.85000,0.90000,0.81100,0.85100,100500
11,2023-03-24,0.85000,0.89900,0.81000,0.89000,23900
12,2023-03-23,0.80000,0.89500,0.80000,0.88300,56100
13,2023-03-22,0.85000,0.86000,0.80300,0.85000,31900
14,2023-03-21,0.84000,0.88000,0.80400,0.85500,93500
15,2023-03-20,0.82000,0.86500,0.75200,0.81500,363200
16,2023-03-17,0.88000,0.91000,0.80100,0.81000,257700
17,2023-03-16,0.87500,0.91000,0.83500,0.91000,40900
18,2023-03-15,0.86100,0.89700,0.86000,0.87500,22200
19,2023-03-14,0.88000,0.93900,0.86000,0.90000,34000
20,2023-03-13,0.90600,0.94000,0.81000,0.90500,143600
21,2023-03-10,0.95000,0.96000,0.90000,0.92000,71100
22,2023-03-09,0.89000,0.95000,0.88000,0.94000,232600
23,2023-03-08,0.89600,0.94600,0.88100,0.88700,55400
24,2023-03-07,0.95000,0.96800,0.90000,0.94700,122900
25,2023-03-06,0.94000,0.96000,0.92000,0.93600,57900
26,2023-03-03,0.98000,0.98000,0.93900,0.96900,52600
27,2023-03-02,0.93400,1.00000,0.91000,0.98200,87300
28,2023-03-01,0.95000,1.03000,0.90200,0.94200,255300
29,2023-02-28,0.95000,1.00000,0.93100,0.94100,46500
30,2023-02-27,1.00000,1.00000,0.93000,0.94600,109700
31,2023-02-24,0.90600,1.01000,0.90000,1.00000,147500
32,2023-02-23,1.03000,1.03000,0.83000,0.92000,263800
33,2023-02-22,1.03000,1.03000,0.98000,0.98500,131100
34,2023-02-21,1.08000,1.09000,0.96000,1.01000,369600
35,2023-02-17,1.01000,1.22000,0.99000,1.00000,431100
36,2023-02-16,0.96000,1.03000,0.94000,0.98000,363600
37,2023-02-15,0.94000,0.97700,0.93000,0.95000,102800
38,2023-02-14,0.87600,0.97000,0.87000,0.93500,179500
39,2023-02-13,0.86000,0.90000,0.83100,0.86000,226000
40,2023-02-10,0.88000,0.90000,0.85500,0.86000,124500
41,2023-02-09,0.86300,0.98400,0.86300,0.89000,151900
42,2023-02-08,0.85000,0.86500,0.84800,0.84800,140300
43,2023-02-07,0.87000,0.87000,0.83500,0.85000,98500
44,2023-02-06,0.90000,0.90000,0.83700,0.85000,73600
45,2023-02-03,0.97000,0.97000,0.88000,0.88400,128600
46,2023-02-02,0.93600,0.97800,0.92400,0.92400,81100
47,2023-02-01,0.95000,0.99000,0.93600,0.93600,85700
48,2023-01-31,0.93200,0.97500,0.93200,0.93500,167700
49,2023-01-30,0.98000,0.98500,0.93100,0.94900,59500
50,2023-01-27,0.97700,1.01000,0.95000,0.98200,84300
51,2023-01-26,1.00000,1.03000,0.94800,0.97000,86700
52,2023-01-25,0.96000,1.04000,0.96000,0.99000,245800
53,2023-01-24,1.04000,1.06000,1.00000,1.03000,69000
54,2023-01-23,1.05000,1.08000,1.00000,1.02000,168700
55,2023-01-20,0.94000,1.07000,0.92000,1.02000,178600
56,2023-01-19,0.95000,1.02000,0.88000,1.00000,267200
57,2023-01-18,1.04000,1.07000,0.95100,0.97000,75300
58,2023-01-17,1.04000,1.08000,1.01000,1.01000,100900
59,2023-01-13,1.02000,1.13000,1.02000,1.07000,470100
60,2023-01-12,0.96000,1.05000,0.95600,1.04000,346800
61,2023-01-11,0.96500,0.98000,0.95000,0.98000,69200
62,2023-01-10,0.91500,0.97000,0.88000,0.96800,35400
63,2023-01-09,0.90000,0.93000,0.87000,0.91700,90000
64,2023-01-06,0.89900,0.97700,0.89000,0.92000,110200
65,2023-01-05,0.84300,0.93000,0.84000,0.88200,58600
66,2023-01-04,0.83600,0.88500,0.83000,0.86900,87600
67,2023-01-03,0.88000,0.90600,0.84000,0.86200,72700
68,2022-12-30,0.87000,0.90000,0.84700,0.90000,200400
69,2022-12-29,0.85000,0.90500,0.85000,0.88000,110400
70,2022-12-28,0.82500,0.86000,0.82000,0.85000,32100
71,2022-12-27,0.81000,0.87800,0.81000,0.86000,132600
72,2022-12-23,0.82800,0.90000,0.80000,0.88000,166500
73,2022-12-22,0.85800,0.92000,0.80100,0.84400,99000
74,2022-12-21,0.87100,0.91800,0.83100,0.88500,75700
75,2022-12-20,0.88500,0.95000,0.85300,0.87100,375900
76,2022-12-19,0.80000,0.85000,0.80000,0.81000,100000
77,2022-12-16,0.76400,0.95900,0.74000,0.93500,566500
78,2022-12-15,0.79900,0.81900,0.76000,0.78000,230100
79,2022-12-14,0.81600,0.84500,0.75100,0.79900,204300
80,2022-12-13,0.87900,0.88000,0.80000,0.82700,209300
81,2022-12-12,0.84700,0.89300,0.80900,0.84100,141100
82,2022-12-09,0.94800,0.94800,0.84800,0.86700,139400
83,2022-12-08,0.81400,0.93800,0.81000,0.86000,275700
84,2022-12-07,0.81200,0.87000,0.75000,0.83800,214200
85,2022-12-06,0.86000,0.89800,0.70700,0.82400,629200
86,2022-12-05,1.06000,1.06000,0.86600,0.89200,682700
87,2022-12-02,0.95800,1.07000,0.91000,1.01000,339000
88,2022-12-01,0.90300,1.00000,0.89000,0.96800,404400
89,2022-11-30,0.86000,0.93500,0.83500,0.91000,292600
90,2022-11-29,0.89900,1.03000,0.82000,0.83100,869200
91,2022-11-28,0.78000,0.93000,0.75800,0.89400,1339200
92,2022-11-25,0.75900,0.78800,0.72500,0.77200,493700
93,2022-11-23,0.70100,0.79000,0.68400,0.75900,1487100
94,2022-11-22,0.76700,0.77000,0.66200,0.72600,1305600
95,2022-11-21,0.63600,0.74000,0.63000,0.71800,4708300
96,2022-11-18,0.62900,0.67300,0.60400,0.65000,3425000
97,2022-11-17,0.66300,0.66500,0.60500,0.62000,3137200
98,2022-11-16,0.61000,0.63400,0.61000,0.61000,2072800
99,2022-11-15,0.67000,0.67000,0.60000,0.62700,3707600
100,2022-11-14,0.78000,0.80000,0.59000,0.68000,19317100
101,2022-11-11,4.12000,4.28000,4.01000,4.05000,74200
102,2022-11-10,4.34000,4.85000,4.18000,4.23000,129100
103,2022-11-09,4.36000,4.52000,4.15000,4.25000,68900
104,2022-11-08,4.53000,4.72000,4.35000,4.42000,106500
105,2022-11-07,4.56000,4.80000,4.50000,4.51000,81300
106,2022-11-04,5.00000,5.00000,4.28000,4.49000,250500
107,2022-11-03,4.85000,5.13000,4.70000,4.88000,123100
108,2022-11-02,5.06000,5.10000,4.85000,4.92000,106200
109,2022-11-01,5.18000,5.21600,4.96000,4.99000,104800
110,2022-10-31,5.17000,5.35000,5.00000,5.18000,96700
111,2022-10-28,4.91000,5.13000,4.67600,5.06000,118600
112,2022-10-27,5.10000,5.23000,4.89000,4.91000,101800
113,2022-10-26,5.30000,5.46000,5.04000,5.09000,99400
114,2022-10-25,5.04000,5.36000,5.03500,5.26000,72000
115,2022-10-24,5.46000,5.46000,5.04000,5.07000,76800
116,2022-10-21,5.37000,5.84000,5.25000,5.44000,136000
117,2022-10-20,5.28000,5.61000,5.25000,5.41000,172100
118,2022-10-19,5.29000,5.44000,5.18000,5.28000,91900
119,2022-10-18,5.98000,5.98000,5.33000,5.39000,139600
120,2022-10-17,6.00000,6.16700,5.70000,5.85000,97600
121,2022-10-14,5.77000,6.02000,5.74000,5.79000,68800
122,2022-10-13,5.72000,5.98200,5.39000,5.77000,144000
123,2022-10-12,6.50000,6.85000,5.62000,5.73000,198300
124,2022-10-11,6.30000,6.50000,5.75200,6.41000,329200
125,2022-10-10,6.45000,6.48000,5.90600,6.16000,263300
126,2022-10-07,5.48000,5.72000,5.34000,5.36000,93300
127,2022-10-06,5.16000,5.69000,5.13000,5.57000,54200
128,2022-10-05,5.46000,5.49000,5.15000,5.18000,70000
129,2022-10-04,5.29000,5.71000,5.29000,5.54000,86900
130,2022-10-03,6.14000,6.17000,5.02000,5.30000,142500
131,2022-09-30,5.95000,6.13000,5.88600,6.00000,87700
132,2022-09-29,6.20000,6.41000,5.96000,5.99000,60600
133,2022-09-28,6.10000,6.66000,6.10000,6.37000,61800
134,2022-09-27,7.02000,7.02000,5.85000,6.15000,152700
135,2022-09-26,7.10000,7.31000,6.69500,7.01000,122900
136,2022-09-23,7.97000,7.97000,7.15000,7.32000,166300
137,2022-09-22,7.74000,8.08000,7.56000,7.95000,370500
138,2022-09-21,7.69000,7.93000,7.25000,7.90000,310300
139,2022-09-20,6.95000,7.98000,6.67000,7.49000,357500
140,2022-09-19,6.99000,7.00000,6.79000,6.95000,155900
141,2022-09-16,6.42000,7.00000,6.40000,6.92000,265700
142,2022-09-15,6.29000,6.50000,6.24000,6.50000,88100
143,2022-09-14,6.50000,6.76000,6.23000,6.24000,153100
144,2022-09-13,6.44000,6.73000,6.42000,6.51000,1757700
145,2022-09-12,6.41000,6.68000,6.41000,6.50000,61300
146,2022-09-09,6.56700,6.66000,6.40000,6.41000,19800
147,2022-09-08,6.63000,6.79000,6.33000,6.58000,32000
148,2022-09-07,6.83000,6.97000,6.61000,6.66000,87800
149,2022-09-06,7.00000,7.00000,6.67000,6.76000,96500
150,2022-09-02,6.90000,7.00000,6.70800,6.99000,72800
151,2022-09-01,6.48000,6.80000,6.18000,6.77000,73000
152,2022-08-31,6.63000,6.70000,6.24000,6.44000,102300
153,2022-08-30,6.46000,6.46000,6.11000,6.32000,36300
154,2022-08-29,6.27000,6.50200,6.13000,6.37000,50800
155,2022-08-26,6.13000,6.55000,6.07000,6.40000,107300
156,2022-08-25,6.45000,6.45000,5.95000,5.99000,42500
157,2022-08-24,5.91000,6.18000,5.91000,6.03000,9200
158,2022-08-23,5.92000,6.05900,5.87500,6.02000,13200
159,2022-08-22,5.70000,5.94800,5.56500,5.87000,34900
160,2022-08-19,5.92000,6.10000,5.80000,5.82000,67000
161,2022-08-18,5.80000,6.15000,5.63000,5.90000,105700
162,2022-08-17,5.70000,5.95000,5.67000,5.88000,46700
163,2022-08-16,5.89000,5.92000,5.65000,5.70000,41700
164,2022-08-15,5.99000,5.99000,5.84000,5.88000,38400
165,2022-08-12,5.80000,6.00000,5.80000,5.99500,84200
166,2022-08-11,5.99000,5.99000,5.67000,5.79000,56300
167,2022-08-10,5.46000,6.02000,5.46000,6.00000,49100
168,2022-08-09,5.67000,5.97700,5.29500,5.45000,72700
169,2022-08-08,5.99000,6.52000,5.61000,5.62000,125700
170,2022-08-05,4.74000,6.10000,4.74000,6.10000,74500
171,2022-08-04,4.50000,4.82000,4.45000,4.82000,51800
172,2022-08-03,4.48000,4.51000,4.36000,4.50000,14400
173,2022-08-02,4.19400,4.49000,4.19400,4.29000,9100
174,2022-08-01,4.42000,4.55000,4.31000,4.36000,28800
175,2022-07-29,4.40000,4.54000,4.26000,4.53000,17300
176,2022-07-28,4.54000,4.54000,4.35000,4.40000,10900
177,2022-07-27,4.12000,4.40000,4.12000,4.37000,12000
178,2022-07-26,4.37000,4.37000,4.15000,4.31000,17900
179,2022-07-25,4.40000,4.45000,4.16000,4.23000,13900
180,2022-07-22,4.42200,4.45000,4.31100,4.45000,6800
181,2022-07-21,4.45000,4.45000,4.33200,4.44000,4700
182,2022-07-20,4.42000,4.50000,4.35000,4.35000,14900
183,2022-07-19,4.54000,4.82800,4.42000,4.49000,29200
184,2022-07-18,4.50000,4.71000,4.31000,4.32000,29200
185,2022-07-15,4.29000,4.56900,4.26000,4.47000,23100
186,2022-07-14,4.53000,4.77000,4.22000,4.25000,39300
187,2022-07-13,4.64000,4.77000,4.61000,4.69000,47900
188,2022-07-12,4.84000,4.84000,4.61000,4.63000,24100
189,2022-07-11,4.79000,4.97000,4.60200,4.93000,39500
190,2022-07-08,4.98000,5.09000,4.63000,4.78000,132800
191,2022-07-07,4.52000,4.90000,4.32000,4.89200,56200
192,2022-07-06,4.24000,4.60000,4.23200,4.41000,54000
193,2022-07-05,4.21000,4.55000,4.04400,4.19000,27200
194,2022-07-01,4.15000,4.55000,4.00000,4.32000,33000
195,2022-06-30,4.10000,4.44000,4.00000,4.14000,6200
196,2022-06-29,4.10000,4.22800,4.00000,4.01300,34200
197,2022-06-28,4.24000,4.54000,4.19800,4.25000,17600
198,2022-06-27,3.56000,4.30000,3.56000,4.30000,56200
199,2022-06-24,3.24000,3.69000,3.24000,3.60000,33300
200,2022-06-23,3.21000,3.38000,3.13000,3.28000,35000
201,2022-06-22,2.98000,3.37000,2.98000,3.15000,22600
202,2022-06-21,2.94000,3.21000,2.80000,3.07000,66800
203,2022-06-17,2.99000,3.02500,2.85000,2.90000,234100
204,2022-06-16,2.82000,3.04000,2.82000,2.95000,6400
205,2022-06-15,3.28000,3.35000,2.88000,2.94000,46600
206,2022-06-14,3.06000,3.31000,3.06000,3.19000,30200
207,2022-06-13,3.33000,3.48700,3.05000,3.05000,53400
208,2022-06-10,3.43700,3.62000,3.23600,3.38000,17000
209,2022-06-09,3.33000,3.52000,3.16000,3.51000,49800
210,2022-06-08,3.39000,3.54000,3.26000,3.39000,61400
211,2022-06-07,3.19500,3.40000,3.11500,3.17000,216800
212,2022-06-06,3.54000,3.94000,3.37000,3.40000,262800
213,2022-06-03,3.33000,3.65700,3.06000,3.46000,45700
214,2022-06-02,3.42000,4.00000,3.10000,3.41000,380700
215,2022-06-01,3.23000,3.52300,2.76000,3.47000,250000
216,2022-05-31,3.23500,3.47000,3.18000,3.22000,71200
217,2022-05-27,3.17000,3.48000,3.02500,3.42000,55200
218,2022-05-26,3.40000,3.58000,3.19000,3.20000,16300
219,2022-05-25,3.35000,3.45000,3.14000,3.14000,8900
220,2022-05-24,3.17000,3.27000,3.07000,3.20000,11700
