,datetime,open,high,low,close,volume
0,2023-04-11,0.22100,0.27000,0.22100,0.23300,245800
1,2023-04-10,0.24200,0.24200,0.21900,0.22500,111100
2,2023-04-06,0.24300,0.24900,0.22500,0.23200,134000
3,2023-04-05,0.26100,0.28400,0.24000,0.25000,583000
4,2023-04-04,0.27100,0.30000,0.25200,0.27000,105500
5,2023-04-03,0.27600,0.29100,0.27000,0.28000,195000
6,2023-03-31,0.28900,0.28900,0.27000,0.28400,54800
7,2023-03-30,0.29400,0.30000,0.27000,0.27500,33600
8,2023-03-29,0.29400,0.29500,0.26100,0.28000,281800
9,2023-03-28,0.29900,0.29900,0.28000,0.28000,35700
10,2023-03-27,0.29700,0.32300,0.28300,0.28500,36500
11,2023-03-24,0.30100,0.30300,0.28000,0.28300,187400
12,2023-03-23,0.31000,0.32500,0.30800,0.30800,60600
13,2023-03-22,0.32200,0.34000,0.31300,0.31900,62900
14,2023-03-21,0.32000,0.33000,0.31100,0.32200,53800
15,2023-03-20,0.28000,0.36000,0.28000,0.33000,655900
16,2023-03-17,0.30000,0.30000,0.28000,0.28500,90400
17,2023-03-16,0.29000,0.30000,0.28500,0.30000,29900
18,2023-03-15,0.28000,0.31000,0.28000,0.29300,93800
19,2023-03-14,0.30000,0.30000,0.27000,0.28600,139400
20,2023-03-13,0.29400,0.31000,0.29300,0.30000,124400
21,2023-03-10,0.30800,0.32300,0.29100,0.30300,223700
22,2023-03-09,0.35200,0.37000,0.31300,0.32000,356400
23,2023-03-08,0.37000,0.38800,0.35900,0.36300,84400
24,2023-03-07,0.39000,0.39300,0.35300,0.37200,239600
25,2023-03-06,0.39000,0.40500,0.39000,0.39500,122700
26,2023-03-03,0.39995,0.42000,0.39000,0.39380,188964
27,2023-03-02,0.38260,0.43720,0.37210,0.41000,323220
28,2023-03-01,0.43310,0.44900,0.38000,0.38830,1049680
29,2023-02-28,0.35100,0.40380,0.35100,0.39230,1106311
30,2023-02-27,0.37830,0.41990,0.37830,0.38010,106171
31,2023-02-24,0.38710,0.39960,0.37500,0.39000,194463
32,2023-02-23,0.41800,0.43500,0.37040,0.40800,225042
33,2023-02-22,0.42160,0.43990,0.36900,0.42180,232629
34,2023-02-21,0.42680,0.46200,0.40750,0.43000,211671
35,2023-02-17,0.44000,0.46000,0.41500,0.44000,243460
36,2023-02-16,0.47500,0.49000,0.43330,0.43330,370417
37,2023-02-15,0.50980,0.50980,0.45670,0.49000,372121
38,2023-02-14,0.51200,0.52900,0.48500,0.50160,516701
39,2023-02-13,0.51000,0.60000,0.49900,0.52000,1270411
40,2023-02-10,0.51930,0.53990,0.49050,0.51010,271505
41,2023-02-09,0.53850,0.55000,0.51060,0.51100,253452
42,2023-02-08,0.55000,0.57990,0.52550,0.54000,232390
43,2023-02-07,0.56010,0.56010,0.53030,0.53220,72984
44,2023-02-06,0.58920,0.58920,0.53000,0.55010,297058
45,2023-02-03,0.60000,0.62500,0.57500,0.58980,289544
46,2023-02-02,0.59500,0.63000,0.57000,0.59400,547151
47,2023-02-01,0.56000,0.63970,0.52100,0.59480,884681
48,2023-01-31,0.51130,0.57190,0.51130,0.55990,472403
49,2023-01-30,0.53792,0.54970,0.51000,0.52450,340232
50,2023-01-27,0.53000,0.56000,0.53000,0.54370,155101
51,2023-01-26,0.55700,0.59000,0.52000,0.54000,503821
52,2023-01-25,0.57190,0.57900,0.52500,0.55800,522480
53,2023-01-24,0.58000,0.60740,0.55020,0.58080,808079
54,2023-01-23,0.60500,0.65000,0.57000,0.58900,438359
55,2023-01-20,0.64630,0.64630,0.58700,0.62280,498696
56,2023-01-19,0.60010,0.67330,0.58000,0.63950,1745465
57,2023-01-18,0.63690,0.65000,0.57000,0.59900,498234
58,2023-01-17,0.59000,0.68000,0.58300,0.60530,796644
59,2023-01-13,0.54000,0.67250,0.53030,0.59000,1258089
60,2023-01-12,0.56900,0.61000,0.52100,0.55510,354844
61,2023-01-11,0.54530,0.57990,0.54310,0.54600,200185
62,2023-01-10,0.53840,0.56000,0.52810,0.53510,179595
63,2023-01-09,0.52500,0.57490,0.52500,0.54000,424663
64,2023-01-06,0.52260,0.57000,0.51030,0.52600,365259
65,2023-01-05,0.51780,0.59900,0.50100,0.56500,1583450
66,2023-01-04,0.50120,0.55000,0.50110,0.51990,444789
67,2023-01-03,0.52290,0.54990,0.48320,0.50405,437908
68,2022-12-30,0.58750,0.62990,0.53000,0.54200,1167587
69,2022-12-29,0.52100,0.54710,0.51120,0.51610,97093
70,2022-12-28,0.56700,0.57990,0.50000,0.51000,153219
71,2022-12-27,0.51360,0.58230,0.51000,0.57940,217897
72,2022-12-23,0.52890,0.54000,0.50210,0.52000,136078
73,2022-12-22,0.53110,0.55760,0.47100,0.51000,309351
74,2022-12-21,0.53870,0.58000,0.53000,0.55980,279126
75,2022-12-20,0.53940,0.57000,0.53000,0.54000,177405
76,2022-12-19,0.55000,0.56010,0.51040,0.53980,276053
77,2022-12-16,0.60200,0.61190,0.53010,0.57370,295873
78,2022-12-15,0.63000,0.67000,0.60000,0.60340,464435
79,2022-12-14,0.74490,0.74490,0.64000,0.68310,939485
80,2022-12-13,0.89000,0.89810,0.62300,0.76500,4633416
81,2022-12-12,0.55640,0.98000,0.55640,0.88490,5651549
82,2022-12-09,0.52000,0.64790,0.51500,0.58000,2375940
83,2022-12-08,0.53830,0.55380,0.47810,0.48160,886894
84,2022-12-07,0.58000,0.60010,0.51600,0.55490,684710
85,2022-12-06,0.62650,0.64470,0.59200,0.60000,1060386
86,2022-12-05,0.90000,0.92000,0.66020,0.70000,8327205
87,2022-12-02,0.71000,0.77000,0.69000,0.75000,371092
88,2022-12-01,0.66000,0.69900,0.63100,0.68480,433155
89,2022-11-30,0.73000,0.74990,0.66000,0.69990,1190861
90,2022-11-29,0.62500,0.69000,0.59910,0.63830,264109
91,2022-11-28,0.63000,0.63000,0.58530,0.61450,124173
92,2022-11-25,0.64560,0.64560,0.57020,0.60580,349094
93,2022-11-23,0.61000,0.64000,0.59500,0.61490,155896
94,2022-11-22,0.62500,0.63990,0.57100,0.60570,112354
95,2022-11-21,0.63000,0.63930,0.59500,0.61000,96922
96,2022-11-18,0.69840,0.70830,0.61120,0.62010,124462
97,2022-11-17,0.65900,0.73000,0.63200,0.67000,287980
98,2022-11-16,0.67000,0.67650,0.62500,0.65980,88072
99,2022-11-15,0.67000,0.70000,0.63130,0.67000,205951
100,2022-11-14,0.68000,0.68000,0.58600,0.63000,127614
101,2022-11-11,0.61890,0.70000,0.60000,0.63984,342596
102,2022-11-10,0.60000,0.60580,0.57010,0.58000,44113
103,2022-11-09,0.57000,0.60900,0.56000,0.56120,71703
104,2022-11-08,0.63980,0.64000,0.57300,0.58680,73861
105,2022-11-07,0.63570,0.67000,0.60580,0.63500,142746
106,2022-11-04,0.58120,0.65000,0.58120,0.63990,148619
107,2022-11-03,0.60120,0.63000,0.52110,0.57730,207376
108,2022-11-02,0.64980,0.64980,0.60110,0.60110,86581
109,2022-11-01,0.63253,0.65000,0.61030,0.64700,75577
110,2022-10-31,0.62000,0.66130,0.60000,0.60000,114651
111,2022-10-28,0.64000,0.67000,0.62000,0.63090,19345
112,2022-10-27,0.65980,0.70000,0.61010,0.63980,122207
113,2022-10-26,0.66500,0.68000,0.62000,0.66000,95554
114,2022-10-25,0.68000,0.68000,0.62000,0.64970,26375
115,2022-10-24,0.63000,0.66000,0.60000,0.62450,97532
116,2022-10-21,0.63960,0.68990,0.63000,0.65010,58112
