,datetime,open,high,low,close,volume
0,2023-04-11,13.55000,13.98000,13.55000,13.86000,233900
1,2023-04-10,13.12000,13.75200,12.95800,13.48000,298300
2,2023-04-06,13.05000,13.38000,12.86000,13.23000,263400
3,2023-04-05,13.52000,13.62500,12.70000,13.10000,504400
4,2023-04-04,14.16000,14.25000,13.49000,13.64000,483200
5,2023-04-03,14.44000,14.44000,13.71000,14.15000,802200
6,2023-03-31,14.70000,14.92000,14.21000,14.44000,303400
7,2023-03-30,14.80000,15.03000,14.46000,14.51000,300500
8,2023-03-29,14.70000,14.96100,14.29000,14.60000,730100
9,2023-03-28,14.75000,15.06000,14.20000,14.49000,380800
10,2023-03-27,14.37000,14.96000,14.12000,14.85000,307700
11,2023-03-24,14.05000,14.34000,13.80000,14.30000,373000
12,2023-03-23,13.95000,14.58500,13.95000,14.25000,349400
13,2023-03-22,14.77000,14.96000,13.86000,13.86000,238900
14,2023-03-21,14.36000,14.88900,14.26000,14.75000,388500
15,2023-03-20,14.19000,14.56000,13.96000,14.20000,292100
16,2023-03-17,14.32000,14.69000,14.10000,14.15000,688000
17,2023-03-16,14.23000,14.58000,13.80000,14.41000,1425900
18,2023-03-15,14.57000,14.96000,13.96000,14.43000,384000
19,2023-03-14,16.30000,16.46000,14.94500,15.05000,623200
20,2023-03-13,16.30000,16.34000,15.77500,15.78000,298300
21,2023-03-10,17.70000,17.71400,16.51000,16.60000,360800
22,2023-03-09,17.74000,18.40000,17.59000,17.71000,269100
23,2023-03-08,17.99000,18.08500,17.65000,17.81000,188900
24,2023-03-07,18.10000,18.40000,17.71000,17.89000,245200
25,2023-03-06,18.26000,18.46000,17.73000,18.13000,224200
26,2023-03-03,18.01000,18.30000,17.76000,18.26000,307000
27,2023-03-02,17.81000,18.39000,17.53100,17.85000,400100
28,2023-03-01,17.16000,18.74600,17.15000,18.03500,430400
29,2023-02-28,17.75000,18.69000,14.83000,17.20500,2451000
30,2023-02-27,20.93000,22.00000,20.49000,20.74000,771500
31,2023-02-24,20.42000,20.74000,19.94000,20.72000,441100
32,2023-02-23,19.72000,21.58000,19.72000,20.94000,724100
33,2023-02-22,18.96000,20.00000,18.96000,19.50000,427500
34,2023-02-21,19.19000,19.79000,18.62500,18.91000,360400
35,2023-02-17,19.19000,19.60000,18.80700,19.56000,206300
36,2023-02-16,19.55000,19.92000,19.04000,19.32000,195100
37,2023-02-15,19.03000,20.31000,18.96000,19.98000,223900
38,2023-02-14,19.06000,19.50000,18.70000,19.11000,216900
39,2023-02-13,18.44000,19.28000,18.16000,19.14000,146500
40,2023-02-10,18.63000,18.95000,18.35000,18.41000,138100
41,2023-02-09,19.59000,19.79400,18.66000,18.72000,325900
42,2023-02-08,19.10000,19.80000,18.83000,19.43000,181300
43,2023-02-07,18.63000,19.10000,18.14000,19.10000,185200
44,2023-02-06,18.74000,18.88000,18.13000,18.63000,180700
45,2023-02-03,19.43000,19.89000,19.08000,19.10000,151600
46,2023-02-02,19.95000,20.34000,19.59100,20.04000,390900
47,2023-02-01,18.72000,19.52000,18.38000,19.48000,286200
48,2023-01-31,17.93000,18.90000,17.57300,18.65000,275700
49,2023-01-30,17.66000,18.47000,17.53000,17.86000,339500
50,2023-01-27,17.80000,18.22000,17.15000,18.00000,327900
51,2023-01-26,17.86000,18.00000,17.20000,17.78000,468400
52,2023-01-25,17.25000,17.76000,17.04000,17.54000,169700
53,2023-01-24,18.30000,18.66000,17.40000,17.68000,486400
54,2023-01-23,18.43000,18.48000,17.97000,18.38000,257000
55,2023-01-20,17.80000,18.55000,17.79000,18.39000,167800
56,2023-01-19,17.96000,18.28000,17.56100,17.73000,231700
57,2023-01-18,17.93000,18.10000,17.45000,18.07000,262700
58,2023-01-17,17.53000,17.84000,17.30000,17.71000,184600
59,2023-01-13,17.19000,17.88000,17.12600,17.67000,189800
60,2023-01-12,16.47000,17.51000,16.11000,17.50000,277300
61,2023-01-11,16.29000,16.29000,15.76500,16.29000,194800
62,2023-01-10,16.79000,17.12000,16.15000,16.25000,186400
63,2023-01-09,16.13000,17.28000,16.10000,16.81000,195900
64,2023-01-06,17.23000,17.23000,16.48000,16.73000,206300
65,2023-01-05,17.54000,17.54000,17.00000,17.05000,170800
66,2023-01-04,17.58000,17.93000,17.08000,17.81000,233600
67,2023-01-03,17.43000,18.01000,16.81000,17.32000,483300
68,2022-12-30,16.49000,16.99500,16.17000,16.90000,276800
69,2022-12-29,15.99000,16.92000,15.85000,16.90000,213900
70,2022-12-28,15.46000,15.90000,15.35000,15.70000,208700
71,2022-12-27,15.85000,16.02000,15.41500,15.51000,156300
72,2022-12-23,16.13000,16.43000,15.72000,16.05000,174000
73,2022-12-22,16.34000,16.44000,15.23000,16.13000,331100
74,2022-12-21,16.71000,17.25000,16.29000,16.72000,187600
75,2022-12-20,16.13000,16.93000,15.93000,16.48000,234800
76,2022-12-19,17.09000,17.09000,16.09000,16.35000,457400
77,2022-12-16,16.73000,17.69000,16.71500,17.10000,410400
78,2022-12-15,17.22000,17.87000,16.58000,16.93000,442000
79,2022-12-14,18.25000,18.64000,17.19000,17.36000,345900
80,2022-12-13,19.30000,20.12000,18.06000,18.45000,477300
81,2022-12-12,17.67000,18.12000,17.55000,18.12000,235000
82,2022-12-09,17.84000,18.14100,17.55000,17.70000,221700
83,2022-12-08,19.40000,19.59500,17.88000,17.99000,294900
84,2022-12-07,19.12000,19.93000,18.63000,19.21000,216400
85,2022-12-06,20.14000,20.14000,18.92000,19.09000,208200
86,2022-12-05,20.94000,21.42000,20.12000,20.32000,212400
87,2022-12-02,19.72000,21.25000,19.52500,21.18000,281000
88,2022-12-01,19.75000,20.73200,19.73000,20.25000,220200
89,2022-11-30,18.80000,19.75000,18.34000,19.67000,312200
90,2022-11-29,18.77000,19.30000,18.50000,18.73000,224700
91,2022-11-28,19.01000,19.78000,18.79000,18.85000,203000
92,2022-11-25,19.56000,19.70000,19.18000,19.24000,90100
93,2022-11-23,19.82000,20.13000,19.20000,19.72000,312900
94,2022-11-22,19.75000,20.32300,19.15000,19.90000,164400
95,2022-11-21,19.45000,19.99000,19.06000,19.73000,202200
96,2022-11-18,21.12000,21.74000,19.28000,19.72000,341600
97,2022-11-17,20.05000,21.26000,19.78000,20.52000,304000
98,2022-11-16,21.87000,22.14100,20.48000,20.67000,491300
99,2022-11-15,23.49000,24.10000,22.18000,22.26000,411000
100,2022-11-14,21.97000,23.19000,21.66000,22.73000,439700
101,2022-11-11,22.09000,23.42000,21.51100,22.39000,700600
102,2022-11-10,20.09000,22.14000,20.09000,22.08000,716200
103,2022-11-09,21.30000,21.96000,18.08000,18.92000,1419200
104,2022-11-08,18.49000,22.54000,18.49000,22.01000,3465100
105,2022-11-07,17.05000,17.20500,15.88000,16.04000,809100
106,2022-11-04,17.56000,18.04000,16.87000,17.05000,385300
107,2022-11-03,17.71000,17.78000,16.93500,17.24000,519400
108,2022-11-02,20.37000,20.37000,17.78000,18.03000,791200
109,2022-11-01,20.70000,20.97900,20.16000,20.54000,280300
110,2022-10-31,20.77000,21.38000,19.77000,20.19000,380600
111,2022-10-28,20.17000,20.99000,19.54500,20.97000,388400
112,2022-10-27,19.64000,20.43900,19.44500,20.21000,219700
113,2022-10-26,19.81000,20.99000,19.71000,19.74000,466300
114,2022-10-25,19.53000,20.99000,19.53000,20.14000,503600
115,2022-10-24,20.39000,20.39000,19.09000,19.55000,319400
116,2022-10-21,19.14000,19.94000,18.57000,19.87000,250300
117,2022-10-20,18.52000,20.08000,18.52000,19.17000,309300
118,2022-10-19,19.33000,19.82000,18.70000,18.80000,298200
119,2022-10-18,19.18000,19.90000,18.78000,19.66000,536400
120,2022-10-17,17.28000,19.27000,17.28000,18.81000,439100
121,2022-10-14,18.50000,19.09000,17.09000,17.22000,231800
122,2022-10-13,17.24000,18.52000,16.79000,18.31000,229400
123,2022-10-12,18.49000,18.77800,17.56000,17.97000,253800
124,2022-10-11,17.75000,19.29000,17.28000,18.59000,389500
125,2022-10-10,17.81000,18.60000,17.63000,17.93000,327200
126,2022-10-07,17.93000,18.27500,17.55000,17.78000,255700
127,2022-10-06,18.66000,19.34000,18.13000,18.39000,458500
128,2022-10-05,17.91000,19.00000,17.56000,18.90000,416400
129,2022-10-04,17.25000,18.50000,17.20000,18.32000,457200
130,2022-10-03,16.16000,16.73000,15.72000,16.71000,355900
131,2022-09-30,16.30000,16.64000,15.93000,16.10000,419500
132,2022-09-29,16.55000,16.83000,16.25000,16.41000,291000
133,2022-09-28,15.72000,17.00000,15.71000,16.87000,426900
134,2022-09-27,16.08000,16.47000,15.47000,15.67000,403200
135,2022-09-26,15.50000,16.33000,15.50000,15.91000,335900
136,2022-09-23,15.03000,15.53000,14.85000,15.53000,319400
137,2022-09-22,15.69000,16.12000,15.06000,15.25000,448900
138,2022-09-21,16.72000,16.88000,15.88000,16.02000,520100
139,2022-09-20,16.64000,17.05000,16.51000,16.61000,223600
140,2022-09-19,17.03000,17.24000,16.48000,16.90000,459500
141,2022-09-16,17.39000,17.48000,16.70000,17.34000,523100
142,2022-09-15,18.77000,19.05000,17.54000,18.00000,666200
143,2022-09-14,17.87000,18.77000,17.80000,18.73000,575600
144,2022-09-13,17.94000,19.00000,17.80000,18.16000,836100
