,datetime,open,high,low,close,volume
0,2023-04-11,14.02000,14.02000,14.02000,14.02000,700
1,2023-04-10,14.02000,14.02000,14.02000,14.02000,200
2,2023-04-06,14.05600,14.05600,14.02000,14.02000,2900
3,2023-04-05,14.52000,14.56000,14.00000,14.00000,4300
4,2023-04-04,14.55000,14.55000,14.55000,14.55000,0
5,2023-04-03,14.55000,14.55000,14.55000,14.55000,0
6,2023-03-31,14.89000,14.89000,14.55000,14.55000,1400
7,2023-03-30,14.97000,14.97000,14.97000,14.97000,0
8,2023-03-29,14.97000,14.97000,14.97000,14.97000,300
9,2023-03-28,14.97000,14.99000,14.68000,14.68000,1400
10,2023-03-27,14.79000,15.24000,14.75000,15.24000,3000
11,2023-03-24,14.99500,15.29000,14.55000,14.55000,1000
12,2023-03-23,15.40000,15.40000,14.58000,14.95000,3100
13,2023-03-22,15.44000,15.44000,15.44000,15.44000,400
14,2023-03-21,15.42000,15.50000,15.42000,15.50000,2000
15,2023-03-20,14.55000,15.50000,14.52000,15.50000,1900
16,2023-03-17,15.45000,15.50000,15.44000,15.50000,7000
17,2023-03-16,15.50000,15.50000,15.20000,15.50000,1800
18,2023-03-15,14.51000,15.45000,14.01000,15.17000,3200
19,2023-03-14,15.92000,16.08000,15.45000,15.47000,5200
20,2023-03-13,15.13000,15.59100,14.05000,14.26000,13000
21,2023-03-10,16.22100,16.25000,15.70000,15.70000,15400
22,2023-03-09,16.23000,16.23000,16.21000,16.22700,2900
23,2023-03-08,16.30000,16.30000,16.30000,16.30000,1700
24,2023-03-07,16.22500,16.23000,16.20000,16.21400,2100
25,2023-03-06,16.25300,16.25300,16.25300,16.25300,1100
26,2023-03-03,16.18400,16.18400,16.17000,16.17000,400
27,2023-03-02,16.29000,16.29000,16.29000,16.29000,0
28,2023-03-01,16.30000,16.35000,16.16300,16.29000,2000
29,2023-02-28,16.30000,16.30000,16.30000,16.30000,200
30,2023-02-27,16.25000,16.30000,16.21000,16.21000,2000
31,2023-02-24,16.19500,16.30000,16.16000,16.30000,6800
32,2023-02-23,16.19000,16.19000,16.16000,16.16000,1200
33,2023-02-22,16.15000,16.22000,16.15000,16.22000,700
34,2023-02-21,16.26000,16.32100,16.05300,16.32100,1500
35,2023-02-17,16.40000,16.42000,16.40000,16.42000,1600
36,2023-02-16,16.40000,16.50000,16.40000,16.50000,3300
37,2023-02-15,16.35000,16.41800,16.35000,16.37500,3100
38,2023-02-14,16.11000,16.37500,16.11000,16.27500,2700
39,2023-02-13,16.02000,16.03000,16.02000,16.03000,1200
40,2023-02-10,16.15000,16.15000,16.08000,16.08000,800
41,2023-02-09,16.11000,16.15000,15.96400,16.15000,2900
42,2023-02-08,16.00000,16.07000,16.00000,16.07000,4000
43,2023-02-07,15.91000,16.07000,15.91000,16.00000,3500
44,2023-02-06,16.01000,16.07200,16.01000,16.01000,7900
45,2023-02-03,16.01000,16.01000,16.01000,16.01000,700
46,2023-02-02,16.05100,16.30000,16.05100,16.26800,3100
47,2023-02-01,16.02500,16.25000,16.02500,16.10000,3900
48,2023-01-31,16.00000,16.05000,15.93000,15.93000,4100
49,2023-01-30,16.07600,16.07600,16.00000,16.00000,3400
50,2023-01-27,15.99000,16.15000,15.99000,16.10000,3700
51,2023-01-26,15.80000,17.27500,15.80000,16.13000,8200
