,datetime,open,high,low,close,volume
0,2023-04-11,75.46000,78.22000,75.00000,77.80000,1293100
1,2023-04-10,75.49000,75.81000,73.94000,75.19000,653400
2,2023-04-06,74.38000,75.81000,74.10000,75.65000,1047000
3,2023-04-05,73.74000,74.56000,72.58000,74.04000,1054600
4,2023-04-04,73.94000,74.88000,73.47000,73.80000,833600
5,2023-04-03,73.72000,73.78000,72.16000,73.76000,790700
6,2023-03-31,72.95000,74.30000,72.84000,74.19000,596700
7,2023-03-30,72.78000,73.02000,71.98000,72.43000,487900
8,2023-03-29,72.40000,72.79000,71.67000,72.06000,518600
9,2023-03-28,73.15000,73.43000,71.42000,71.62000,504800
10,2023-03-27,73.13000,73.90000,72.69000,73.41000,636300
11,2023-03-24,71.59000,72.87000,70.33000,72.54000,825400
12,2023-03-23,72.70000,73.30000,71.32000,71.92000,718600
13,2023-03-22,73.79000,74.49000,72.37000,72.45000,616700
14,2023-03-21,73.05000,74.04000,72.66000,73.85000,603700
15,2023-03-20,72.51000,73.69000,72.00000,72.56000,700100
16,2023-03-17,73.53000,73.56000,72.09000,72.31000,1278100
17,2023-03-16,72.53000,73.57000,71.96000,73.49000,621200
18,2023-03-15,72.11000,72.84000,70.90000,72.77000,805000
19,2023-03-14,72.93000,74.08000,72.29000,73.27000,971500
20,2023-03-13,71.75000,73.29000,69.81000,71.82000,987000
21,2023-03-10,73.87000,74.00000,70.97000,71.97000,897100
22,2023-03-09,74.98000,76.65000,74.02000,74.06000,822100
23,2023-03-08,75.03000,75.94000,74.19000,74.54000,1192800
24,2023-03-07,76.93000,76.93000,74.71000,74.82000,630400
25,2023-03-06,78.09000,78.28000,76.61000,76.91000,702100
26,2023-03-03,77.75000,79.11000,77.29500,78.24000,846444
27,2023-03-02,72.71000,78.12000,72.71000,77.60000,1463370
28,2023-03-01,72.28000,75.80000,72.27500,74.91000,2016683
29,2023-02-28,72.15000,73.06000,72.00500,72.64000,949553
30,2023-02-27,73.15000,73.94000,72.40000,72.68000,919694
31,2023-02-24,73.21000,73.39000,72.14000,72.48000,677795
32,2023-02-23,74.51000,75.31000,73.10500,74.27000,1213392
