,datetime,open,high,low,close,volume
0,2023-04-11,19.45000,19.45000,19.24200,19.32000,86200
1,2023-04-10,19.32000,19.32000,19.08000,19.17000,173100
2,2023-04-06,19.12000,19.33000,19.12000,19.27000,81700
3,2023-04-05,18.98000,19.23000,18.96000,19.14000,126200
4,2023-04-04,19.08000,19.11000,18.87000,18.91000,79600
5,2023-04-03,18.76000,19.05000,18.67000,19.04000,118600
6,2023-03-31,18.59000,18.78000,18.49000,18.76000,149900
7,2023-03-30,18.32000,18.46000,18.25100,18.45000,68000
8,2023-03-29,18.34000,18.35000,18.24000,18.30000,101000
9,2023-03-28,18.39000,18.39500,18.18000,18.21000,71300
10,2023-03-27,18.27000,18.45500,18.27000,18.31000,97100
11,2023-03-24,17.98000,18.23000,17.88100,18.19000,112300
12,2023-03-23,18.05000,18.23000,17.93000,18.05000,122500
13,2023-03-22,18.22000,18.38400,17.99000,17.99000,117500
14,2023-03-21,18.31000,18.40000,18.20000,18.29000,104500
15,2023-03-20,17.98000,18.25000,17.98000,18.20000,92900
16,2023-03-17,18.30000,18.45000,17.99000,18.04000,79800
17,2023-03-16,18.14000,18.49900,18.05400,18.44000,143200
18,2023-03-15,18.09000,18.21000,17.75000,18.17000,180800
19,2023-03-14,18.23000,18.40000,18.16500,18.26000,98500
20,2023-03-13,18.00000,18.49000,18.00000,18.05000,172200
21,2023-03-10,18.21000,18.36000,18.03000,18.07000,117300
22,2023-03-09,18.46000,18.57700,18.17000,18.24000,81500
23,2023-03-08,18.60000,18.62000,18.43000,18.48000,126100
24,2023-03-07,18.92000,19.00400,18.57000,18.61000,92800
25,2023-03-06,18.98000,19.08000,18.92000,18.96000,59000
26,2023-03-03,18.92000,19.03000,18.91000,18.98000,122500
27,2023-03-02,18.77000,18.92000,18.67100,18.83000,106800
28,2023-03-01,18.82000,18.90000,18.76000,18.88000,53100
29,2023-02-28,19.14000,19.14000,18.80000,18.83000,187600
30,2023-02-27,19.13000,19.15600,18.93000,19.01000,92600
31,2023-02-24,19.10000,19.10500,18.93200,19.04000,96600
32,2023-02-23,19.17000,19.35000,19.11000,19.16000,64700
33,2023-02-22,19.36000,19.40000,19.14000,19.18000,51800
34,2023-02-21,19.46000,19.54000,19.24000,19.26000,72200
35,2023-02-17,19.35000,19.58000,19.35000,19.57000,72800
36,2023-02-16,19.62000,19.76000,19.51000,19.55000,101500
37,2023-02-15,19.65000,19.76700,19.48500,19.75000,161700
38,2023-02-14,19.70000,19.79000,19.53000,19.68000,72700
39,2023-02-13,19.44000,19.69000,19.44000,19.66000,78300
40,2023-02-10,19.22000,19.47000,19.22000,19.46000,68000
41,2023-02-09,19.61000,19.61100,19.22800,19.25000,84200
42,2023-02-08,19.47000,19.58900,19.43000,19.47000,41600
43,2023-02-07,19.39000,19.57000,19.29000,19.51000,105400
44,2023-02-06,19.59000,19.66000,19.37000,19.43000,108000
45,2023-02-03,19.74000,19.83000,19.64000,19.67000,78900
46,2023-02-02,19.83000,19.83000,19.65000,19.76000,180700
47,2023-02-01,19.66000,20.00000,19.60500,19.84000,105200
48,2023-01-31,19.43000,19.66000,19.43000,19.65000,84000
49,2023-01-30,19.45000,19.63300,19.29000,19.37000,143600
50,2023-01-27,19.55000,19.64000,19.45000,19.49000,122000
51,2023-01-26,19.54000,19.73000,19.48000,19.60000,70300
52,2023-01-25,19.55000,19.65000,19.41000,19.52000,203400
53,2023-01-24,19.55000,19.70000,19.40000,19.63000,196800
54,2023-01-23,19.41000,19.67500,19.41000,19.59000,308500
55,2023-01-20,19.42000,19.53000,19.29000,19.52000,112400
56,2023-01-19,19.47000,19.56300,19.35000,19.38000,228700
57,2023-01-18,19.96000,19.96900,19.53000,19.55000,154900
58,2023-01-17,19.94000,19.99400,19.79000,19.83000,128300
59,2023-01-13,19.85000,20.12000,19.85000,19.94000,154300
60,2023-01-12,20.01000,20.10000,19.84700,19.96000,77400
61,2023-01-11,19.92000,19.96000,19.74000,19.95000,94600
62,2023-01-10,19.73000,19.95000,19.73000,19.84000,104700
63,2023-01-09,20.03000,20.14500,19.76000,19.76000,140800
64,2023-01-06,19.88000,20.07000,19.81000,20.01000,85000
65,2023-01-05,19.95000,19.98000,19.76000,19.86000,76900
66,2023-01-04,19.90000,20.23900,19.87000,20.11000,90900
67,2023-01-03,19.87000,20.04300,19.78000,19.96000,138800
68,2022-12-30,19.75000,19.84000,19.60000,19.81000,103200
69,2022-12-29,19.52000,19.86000,19.52000,19.78000,95800
70,2022-12-28,19.61000,19.82000,19.47000,19.48000,114400
71,2022-12-27,19.78000,19.87000,19.64100,19.67000,90900
72,2022-12-23,19.83000,19.98000,19.72000,19.81000,62900
73,2022-12-22,19.71000,19.84000,19.60000,19.83600,76100
74,2022-12-21,19.90000,20.02000,19.72100,19.81000,146400
75,2022-12-20,19.75000,19.85000,19.64000,19.78000,97500
76,2022-12-19,19.83000,19.85000,19.65000,19.79000,90200
77,2022-12-16,20.00000,20.10000,19.79000,19.83000,149700
78,2022-12-15,20.46000,20.55000,20.25500,20.32000,115900
79,2022-12-14,20.48000,20.80000,20.39000,20.63000,103200
80,2022-12-13,20.85000,20.88900,20.44000,20.51000,70500
81,2022-12-12,20.20000,20.41000,20.20000,20.39000,65200
82,2022-12-09,20.44000,20.51000,20.17000,20.20000,70300
83,2022-12-08,20.52000,20.70000,20.38000,20.47000,144300
84,2022-12-07,20.34000,20.57600,20.10000,20.42000,94400
85,2022-12-06,20.36000,20.44300,20.14000,20.27000,78100
86,2022-12-05,20.60000,20.75300,20.41000,20.42000,88700
87,2022-12-02,20.52000,20.90000,20.46000,20.82000,40500
88,2022-12-01,20.99000,21.02000,20.64000,20.78000,124100
89,2022-11-30,20.40000,20.92000,20.36500,20.92000,150700
90,2022-11-29,20.30000,20.44000,20.21000,20.36000,104100
91,2022-11-28,20.65000,20.69000,20.36000,20.40000,60000
92,2022-11-25,20.55000,20.68000,20.53000,20.65000,34600
93,2022-11-23,20.55000,20.63100,20.39000,20.55000,63500
94,2022-11-22,20.31000,20.58000,20.25000,20.57000,68500
95,2022-11-21,20.30000,20.37500,20.18000,20.23000,56700
96,2022-11-18,20.10000,20.37500,20.10000,20.35000,74900
97,2022-11-17,20.08000,20.21000,20.00000,20.17000,64000
98,2022-11-16,19.99000,20.29000,19.99000,20.06000,63400
99,2022-11-15,20.43000,20.46300,20.00000,20.07500,102400
100,2022-11-14,20.21000,20.52000,20.21000,20.23000,79500
101,2022-11-11,20.58000,20.58000,20.03000,20.32000,102200
102,2022-11-10,20.42000,20.66000,20.24000,20.63000,92900
103,2022-11-09,20.00000,20.25000,19.87000,19.87000,84000
104,2022-11-08,20.14000,20.35000,19.83100,20.17000,119900
105,2022-11-07,19.70000,20.12000,19.65000,20.07000,102800
106,2022-11-04,19.61000,19.80000,19.32900,19.65000,86800
107,2022-11-03,19.46000,19.60000,19.26000,19.52000,75500
108,2022-11-02,19.86000,20.25000,19.64000,19.64000,140500
109,2022-11-01,20.05000,20.10000,19.82800,19.94000,165400
110,2022-10-31,20.04000,20.10000,19.75100,19.98000,128500
111,2022-10-28,19.75000,20.10000,19.62000,20.00000,169500
112,2022-10-27,19.90000,19.90000,19.60000,19.75000,85100
113,2022-10-26,19.48000,19.90000,19.48000,19.71000,71600
114,2022-10-25,19.33000,19.50000,19.18000,19.50000,147200
115,2022-10-24,18.94000,19.12000,18.77800,19.04000,200700
116,2022-10-21,18.23000,18.62000,18.04000,18.59000,88200
117,2022-10-20,18.25000,18.51000,18.13000,18.25000,202800
118,2022-10-19,18.52000,18.54500,18.14000,18.27000,75600
119,2022-10-18,18.78000,18.92000,18.66500,18.76000,84000
120,2022-10-17,18.37000,18.67000,18.37000,18.60000,109200
121,2022-10-14,18.69000,18.82000,18.23000,18.27000,60900
122,2022-10-13,17.87000,18.68000,17.75000,18.51000,93700
123,2022-10-12,18.23000,18.38000,18.13500,18.16000,53300
124,2022-10-11,18.10000,18.46700,18.05500,18.17000,103800
125,2022-10-10,18.40000,18.52800,18.08000,18.18000,83800
126,2022-10-07,18.68000,18.80500,18.21100,18.33000,116200
127,2022-10-06,19.07000,19.16000,18.77000,18.87000,67200
128,2022-10-05,18.93000,19.24000,18.83000,19.06000,90400
129,2022-10-04,18.85000,19.16000,18.85000,19.11000,88500
130,2022-10-03,18.27000,18.68000,18.15600,18.55000,59100
131,2022-09-30,18.19000,18.52000,18.10000,18.12000,72600
132,2022-09-29,18.40000,18.40000,18.13000,18.23000,99000
133,2022-09-28,18.11000,18.67000,18.11000,18.56000,135400
134,2022-09-27,18.13000,18.28800,17.86000,18.01000,160500
135,2022-09-26,18.30000,18.35000,17.98000,18.04000,150600
136,2022-09-23,18.54000,18.59000,18.00000,18.43000,208600
137,2022-09-22,18.66000,18.83000,18.54000,18.69000,88300
138,2022-09-21,19.20000,19.33000,18.70000,18.73000,91800
139,2022-09-20,19.20000,19.28400,18.98000,19.11000,103500
