,datetime,open,high,low,close,volume
0,2023-04-11,5.86000,5.92000,5.82000,5.82000,616900
1,2023-04-10,5.71000,5.97000,5.70000,5.85000,834200
2,2023-04-06,5.86000,5.87000,5.71000,5.72000,770600
3,2023-04-05,5.82000,5.87000,5.66000,5.85000,818000
4,2023-04-04,5.93000,5.94000,5.74000,5.82000,1208500
5,2023-04-03,6.12000,6.14000,5.71000,5.91000,1538900
6,2023-03-31,6.11000,6.20000,6.08000,6.18000,1356600
7,2023-03-30,6.20000,6.22000,6.01000,6.09000,650900
8,2023-03-29,6.29000,6.30000,6.13000,6.19000,775200
9,2023-03-28,6.24000,6.38000,6.22000,6.27000,673200
10,2023-03-27,6.25000,6.29000,6.13000,6.24000,824500
11,2023-03-24,6.25000,6.28000,6.08000,6.21000,918600
12,2023-03-23,6.40000,6.66000,6.26000,6.37000,1663800
13,2023-03-22,6.19000,6.75000,6.11000,6.40000,3342100
14,2023-03-21,5.96000,6.11000,5.90000,6.04000,1319600
15,2023-03-20,5.66000,5.86000,5.64000,5.82000,1011400
16,2023-03-17,5.64000,5.85000,5.63000,5.66000,1947500
17,2023-03-16,5.51000,5.72000,5.49000,5.65000,1542800
18,2023-03-15,5.66000,5.70000,5.43000,5.57000,2068100
19,2023-03-14,5.82000,5.97000,5.75000,5.84000,1834900
20,2023-03-13,5.70000,5.87000,5.52000,5.76000,1726800
21,2023-03-10,6.00000,6.04000,5.85000,5.87000,2586500
22,2023-03-09,6.32000,6.34000,5.89000,5.97000,2352438
23,2023-03-08,6.30000,6.36000,6.20000,6.33000,1308300
24,2023-03-07,6.10000,6.29000,6.04000,6.25000,1617700
25,2023-03-06,6.27000,6.27000,5.91000,6.10000,2529100
26,2023-03-03,6.25000,6.43000,6.15000,6.41000,1586400
27,2023-03-02,6.10000,6.28000,6.00000,6.25000,2067100
28,2023-03-01,6.26000,6.31000,6.11000,6.20000,1647700
29,2023-02-28,6.10000,6.26000,5.97000,6.24000,2399800
30,2023-02-27,5.91000,6.12000,5.72000,6.12000,3448400
31,2023-02-24,5.51000,5.89000,5.48000,5.87000,2123200
32,2023-02-23,5.37000,5.63000,5.36000,5.53000,2014600
33,2023-02-22,5.20000,5.37000,5.20000,5.32000,1541000
34,2023-02-21,5.21000,5.29000,5.17000,5.20000,676800
35,2023-02-17,5.28000,5.28000,5.13000,5.22000,779400
36,2023-02-16,5.27000,5.31000,5.18000,5.28000,808000
37,2023-02-15,5.24000,5.32000,5.16000,5.30000,515300
38,2023-02-14,5.27000,5.35000,5.16000,5.27000,911700
39,2023-02-13,5.15000,5.36000,5.12000,5.27000,1068500
40,2023-02-10,5.20000,5.22000,5.07000,5.15000,643900
41,2023-02-09,5.13000,5.26000,5.11000,5.20000,1795400
42,2023-02-08,5.14000,5.16000,5.03000,5.09000,468900
43,2023-02-07,5.08000,5.17000,4.99000,5.17000,1249000
44,2023-02-06,4.86000,5.13000,4.86000,5.05000,1409700
45,2023-02-03,4.88000,5.02000,4.87000,4.89000,543200
46,2023-02-02,4.98000,5.09000,4.79000,4.88000,799000
47,2023-02-01,4.89000,5.09000,4.87000,4.98000,1682300
48,2023-01-31,4.65000,4.89000,4.63000,4.86000,1608700
49,2023-01-30,4.69000,4.77000,4.61000,4.65000,337100
50,2023-01-27,4.58000,4.82000,4.58000,4.75000,1307300
51,2023-01-26,4.64000,4.67000,4.48000,4.57000,354900
52,2023-01-25,4.56000,4.62000,4.47000,4.59000,485900
53,2023-01-24,4.66000,4.66000,4.47000,4.58000,501300
54,2023-01-23,4.66000,4.72000,4.57000,4.64000,912400
55,2023-01-20,4.51000,4.65000,4.46000,4.65000,568100
56,2023-01-19,4.44000,4.54000,4.16000,4.48000,961700
57,2023-01-18,4.75000,4.79000,4.43000,4.44000,814700
58,2023-01-17,4.57000,4.80000,4.55000,4.70000,2131800
59,2023-01-13,4.48000,4.58000,4.47000,4.57000,453200
60,2023-01-12,4.47000,4.59000,4.37000,4.53000,454500
61,2023-01-11,4.55000,4.58000,4.41000,4.42000,496300
62,2023-01-10,4.40000,4.59000,4.39000,4.56000,1219800
63,2023-01-09,4.38000,4.43000,4.35000,4.37000,634000
64,2023-01-06,4.30000,4.41000,4.26000,4.33000,513600
65,2023-01-05,4.25000,4.33000,4.20000,4.30000,501100
66,2023-01-04,4.40000,4.44000,4.23000,4.26000,1045400
67,2023-01-03,4.57000,4.59000,4.40000,4.45000,821200
68,2022-12-30,4.42000,4.55000,4.40000,4.54000,338500
69,2022-12-29,4.31000,4.45000,4.25000,4.43000,764600
70,2022-12-28,4.55000,4.55000,4.28000,4.31000,1103600
71,2022-12-27,4.61000,4.61000,4.54000,4.57000,664400
72,2022-12-23,4.59000,4.62000,4.54000,4.58000,422900
73,2022-12-22,4.60000,4.61000,4.44000,4.59000,813700
74,2022-12-21,4.60000,4.62000,4.54000,4.60000,917200
75,2022-12-20,4.50000,4.60000,4.48000,4.57000,652900
76,2022-12-19,4.55000,4.58000,4.43000,4.48000,633100
77,2022-12-16,4.46000,4.55000,4.43000,4.55000,837700
78,2022-12-15,4.40000,4.55000,4.40000,4.53000,773300
79,2022-12-14,4.40000,4.49000,4.35000,4.46000,839800
80,2022-12-13,4.42000,4.46000,4.31000,4.39000,1483200
81,2022-12-12,4.07000,4.38000,4.07000,4.36000,877100
82,2022-12-09,4.13000,4.13000,4.03000,4.07000,610400
83,2022-12-08,4.08000,4.18000,4.08000,4.12000,741700
84,2022-12-07,4.27000,4.28000,3.95000,4.05000,1369800
85,2022-12-06,4.44000,4.45000,4.24000,4.28000,1072200
86,2022-12-05,4.51000,4.56000,4.37000,4.41000,862100
87,2022-12-02,4.37000,4.50000,4.30000,4.50000,769700
88,2022-12-01,4.48000,4.51000,4.38000,4.38000,607000
89,2022-11-30,4.40000,4.50000,4.38000,4.45000,959400
90,2022-11-29,4.39000,4.43000,4.32000,4.35000,449200
91,2022-11-28,4.44000,4.44000,4.28000,4.29000,631400
92,2022-11-25,4.41000,4.52000,4.38000,4.46000,421000
93,2022-11-23,4.44000,4.48000,4.36000,4.40000,533800
94,2022-11-22,4.49000,4.51000,4.39000,4.46000,935700
95,2022-11-21,4.45000,4.50000,4.38000,4.44000,1141500
96,2022-11-18,4.54000,4.55000,4.43000,4.45000,1185600
97,2022-11-17,4.54000,4.56000,4.43000,4.52000,2115900
98,2022-11-16,4.48000,4.53000,4.38000,4.45000,730000
99,2022-11-15,4.31000,4.46000,4.24000,4.41000,740600
100,2022-11-14,4.24000,4.39000,4.24000,4.29000,580000
101,2022-11-11,4.38000,4.42000,4.27000,4.29000,594900
102,2022-11-10,4.34000,4.41000,4.24000,4.32000,895600
103,2022-11-09,4.55000,4.57000,4.33000,4.34000,1221800
104,2022-11-08,4.50000,4.57000,4.45000,4.56000,1690500
105,2022-11-07,4.35000,4.53000,4.30000,4.48000,2509800
