,datetime,open,high,low,close,volume
0,2023-04-11,0.46100,0.48000,0.46100,0.47600,92300
1,2023-04-10,0.49500,0.50400,0.46200,0.46200,80300
2,2023-04-06,0.47500,0.50000,0.47500,0.49500,19500
3,2023-04-05,0.47500,0.50000,0.47500,0.48000,13900
4,2023-04-04,0.49000,0.49000,0.46100,0.48200,22900
5,2023-04-03,0.47000,0.49400,0.47000,0.48300,8500
6,2023-03-31,0.48000,0.51400,0.46500,0.49000,63900
7,2023-03-30,0.49000,0.49300,0.46000,0.48100,62500
8,2023-03-29,0.50000,0.51000,0.47000,0.48500,30800
9,2023-03-28,0.46000,0.51700,0.45300,0.47900,86000
10,2023-03-27,0.49300,0.51700,0.44600,0.48300,171200
11,2023-03-24,0.49800,0.52200,0.46800,0.48800,142600
12,2023-03-23,0.52000,0.54400,0.49800,0.50500,62800
13,2023-03-22,0.55000,0.55000,0.53000,0.53800,19600
14,2023-03-21,0.52000,0.54400,0.52000,0.52600,25100
15,2023-03-20,0.52000,0.54400,0.52000,0.52000,44400
16,2023-03-17,0.56100,0.58100,0.53500,0.54400,44100
17,2023-03-16,0.56500,0.60000,0.56000,0.56100,14800
18,2023-03-15,0.59000,0.59000,0.56000,0.56100,44500
19,2023-03-14,0.56600,0.60000,0.56000,0.57500,75400
20,2023-03-13,0.57000,0.57000,0.55600,0.56300,66800
21,2023-03-10,0.58000,0.59000,0.55100,0.56800,131100
22,2023-03-09,0.58000,0.60000,0.58000,0.58000,131100
23,2023-03-08,0.59000,0.61000,0.58000,0.59700,64200
24,2023-03-07,0.60000,0.61000,0.57000,0.59700,180500
25,2023-03-06,0.56500,0.60100,0.56500,0.59400,59500
26,2023-03-03,0.59700,0.60300,0.56500,0.57000,84900
27,2023-03-02,0.60000,0.60000,0.56700,0.57700,77700
28,2023-03-01,0.57300,0.62400,0.55500,0.57200,118800
29,2023-02-28,0.61000,0.61000,0.56800,0.58000,62700
30,2023-02-27,0.57000,0.61200,0.57000,0.58000,30200
31,2023-02-24,0.57700,0.57700,0.55600,0.55600,58800
