,datetime,open,high,low,close,volume
0,2023-04-11,1.04000,1.04000,0.98000,1.02000,65100
1,2023-04-10,1.01000,1.05000,0.95000,1.01000,72900
2,2023-04-06,0.92000,1.02000,0.91000,1.01000,97600
3,2023-04-05,0.82000,0.93000,0.77000,0.93000,228800
4,2023-04-04,1.02000,1.05000,0.68000,0.80000,516600
5,2023-04-03,1.06000,1.09000,1.00000,1.01000,126000
6,2023-03-31,1.08000,1.10000,0.97000,1.09000,181900
7,2023-03-30,1.06000,1.13000,0.89000,1.05000,263600
8,2023-03-29,1.15000,1.15000,1.02000,1.10000,366300
9,2023-03-28,0.91000,1.07000,0.86000,1.07000,291100
10,2023-03-27,0.86000,0.91000,0.82000,0.86000,77500
11,2023-03-24,0.83000,0.88000,0.75000,0.84000,81100
12,2023-03-23,0.78000,0.87000,0.78000,0.83000,43700
13,2023-03-22,0.94000,0.94000,0.73000,0.77000,168400
14,2023-03-21,0.82000,0.93000,0.81000,0.90000,209700
15,2023-03-20,0.70000,0.85000,0.70000,0.81000,274900
16,2023-03-17,0.58000,0.70000,0.58000,0.67000,253300
17,2023-03-16,0.55000,0.59000,0.52000,0.55000,46200
18,2023-03-15,0.58000,0.58000,0.55000,0.57000,9100
19,2023-03-14,0.57000,0.58000,0.57000,0.57000,5700
20,2023-03-13,0.59000,0.60000,0.54000,0.57000,41400
21,2023-03-10,0.60000,0.62000,0.53000,0.58000,46600
22,2023-03-09,0.61000,0.63000,0.59000,0.63000,45800
23,2023-03-08,0.61000,0.67000,0.60000,0.62000,129500
24,2023-03-07,0.57000,0.60000,0.57000,0.59000,68100
25,2023-03-06,0.53000,0.61000,0.53000,0.60000,76800
26,2023-03-03,0.56000,0.56000,0.53000,0.55000,80800
27,2023-03-02,0.52000,0.56000,0.52000,0.56000,8000
28,2023-03-01,0.53000,0.56000,0.51000,0.51000,29200
29,2023-02-28,0.55000,0.56000,0.51000,0.56000,5800
30,2023-02-27,0.56000,0.61000,0.50000,0.56000,64700
31,2023-02-24,0.53000,0.56000,0.53000,0.56000,37700
32,2023-02-23,0.55000,0.56000,0.54000,0.54000,32000
33,2023-02-22,0.56000,0.57000,0.55000,0.55000,25500
34,2023-02-21,0.56000,0.58000,0.53000,0.56000,98800
35,2023-02-17,0.56000,0.58000,0.56000,0.58000,11600
36,2023-02-16,0.55000,0.58000,0.55000,0.57000,25600
37,2023-02-15,0.57000,0.58000,0.56000,0.58000,24800
38,2023-02-14,0.56000,0.57000,0.55000,0.57000,35100
39,2023-02-13,0.55000,0.57000,0.55000,0.57000,46500
40,2023-02-10,0.56000,0.58000,0.55000,0.56000,34600
41,2023-02-09,0.61000,0.63000,0.55000,0.60000,85300
42,2023-02-08,0.60000,0.63000,0.60000,0.60000,20100
43,2023-02-07,0.61000,0.62000,0.60000,0.62000,17300
44,2023-02-06,0.61000,0.63000,0.60000,0.61000,39100
45,2023-02-03,0.65000,0.65000,0.60000,0.60000,65800
46,2023-02-02,0.62000,0.64000,0.61000,0.64000,31900
47,2023-02-01,0.60000,0.65000,0.60000,0.63000,22000
48,2023-01-31,0.64000,0.65000,0.60000,0.65000,34100
49,2023-01-30,0.61000,0.66000,0.61000,0.63000,67400
50,2023-01-27,0.61000,0.65000,0.60000,0.65000,45300
51,2023-01-26,0.69000,0.69000,0.61000,0.65000,55700
52,2023-01-25,0.67000,0.67000,0.57000,0.65000,44100
53,2023-01-24,0.64000,0.66000,0.60000,0.66000,70200
54,2023-01-23,0.60000,0.66000,0.57000,0.66000,62700
55,2023-01-20,0.58000,0.63000,0.58000,0.63000,12600
56,2023-01-19,0.60000,0.63000,0.59000,0.63000,16800
57,2023-01-18,0.60000,0.63000,0.60000,0.63000,33100
58,2023-01-17,0.65000,0.67000,0.60000,0.63000,39900
59,2023-01-13,0.63000,0.67000,0.63000,0.67000,29500
60,2023-01-12,0.59000,0.67000,0.59000,0.66000,59900
61,2023-01-11,0.59000,0.64000,0.59000,0.61000,33400
62,2023-01-10,0.61000,0.65000,0.58000,0.61000,26400
63,2023-01-09,0.66000,0.66000,0.57000,0.59000,112500
64,2023-01-06,0.59000,0.65000,0.59000,0.63000,96000
65,2023-01-05,0.60000,0.64000,0.60000,0.62000,44000
66,2023-01-04,0.61000,0.65000,0.60000,0.63000,78300
67,2023-01-03,0.58000,0.61000,0.58000,0.58000,89100
68,2022-12-30,0.55000,0.61000,0.54000,0.60000,48900
69,2022-12-29,0.54000,0.58000,0.54000,0.57000,69000
70,2022-12-28,0.61000,0.61000,0.53000,0.57000,73500
71,2022-12-27,0.57000,0.60000,0.54000,0.56000,130400
72,2022-12-23,0.61000,0.61000,0.58000,0.60000,53100
73,2022-12-22,0.60000,0.62000,0.58000,0.60000,25800
74,2022-12-21,0.56000,0.63000,0.56000,0.62000,96300
75,2022-12-20,0.60000,0.60000,0.56000,0.59000,60300
76,2022-12-19,0.57000,0.61000,0.57000,0.59000,47100
77,2022-12-16,0.58000,0.61000,0.57000,0.60000,61000
78,2022-12-15,0.57000,0.57000,0.56000,0.57000,43800
79,2022-12-14,0.58000,0.59000,0.54000,0.56000,65800
80,2022-12-13,0.59000,0.60000,0.58000,0.58000,45100
81,2022-12-12,0.56000,0.62000,0.55000,0.59000,66700
82,2022-12-09,0.58000,0.64000,0.58000,0.61000,25300
83,2022-12-08,0.60000,0.61000,0.59000,0.60000,26000
84,2022-12-07,0.65000,0.65000,0.60000,0.61000,24000
85,2022-12-06,0.64000,0.64000,0.61000,0.61000,27200
86,2022-12-05,0.62000,0.64000,0.61000,0.64000,19000
87,2022-12-02,0.60000,0.64000,0.57000,0.64000,47900
88,2022-12-01,0.64000,0.64000,0.56000,0.64000,94300
89,2022-11-30,0.60000,0.66000,0.59000,0.66000,49000
90,2022-11-29,0.66000,0.66000,0.61000,0.65000,15000
91,2022-11-28,0.67000,0.67000,0.59000,0.64000,48000
92,2022-11-25,0.60000,0.66000,0.60000,0.63000,24900
93,2022-11-23,0.61000,0.68000,0.59000,0.65000,42000
94,2022-11-22,0.62000,0.65000,0.62000,0.64000,12900
95,2022-11-21,0.62000,0.67000,0.57000,0.62000,80600
96,2022-11-18,0.65000,0.66000,0.62000,0.65000,66300
97,2022-11-17,0.62000,0.67000,0.62000,0.63000,43800
98,2022-11-16,0.64000,0.68000,0.64000,0.68000,21400
99,2022-11-15,0.63000,0.68000,0.63000,0.66000,91300
100,2022-11-14,0.63000,0.71000,0.63000,0.66000,38400
101,2022-11-11,0.66000,0.72000,0.65000,0.69000,52400
102,2022-11-10,0.64000,0.73000,0.63000,0.69000,109600
103,2022-11-09,0.67000,0.67000,0.62000,0.62000,33400
104,2022-11-08,0.63000,0.68000,0.63000,0.66000,37300
105,2022-11-07,0.67000,0.69000,0.65000,0.66000,81700
106,2022-11-04,0.65000,0.69000,0.60000,0.68000,53800
107,2022-11-03,0.69000,0.69000,0.60000,0.67000,66600
108,2022-11-02,0.68000,0.69000,0.61000,0.69000,97700
109,2022-11-01,0.71000,0.71000,0.60000,0.69000,45100
110,2022-10-31,0.70000,0.71000,0.69000,0.70000,44200
111,2022-10-28,0.72000,0.72000,0.63000,0.70000,97400
112,2022-10-27,0.72000,0.72000,0.70000,0.71000,41400
113,2022-10-26,0.74000,0.74000,0.70000,0.72000,21100
114,2022-10-25,0.74000,0.74000,0.70000,0.73000,30700
115,2022-10-24,0.73000,0.73000,0.68000,0.72000,34300
116,2022-10-21,0.74000,0.74000,0.68000,0.72000,82600
117,2022-10-20,0.75000,0.75000,0.67000,0.73000,51500
118,2022-10-19,0.70000,0.75000,0.67000,0.73000,61400
119,2022-10-18,0.70000,0.75000,0.67000,0.72000,73300
120,2022-10-17,0.71000,0.73000,0.69000,0.71000,49400
121,2022-10-14,0.73000,0.74000,0.71000,0.74000,21300
122,2022-10-13,0.76000,0.78000,0.72000,0.75000,22300
123,2022-10-12,0.74000,0.78000,0.71000,0.73000,39200
124,2022-10-11,0.73000,0.76000,0.72000,0.74000,12700
125,2022-10-10,0.71000,0.78000,0.71000,0.76000,36900
126,2022-10-07,0.76000,0.78000,0.71000,0.78000,24000
127,2022-10-06,0.78000,0.78000,0.73000,0.76000,16500
128,2022-10-05,0.78000,0.78000,0.73000,0.75000,13800
129,2022-10-04,0.75000,0.79000,0.75000,0.78000,9900
130,2022-10-03,0.74000,0.78000,0.74000,0.74000,40200
131,2022-09-30,0.76000,0.78000,0.74000,0.78000,39600
132,2022-09-29,0.77000,0.78000,0.75000,0.78000,19600
133,2022-09-28,0.74000,0.79000,0.73000,0.77000,90400
134,2022-09-27,0.78000,0.79000,0.72000,0.74000,35400
135,2022-09-26,0.78000,0.80000,0.73000,0.78000,29500
136,2022-09-23,0.84000,0.84000,0.76000,0.78000,69500
137,2022-09-22,0.76000,0.85000,0.75000,0.81000,140500
138,2022-09-21,0.70000,0.80000,0.70000,0.78000,127200
139,2022-09-20,0.72000,0.72000,0.62000,0.71000,66500
140,2022-09-19,0.62000,0.72000,0.62000,0.69000,341600
141,2022-09-16,0.83000,0.83000,0.55000,0.55000,153600
142,2022-09-15,0.83000,0.83000,0.75000,0.83000,50700
143,2022-09-14,0.76000,0.80000,0.75000,0.80000,44900
144,2022-09-13,0.79000,0.80000,0.75000,0.78000,38900
145,2022-09-12,0.79000,0.83000,0.79000,0.80000,8100
146,2022-09-09,0.83000,0.83000,0.78000,0.79000,42300
147,2022-09-08,0.76000,0.77000,0.76000,0.76000,108800
148,2022-09-07,0.73000,0.75000,0.71000,0.75000,43400
149,2022-09-06,0.71000,0.73000,0.71000,0.73000,36200
150,2022-09-02,0.75000,0.75000,0.73000,0.73000,24500
151,2022-09-01,0.74000,0.75000,0.74000,0.74000,18500
152,2022-08-31,0.74000,0.77000,0.73000,0.76000,34100
153,2022-08-30,0.74000,0.74000,0.73000,0.74000,29200
154,2022-08-29,0.77000,0.77000,0.73000,0.74000,31900
155,2022-08-26,0.90000,0.91000,0.73000,0.75000,72900
156,2022-08-25,0.78000,0.82000,0.75000,0.82000,74500
157,2022-08-24,0.75000,0.77000,0.71000,0.77000,128900
158,2022-08-23,0.69000,0.74000,0.69000,0.72000,32100
159,2022-08-22,0.73000,0.75000,0.71000,0.71000,43000
160,2022-08-19,0.71000,0.76000,0.71000,0.76000,75200
161,2022-08-18,0.72000,0.75000,0.70000,0.73000,49500
162,2022-08-17,0.76000,0.77000,0.73000,0.73000,60000
163,2022-08-16,0.75000,0.75000,0.71000,0.74000,66600
164,2022-08-15,0.70000,0.75000,0.69000,0.75000,49200
165,2022-08-12,0.72000,0.74000,0.67000,0.67000,85300
166,2022-08-11,0.70000,0.75000,0.70000,0.72000,23300
167,2022-08-10,0.72000,0.74000,0.67000,0.71000,46900
168,2022-08-09,0.73000,0.76000,0.71000,0.73000,7600
169,2022-08-08,0.77000,0.78000,0.71000,0.73000,20600
170,2022-08-05,0.71000,0.78000,0.71000,0.76000,30800
171,2022-08-04,0.75000,0.78000,0.71000,0.78000,30000
172,2022-08-03,0.73000,0.75000,0.73000,0.73000,12000
173,2022-08-02,0.75000,0.75000,0.72000,0.72000,24400
174,2022-08-01,0.72000,0.75000,0.70000,0.75000,28300
175,2022-07-29,0.75000,0.75000,0.70000,0.73000,45100
176,2022-07-28,0.73000,0.77000,0.73000,0.76000,4900
177,2022-07-27,0.73000,0.79000,0.73000,0.74000,32900
178,2022-07-26,0.73000,0.77000,0.73000,0.73000,3200
179,2022-07-25,0.74000,0.79000,0.73000,0.73000,22400
180,2022-07-22,0.78000,0.78000,0.75000,0.76000,18200
181,2022-07-21,0.76000,0.79000,0.74000,0.76000,28900
182,2022-07-20,0.71000,0.77000,0.71000,0.72000,50300
183,2022-07-19,0.78000,0.79000,0.71000,0.77000,39100
184,2022-07-18,0.71000,0.78000,0.71000,0.77000,70800
185,2022-07-15,0.70000,0.77000,0.70000,0.74000,105300
186,2022-07-14,0.76000,0.83000,0.66000,0.69000,77900
187,2022-07-13,0.80000,0.87000,0.78000,0.78000,32600
188,2022-07-12,0.88000,0.88000,0.82000,0.82000,65900
189,2022-07-11,0.79000,0.85000,0.76000,0.83000,59300
190,2022-07-08,0.82000,0.85000,0.80000,0.83000,50900
191,2022-07-07,0.79000,0.82000,0.76000,0.82000,63500
192,2022-07-06,0.80000,0.81000,0.76000,0.81000,80200
193,2022-07-05,0.69000,0.80000,0.69000,0.80000,59300
194,2022-07-01,0.72000,0.77000,0.69000,0.71000,43900
195,2022-06-30,0.73000,0.76000,0.71000,0.75000,49000
196,2022-06-29,0.77000,0.81000,0.67000,0.75000,124900
197,2022-06-28,0.78000,0.81000,0.76000,0.77000,81100
198,2022-06-27,0.78000,0.84000,0.78000,0.82000,32400
199,2022-06-24,0.80000,0.87000,0.79000,0.82000,25400
200,2022-06-23,0.81000,0.84000,0.80000,0.83000,12400
201,2022-06-22,0.81000,0.85000,0.80000,0.83000,46100
202,2022-06-21,0.79000,0.85000,0.79000,0.85000,47200
203,2022-06-17,0.81000,0.83000,0.79000,0.80000,39600
204,2022-06-16,0.79000,0.84000,0.77000,0.83000,35400
205,2022-06-15,0.81000,0.82000,0.80000,0.82000,46800
206,2022-06-14,0.78000,0.91000,0.76000,0.81000,196800
207,2022-06-13,0.83000,0.83000,0.70000,0.78000,108200
208,2022-06-10,0.81000,0.83000,0.76000,0.76000,74800
209,2022-06-09,0.84000,0.94000,0.79000,0.81000,220400
210,2022-06-08,0.82000,0.84000,0.75000,0.79000,266600
211,2022-06-07,0.80000,0.83000,0.70000,0.73000,60600
212,2022-06-06,0.84000,0.87000,0.70000,0.81000,117100
213,2022-06-03,0.82000,0.91000,0.76000,0.78000,98300
214,2022-06-02,0.70000,0.80000,0.65000,0.79000,91800
215,2022-06-01,0.70000,0.78000,0.68000,0.72000,370700
216,2022-05-31,0.66000,0.67000,0.60000,0.66000,200600
217,2022-05-27,0.70000,0.72000,0.66000,0.66000,108400
218,2022-05-26,0.74000,0.74000,0.66000,0.67000,55100
219,2022-05-25,0.67000,0.72000,0.67000,0.71000,33700
220,2022-05-24,0.75000,0.75000,0.67000,0.68000,132500
221,2022-05-23,0.89000,0.91000,0.70000,0.71000,224200
222,2022-05-20,0.86000,0.89000,0.80000,0.86000,45300
223,2022-05-19,0.86000,0.91000,0.81000,0.90000,30600
224,2022-05-18,0.81000,0.91000,0.81000,0.85000,15400
225,2022-05-17,0.83000,0.95000,0.83000,0.90000,21400
226,2022-05-16,0.83000,0.89000,0.81000,0.86000,49100
227,2022-05-13,0.74000,0.80000,0.74000,0.78000,41100
228,2022-05-12,0.71000,0.79000,0.71000,0.75000,83000
229,2022-05-11,0.79000,0.80000,0.71000,0.73000,117300
230,2022-05-10,0.81000,0.86000,0.79000,0.81000,63800
231,2022-05-09,0.89000,0.89000,0.80000,0.81000,75600
232,2022-05-06,0.88000,0.95000,0.86000,0.86000,80100
233,2022-05-05,0.89000,0.95000,0.86000,0.91000,35400
234,2022-05-04,0.92000,0.95000,0.87000,0.92000,54700
235,2022-05-03,0.99000,1.04000,0.91000,0.91000,102400
236,2022-05-02,1.02000,1.04000,0.96000,1.02000,66900
237,2022-04-29,1.00000,1.05000,1.00000,1.02000,59600
238,2022-04-28,0.98000,1.04000,0.98000,1.04000,48000
239,2022-04-27,0.94000,1.04000,0.92000,0.99000,140000
240,2022-04-26,0.88000,0.98000,0.88000,0.96000,98500
241,2022-04-25,0.99000,0.99000,0.85000,0.90000,84900
242,2022-04-22,0.93000,1.00000,0.88000,1.00000,63400
243,2022-04-21,0.88000,0.95000,0.85000,0.95000,54800
244,2022-04-20,0.97000,1.00000,0.87000,0.87000,108800
245,2022-04-19,0.91000,0.99000,0.86000,0.94000,99900
246,2022-04-18,0.94000,0.95000,0.86000,0.86000,166200
247,2022-04-14,1.00000,1.00000,0.95000,0.95000,84900
248,2022-04-13,0.99000,1.00000,0.96000,0.97000,56700
249,2022-04-12,1.00000,1.00000,0.92000,0.97000,160100
250,2022-04-11,1.02000,1.04000,0.98000,0.98000,289600
251,2022-04-08,1.04000,1.06000,1.00000,1.03000,65600
252,2022-04-07,1.05000,1.06000,1.00000,1.06000,74200
253,2022-04-06,1.04000,1.04000,1.00000,1.03000,95900
254,2022-04-05,1.05000,1.09000,1.00000,1.05000,163800
255,2022-04-04,1.09000,1.09000,0.97000,1.04000,86200
256,2022-04-01,1.01000,1.07000,1.01000,1.05000,42500
257,2022-03-31,1.04000,1.06000,1.01000,1.05000,36000
258,2022-03-30,1.06000,1.09000,1.04000,1.09000,57200
259,2022-03-29,1.04000,1.08000,1.03000,1.07000,57100
260,2022-03-28,1.15000,1.15000,1.04000,1.07000,163500
