,datetime,open,high,low,close,volume
0,2023-04-11,17.65000,18.07000,17.62000,17.87000,383500
1,2023-04-10,17.85000,17.97000,17.45000,17.66000,286300
2,2023-04-06,18.27000,18.40000,17.60000,17.76000,281600
3,2023-04-05,17.59000,18.41000,17.22000,18.31000,389500
4,2023-04-04,17.99000,18.02000,17.17000,17.62000,685100
5,2023-04-03,18.90000,19.02000,17.64000,18.09000,604700
6,2023-03-31,19.24000,19.61000,19.22000,19.43000,210400
7,2023-03-30,19.41000,19.48000,18.81000,19.15000,225000
8,2023-03-29,20.30000,20.30000,19.25000,19.40000,256400
9,2023-03-28,19.67000,20.27000,19.62000,20.07000,523900
10,2023-03-27,19.48000,19.50000,18.84000,19.29000,290500
11,2023-03-24,18.76000,19.61000,18.50000,19.30000,476600
12,2023-03-23,20.00000,20.82000,18.94000,19.05000,609400
13,2023-03-22,20.28000,20.58000,19.75000,19.96000,292900
14,2023-03-21,19.70000,20.55000,19.40000,20.25000,507900
15,2023-03-20,17.89000,19.53000,17.89000,19.15000,616900
16,2023-03-17,18.05000,18.55000,17.74000,17.85000,858700
17,2023-03-16,21.73000,21.73000,17.57000,17.97000,1751600
18,2023-03-15,22.14000,22.58000,21.13000,21.80000,624400
19,2023-03-14,22.60000,23.70000,22.45000,23.00000,555800
20,2023-03-13,22.42000,22.97000,21.49000,22.30000,401700
21,2023-03-10,23.28000,24.00000,22.78000,23.11000,383500
22,2023-03-09,24.50000,24.78000,23.18000,23.22000,362300
23,2023-03-08,23.99000,24.69000,23.63000,24.42000,426700
24,2023-03-07,23.58000,24.11000,23.21000,23.85000,256900
25,2023-03-06,24.50000,24.51000,23.35000,23.58000,471600
26,2023-03-03,23.85000,24.53000,23.62000,24.51000,329600
27,2023-03-02,23.70000,23.91000,23.21000,23.77000,375700
28,2023-03-01,24.02000,24.29000,23.57000,23.79000,275700
29,2023-02-28,24.11000,24.26000,23.48000,23.78000,699400
30,2023-02-27,22.82000,24.31000,22.69000,24.11000,1019400
31,2023-02-24,21.56000,22.39000,21.27000,22.14000,425600
32,2023-02-23,20.60000,21.89000,20.60000,21.56000,526300
33,2023-02-22,20.70000,20.78000,20.18000,20.40000,234800
34,2023-02-21,20.86000,21.41000,20.79000,20.89000,259100
35,2023-02-17,21.35000,21.40000,20.69000,20.86000,258300
36,2023-02-16,20.92000,21.63000,20.67000,21.42000,408200
37,2023-02-15,21.09000,21.29000,20.58000,21.19000,299100
38,2023-02-14,20.45000,21.43000,20.28000,21.25000,451800
39,2023-02-13,19.59000,20.83000,19.59000,20.58000,484200
40,2023-02-10,19.75000,20.02000,19.06000,19.51000,208900
41,2023-02-09,18.82000,19.82000,18.82000,19.62000,441800
42,2023-02-08,19.07000,19.43000,18.74000,18.75000,252300
43,2023-02-07,18.34000,19.39000,18.17000,19.07000,512100
44,2023-02-06,17.67000,18.33000,17.63000,18.25000,501800
45,2023-02-03,17.24000,18.00000,17.24000,17.56000,333100
46,2023-02-02,17.86000,18.00000,17.04000,17.22000,315400
47,2023-02-01,17.20000,17.99000,17.20000,17.80000,327700
48,2023-01-31,16.48000,17.26000,16.41000,17.17000,177300
49,2023-01-30,16.91000,17.26000,16.54000,16.54000,332400
50,2023-01-27,16.52000,17.10000,16.48000,17.00000,305500
51,2023-01-26,16.85000,16.90000,16.34000,16.69000,228200
52,2023-01-25,17.13000,17.13000,16.42000,16.77000,385300
53,2023-01-24,17.38000,17.77000,17.16000,17.31000,260300
54,2023-01-23,18.10000,18.19000,17.18000,17.38000,399400
55,2023-01-20,18.28000,18.40000,18.00000,18.20000,375800
56,2023-01-19,17.86000,18.15000,17.58000,18.14000,230600
57,2023-01-18,18.46000,18.80000,17.88000,17.93000,354600
58,2023-01-17,17.90000,19.00000,17.90000,18.33000,507000
59,2023-01-13,17.37000,17.88000,17.27000,17.74000,388900
60,2023-01-12,16.32000,17.39000,16.32000,17.37000,437800
61,2023-01-11,16.74000,17.00000,16.23000,16.32000,242600
62,2023-01-10,15.87000,16.74000,15.83000,16.63000,351900
63,2023-01-09,15.79000,16.10000,15.58000,15.84000,266100
64,2023-01-06,15.63000,16.18000,15.38000,15.71000,339500
65,2023-01-05,15.29000,16.01000,15.29000,15.52000,340700
66,2023-01-04,15.58000,15.82000,15.00000,15.35000,669200
67,2023-01-03,16.91000,16.92000,15.68000,15.77000,549200
68,2022-12-30,16.70000,16.93000,16.43000,16.93000,186300
69,2022-12-29,16.63000,16.95000,16.54000,16.83000,401700
70,2022-12-28,17.30000,17.32000,16.44000,16.65000,347200
71,2022-12-27,16.91000,17.40000,16.84000,17.32000,409400
72,2022-12-23,16.47000,16.95000,16.33000,16.84000,465200
73,2022-12-22,16.68000,16.68000,16.01000,16.33000,337100
74,2022-12-21,16.85000,16.90000,16.56000,16.68000,227400
75,2022-12-20,16.73000,16.98000,16.57000,16.83000,208800
76,2022-12-19,16.96000,16.98000,16.50000,16.69000,228400
77,2022-12-16,17.07000,17.12000,16.66000,16.86000,381800
78,2022-12-15,17.20000,17.44000,17.00000,17.16000,322400
79,2022-12-14,17.38000,17.52000,17.07000,17.14000,222300
80,2022-12-13,17.60000,17.60000,17.14000,17.32000,245900
81,2022-12-12,17.16000,17.50000,17.01000,17.44000,544200
82,2022-12-09,17.07000,17.39000,16.90000,17.04000,219400
83,2022-12-08,17.02000,17.27000,16.84000,17.05000,281900
84,2022-12-07,17.42000,17.42000,16.62000,16.92000,409500
85,2022-12-06,17.99000,18.31000,17.39000,17.52000,274500
86,2022-12-05,19.27000,19.39000,17.89000,17.91000,337900
87,2022-12-02,18.16000,18.94000,18.01000,18.92000,278300
88,2022-12-01,18.77000,19.16000,18.25000,18.25000,254400
89,2022-11-30,19.46000,19.62000,18.36000,18.73000,580700
90,2022-11-29,18.08000,19.21000,17.66000,19.13000,759900
91,2022-11-28,17.82000,18.02000,17.07000,17.55000,605000
92,2022-11-25,16.93000,18.18000,16.72000,18.09000,293800
93,2022-11-23,17.81000,17.81000,16.06000,17.19000,1000400
94,2022-11-22,19.18000,19.70000,17.69000,17.72000,1445700
95,2022-11-21,19.48000,20.20000,19.19000,20.09000,682800
96,2022-11-18,19.24000,19.64000,18.78000,19.43000,359600
97,2022-11-17,18.29000,19.46000,18.14000,19.46000,295500
98,2022-11-16,18.70000,19.25000,18.34000,18.52000,241100
99,2022-11-15,17.95000,18.59000,17.65000,18.49000,250100
100,2022-11-14,18.30000,18.72000,17.81000,17.83000,283600
101,2022-11-11,17.60000,18.10000,17.10000,17.99000,424600
102,2022-11-10,18.53000,18.53000,16.56000,17.47000,434100
103,2022-11-09,17.85000,18.96000,17.84000,18.08000,403800
104,2022-11-08,18.62000,18.84000,17.82000,18.00000,575800
105,2022-11-07,19.22000,19.49000,18.59000,18.70000,246900
106,2022-11-04,19.40000,19.85000,18.69000,18.85000,526800
107,2022-11-03,17.72000,18.99000,17.60000,18.86000,452700
108,2022-11-02,17.58000,18.55000,17.58000,17.76000,576700
109,2022-11-01,17.75000,18.09000,17.42000,17.58000,357600
110,2022-10-31,17.00000,17.55000,16.88000,17.30000,272000
111,2022-10-28,17.31000,17.46000,16.93000,17.11000,188200
112,2022-10-27,17.91000,17.94000,17.13000,17.23000,325800
113,2022-10-26,17.55000,18.04000,17.50000,17.82000,236000
114,2022-10-25,17.47000,17.89000,17.03000,17.51000,542100
115,2022-10-24,17.90000,18.25000,17.20000,17.54000,554400
116,2022-10-21,18.06000,18.34000,17.56000,17.92000,213700
117,2022-10-20,18.47000,18.70000,17.86000,18.00000,288100
118,2022-10-19,18.70000,19.13000,18.28000,18.69000,306200
119,2022-10-18,18.80000,19.10000,18.51000,18.74000,336500
120,2022-10-17,18.03000,18.58000,17.70000,18.52000,345500
121,2022-10-14,17.37000,17.70000,16.95000,17.60000,236200
122,2022-10-13,16.68000,17.46000,16.35000,17.19000,347200
123,2022-10-12,15.62000,16.79000,15.21000,16.62000,726500
124,2022-10-11,15.16000,15.82000,14.88000,15.69000,186100
125,2022-10-10,16.07000,16.40000,15.56000,15.63000,259900
126,2022-10-07,15.65000,16.32000,15.59000,15.98000,261200
127,2022-10-06,14.80000,15.81000,14.80000,15.65000,161800
128,2022-10-05,15.03000,15.46000,14.36000,15.18000,443700
129,2022-10-04,15.74000,15.89000,15.22000,15.29000,239200
130,2022-10-03,15.66000,15.86000,15.37000,15.43000,212300
131,2022-09-30,15.18000,15.90000,15.18000,15.27000,218200
132,2022-09-29,16.25000,16.25000,15.05000,15.32000,348300
133,2022-09-28,16.75000,16.75000,16.18000,16.46000,239400
134,2022-09-27,16.87000,17.09000,16.37000,16.51000,260800
135,2022-09-26,16.30000,17.00000,15.95000,16.56000,304500
136,2022-09-23,17.84000,17.93000,16.11000,16.49000,682100
137,2022-09-22,18.66000,18.99000,18.04000,18.46000,322400
138,2022-09-21,18.66000,19.20000,18.23000,18.38000,326000
139,2022-09-20,18.98000,18.99000,18.10000,18.45000,414600
140,2022-09-19,17.43000,18.99000,17.17000,18.94000,1112900
141,2022-09-16,18.26000,18.42000,17.52000,17.90000,349200
142,2022-09-15,17.87000,18.81000,17.50000,18.51000,301300
143,2022-09-14,18.52000,18.85000,17.40000,17.87000,573300
144,2022-09-13,17.93000,18.73000,17.85000,18.61000,408300
145,2022-09-12,18.16000,18.80000,17.96000,18.31000,517100
146,2022-09-09,16.25000,18.14000,16.20000,17.84000,869100
147,2022-09-08,15.94000,16.16000,15.75000,16.08000,244800
148,2022-09-07,15.87000,16.10000,15.59000,15.88000,216000
149,2022-09-06,16.21000,16.66000,15.84000,16.05000,1032200
150,2022-09-02,15.27000,15.47000,14.76000,15.40000,223700
151,2022-09-01,15.20000,15.20000,14.63000,14.76000,214600
152,2022-08-31,14.50000,15.50000,14.36000,15.43000,317600
153,2022-08-30,15.61000,15.61000,14.51000,14.70000,309300
154,2022-08-29,14.90000,15.91000,14.82000,15.80000,335900
155,2022-08-26,15.04000,15.26000,14.46000,15.00000,367300
156,2022-08-25,16.05000,16.48000,15.02000,15.33000,236700
157,2022-08-24,15.52000,15.94000,15.52000,15.73000,158700
158,2022-08-23,16.37000,16.47000,15.29000,15.53000,256000
159,2022-08-22,15.03000,16.48000,14.86000,15.94000,619700
160,2022-08-19,15.58000,15.60000,14.81000,14.98000,207300
161,2022-08-18,15.14000,15.75000,15.10000,15.56000,302100
162,2022-08-17,14.50000,15.26000,14.31000,14.97000,300300
163,2022-08-16,14.50000,14.85000,14.19000,14.29000,201600
164,2022-08-15,13.70000,14.30000,13.46000,14.26000,175400
165,2022-08-12,14.47000,14.47000,13.89000,14.07000,188000
166,2022-08-11,13.99000,15.34000,13.64000,14.25000,608900
