,datetime,open,high,low,close,volume
0,2023-04-11,5.83000,5.86000,5.65000,5.67000,389200
1,2023-04-10,5.75000,5.86000,5.62000,5.80000,306100
2,2023-04-06,5.76000,5.93000,5.63000,5.75000,398100
3,2023-04-05,5.80000,5.90000,5.55000,5.71000,624600
4,2023-04-04,6.18000,6.18000,5.75000,5.88000,416600
5,2023-04-03,6.20000,6.25000,5.95000,6.12000,328300
6,2023-03-31,6.00000,6.20000,6.00000,6.17000,351300
7,2023-03-30,6.02000,6.14000,5.90000,5.95000,252400
8,2023-03-29,5.96000,5.99000,5.77000,5.97000,331400
9,2023-03-28,6.08000,6.14000,5.82000,5.87000,334500
10,2023-03-27,6.06000,6.17000,5.96000,6.10000,268400
11,2023-03-24,5.76000,5.96000,5.64000,5.90000,410300
12,2023-03-23,6.22000,6.32000,5.83000,5.87000,342400
13,2023-03-22,6.58000,6.66000,6.21000,6.22000,319400
14,2023-03-21,6.51000,6.78000,6.50000,6.55000,337100
15,2023-03-20,6.14000,6.54000,6.14000,6.32000,591600
16,2023-03-17,5.99000,6.19000,5.67000,6.13000,1375500
17,2023-03-16,6.89000,6.99000,5.46000,6.16000,996500
18,2023-03-15,7.18000,7.32000,6.89000,7.17000,393200
19,2023-03-14,7.50000,7.65000,7.39000,7.45000,365300
20,2023-03-13,7.55000,7.65000,7.10000,7.20000,325700
21,2023-03-10,8.38000,8.48000,7.67000,7.75000,413600
22,2023-03-09,8.69000,8.80000,8.42000,8.43000,244400
23,2023-03-08,8.73000,8.77000,8.50000,8.66000,226800
24,2023-03-07,8.64000,8.91000,8.58000,8.70000,245600
25,2023-03-06,8.84000,8.87000,8.48000,8.62000,368700
26,2023-03-03,8.75000,8.97000,8.66000,8.83000,200200
27,2023-03-02,8.30000,8.74000,8.26000,8.69000,218300
28,2023-03-01,8.11000,8.44000,8.09000,8.37000,226500
29,2023-02-28,8.26000,8.33000,8.10000,8.11000,242800
30,2023-02-27,8.58000,8.64000,8.24000,8.32000,213000
31,2023-02-24,8.50000,8.73000,8.40000,8.50000,148400
32,2023-02-23,8.54000,8.94000,8.54000,8.70000,195800
33,2023-02-22,8.44000,8.65000,8.43000,8.48000,159400
34,2023-02-21,8.83000,8.85000,8.46000,8.47000,213100
35,2023-02-17,8.87000,9.12000,8.84000,8.97000,179900
36,2023-02-16,8.66000,8.89000,8.64000,8.80000,238500
37,2023-02-15,8.50000,8.84000,8.49000,8.80000,119900
38,2023-02-14,8.48000,8.71000,8.47000,8.63000,159100
