,datetime,open,high,low,close,volume
0,2023-04-11,84.07000,85.19000,83.24000,83.39000,32600
1,2023-04-10,80.19000,84.02000,80.19000,84.00000,29700
2,2023-04-06,81.95000,82.06000,80.40000,81.57000,33500
3,2023-04-05,84.00000,84.12000,80.68000,81.60000,36000
4,2023-04-04,90.11000,90.56000,83.93000,83.93000,51600
5,2023-04-03,89.65000,90.19000,87.50000,90.14000,51500
6,2023-03-31,88.54000,89.80000,87.50000,89.39000,52000
7,2023-03-30,89.54000,89.97000,87.05000,88.00000,51600
8,2023-03-29,90.09000,90.25000,88.61000,89.30000,42900
9,2023-03-28,88.44000,89.73000,87.67000,89.32000,43600
10,2023-03-27,86.90000,89.17000,86.83000,88.27000,24100
11,2023-03-24,86.42000,87.40000,85.68000,86.79000,59300
12,2023-03-23,86.95000,88.04000,86.35000,87.30000,40300
13,2023-03-22,87.32000,88.95000,86.55000,86.80000,84100
14,2023-03-21,88.08000,89.33000,85.84000,87.44000,61200
15,2023-03-20,85.32000,87.70000,85.00000,86.55000,32500
16,2023-03-17,86.00000,87.83000,84.53000,85.39000,85400
17,2023-03-16,83.84000,87.90000,83.00000,86.79000,55600
18,2023-03-15,86.77000,87.90000,81.47000,84.80000,61900
19,2023-03-14,87.17000,89.23000,85.93000,88.99000,73900
20,2023-03-13,84.06000,86.35000,83.28000,85.59000,54500
21,2023-03-10,86.04000,86.98000,84.37000,85.48000,57100
22,2023-03-09,88.73000,89.11000,85.75000,86.29000,57800
23,2023-03-08,90.31000,91.18000,88.53000,88.93000,58600
24,2023-03-07,91.36000,91.70000,89.28000,90.27000,75000
25,2023-03-06,91.28000,91.70000,89.61000,91.07000,71700
26,2023-03-03,90.76000,91.61000,89.10000,91.45000,38400
27,2023-03-02,87.80000,90.24000,87.80000,90.15000,52800
28,2023-03-01,89.93000,90.87000,89.00000,89.01000,64200
29,2023-02-28,86.93000,90.00000,86.70000,89.99000,73700
30,2023-02-27,86.24000,87.90000,86.24000,87.25000,59300
31,2023-02-24,85.26000,87.53000,85.26000,86.97000,41473
32,2023-02-23,86.35000,87.83000,85.45000,86.60000,63400
33,2023-02-22,86.38000,87.90000,84.98000,86.58000,67300
