,datetime,open,high,low,close,volume
0,2023-04-11,62.71000,63.44000,62.35000,63.43000,1014100
1,2023-04-10,61.05000,62.43000,60.55000,62.42000,1133400
2,2023-04-06,60.40000,61.87000,60.11500,61.44000,1605500
3,2023-04-05,60.33000,60.65500,59.78000,60.33000,1256500
4,2023-04-04,60.77000,61.08000,59.54000,60.65000,1360100
5,2023-04-03,61.69000,61.99000,59.68000,60.32000,1217500
6,2023-03-31,61.56000,62.32000,61.00000,62.14000,1854800
7,2023-03-30,61.27000,61.95000,61.10000,61.52000,1120600
8,2023-03-29,58.99000,60.68000,58.85000,60.42000,1267900
9,2023-03-28,58.03000,58.85000,57.31000,58.02000,1666200
10,2023-03-27,59.46000,59.77000,58.27000,58.32000,2158500
11,2023-03-24,57.41000,58.72000,56.92000,58.71000,1454100
12,2023-03-23,58.98000,59.60000,57.52000,57.91000,1611700
13,2023-03-22,60.36000,60.84000,58.77000,58.96000,2210100
14,2023-03-21,59.15000,60.73000,58.91000,60.62000,1587500
15,2023-03-20,58.66000,59.02000,57.73000,58.52000,1811200
16,2023-03-17,61.04000,61.04000,58.67000,58.70000,3365900
17,2023-03-16,61.19000,61.77500,60.05000,61.10000,1524400
18,2023-03-15,60.51000,61.59000,59.90500,61.49000,1337900
19,2023-03-14,60.97000,62.84000,60.69000,61.35000,2486800
20,2023-03-13,59.81000,60.61000,57.54000,59.68000,2738800
21,2023-03-10,62.16000,62.17000,59.13000,60.29000,2112900
22,2023-03-09,63.91000,64.97000,62.66000,62.71000,1052700
23,2023-03-08,63.34000,64.06500,62.66000,63.76000,1103300
24,2023-03-07,65.01000,65.68000,62.83000,63.40000,1013100
25,2023-03-06,66.26000,67.01000,65.14000,65.15000,1443600
26,2023-03-03,65.47000,66.01000,65.03000,65.99000,1247520
27,2023-03-02,64.34000,65.13000,63.94000,64.90000,1777836
28,2023-03-01,66.66000,66.93000,65.08000,65.09000,1177434
29,2023-02-28,65.37000,66.09500,65.26500,65.43000,2737934
30,2023-02-27,66.28000,66.56000,65.57500,65.85000,1742666
31,2023-02-24,65.65000,65.65000,63.93000,65.23000,1359061
32,2023-02-23,67.24000,67.68000,65.40000,66.35000,1577630
33,2023-02-22,66.42000,67.45500,66.40000,66.70000,1206451
34,2023-02-21,67.75000,68.40000,66.24000,66.31000,1660625
35,2023-02-17,70.05000,70.52000,68.37000,69.28000,1761688
36,2023-02-16,70.36000,71.65000,70.04500,70.48000,1971891
37,2023-02-15,67.94000,72.09000,67.61000,71.88000,2284779
38,2023-02-14,70.01000,70.01000,66.39000,68.19000,2819540
39,2023-02-13,69.07000,69.94500,68.63000,69.52000,2170775
40,2023-02-10,68.65000,69.71000,68.02000,69.04000,1359409
41,2023-02-09,70.83000,72.07000,68.66000,69.18000,1581386
42,2023-02-08,71.32000,71.70000,70.16000,70.60000,1147224
43,2023-02-07,70.30000,71.74000,69.38000,71.61000,1241649
44,2023-02-06,70.43000,71.62000,70.12250,70.78000,923012
45,2023-02-03,73.34000,74.01000,71.58000,71.66000,2175270
46,2023-02-02,75.34000,77.61000,75.02000,75.41000,1753188
47,2023-02-01,72.52000,74.64000,71.46000,74.20000,1581188
48,2023-01-31,69.76000,71.83000,69.58000,71.75000,1476348
49,2023-01-30,70.74000,71.30000,68.78000,69.59000,1102084
50,2023-01-27,69.45000,72.41000,69.28000,71.61000,1214859
51,2023-01-26,70.34000,70.70000,68.56000,70.04000,1099227
52,2023-01-25,68.43000,69.30000,66.59000,69.17000,1294792
53,2023-01-24,69.73000,70.82000,69.10000,69.66000,1279588
54,2023-01-23,67.87000,70.51000,67.50000,69.78000,2012758
55,2023-01-20,65.32000,67.88000,65.16000,67.85000,1140975
56,2023-01-19,65.48000,66.25000,64.38000,65.36000,1473264
57,2023-01-18,70.00000,70.43000,66.72000,66.99000,2407618
58,2023-01-17,68.96000,69.74930,68.65500,69.17000,2890564
59,2023-01-13,67.29000,68.80000,67.22000,68.65000,1697909
60,2023-01-12,66.82000,68.00000,65.75000,66.91000,2245055
61,2023-01-11,65.00000,66.50000,64.55000,66.39000,2582808
62,2023-01-10,62.73000,64.23000,62.73000,64.10000,1869887
63,2023-01-09,61.74000,64.26000,61.61000,62.82000,1801554
64,2023-01-06,59.46000,61.76500,58.26020,61.22000,1041581
65,2023-01-05,61.02000,61.65000,59.03000,59.33000,876487
66,2023-01-04,60.65000,62.41000,59.79000,61.84000,1336169
67,2023-01-03,57.68000,59.47000,57.41500,59.01000,1517890
68,2022-12-30,56.71000,56.93000,55.91500,56.75000,755465
69,2022-12-29,55.29000,57.79000,55.13500,57.58000,799621
70,2022-12-28,55.36000,56.52000,54.59000,54.59000,967712
71,2022-12-27,56.14000,56.39000,55.14000,55.57000,750221
72,2022-12-23,55.60000,56.68500,55.16000,56.54000,614522
73,2022-12-22,56.21000,56.21000,54.51000,55.85000,1179820
74,2022-12-21,57.18000,57.91000,56.35000,57.25000,1172715
75,2022-12-20,55.80000,56.73000,55.23500,56.42000,1512656
76,2022-12-19,57.02000,57.31000,56.05000,56.39000,959919
77,2022-12-16,58.03000,59.02000,57.07500,57.28000,3126498
78,2022-12-15,61.09000,61.63000,58.43000,58.67000,1963050
79,2022-12-14,62.41000,64.56000,61.71000,62.38000,1978641
80,2022-12-13,63.51000,65.99000,61.47000,62.72000,3978503
81,2022-12-12,59.08000,61.00500,58.85000,60.74000,1257106
82,2022-12-09,59.09000,59.53000,58.74000,58.93000,1263766
83,2022-12-08,58.50000,59.92000,58.14000,59.52000,1121823
84,2022-12-07,58.47000,58.89100,57.72000,58.76000,1566886
85,2022-12-06,60.60000,60.60000,57.98000,58.66000,1107383
86,2022-12-05,60.54000,60.97000,59.25000,60.53000,925064
87,2022-12-02,59.37000,61.64500,59.17000,61.18000,1562279
88,2022-12-01,63.54000,64.21000,61.93000,62.47000,1850960
89,2022-11-30,60.24000,63.12000,59.63000,63.08000,1795035
90,2022-11-29,59.98000,61.02500,59.82000,60.46000,873516
91,2022-11-28,60.93000,61.29500,59.91000,60.16000,878342
92,2022-11-25,61.38000,61.96000,60.71000,61.73000,241179
93,2022-11-23,60.24000,62.23000,60.10500,61.45000,670304
94,2022-11-22,60.73000,60.95500,59.55000,60.08000,683706
95,2022-11-21,60.13000,60.78000,59.15500,60.54000,697884
96,2022-11-18,62.06000,62.14000,59.51000,60.44000,1098134
97,2022-11-17,62.39000,63.11000,59.52500,60.72000,1188100
98,2022-11-16,64.50000,64.97000,63.16490,63.85000,790249
99,2022-11-15,66.38000,67.27000,65.23000,65.32000,1692724
100,2022-11-14,64.49000,66.49000,64.25000,64.77000,2049612
101,2022-11-11,62.10500,65.42000,61.56000,65.02000,2065805
102,2022-11-10,57.79000,62.33000,57.79000,62.23000,2040049
103,2022-11-09,54.40000,55.68000,54.03000,54.40000,2402447
104,2022-11-08,54.48000,55.47000,53.69000,54.94000,1385054
105,2022-11-07,52.80000,53.77000,52.12000,53.74000,1763544
106,2022-11-04,51.51000,52.41000,50.32000,52.24000,2123306
107,2022-11-03,53.30000,53.30000,50.86000,50.98000,2020866
108,2022-11-02,56.22000,56.90000,54.03000,54.16000,1604260
109,2022-11-01,60.13000,60.29000,56.56000,56.60000,1642852
110,2022-10-31,59.34000,59.47500,58.82500,59.27000,2061098
111,2022-10-28,57.30000,59.66500,57.24000,59.59000,1032198
112,2022-10-27,57.70000,58.77000,57.21000,57.65000,1232801
113,2022-10-26,56.95000,59.20000,56.82000,57.77000,2098972
114,2022-10-25,54.80000,58.79000,53.74000,57.39000,2241425
115,2022-10-24,56.47000,57.16000,55.82000,56.70000,2055134
116,2022-10-21,54.98000,56.03000,54.03000,55.81000,1081246
117,2022-10-20,56.00000,56.35500,54.46000,54.99000,1476986
118,2022-10-19,57.18000,57.50000,55.27000,55.95000,1359602
119,2022-10-18,58.69000,59.45000,57.60000,57.97000,1315596
120,2022-10-17,56.45000,57.96000,56.32000,57.46000,1247928
121,2022-10-14,58.37000,58.88500,55.17000,55.17000,1541557
122,2022-10-13,55.02000,57.79000,54.02000,57.48000,1374078
123,2022-10-12,55.78000,57.21000,55.18000,56.61000,1378745
124,2022-10-11,56.93000,57.03000,55.26000,55.75000,1029091
125,2022-10-10,57.82000,57.97000,56.25000,56.81000,1361096
126,2022-10-07,59.22000,59.41000,57.37000,57.74000,1859586
127,2022-10-06,61.79000,62.07000,60.16000,60.17000,1553775
128,2022-10-05,62.37000,62.69500,60.98000,62.04000,1245126
129,2022-10-04,61.40000,63.93000,61.40000,63.17000,1275714
130,2022-10-03,60.18000,61.07000,59.41000,60.63000,1773024
131,2022-09-30,59.78000,60.97000,59.02000,59.49000,1919243
132,2022-09-29,60.73000,60.82500,59.18000,59.66000,1827422
133,2022-09-28,60.65000,61.60000,59.99000,61.36000,1397994
134,2022-09-27,62.57000,62.67000,59.54000,59.96000,1650420
135,2022-09-26,63.19000,63.87000,61.95000,62.07000,1197336
136,2022-09-23,63.75000,64.02000,62.07000,63.17000,1480636
137,2022-09-22,64.20000,64.78000,62.81000,63.66000,1407179
