,datetime,open,high,low,close,volume
0,2023-04-11,14.75000,14.81000,14.55500,14.64000,746100
1,2023-04-10,14.67000,14.81000,14.45000,14.68000,840900
2,2023-04-06,14.67000,14.76000,14.51000,14.74000,585300
3,2023-04-05,14.55000,14.63000,14.45000,14.57000,589600
4,2023-04-04,14.86000,14.88000,14.52500,14.64000,1169200
5,2023-04-03,15.08000,15.26000,14.78000,14.84000,1273200
6,2023-03-31,14.60000,15.08000,14.60000,15.06000,1359500
7,2023-03-30,14.58000,14.65500,14.31000,14.44000,717000
8,2023-03-29,14.39000,14.46500,14.24000,14.40000,856600
9,2023-03-28,14.00000,14.27000,13.93000,14.21000,807800
10,2023-03-27,14.40000,14.42000,14.04500,14.12000,1173800
11,2023-03-24,13.63000,14.21000,13.56000,14.19000,1518100
12,2023-03-23,13.61000,14.11000,13.58000,13.69000,1273400
13,2023-03-22,14.17000,14.17000,13.55000,13.58000,1263400
14,2023-03-21,14.12000,14.43500,14.10500,14.25000,1595100
15,2023-03-20,13.55000,14.03000,13.55000,13.90000,1153517
16,2023-03-17,13.70000,13.70000,13.39500,13.44000,2105379
17,2023-03-16,13.94000,13.94000,13.39500,13.79000,1866117
18,2023-03-15,13.76000,14.12000,13.76000,14.11000,1568115
19,2023-03-14,14.40000,14.46000,13.97000,14.12000,845511
20,2023-03-13,13.73000,14.11000,13.64000,14.05000,1638915
21,2023-03-10,14.47000,14.49000,13.88000,13.98000,906550
22,2023-03-09,14.88000,14.91000,14.53000,14.53000,900778
23,2023-03-08,14.83000,15.01000,14.75000,14.86000,1354086
24,2023-03-07,15.32000,15.37000,14.69000,14.85000,1312554
25,2023-03-06,15.46000,15.52000,15.23000,15.32000,1047080
26,2023-03-03,15.41000,15.51000,15.32000,15.46000,898098
27,2023-03-02,15.25000,15.35000,15.19000,15.30000,575166
28,2023-03-01,15.35000,15.39000,15.04000,15.37000,555755
29,2023-02-28,15.47000,15.66500,15.40000,15.40000,962598
30,2023-02-27,15.73000,15.74000,15.30000,15.48000,1267780
31,2023-02-24,15.30000,15.50000,15.22000,15.49000,748977
32,2023-02-23,15.43000,15.53000,15.15000,15.50000,769771
33,2023-02-22,15.25000,15.48000,15.19500,15.29000,937469
34,2023-02-21,15.64000,15.73000,15.25500,15.31000,619596
35,2023-02-17,15.92000,15.92000,15.72000,15.82000,699559
