,datetime,open,high,low,close,volume
0,2023-04-11,6.14000,6.21000,6.14000,6.18000,561300
1,2023-04-10,6.04000,6.15000,6.04000,6.12000,723100
2,2023-04-06,6.06000,6.11000,6.04000,6.04000,661500
3,2023-04-05,6.12000,6.13000,6.06000,6.07000,479200
4,2023-04-04,6.25000,6.25000,6.12000,6.13000,405600
5,2023-04-03,6.20000,6.24000,6.17000,6.23000,541600
6,2023-03-31,6.10000,6.20000,6.09000,6.20000,581000
7,2023-03-30,6.10000,6.11000,6.06000,6.10000,523500
8,2023-03-29,6.02000,6.06000,6.00000,6.04000,541800
9,2023-03-28,6.00000,6.01000,5.92000,5.95000,485900
10,2023-03-27,6.05000,6.06000,5.97000,5.99000,936100
11,2023-03-24,6.01000,6.01000,5.92000,5.99000,802000
12,2023-03-23,6.04000,6.07000,5.96000,6.00000,674500
13,2023-03-22,6.06000,6.11000,5.95000,5.95000,606100
14,2023-03-21,6.09000,6.10000,6.04000,6.07000,490000
15,2023-03-20,5.94000,6.03000,5.92000,5.99000,622900
16,2023-03-17,5.98000,6.00000,5.91000,5.91000,543400
17,2023-03-16,5.93000,6.05000,5.88000,6.02000,931400
18,2023-03-15,5.90000,5.94000,5.82000,5.94000,1277100
19,2023-03-14,5.97000,6.06000,5.95000,5.99000,748000
20,2023-03-13,5.91000,5.99000,5.85000,5.87000,1312500
21,2023-03-10,6.06000,6.12000,5.95000,5.98000,995200
22,2023-03-09,6.21000,6.22000,6.06000,6.06000,818500
23,2023-03-08,6.22000,6.26000,6.19000,6.23000,467700
24,2023-03-07,6.30000,6.33000,6.20000,6.22000,680900
25,2023-03-06,6.30000,6.37000,6.30000,6.30000,463600
26,2023-03-03,6.30000,6.31000,6.26000,6.27000,542700
27,2023-03-02,6.17000,6.26000,6.16000,6.26000,359800
28,2023-03-01,6.21000,6.24000,6.17000,6.21000,399100
29,2023-02-28,6.27000,6.27000,6.19000,6.19000,542200
30,2023-02-27,6.22000,6.27000,6.19000,6.23000,754700
31,2023-02-24,6.15000,6.16000,6.10000,6.16000,418100
32,2023-02-23,6.25000,6.25000,6.15000,6.21000,294200
33,2023-02-22,6.15000,6.22000,6.15000,6.16000,438600
34,2023-02-21,6.23000,6.31000,6.15000,6.17000,942900
35,2023-02-17,6.26000,6.28000,6.22000,6.23000,595200
36,2023-02-16,6.39000,6.41000,6.30000,6.31000,916800
37,2023-02-15,6.44000,6.47000,6.41000,6.44000,641500
38,2023-02-14,6.44000,6.50000,6.39000,6.44000,551900
39,2023-02-13,6.39000,6.47000,6.36000,6.44000,770600
40,2023-02-10,6.30000,6.35000,6.25000,6.34000,721100
41,2023-02-09,6.47000,6.47000,6.26000,6.30000,661800
42,2023-02-08,6.33000,6.46000,6.33000,6.40000,1062300
43,2023-02-07,6.24000,6.38000,6.24000,6.35000,647400
44,2023-02-06,6.30000,6.32000,6.25000,6.27000,596500
45,2023-02-03,6.43000,6.44000,6.30000,6.30000,766200
46,2023-02-02,6.42000,6.52000,6.37000,6.49000,1403700
47,2023-02-01,6.25000,6.37000,6.18000,6.31000,689800
48,2023-01-31,6.18000,6.25000,6.15000,6.25000,740800
