,datetime,open,high,low,close,volume
0,2023-04-11,177.85001,178.89000,175.69000,176.89999,586600
1,2023-04-10,178.38000,178.85001,175.61000,178.32001,1111700
2,2023-04-06,179.28999,180.59000,178.22000,180.02000,441100
3,2023-04-05,180.99001,181.39999,178.92999,180.07001,762000
4,2023-04-04,182.45000,183.97000,181.24001,181.42000,586400
5,2023-04-03,182.06000,183.24001,179.50000,181.11000,688000
6,2023-03-31,180.20000,184.20000,180.00000,183.78999,743200
7,2023-03-30,180.61000,180.89999,178.19000,179.14999,545800
8,2023-03-29,178.42999,181.56000,177.23000,178.66000,603800
9,2023-03-28,176.87000,177.49001,174.69000,175.57001,592000
10,2023-03-27,176.98000,178.88000,175.89999,177.53999,830800
11,2023-03-24,173.50000,175.88000,172.11000,175.58000,514900
12,2023-03-23,175.89999,176.07001,171.91000,174.07001,842100
13,2023-03-22,176.97000,178.42999,173.63000,173.86000,633400
14,2023-03-21,174.62000,177.39000,174.50000,177.08000,609800
15,2023-03-20,171.85001,173.67999,169.85001,173.53999,906400
16,2023-03-17,174.63000,175.41000,171.53000,172.63000,1182100
17,2023-03-16,170.84000,176.50000,170.07001,175.78000,960900
18,2023-03-15,170.99001,172.28000,167.91000,170.84000,716600
19,2023-03-14,172.14000,174.02000,171.05000,173.08000,1005700
20,2023-03-13,164.14000,170.88000,161.38000,169.05000,1263000
21,2023-03-10,169.42000,170.17999,163.31000,164.63000,927600
22,2023-03-09,172.17999,174.63921,168.96001,169.37000,922909
23,2023-03-08,174.47000,175.21001,172.36000,172.63000,785700
24,2023-03-07,176.99001,180.67999,175.00000,175.07001,825000
25,2023-03-06,180.64999,181.70000,176.17999,176.37000,1182100
26,2023-03-03,173.39999,183.75999,173.39999,180.05000,2199900
27,2023-03-02,178.87000,178.87000,168.16000,173.56000,2691200
28,2023-03-01,166.86000,167.36000,164.08000,166.13000,2061300
29,2023-02-28,165.72000,167.72000,164.89000,165.66000,1410500
30,2023-02-27,166.46001,168.42000,164.80000,165.75000,1222400
31,2023-02-24,167.73000,168.34000,164.75000,165.11000,1272500
32,2023-02-23,171.00999,171.81000,167.91000,170.52000,1011100
33,2023-02-22,169.69000,172.91000,169.08000,171.03000,1173000
34,2023-02-21,168.00000,169.97000,166.91000,169.63000,957600
35,2023-02-17,172.75000,172.75000,168.92999,170.49001,727700
36,2023-02-16,172.94000,174.75000,171.94000,173.03000,746600
37,2023-02-15,171.67000,175.38000,170.39999,175.12000,953800
38,2023-02-14,170.24001,173.89999,169.09000,171.92999,484200
39,2023-02-13,169.63000,174.12000,168.95000,171.64000,703800
40,2023-02-10,171.82001,171.85001,166.67999,168.61000,1414200
41,2023-02-09,179.28999,179.39000,173.14000,173.14999,984400
42,2023-02-08,177.22000,180.21001,175.67000,176.27000,1132400
43,2023-02-07,173.52000,179.91000,172.77000,178.62000,751900
44,2023-02-06,176.24001,177.61000,172.56000,174.07001,705800
45,2023-02-03,176.91000,182.09000,176.64999,178.35001,1364900
46,2023-02-02,177.58000,183.77000,177.58000,181.08000,1168600
47,2023-02-01,171.17999,174.47000,168.77000,173.37000,817600
48,2023-01-31,170.47000,172.14999,168.21001,170.55000,578700
49,2023-01-30,169.89999,172.58000,169.73000,170.53999,719400
50,2023-01-27,168.14999,172.00000,168.14999,171.45000,450800
51,2023-01-26,172.75000,172.75000,169.25999,169.99001,613600
52,2023-01-25,165.30000,170.58000,163.21001,170.17000,863300
53,2023-01-24,169.00999,171.36000,166.85001,168.09000,975600
54,2023-01-23,163.64999,169.06000,162.02000,168.70000,883600
55,2023-01-20,159.19000,162.53000,158.50000,162.44000,730800
56,2023-01-19,158.85001,161.46001,157.31000,158.27000,738600
57,2023-01-18,165.19000,166.97000,159.34000,160.27000,1225200
58,2023-01-17,163.16000,165.45000,160.67999,163.63000,854400
59,2023-01-13,160.67999,164.66000,160.67999,164.24001,551900
60,2023-01-12,166.71001,166.71001,161.31000,162.57001,840400
61,2023-01-11,162.34000,165.31000,160.03999,165.31000,876800
62,2023-01-10,157.97000,161.69000,157.14000,161.20000,1422700
63,2023-01-09,161.56000,163.84000,161.03999,161.08000,1144500
64,2023-01-06,161.75999,161.96001,157.00000,159.61000,735400
65,2023-01-05,164.50999,164.96001,160.41000,161.12000,1014900
66,2023-01-04,164.30000,166.42999,162.28000,166.42999,1272900
67,2023-01-03,163.63000,164.02000,158.75000,159.62000,816800
68,2022-12-30,160.42999,161.64999,158.25000,161.38000,879100
69,2022-12-29,162.34000,164.75999,161.72000,163.17999,749600
70,2022-12-28,157.92000,161.09000,157.14999,160.91000,799000
71,2022-12-27,160.08000,160.08000,157.37000,158.85001,991300
72,2022-12-23,162.98000,163.91000,160.55000,160.82001,894500
73,2022-12-22,165.66000,166.99001,162.00000,163.91000,1236500
74,2022-12-21,163.92000,168.19000,163.57001,167.52000,1067900
75,2022-12-20,165.25999,166.50000,162.02000,164.42000,1381900
76,2022-12-19,168.57001,168.57001,165.36000,167.28000,1030800
77,2022-12-16,167.75000,169.61000,166.30000,168.25999,1239500
78,2022-12-15,172.64999,173.95000,169.22000,169.89000,1312600
79,2022-12-14,176.71001,181.25999,175.39000,176.27000,1243900
80,2022-12-13,180.87000,181.85001,172.16000,176.96001,1906500
81,2022-12-12,173.21001,175.57001,171.36000,171.60001,1343600
82,2022-12-09,171.53999,175.83000,171.53999,172.17000,1218900
83,2022-12-08,165.85001,173.58000,163.20000,173.03000,2314700
84,2022-12-07,168.20000,169.31000,162.45000,165.31000,1826500
85,2022-12-06,165.41000,168.60001,161.78000,168.53000,2154800
86,2022-12-05,173.25999,173.50000,166.50999,167.24001,1591600
