,datetime,open,high,low,close,volume
0,2023-04-11,7.97000,8.00000,7.89000,7.97000,2334800
1,2023-04-10,7.68000,7.77000,7.68000,7.76000,997400
2,2023-04-06,7.67000,7.75000,7.60000,7.75000,1530100
3,2023-04-05,7.66000,7.81000,7.56000,7.65000,1984900
4,2023-04-04,7.53000,7.66000,7.51000,7.60000,1703600
5,2023-04-03,7.37000,7.51000,7.28000,7.45000,1782700
6,2023-03-31,7.82000,7.83000,7.53000,7.57000,1922200
7,2023-03-30,7.87000,7.89000,7.72000,7.78000,1711300
8,2023-03-29,7.66000,7.79000,7.64000,7.69000,1368100
9,2023-03-28,7.59000,7.68000,7.57000,7.63000,1293200
10,2023-03-27,7.46000,7.54000,7.43000,7.49000,1595900
11,2023-03-24,7.20000,7.43000,7.16000,7.38000,1466200
12,2023-03-23,7.42000,7.46000,7.21000,7.23000,1387000
13,2023-03-22,7.27000,7.43000,7.21000,7.28000,1505700
14,2023-03-21,7.34000,7.36000,7.26000,7.31000,1455800
15,2023-03-20,7.35000,7.41000,7.30000,7.39000,1686200
16,2023-03-17,7.43000,7.49000,7.30000,7.38000,3516900
17,2023-03-16,7.53000,7.67000,7.46000,7.60000,2711100
18,2023-03-15,7.34000,7.54000,7.31000,7.51000,1502300
19,2023-03-14,7.46000,7.51000,7.40000,7.46000,1476400
20,2023-03-13,7.31000,7.43000,7.31000,7.34000,1496200
21,2023-03-10,7.43000,7.52000,7.38000,7.41000,1215300
22,2023-03-09,7.55000,7.69000,7.55000,7.58000,2613200
23,2023-03-08,7.56000,7.64000,7.45000,7.56000,2884100
24,2023-03-07,7.52000,7.54000,7.41000,7.47000,1679400
25,2023-03-06,7.33000,7.50000,7.26000,7.46000,1714700
26,2023-03-03,7.30000,7.37000,7.28000,7.30000,1997760
27,2023-03-02,7.38000,7.42000,7.34000,7.37000,1353613
28,2023-03-01,7.44000,7.46000,7.38500,7.44000,1345771
29,2023-02-28,7.51000,7.53500,7.42000,7.45000,1317498
30,2023-02-27,7.54000,7.60000,7.50000,7.55000,1255293
31,2023-02-24,7.60000,7.62000,7.45000,7.53000,1524703
32,2023-02-23,7.70000,7.72000,7.61000,7.65000,2028188
33,2023-02-22,7.73000,7.81000,7.62000,7.67000,2297474
34,2023-02-21,7.97000,7.97000,7.64000,7.72000,1841425
35,2023-02-17,7.82000,7.97000,7.78000,7.94000,2077841
36,2023-02-16,7.52500,7.79500,7.41000,7.70000,2300203
37,2023-02-15,7.62000,7.63000,7.44000,7.58000,3720172
38,2023-02-14,7.62000,7.68000,7.47000,7.55000,3209938
39,2023-02-13,7.44000,7.55000,7.44000,7.53000,1285964
40,2023-02-10,7.38000,7.48000,7.34500,7.44000,2296492
41,2023-02-09,7.41000,7.43000,7.21000,7.26000,2390349
42,2023-02-08,7.42000,7.46000,7.30000,7.43000,2563649
43,2023-02-07,7.46000,7.49000,7.28000,7.33000,1782923
44,2023-02-06,7.42000,7.48000,7.36500,7.48000,2071402
45,2023-02-03,7.72000,7.75000,7.52000,7.54000,1636697
46,2023-02-02,7.99000,7.99000,7.75000,7.80000,5269979
47,2023-02-01,8.00000,8.02000,7.83000,7.92000,2797320
48,2023-01-31,8.11000,8.16000,8.02000,8.13000,5354439
49,2023-01-30,7.93000,7.96000,7.84240,7.85000,1521962
50,2023-01-27,7.87000,7.89500,7.80000,7.86000,873185
51,2023-01-26,7.86000,7.92000,7.79000,7.92000,1060976
52,2023-01-25,7.75000,7.87000,7.72000,7.87000,1554449
53,2023-01-24,7.91000,7.92000,7.73500,7.81000,2976182
54,2023-01-23,7.59000,7.79000,7.54500,7.76000,3491128
55,2023-01-20,7.53000,7.58000,7.48000,7.58000,1896530
56,2023-01-19,7.62000,7.72000,7.51500,7.72000,1631157
57,2023-01-18,7.70000,7.74000,7.49000,7.66000,3854408
58,2023-01-17,7.45000,7.69000,7.44000,7.61000,4729844
59,2023-01-13,7.50000,7.52500,7.37000,7.44000,3800274
60,2023-01-12,7.47000,7.63000,7.36000,7.58000,2140057
61,2023-01-11,7.39000,7.46000,7.30000,7.44000,2563806
62,2023-01-10,7.22000,7.39000,7.21000,7.36000,1827681
63,2023-01-09,7.22000,7.27000,7.14500,7.18000,1764111
64,2023-01-06,7.07000,7.30000,7.04500,7.30000,2018028
65,2023-01-05,6.79000,6.95500,6.77000,6.93000,1768725
66,2023-01-04,6.54000,6.74000,6.53500,6.68000,3066477
67,2023-01-03,6.72000,6.77000,6.49000,6.49000,2972659
68,2022-12-30,7.22000,7.34000,7.10500,7.15000,1291515
69,2022-12-29,7.28000,7.37000,7.22000,7.24000,1329202
70,2022-12-28,7.14000,7.20500,7.09000,7.15000,1083807
71,2022-12-27,7.08000,7.13000,7.02000,7.08000,1461909
72,2022-12-23,7.37000,7.47000,7.36000,7.42000,1309661
73,2022-12-22,7.25000,7.30000,7.18000,7.27000,1810623
74,2022-12-21,7.28000,7.29000,7.20000,7.21000,1223597
75,2022-12-20,7.11000,7.28000,7.09000,7.23000,3641449
76,2022-12-19,6.95000,7.06500,6.87500,6.93000,2043236
77,2022-12-16,7.02000,7.03500,6.86500,6.92000,2836405
78,2022-12-15,7.04000,7.12500,6.93000,6.94000,2185556
79,2022-12-14,6.91000,7.10000,6.79500,7.04000,3279264
80,2022-12-13,7.10000,7.20500,6.95000,6.99000,3431159
81,2022-12-12,7.03000,7.08000,6.93000,7.07000,2753983
82,2022-12-09,7.06000,7.22000,7.04000,7.14000,2583808
83,2022-12-08,7.28000,7.30000,7.06500,7.12000,2285019
84,2022-12-07,7.27000,7.34500,7.26000,7.32000,1647965
85,2022-12-06,7.33000,7.34000,7.18000,7.26000,2737918
86,2022-12-05,7.40000,7.45500,7.23000,7.25000,3238051
87,2022-12-02,7.54000,7.58000,7.43000,7.51000,2357347
88,2022-12-01,7.35000,7.46000,7.28120,7.39000,3922747
89,2022-11-30,7.23000,7.33000,7.15000,7.31000,5063168
90,2022-11-29,7.21000,7.35000,7.20500,7.24000,4397586
91,2022-11-28,7.24000,7.25000,7.09000,7.13000,4087740
92,2022-11-25,7.26000,7.30000,7.19500,7.26000,1599642
93,2022-11-23,7.19000,7.28500,7.17000,7.25000,2276235
94,2022-11-22,7.22000,7.26500,7.15000,7.24000,4654742
95,2022-11-21,7.45000,7.49000,7.24000,7.31000,4064967
96,2022-11-18,7.32000,7.33000,7.15000,7.22000,4452472
97,2022-11-17,7.03000,7.21000,6.98000,7.18000,3254407
98,2022-11-16,7.52000,7.54000,7.25010,7.29000,2247247
99,2022-11-15,7.75000,7.76000,7.51000,7.57000,1952298
100,2022-11-14,7.71000,7.73000,7.56000,7.59000,1909660
101,2022-11-11,7.77000,7.83000,7.67000,7.74000,2734020
102,2022-11-10,7.60000,7.67000,7.42500,7.53000,2448633
103,2022-11-09,8.01000,8.05000,7.89000,7.90000,1984202
104,2022-11-08,7.91000,8.04500,7.86000,8.02000,1762220
105,2022-11-07,8.12000,8.14000,7.86000,7.92000,2331334
106,2022-11-04,8.30000,8.32000,8.18500,8.21000,1461306
107,2022-11-03,7.80000,8.18000,7.78500,8.14000,2327033
108,2022-11-02,7.98000,8.00000,7.84000,7.84000,1067318
109,2022-11-01,7.99000,8.10500,7.93000,7.99000,1362938
110,2022-10-31,7.67000,8.03000,7.65500,7.99000,2035295
111,2022-10-28,7.67000,7.76000,7.64000,7.72000,1050888
112,2022-10-27,7.52000,7.85000,7.51000,7.73000,1717582
113,2022-10-26,7.57000,7.67000,7.43000,7.44000,1197091
114,2022-10-25,7.46000,7.59000,7.44000,7.49000,1105419
