,datetime,open,high,low,close,volume
0,2023-04-11,0.50500,0.51800,0.47000,0.47300,196200
1,2023-04-10,0.49500,0.53000,0.49200,0.51000,331100
2,2023-04-06,0.50000,0.52400,0.50000,0.50700,152500
3,2023-04-05,0.50600,0.52500,0.49100,0.50500,315100
4,2023-04-04,0.52000,0.53000,0.49000,0.50500,300900
5,2023-04-03,0.55000,0.55900,0.50200,0.52000,320700
6,2023-03-31,0.53000,0.54200,0.50000,0.54000,428100
7,2023-03-30,0.52000,0.54000,0.50300,0.50300,125000
8,2023-03-29,0.52800,0.54800,0.50000,0.52200,191700
9,2023-03-28,0.54000,0.55000,0.47000,0.54400,573900
10,2023-03-27,0.51000,0.60000,0.50000,0.51100,997300
11,2023-03-24,0.47300,0.53000,0.45100,0.50500,572400
12,2023-03-23,0.50300,0.54500,0.50300,0.54000,255600
13,2023-03-22,0.51600,0.52000,0.50000,0.51600,141600
14,2023-03-21,0.50500,0.52000,0.50000,0.51600,243300
15,2023-03-20,0.53000,0.53000,0.50000,0.51000,317000
16,2023-03-17,0.52000,0.54000,0.50100,0.51800,283300
17,2023-03-16,0.53500,0.55000,0.52000,0.53000,244600
18,2023-03-15,0.54000,0.55000,0.53500,0.54000,173500
19,2023-03-14,0.55000,0.55000,0.51300,0.54000,496500
20,2023-03-13,0.56700,0.57000,0.55000,0.55300,384000
21,2023-03-10,0.62000,0.62000,0.57000,0.57100,867700
22,2023-03-09,0.68000,0.68800,0.63000,0.64400,616900
23,2023-03-08,0.65000,0.67700,0.62500,0.67400,539900
24,2023-03-07,0.59800,0.62300,0.59000,0.61000,190000
25,2023-03-06,0.58000,0.61800,0.58000,0.59000,386800
26,2023-03-03,0.58100,0.59000,0.57800,0.58000,251600
27,2023-03-02,0.57000,0.58800,0.56000,0.57800,348500
28,2023-03-01,0.58000,0.60000,0.55500,0.55500,732000
29,2023-02-28,0.60000,0.61000,0.58000,0.58400,425400
30,2023-02-27,0.63000,0.63500,0.60000,0.60000,447000
31,2023-02-24,0.64000,0.64100,0.59800,0.60100,503800
32,2023-02-23,0.65000,0.67000,0.63000,0.63100,390300
33,2023-02-22,0.66000,0.69000,0.65300,0.65800,404700
34,2023-02-21,0.69100,0.70000,0.67000,0.67300,401600
35,2023-02-17,0.73000,0.73700,0.68100,0.69500,460500
36,2023-02-16,0.75000,0.75900,0.72000,0.72500,339600
37,2023-02-15,0.75000,0.77000,0.75000,0.75000,400300
38,2023-02-14,0.78000,0.79000,0.76000,0.77200,247300
39,2023-02-13,0.81000,0.83000,0.77300,0.78100,309100
40,2023-02-10,0.81000,0.81000,0.79300,0.80100,341000
41,2023-02-09,0.83000,0.84000,0.80100,0.81000,247400
42,2023-02-08,0.82000,0.85000,0.82000,0.83000,140900
43,2023-02-07,0.86000,0.86000,0.82000,0.83500,282900
44,2023-02-06,0.83000,0.84000,0.83000,0.83800,188400
45,2023-02-03,0.86000,0.87000,0.83100,0.83300,216700
46,2023-02-02,0.84000,0.86100,0.83000,0.85000,388100
47,2023-02-01,0.82000,0.84000,0.81100,0.82600,150100
48,2023-01-31,0.83800,0.84000,0.82000,0.82000,269300
49,2023-01-30,0.85000,0.85000,0.81000,0.81000,284800
50,2023-01-27,0.87000,0.88300,0.83500,0.84700,316500
51,2023-01-26,0.88600,0.89000,0.87000,0.87000,137400
52,2023-01-25,0.88000,0.89000,0.88000,0.88000,215200
53,2023-01-24,0.89000,0.90000,0.88000,0.88200,156100
54,2023-01-23,0.88400,0.91000,0.87000,0.88000,237600
55,2023-01-20,0.90000,0.90000,0.88400,0.88400,212500
56,2023-01-19,0.88000,0.90000,0.88000,0.89500,219600
57,2023-01-18,0.91000,0.92000,0.86000,0.87000,269400
58,2023-01-17,0.89300,0.91000,0.89000,0.90300,311500
59,2023-01-13,0.87000,0.90000,0.86000,0.89000,214000
60,2023-01-12,0.87800,0.89000,0.84500,0.85700,255500
61,2023-01-11,0.86000,0.88000,0.84000,0.86000,135600
62,2023-01-10,0.85000,0.87000,0.84600,0.85400,179900
63,2023-01-09,0.84000,0.85000,0.84000,0.84600,138900
64,2023-01-06,0.86000,0.87000,0.84300,0.84300,207100
65,2023-01-05,0.87000,0.88000,0.85800,0.85800,130000
66,2023-01-04,0.83000,0.87000,0.80000,0.87000,198900
67,2023-01-03,0.80000,0.84000,0.80000,0.83000,187400
68,2022-12-30,0.76000,0.83600,0.76000,0.83600,400900
69,2022-12-29,0.77000,0.81000,0.74000,0.79100,568300
70,2022-12-28,0.80000,0.81000,0.74200,0.74500,376600
71,2022-12-27,0.82000,0.84000,0.80000,0.80100,294000
72,2022-12-23,0.82000,0.86000,0.82000,0.83000,135400
73,2022-12-22,0.82000,0.85800,0.81000,0.81500,226800
74,2022-12-21,0.83800,0.86000,0.80000,0.81800,374600
75,2022-12-20,0.86000,0.88000,0.84000,0.84000,284200
76,2022-12-19,0.93000,0.93000,0.86000,0.88000,154000
77,2022-12-16,0.86000,0.94800,0.86000,0.90500,307500
78,2022-12-15,0.91200,0.91500,0.86000,0.87000,416500
79,2022-12-14,0.93600,0.96000,0.91200,0.91200,209000
80,2022-12-13,0.99000,0.99000,0.94000,0.95000,194900
81,2022-12-12,0.98000,0.98600,0.96200,0.96200,181900
82,2022-12-09,0.97000,1.00000,0.96200,0.97000,129900
83,2022-12-08,0.95000,1.03000,0.95000,0.97800,197600
84,2022-12-07,0.97000,1.00000,0.95100,0.95500,351800
85,2022-12-06,1.01000,1.03000,0.98000,0.98000,193100
86,2022-12-05,1.02000,1.03000,0.98200,1.00000,259200
87,2022-12-02,1.00000,1.04000,0.99800,1.03000,151800
88,2022-12-01,1.00000,1.03000,0.99300,1.01000,140300
89,2022-11-30,1.02000,1.03000,0.99000,1.01000,187800
90,2022-11-29,0.99000,1.01000,0.99000,1.01000,160200
91,2022-11-28,1.01000,1.03000,0.98000,0.99000,154900
92,2022-11-25,1.02000,1.03000,1.01000,1.01000,32500
93,2022-11-23,1.00000,1.02200,1.00000,1.02000,110200
94,2022-11-22,1.00000,1.02000,1.00000,1.00000,124500
95,2022-11-21,1.02000,1.03000,1.00000,1.00000,155400
96,2022-11-18,1.05000,1.06000,1.02000,1.03000,107500
97,2022-11-17,1.02000,1.03000,1.01000,1.02000,135700
98,2022-11-16,1.04000,1.04000,1.02000,1.03000,154100
99,2022-11-15,1.09000,1.09000,1.02000,1.03000,393900
100,2022-11-14,1.10000,1.10000,1.06000,1.08000,161900
101,2022-11-11,1.05000,1.10000,1.05000,1.07000,151000
102,2022-11-10,1.07000,1.09000,1.06000,1.06000,256000
103,2022-11-09,1.04000,1.05000,1.02000,1.03000,230000
104,2022-11-08,1.08000,1.10000,1.03500,1.05000,181600
105,2022-11-07,1.10000,1.11000,1.04000,1.07000,367800
106,2022-11-04,1.26000,1.26000,1.09000,1.09000,518600
107,2022-11-03,1.17000,1.25000,1.17000,1.21000,332100
108,2022-11-02,1.16000,1.23000,1.15500,1.16000,147100
109,2022-11-01,1.26000,1.26000,1.17000,1.17000,144000
110,2022-10-31,1.21000,1.27000,1.19000,1.23000,335900
111,2022-10-28,1.22000,1.26000,1.20000,1.21000,374600
112,2022-10-27,1.16000,1.24000,1.15000,1.22000,337800
113,2022-10-26,1.11000,1.14000,1.08000,1.12000,423700
114,2022-10-25,1.03000,1.11000,1.02500,1.07000,557800
115,2022-10-24,1.02000,1.04000,1.01000,1.03000,93400
116,2022-10-21,1.02000,1.04000,1.00000,1.03000,138000
117,2022-10-20,1.01000,1.04000,1.00000,1.02000,342800
118,2022-10-19,1.01000,1.03000,1.00000,1.01000,96700
119,2022-10-18,1.02000,1.03000,1.00000,1.02000,255100
120,2022-10-17,1.04000,1.04000,1.01000,1.02000,181500
121,2022-10-14,1.02000,1.04500,0.99300,1.00500,85800
122,2022-10-13,0.99000,1.03000,0.95000,1.02000,169900
123,2022-10-12,1.02000,1.04000,1.00000,1.00000,199000
124,2022-10-11,1.02000,1.05000,1.01000,1.01000,178000
125,2022-10-10,1.04000,1.04000,1.01000,1.02000,149500
126,2022-10-07,1.06000,1.06000,1.04000,1.04000,87600
127,2022-10-06,1.05000,1.10000,1.04000,1.05000,127900
128,2022-10-05,1.06000,1.08000,1.05000,1.07000,52300
129,2022-10-04,1.06000,1.09000,1.05000,1.06000,225000
130,2022-10-03,1.04000,1.07000,1.00000,1.04000,181700
131,2022-09-30,1.04000,1.08000,1.03000,1.03000,123000
132,2022-09-29,1.10000,1.12000,1.03000,1.04000,265300
133,2022-09-28,1.03000,1.11000,1.03000,1.10000,146400
134,2022-09-27,1.04000,1.08300,1.03000,1.04000,82300
135,2022-09-26,1.05000,1.09000,1.00000,1.03000,291100
136,2022-09-23,1.00000,1.05000,1.00000,1.04000,199400
137,2022-09-22,1.11000,1.13100,1.02500,1.04000,291300
138,2022-09-21,1.14000,1.15000,1.10000,1.12000,172200
139,2022-09-20,1.20000,1.20000,1.12000,1.13000,257200
140,2022-09-19,1.29000,1.29000,1.17000,1.17000,328900
141,2022-09-16,1.26000,1.30000,1.17000,1.29000,579200
142,2022-09-15,1.30000,1.35000,1.26000,1.26000,188000
143,2022-09-14,1.34000,1.34000,1.30000,1.30000,157800
144,2022-09-13,1.33000,1.36000,1.30000,1.31000,152900
145,2022-09-12,1.38000,1.42000,1.36000,1.36000,178200
146,2022-09-09,1.32000,1.42000,1.32000,1.39000,187700
147,2022-09-08,1.31000,1.33000,1.31000,1.33000,110300
148,2022-09-07,1.31000,1.33000,1.30000,1.32000,179200
149,2022-09-06,1.30000,1.31900,1.30000,1.30000,106300
150,2022-09-02,1.35000,1.37000,1.30000,1.31000,158400
151,2022-09-01,1.38000,1.39000,1.30000,1.36000,205200
152,2022-08-31,1.35000,1.39000,1.35000,1.37000,116500
153,2022-08-30,1.36000,1.39400,1.30000,1.35000,195200
154,2022-08-29,1.35000,1.38000,1.31000,1.33000,220400
155,2022-08-26,1.45000,1.45000,1.32000,1.37000,287300
156,2022-08-25,1.45000,1.45800,1.41000,1.44000,173600
157,2022-08-24,1.35000,1.44000,1.35000,1.41500,213000
158,2022-08-23,1.34000,1.37000,1.32000,1.35000,161500
159,2022-08-22,1.34000,1.40000,1.31000,1.32000,290300
160,2022-08-19,1.50000,1.51000,1.35000,1.38000,638500
161,2022-08-18,1.42000,1.55000,1.42000,1.52000,446300
162,2022-08-17,1.56000,1.56700,1.43000,1.44000,562300
163,2022-08-16,1.48000,1.55000,1.47000,1.53500,828300
164,2022-08-15,1.44000,1.48000,1.38000,1.45000,547900
165,2022-08-12,1.35000,1.40000,1.33000,1.38000,591400
166,2022-08-11,1.46000,1.55000,1.35000,1.36000,1104600
167,2022-08-10,1.33000,1.38000,1.31000,1.34000,887300
168,2022-08-09,1.35000,1.38000,1.29000,1.30000,371400
169,2022-08-08,1.36000,1.39000,1.35000,1.38000,355900
170,2022-08-05,1.29000,1.34000,1.26000,1.32000,237400
171,2022-08-04,1.42000,1.42000,1.21500,1.29000,987500
172,2022-08-03,1.30000,1.47900,1.29000,1.42000,1092100
173,2022-08-02,1.25000,1.30000,1.24000,1.30000,520800
174,2022-08-01,1.20000,1.25000,1.19000,1.24000,322100
175,2022-07-29,1.15000,1.20000,1.13000,1.18000,297700
176,2022-07-28,1.05000,1.17000,1.04000,1.15000,556600
177,2022-07-27,1.05000,1.08000,1.01000,1.08000,226800
178,2022-07-26,1.04000,1.06000,1.01000,1.02000,193700
179,2022-07-25,1.09000,1.09700,1.06000,1.06000,135100
180,2022-07-22,1.05000,1.09000,1.03400,1.08000,304900
181,2022-07-21,1.03000,1.04400,1.00000,1.04000,199100
182,2022-07-20,0.99000,1.03000,0.98300,1.02000,152500
183,2022-07-19,1.01000,1.02900,0.98500,1.00000,270200
184,2022-07-18,0.99800,1.00000,0.95400,1.00000,265700
185,2022-07-15,0.96700,0.97000,0.95000,0.96300,77300
186,2022-07-14,0.96000,0.96000,0.94100,0.95800,108500
187,2022-07-13,0.98000,1.00000,0.94000,0.95600,315400
188,2022-07-12,0.94700,1.02000,0.94400,1.01000,249600
189,2022-07-11,0.98000,0.99000,0.95300,0.95300,101700
190,2022-07-08,0.98000,1.02000,0.97300,0.99000,189400
191,2022-07-07,0.96600,1.03000,0.96000,1.00000,334700
192,2022-07-06,0.99000,0.99000,0.94200,0.96400,102300
193,2022-07-05,0.97000,0.97000,0.93400,0.94200,189300
194,2022-07-01,1.00000,1.02000,0.96200,0.96200,245600
195,2022-06-30,0.97000,1.01000,0.95000,1.00000,159600
196,2022-06-29,1.00000,1.01000,0.96000,0.98600,141300
197,2022-06-28,1.00000,1.04000,0.99000,0.99000,241500
198,2022-06-27,1.00000,1.03000,1.00000,1.01000,112600
199,2022-06-24,1.01000,1.05000,1.01000,1.03000,227000
200,2022-06-23,1.05000,1.05000,1.02000,1.02000,173800
201,2022-06-22,0.98000,1.05000,0.98000,1.04000,150300
202,2022-06-21,0.99000,1.02000,0.99000,1.02000,183400
203,2022-06-17,0.97000,1.01500,0.97000,0.99900,175000
204,2022-06-16,0.99000,1.00000,0.95000,0.97200,242600
205,2022-06-15,0.94400,1.01000,0.94400,1.00000,259500
206,2022-06-14,0.96600,0.98000,0.93000,0.95300,139900
207,2022-06-13,1.00000,1.02000,0.92000,0.93100,595900
208,2022-06-10,1.05000,1.08000,1.01000,1.08000,224800
209,2022-06-09,1.12000,1.12000,1.03700,1.05000,301200
210,2022-06-08,1.05000,1.12000,1.02300,1.12000,464300
211,2022-06-07,1.02000,1.05000,1.01000,1.03000,281000
212,2022-06-06,1.09000,1.09000,1.01000,1.02000,263300
213,2022-06-03,1.06000,1.09000,1.04000,1.09000,414800
214,2022-06-02,0.99000,1.11600,0.97100,1.07000,2081300
215,2022-06-01,1.02000,1.04000,0.96800,0.99000,253300
216,2022-05-31,1.01000,1.04000,0.99000,1.03000,196800
217,2022-05-27,0.96600,1.01000,0.92000,1.01000,257000
218,2022-05-26,0.96000,0.97000,0.91000,0.95000,208700
219,2022-05-25,0.91000,0.95300,0.91000,0.94300,240900
220,2022-05-24,0.91000,0.94000,0.88000,0.90600,409800
221,2022-05-23,0.97000,0.98000,0.91400,0.94000,287800
222,2022-05-20,0.99000,1.00000,0.94000,0.96000,172900
223,2022-05-19,0.99000,1.01000,0.97000,0.99900,246800
224,2022-05-18,0.96000,1.00000,0.95000,0.96000,178100
225,2022-05-17,0.90900,0.97000,0.90900,0.96200,237200
226,2022-05-16,0.91000,0.94000,0.88000,0.89000,223200
227,2022-05-13,0.87900,0.93000,0.86000,0.89300,447000
228,2022-05-12,0.86300,0.88000,0.81500,0.83700,377300
229,2022-05-11,0.85400,0.92000,0.83000,0.86300,568500
230,2022-05-10,0.88000,0.90400,0.83000,0.85000,470400
231,2022-05-09,0.90000,0.92000,0.86000,0.86400,494800
232,2022-05-06,0.99000,0.99000,0.91000,0.92000,583300
233,2022-05-05,1.02000,1.03000,0.97100,0.98400,545000
234,2022-05-04,1.03000,1.05000,1.00000,1.05000,294900
235,2022-05-03,1.01000,1.05000,1.01000,1.03000,171200
236,2022-05-02,1.00000,1.04000,0.99000,1.03000,279700
237,2022-04-29,1.02000,1.05000,1.01000,1.02000,196800
238,2022-04-28,1.03000,1.04000,0.99000,1.03000,297400
239,2022-04-27,1.05000,1.05000,0.99000,1.01000,314700
240,2022-04-26,1.06000,1.06000,0.98000,0.99900,863700
241,2022-04-25,1.03000,1.05000,1.01000,1.05000,376500
242,2022-04-22,1.07000,1.08000,1.03000,1.05000,323600
243,2022-04-21,1.12000,1.13000,1.05000,1.05000,641700
244,2022-04-20,1.10000,1.18000,1.05200,1.14000,1698300
245,2022-04-19,1.04000,1.08000,1.03000,1.07000,325100
246,2022-04-18,1.08000,1.09000,1.02000,1.04000,580700
247,2022-04-14,1.10000,1.10000,1.05000,1.05000,309100
248,2022-04-13,1.09000,1.10000,1.07000,1.10000,217900
249,2022-04-12,1.10000,1.13000,1.07000,1.07000,288600
250,2022-04-11,1.07000,1.11000,1.06000,1.10000,157100
251,2022-04-08,1.13000,1.13000,1.08000,1.09000,232900
252,2022-04-07,1.14000,1.14000,1.08000,1.13000,275400
253,2022-04-06,1.15000,1.16800,1.09000,1.13000,361300
254,2022-04-05,1.19000,1.20000,1.15000,1.16000,286800
255,2022-04-04,1.18000,1.21000,1.18000,1.18000,275100
256,2022-04-01,1.21000,1.22000,1.18000,1.18000,292400
257,2022-03-31,1.23000,1.24000,1.19000,1.20000,388300
258,2022-03-30,1.25000,1.28000,1.22000,1.23000,450700
259,2022-03-29,1.21000,1.28000,1.21000,1.25000,486600
260,2022-03-28,1.23000,1.24000,1.16000,1.21000,410300
261,2022-03-25,1.25000,1.25000,1.20000,1.21000,363000
262,2022-03-24,1.27000,1.27000,1.22000,1.26000,407200
