,datetime,open,high,low,close,volume
0,2023-04-04,0.09000,0.09000,0.09000,0.09000,30514
1,2023-03-30,21.84000,21.90000,21.76000,21.76000,496
2,2023-03-30,21.78000,21.90000,21.70000,21.76000,3273
3,2023-03-29,20.96000,21.86000,20.96000,21.70000,5132
4,2023-03-29,20.28000,21.54000,20.28000,21.06000,15562
5,2023-03-28,21.36000,21.36000,20.28000,21.04000,6700
6,2023-03-28,21.55000,21.80000,20.38000,21.06000,6804
7,2023-03-27,21.46000,21.50000,21.18000,21.18000,99
8,2023-03-27,21.39000,21.39000,20.88000,21.21000,20870
9,2023-03-26,21.24000,21.24000,21.04000,21.21000,1289
10,2023-03-24,0.08900,20.92000,0.08900,20.86000,3484
11,2023-03-24,22.62000,22.62000,20.74000,20.86000,48846
12,2023-03-23,22.17000,22.36000,21.74000,21.90000,30006
13,2023-03-22,22.76000,22.76000,22.14000,22.25000,8691
14,2023-03-21,22.56000,22.86000,22.16000,22.35000,11864
15,2023-03-20,22.19000,22.92000,21.60000,22.70000,21075
16,2023-03-17,23.24000,23.44000,22.64000,22.64000,5673
17,2023-03-16,23.61000,23.61000,22.68000,23.07000,23438
18,2023-03-15,23.79000,23.79000,23.18000,23.79000,20848
19,2023-03-14,24.02000,24.12000,23.77529,24.12000,4621
20,2023-03-13,24.45000,24.46000,23.78000,24.00000,32210
21,2023-03-10,0.09000,0.09000,0.09000,0.09000,0
22,2023-03-10,24.45000,24.45000,24.00000,24.12000,21450
23,2023-03-09,0.08000,0.08000,0.08000,0.08000,0
24,2023-03-09,25.00000,25.12000,24.47000,24.47000,3473
25,2023-03-08,0.08000,0.08000,0.08000,0.08000,0
26,2023-03-08,24.61000,24.92000,24.61000,24.92000,1456
27,2023-03-07,0.08000,0.08000,0.08000,0.08000,0
28,2023-03-07,24.55000,24.76000,24.55000,24.75000,2741
29,2023-03-06,0.08000,0.08000,0.08000,0.08000,0
30,2023-03-06,25.08000,25.20000,24.67607,24.77000,940
31,2023-03-03,24.67000,25.08000,24.67000,25.08000,11077
32,2023-03-02,0.08000,0.08010,0.08000,0.08000,1674
33,2023-03-02,25.10000,25.10000,24.56000,24.69000,30092
34,2023-03-01,0.08500,0.08500,0.08500,0.08500,350
35,2023-03-01,24.90000,24.90000,24.56000,24.73000,860
36,2023-02-28,24.92000,24.96000,24.48000,24.55000,2598
37,2023-02-27,24.86000,24.86000,24.65000,24.65000,125
38,2023-02-24,0.08000,0.08000,0.08000,0.08000,0
39,2023-02-24,25.08000,25.08000,24.60000,24.67000,7994
40,2023-02-23,24.90000,25.20000,24.64000,24.94000,12223
41,2023-02-22,0.08160,0.08160,0.08160,0.08160,0
42,2023-02-22,25.10000,25.10000,24.46386,24.88000,10234
43,2023-02-21,25.45000,25.46000,25.06000,25.41000,6440
44,2023-02-20,25.90000,25.90000,25.66000,25.74000,84953
45,2023-02-17,0.08000,0.08000,0.08000,0.08000,0
46,2023-02-17,25.82000,26.10000,25.82000,25.88000,3151
47,2023-02-16,26.03000,26.18000,25.84000,25.96000,10281
48,2023-02-15,26.97000,26.97000,25.96000,26.21000,81295
49,2023-02-14,26.78000,26.96000,26.62000,26.74000,66240
50,2023-02-13,0.08000,0.08000,0.08000,0.08000,0
51,2023-02-13,27.34000,27.34000,26.88000,26.91000,3322
52,2023-02-10,25.78000,27.30000,25.78000,27.13000,33673
53,2023-02-09,28.53000,28.53000,25.52000,25.86000,143542
54,2023-02-08,0.07800,0.07800,0.07800,0.07800,0
55,2023-02-08,29.53000,30.60000,26.92000,28.06000,135686
56,2023-02-07,32.32000,32.84000,32.32000,32.71000,23122
57,2023-02-06,32.61000,32.61000,31.80000,32.49000,57699
58,2023-02-03,32.55000,32.94000,32.32000,32.43000,20569
59,2023-02-02,32.41000,33.48000,32.41000,32.63000,11654
60,2023-02-01,31.89000,32.96000,31.89000,32.61000,15984
61,2023-01-31,32.43000,32.43000,31.70000,32.24000,11289
62,2023-01-30,32.22000,32.43000,31.96000,32.43000,2286
63,2023-01-27,32.59000,32.73000,32.00000,32.73000,11140
64,2023-01-26,32.24000,32.24000,31.14000,31.61000,13482
65,2023-01-25,31.20000,31.96000,31.20000,31.71000,2202
66,2023-01-24,30.78000,31.18000,30.70000,31.17000,22513
67,2023-01-23,0.07000,0.07500,0.07000,0.07500,5468
68,2023-01-23,30.62000,31.14000,30.62000,30.87000,2345
69,2023-01-20,30.74000,30.74000,30.26000,30.64000,10445
70,2023-01-19,30.35000,30.64000,29.78000,30.33000,42017
71,2023-01-18,30.54000,30.78000,30.34000,30.44000,14328
72,2023-01-17,30.72000,30.72000,30.30000,30.44000,13844
73,2023-01-16,30.50000,31.08000,30.50000,30.76000,10477
74,2023-01-13,0.07000,0.07010,0.07000,0.07000,800
75,2023-01-13,30.85000,30.85000,30.48000,30.76000,5729
