,datetime,open,high,low,close,volume
0,2023-04-11,58.52000,59.49000,57.96000,58.71000,1787600
1,2023-04-10,56.19000,58.67000,55.35000,58.28000,2316300
2,2023-04-06,57.13000,58.00000,55.26000,57.44000,2413000
3,2023-04-05,58.60000,58.91000,56.71000,57.76000,3460800
4,2023-04-04,62.26000,62.51000,58.88000,59.50000,1969900
5,2023-04-03,63.22000,64.35000,60.97000,62.35000,1953600
6,2023-03-31,63.43000,66.28000,63.11000,64.95000,1740200
7,2023-03-30,65.00000,65.19000,62.99000,63.56000,2131200
8,2023-03-29,62.23000,64.52000,61.76000,63.95000,1981600
9,2023-03-28,61.32000,61.64000,58.66000,60.69000,2732800
10,2023-03-27,61.98000,63.03000,60.53000,61.60000,1365500
11,2023-03-24,62.33000,62.58000,60.62000,61.30000,1741400
12,2023-03-23,61.94000,64.58000,61.01000,62.95000,1432700
13,2023-03-22,63.78000,64.92000,60.91000,61.19000,1666200
14,2023-03-21,63.09000,65.14000,63.09000,63.80000,1610800
15,2023-03-20,61.63000,62.84000,61.12000,62.28000,1273900
16,2023-03-17,63.63000,63.86000,61.49000,62.00000,3029100
17,2023-03-16,62.32000,63.30000,61.36000,63.11000,2289600
18,2023-03-15,63.57000,63.98000,60.90000,62.60000,2307800
19,2023-03-14,65.28000,66.54000,63.87000,65.08000,2566600
20,2023-03-13,62.00000,65.47000,60.90000,63.51000,2510900
21,2023-03-10,67.50000,67.51000,62.28000,62.52000,3570100
22,2023-03-09,70.15000,71.29000,67.29000,67.43000,2120200
23,2023-03-08,69.61000,71.22000,68.67000,70.15000,2142600
24,2023-03-07,71.00000,71.16000,68.94000,70.11000,2031900
25,2023-03-06,72.89000,74.55000,70.92000,71.27000,2658100
26,2023-03-03,70.00000,73.83000,69.26000,73.16000,3113700
27,2023-03-02,66.74000,70.43000,64.52000,69.58000,8469600
28,2023-03-01,74.14000,77.72000,73.78000,74.80000,1786200
29,2023-02-28,72.13000,75.51000,71.85000,73.98000,1710500
30,2023-02-27,73.00000,73.55000,71.87000,72.50000,1231100
31,2023-02-24,73.28000,73.71000,71.32000,71.64000,1472200
32,2023-02-23,74.15000,75.32000,71.97000,74.40000,1870800
33,2023-02-22,72.85000,74.17000,72.05000,72.54000,1343200
34,2023-02-21,76.31000,77.13000,71.99000,72.02000,1853800
35,2023-02-17,79.75000,80.41000,76.34000,77.63000,1805300
36,2023-02-16,81.04000,82.90000,80.53000,80.79000,1230400
37,2023-02-15,80.49000,83.40000,79.56000,82.97000,1665600
38,2023-02-14,78.02000,81.34000,77.85000,80.92000,1369700
39,2023-02-13,79.48000,80.23000,78.43000,79.78000,874500
40,2023-02-10,80.63000,80.94000,78.17000,78.98000,2423300
41,2023-02-09,82.06000,84.50000,81.35000,81.89000,1420500
42,2023-02-08,82.43000,83.80000,80.50000,80.57000,1629200
43,2023-02-07,79.60000,83.15000,79.52000,82.94000,1991600
44,2023-02-06,80.08000,81.64000,78.97000,79.34000,1450000
45,2023-02-03,84.44000,85.24000,81.25000,81.68000,1903700
46,2023-02-02,86.52000,87.93000,82.77000,86.54000,3484700
47,2023-02-01,78.06000,85.39000,77.17000,83.91000,3619700
48,2023-01-31,73.77000,77.01000,73.77000,77.01000,2141500
49,2023-01-30,77.73000,79.12000,73.65000,73.76000,2259200
50,2023-01-27,76.19000,79.12000,74.13000,78.92000,3842900
51,2023-01-26,79.89000,80.85000,76.84000,77.09000,5696100
52,2023-01-25,79.77000,82.59000,78.11000,81.96000,2993300
53,2023-01-24,84.98000,87.00000,80.28000,81.61000,4028700
54,2023-01-23,81.54000,85.87000,80.30000,85.72000,2274400
55,2023-01-20,77.88000,80.13000,75.98000,79.92000,2035100
56,2023-01-19,79.34000,80.00000,74.69000,76.31000,2640200
57,2023-01-18,82.38000,83.68000,80.45000,81.12000,2020100
58,2023-01-17,79.70000,81.37000,79.11000,80.92000,1680400
59,2023-01-13,77.25000,80.33000,77.25000,79.87000,1717700
60,2023-01-12,77.56000,78.77000,75.48000,78.63000,2158800
61,2023-01-11,74.88000,77.00000,73.91000,76.98000,2205000
62,2023-01-10,72.00000,74.23000,71.54000,74.23000,1587700
63,2023-01-09,72.12000,73.70000,69.87000,72.78000,3575200
64,2023-01-06,69.15000,71.07000,66.61000,70.57000,2191700
65,2023-01-05,70.10000,71.07000,68.71000,68.93000,2413200
66,2023-01-04,68.62000,71.00000,67.35000,70.14000,2726000
67,2023-01-03,70.75000,71.43000,65.83000,67.22000,2881400
68,2022-12-30,67.75000,69.13000,67.31000,69.04000,1079700
69,2022-12-29,68.84000,70.69000,68.28000,69.24000,1557400
70,2022-12-28,68.98000,69.82000,67.10000,67.37000,1352000
71,2022-12-27,72.05000,72.06000,69.62000,69.81000,1607300
72,2022-12-23,72.74000,73.39000,70.25000,72.27000,1230700
73,2022-12-22,75.38000,75.75000,71.15000,73.49000,3474100
74,2022-12-21,75.99000,77.43000,75.51000,77.34000,2839600
75,2022-12-20,74.41000,77.53000,74.06000,75.53000,3115900
76,2022-12-19,77.01000,77.73000,74.38000,75.55000,2973100
77,2022-12-16,78.42000,80.77000,76.16000,77.06000,3072500
78,2022-12-15,80.00000,82.91000,78.54000,78.64000,2847900
79,2022-12-14,83.13000,84.46000,80.67000,81.22000,1606200
80,2022-12-13,87.42000,87.42000,81.37000,83.46000,1694100
81,2022-12-12,81.82000,83.94000,81.54000,83.23000,1638500
82,2022-12-09,84.94000,85.47000,82.50000,82.67000,1366100
83,2022-12-08,83.33000,85.47000,81.87000,85.44000,2825900
84,2022-12-07,80.06000,81.83000,79.81000,81.37000,1751500
85,2022-12-06,82.74000,82.94000,79.52000,80.77000,1629800
86,2022-12-05,83.68000,84.69000,80.84000,82.54000,2151300
87,2022-12-02,84.01000,84.72000,82.04000,84.29000,2399600
88,2022-12-01,90.11000,90.90000,86.16000,86.16000,2828000
89,2022-11-30,84.18000,91.57000,83.38000,90.92000,9740400
90,2022-11-29,85.06000,86.54000,83.16000,83.18000,2015700
91,2022-11-28,88.17000,90.00000,83.23000,83.96000,2676900
92,2022-11-25,91.83000,92.05000,90.03000,90.03000,656900
93,2022-11-23,91.00000,92.56000,90.01000,91.94000,1339700
94,2022-11-22,88.13000,90.86000,87.85000,90.84000,1817400
95,2022-11-21,91.04000,91.44000,88.15000,88.18000,1627700
96,2022-11-18,91.25000,92.31000,89.63000,91.04000,1487300
97,2022-11-17,87.84000,92.59000,87.05000,90.73000,6338800
98,2022-11-16,89.00000,93.00000,88.06000,88.06000,5893400
99,2022-11-15,92.83000,95.63000,92.17000,93.81000,2361000
100,2022-11-14,90.00000,91.31000,85.34000,89.19000,2165300
101,2022-11-11,88.57000,93.17000,87.65000,91.80000,3364300
