,datetime,open,high,low,close,volume
0,2023-04-11,37.50000,37.69000,36.87000,36.95000,133000
1,2023-04-10,36.61000,37.53000,36.61000,37.33000,341900
2,2023-04-06,36.36000,36.95000,36.18000,36.94000,241600
3,2023-04-05,36.25000,37.31000,36.02000,36.23000,267500
4,2023-04-04,37.78000,38.17000,36.12000,36.68000,290500
5,2023-04-03,37.72000,38.28000,36.86000,37.40000,210200
6,2023-03-31,37.80000,38.21000,37.35000,37.61000,270200
7,2023-03-30,38.65000,39.01000,37.31000,37.49000,231900
8,2023-03-29,38.34000,38.37000,37.46000,38.19000,306400
9,2023-03-28,37.47000,38.32000,36.09000,37.86000,300400
10,2023-03-27,38.60000,38.60000,37.82000,37.92000,258100
11,2023-03-24,36.47000,38.10000,34.83000,37.97000,360800
12,2023-03-23,38.55000,39.49000,36.71000,37.05000,299100
13,2023-03-22,39.73000,39.96000,38.08000,38.19000,326300
14,2023-03-21,40.01000,40.38000,39.39000,39.99000,361700
15,2023-03-20,39.35000,40.29000,38.54000,38.57000,405400
16,2023-03-17,39.77000,40.13000,38.06000,38.63000,1431700
17,2023-03-16,39.03000,41.77000,38.28000,40.96000,319800
18,2023-03-15,37.99000,39.69000,37.40000,39.49000,432200
19,2023-03-14,41.80000,42.47000,39.27000,39.56000,405500
20,2023-03-13,41.69000,41.89000,38.59000,38.69000,576500
21,2023-03-10,43.24000,44.34000,41.85000,42.98000,376800
22,2023-03-09,46.53000,46.56000,44.07000,44.21000,230800
23,2023-03-08,46.58000,47.04000,46.16000,46.83000,194700
24,2023-03-07,48.03000,48.03000,46.19000,46.44000,291900
25,2023-03-06,49.28000,49.57000,47.73000,48.04000,272700
26,2023-03-03,48.30000,49.38000,47.98750,49.34000,196821
27,2023-03-02,48.85000,48.85000,48.05000,48.20000,191461
28,2023-03-01,49.77000,49.87000,49.17000,49.22000,249657
29,2023-02-28,49.90000,50.53000,49.54000,49.91000,197961
30,2023-02-27,49.63000,50.01000,49.32000,49.96000,202352
31,2023-02-24,49.43000,49.50000,48.86000,49.30000,210311
32,2023-02-23,49.86000,50.08500,49.38000,49.69000,169641
33,2023-02-22,49.84000,50.58000,49.59000,49.75000,352368
34,2023-02-21,50.38000,50.64000,49.83500,50.02000,235196
35,2023-02-17,50.61000,51.45000,50.17000,50.85000,223928
36,2023-02-16,50.06000,50.93000,50.00000,50.44000,182418
37,2023-02-15,50.31000,51.10000,49.89000,50.60000,202663
38,2023-02-14,51.12000,51.77000,50.61420,50.72000,193119
39,2023-02-13,50.36000,51.25500,50.04000,51.16000,178087
40,2023-02-10,50.00000,50.67000,49.80000,50.45000,307985
41,2023-02-09,50.15000,50.61000,50.00000,50.00000,270808
42,2023-02-08,50.26000,50.86000,49.87000,50.17000,248784
43,2023-02-07,50.09000,50.86000,49.94000,50.70000,190637
44,2023-02-06,50.15000,50.78000,49.30000,50.27000,196840
45,2023-02-03,49.67000,51.34500,49.47000,50.51000,383755
46,2023-02-02,48.91000,50.46000,48.56500,49.84000,364660
47,2023-02-01,47.30000,49.32500,47.16000,48.65000,373931
48,2023-01-31,46.90000,48.75000,46.65000,48.31000,437269
49,2023-01-30,47.76000,48.27000,45.87000,46.83000,275804
50,2023-01-27,49.00000,50.55000,47.50000,47.88000,544669
51,2023-01-26,47.41000,47.88000,46.45000,46.58000,189783
52,2023-01-25,47.18000,47.42000,46.56000,47.07000,214462
53,2023-01-24,47.96000,48.13000,47.35000,47.40000,152638
54,2023-01-23,48.04000,48.59000,47.66000,48.34000,178627
55,2023-01-20,47.67000,48.42500,47.17770,48.16000,306503
