,datetime,open,high,low,close,volume
0,2023-04-11,38.05000,39.45000,38.02000,39.04000,968300
1,2023-04-10,37.18000,38.00000,36.89000,37.86000,855900
2,2023-04-06,37.65000,37.96000,37.27000,37.38000,860900
3,2023-04-05,38.70000,38.79000,37.87000,37.93000,744200
4,2023-04-04,40.29000,40.43000,38.93000,39.25000,542900
5,2023-04-03,39.78000,40.17000,39.32000,40.08000,630800
6,2023-03-31,39.30000,40.09000,39.06000,40.00000,861100
7,2023-03-30,39.35000,39.60000,38.80000,38.99000,518400
8,2023-03-29,39.19000,39.50000,38.53000,38.94000,623500
9,2023-03-28,38.59000,38.97000,38.36000,38.79000,526200
10,2023-03-27,39.41000,39.60000,38.44000,38.62000,865400
11,2023-03-24,38.98000,39.27000,38.50000,39.11000,761900
12,2023-03-23,39.39000,40.06000,38.85000,39.54000,774900
13,2023-03-22,39.38000,40.31000,38.87000,38.88000,1030000
14,2023-03-21,39.09000,40.07000,38.99000,39.41000,709200
15,2023-03-20,38.45000,39.36000,38.07000,38.49000,1004600
16,2023-03-17,38.58000,38.73000,38.01000,38.50000,1017500
17,2023-03-16,38.29000,39.23000,37.95000,38.57000,895600
18,2023-03-15,37.50000,38.78000,36.93000,38.67000,1238600
19,2023-03-14,39.00000,39.18000,37.68000,38.19000,946600
20,2023-03-13,36.49000,38.30000,36.28000,37.87000,1874000
21,2023-03-10,37.33000,37.88000,36.64000,37.24000,2626500
22,2023-03-09,38.80000,38.92000,37.60000,37.67000,1234300
23,2023-03-08,38.78000,38.92000,38.09000,38.78000,772600
24,2023-03-07,38.38000,39.43000,38.20000,38.78000,885400
25,2023-03-06,39.70000,39.70000,38.32000,38.51000,1086200
26,2023-03-03,39.31000,39.75000,39.17000,39.47000,1233400
27,2023-03-02,37.23000,38.72000,37.00000,38.39000,1084500
28,2023-03-01,39.30000,39.30000,37.79000,37.94000,1345800
29,2023-02-28,38.89000,39.34000,38.45000,38.98000,1820000
30,2023-02-27,38.81000,39.37000,38.42000,38.91000,1238000
31,2023-02-24,38.25000,38.60000,37.54000,38.33000,1786100
32,2023-02-23,35.00000,39.93000,34.80000,39.31000,5917200
33,2023-02-22,39.98000,40.19000,39.00000,39.74000,1883600
34,2023-02-21,40.83000,41.32000,38.86000,39.54000,1971100
35,2023-02-17,40.59000,41.86000,40.37000,41.67000,1639700
36,2023-02-16,43.15000,43.49000,40.91000,40.95000,1423900
37,2023-02-15,42.63000,44.22000,42.39000,44.12000,708800
38,2023-02-14,42.11000,43.42000,41.73000,43.14000,829400
39,2023-02-13,41.11000,42.85000,40.70000,42.60000,1197600
40,2023-02-10,40.74000,41.02000,39.61000,40.78000,1440700
41,2023-02-09,44.04000,44.28000,41.33000,41.35000,1317400
42,2023-02-08,44.22000,44.57000,43.18000,43.52000,1592600
43,2023-02-07,43.64000,44.73000,42.55000,44.63000,2428100
44,2023-02-06,46.70000,47.27000,46.10000,46.25000,878700
45,2023-02-03,46.78000,48.53000,46.21000,47.60000,1094600
46,2023-02-02,47.00000,49.02000,46.91000,48.25000,950300
47,2023-02-01,44.78000,46.69000,44.31000,46.26000,1222300
48,2023-01-31,43.88000,44.78000,43.88000,44.76000,736100
49,2023-01-30,43.96000,45.25000,43.73000,43.73000,871700
50,2023-01-27,43.87000,45.03000,43.61000,44.64000,1133800
51,2023-01-26,43.91000,44.23000,43.04000,44.10000,1246000
52,2023-01-25,42.10000,43.07000,41.58000,42.94000,1041100
53,2023-01-24,37.99000,43.94000,37.99000,42.82000,774900
54,2023-01-23,43.19000,44.32000,42.57000,44.01000,1107500
55,2023-01-20,42.19000,43.20000,41.97000,42.93000,1195900
56,2023-01-19,41.13000,42.20000,40.92000,41.96000,1484600
57,2023-01-18,43.56000,44.23000,40.44000,41.83000,4044600
58,2023-01-17,44.49000,45.51000,44.35000,45.21000,1231700
59,2023-01-13,43.65000,45.63000,43.65000,44.98000,1278700
60,2023-01-12,44.40000,44.95000,43.27000,44.59000,1087700
61,2023-01-11,42.76000,44.40000,42.37000,43.99000,1006900
62,2023-01-10,42.72000,43.09000,41.59000,42.36000,803100
63,2023-01-09,42.40000,43.09000,41.63000,42.73000,910600
64,2023-01-06,42.06000,42.73000,40.58000,41.88000,1090300
65,2023-01-05,41.52000,41.80000,41.00000,41.69000,886000
66,2023-01-04,41.04000,42.56000,40.76000,42.18000,1136400
67,2023-01-03,42.23000,42.63000,39.79000,40.27000,812900
68,2022-12-30,40.55000,41.42000,40.21000,41.31000,538100
69,2022-12-29,40.48000,41.71000,40.01000,41.38000,885700
70,2022-12-28,40.83000,40.92000,39.49000,39.81000,776200
71,2022-12-27,41.34000,41.34000,40.43000,40.70000,571200
72,2022-12-23,40.94000,41.54000,40.37000,41.54000,505300
73,2022-12-22,40.95000,41.06000,40.11000,40.93000,749100
74,2022-12-21,41.47000,42.02000,41.02000,41.65000,974700
75,2022-12-20,40.05000,40.97000,39.73000,40.76000,1087100
76,2022-12-19,41.92000,41.92000,40.59000,40.74000,994400
77,2022-12-16,42.62000,43.35000,41.80000,41.95000,2123500
78,2022-12-15,44.52000,44.82000,43.05000,43.11000,1050200
79,2022-12-14,45.79000,46.63000,45.23000,45.72000,926400
80,2022-12-13,48.00000,48.44000,45.31000,46.04000,1280900
81,2022-12-12,44.63000,45.58000,44.12000,45.55000,1014200
82,2022-12-09,44.78000,45.59000,44.14000,44.66000,944400
83,2022-12-08,44.15000,45.35000,43.78000,45.28000,901100
84,2022-12-07,42.64000,44.00000,42.20000,43.63000,846800
85,2022-12-06,45.18000,45.25000,42.56000,42.85000,1522500
86,2022-12-05,46.45000,46.98000,44.91000,45.28000,1107600
87,2022-12-02,45.53000,47.87000,44.80000,46.99000,1319000
88,2022-12-01,45.05000,46.40000,44.78000,46.24000,1779000
89,2022-11-30,42.59000,44.95000,42.04000,44.89000,1587300
90,2022-11-29,41.38000,43.07000,41.13000,42.24000,1572400
91,2022-11-28,40.23000,41.39000,40.23000,41.25000,928600
92,2022-11-25,40.83000,41.01000,40.53000,40.85000,237500
93,2022-11-23,41.31000,41.55000,40.60000,41.04000,745800
94,2022-11-22,40.95000,41.19000,40.06000,41.10000,884200
95,2022-11-21,41.63000,41.90000,40.50000,41.05000,1452400
96,2022-11-18,43.48000,44.19000,41.57000,42.16000,1548200
97,2022-11-17,42.85000,43.61000,42.43000,42.90000,1420600
98,2022-11-16,43.51000,43.78000,42.55000,43.04000,1116300
99,2022-11-15,45.60000,46.15000,43.83000,44.22000,2075800
100,2022-11-14,44.00000,44.95000,42.80000,44.15000,1801100
