,datetime,open,high,low,close,volume
0,2023-04-19,10.15000,10.15000,10.07000,10.07000,400
1,2023-04-18,10.06000,10.06000,10.06000,10.06000,100
2,2023-04-17,10.11000,10.11000,10.11000,10.11000,0
3,2023-04-14,10.11000,10.11000,10.11000,10.11000,0
4,2023-04-13,10.11000,10.11000,10.11000,10.11000,0
5,2023-04-12,10.11000,10.11000,10.11000,10.11000,0
6,2023-04-11,10.11000,10.11000,10.11000,10.11000,0
7,2023-04-10,10.10000,10.11000,10.10000,10.11000,4300
8,2023-04-06,10.16000,10.16000,10.16000,10.16000,0
9,2023-04-05,10.16000,10.16000,10.16000,10.16000,0
10,2023-04-04,10.14000,10.16000,10.14000,10.16000,1200
11,2023-04-03,10.09000,10.09000,10.09000,10.09000,0
12,2023-03-31,10.09000,10.09000,10.09000,10.09000,0
13,2023-03-30,10.09000,10.09000,10.09000,10.09000,0
14,2023-03-29,10.07000,10.09000,9.90000,10.09000,2100
15,2023-03-28,10.08000,10.08000,10.08000,10.08000,0
16,2023-03-27,10.08000,10.08000,10.08000,10.08000,100
17,2023-03-24,10.09000,10.09000,10.09000,10.09000,0
18,2023-03-23,10.09000,10.09000,10.09000,10.09000,0
19,2023-03-22,10.08000,10.09000,10.08000,10.09000,800
20,2023-03-21,10.13000,10.13000,9.69700,10.07000,9200
21,2023-03-20,10.02000,10.10000,9.68000,10.03000,7500
22,2023-03-17,10.10000,10.10000,10.10000,10.10000,0
23,2023-03-16,10.10000,10.10000,10.10000,10.10000,0
24,2023-03-15,10.10000,10.10000,10.10000,10.10000,0
25,2023-03-14,10.10000,10.10000,10.10000,10.10000,0
26,2023-03-13,10.10000,10.10000,10.10000,10.10000,0
27,2023-03-10,10.13000,10.50990,10.08000,10.10000,10800
28,2023-03-09,10.02000,10.02000,10.02000,10.02000,100
29,2023-03-08,10.05000,10.05000,10.05000,10.05000,0
30,2023-03-07,10.05000,10.05000,10.05000,10.05000,2200
31,2023-03-06,10.05000,10.05000,10.05000,10.05000,0
32,2023-03-03,10.05000,10.05000,10.05000,10.05000,0
33,2023-03-02,10.05000,10.05000,10.05000,10.05000,0
34,2023-03-01,10.05000,10.05000,10.05000,10.05000,2200
35,2023-02-28,10.00000,10.00000,10.00000,10.00000,0
36,2023-02-27,10.01900,10.01900,10.00000,10.00000,600
37,2023-02-24,9.83800,10.22000,9.17300,10.01000,14900
38,2023-02-23,9.89900,10.23000,9.29900,10.09000,34800
39,2023-02-22,10.12000,10.13500,10.12000,10.12000,17400
40,2023-02-03,10.10000,10.13000,10.10000,10.13000,0
41,2023-01-30,10.10000,10.10000,10.09000,10.09000,3300
42,2023-01-27,10.09000,10.10000,10.09000,10.09000,10100
