,datetime,open,high,low,close,volume
0,2023-04-19,24.11000,24.25000,24.10000,24.10000,900
1,2023-04-18,24.61000,24.61000,24.05000,24.20000,1700
2,2023-04-17,24.64000,24.96000,23.01000,24.96000,4500
3,2023-04-14,24.67000,24.67000,24.01000,24.64000,3700
4,2023-04-13,23.00000,24.70000,23.00000,24.70000,1600
5,2023-04-12,22.49000,23.50000,22.49000,23.02000,4700
6,2023-04-11,22.62000,22.62000,22.62000,22.62000,300
7,2023-04-10,22.58000,22.62000,22.58000,22.62000,1100
8,2023-04-06,23.46000,23.79000,22.20000,22.35000,7900
9,2023-04-05,24.00000,24.00000,22.80000,23.19000,2200
10,2023-04-04,24.47000,24.47000,23.05000,23.05000,2500
11,2023-04-03,24.83000,25.50000,23.87000,25.50000,6100
12,2023-03-31,21.46000,25.25000,21.14000,25.05000,21700
13,2023-03-30,22.43000,22.80000,22.00000,22.02000,3400
14,2023-03-29,23.70000,23.94000,21.52000,22.01000,12700
15,2023-03-28,23.21000,23.21000,23.21000,23.21000,300
16,2023-03-27,22.50000,23.88000,22.50000,23.21000,1700
17,2023-03-24,23.20000,23.20000,22.45000,22.45000,600
18,2023-03-23,22.70000,23.63000,21.71000,22.50000,2100
19,2023-03-22,22.49000,23.71000,22.00000,22.85000,1400
20,2023-03-21,20.27000,23.50000,20.27000,23.00000,3000
21,2023-03-20,22.24000,22.24000,21.74000,21.74000,500
22,2023-03-17,19.97000,21.89000,19.97000,21.89000,1900
23,2023-03-16,21.00000,21.01000,21.00000,21.00000,800
24,2023-03-15,19.27000,21.18000,19.27000,21.00000,1300
25,2023-03-14,18.50000,21.09000,18.50000,21.09000,1400
26,2023-03-13,19.70000,19.70000,19.22000,19.22000,600
27,2023-03-10,20.61000,20.61000,20.61000,20.61000,0
28,2023-03-09,20.61000,20.61000,20.61000,20.61000,0
29,2023-03-08,20.61000,20.61000,20.61000,20.61000,400
30,2023-03-07,21.00000,21.00000,21.00000,21.00000,100
31,2023-03-06,21.00000,21.00000,21.00000,21.00000,100
32,2023-03-03,21.40000,21.53000,20.53000,21.00000,3000
33,2023-03-02,21.50000,21.60000,21.50000,21.50000,1000
34,2023-03-01,22.25000,22.25000,22.25000,22.25000,0
35,2023-02-28,23.59000,23.59000,22.25000,22.25000,2700
36,2023-02-27,23.30000,24.53000,23.05000,23.05000,4600
37,2023-02-24,22.20000,24.33000,20.50000,23.24000,8400
38,2023-02-23,22.12000,23.80000,22.12000,23.80000,1600
39,2023-02-22,22.30000,22.30000,22.30000,22.30000,500
40,2023-02-21,22.30000,22.30000,22.30000,22.30000,600
41,2023-02-17,22.48000,23.00000,22.30000,22.30000,1400
42,2023-02-16,22.55000,22.55000,22.18000,22.18000,4100
43,2023-02-15,22.95000,23.00000,22.40000,23.00000,3500
44,2023-02-14,22.54000,22.65000,22.54000,22.65000,2500
45,2023-02-13,23.25000,23.25000,22.75000,23.00000,5000
46,2023-02-10,22.58000,22.76000,22.40000,22.75000,4700
47,2023-02-09,22.76000,22.94000,22.75000,22.94000,2400
48,2023-02-08,23.14000,23.25000,22.45000,22.45000,5700
49,2023-02-07,23.85000,23.85000,22.52000,23.13000,13600
50,2023-02-06,23.05000,23.30000,23.01000,23.30000,4000
51,2023-02-03,23.13000,23.31000,23.06000,23.15000,3800
52,2023-02-02,23.18000,24.36000,23.10000,23.63000,8700
53,2023-02-01,24.14000,24.29000,23.53000,23.79000,5600
54,2023-01-31,23.50000,24.14000,23.05000,24.14000,4500
55,2023-01-30,24.31000,24.31000,22.50000,23.39000,5400
56,2023-01-27,24.27000,24.28000,24.22000,24.22000,900
57,2023-01-23,25.15000,25.15000,24.18000,24.18000,2100
58,2023-01-19,25.60000,25.60000,25.60000,25.60000,300
59,2023-01-17,25.97000,26.34000,25.60000,25.60000,800
60,2023-01-13,26.00000,26.47000,25.51000,25.51000,1500
61,2023-01-12,27.29000,27.29000,27.21000,27.21000,2100
62,2023-01-11,25.99000,26.60000,25.99000,26.60000,1200
63,2023-01-10,24.00000,28.95000,24.00000,27.09000,17100
64,2023-01-09,24.10000,24.52000,24.08000,24.52000,1800
65,2023-01-06,24.28000,24.28000,24.28000,24.28000,900
66,2023-01-04,24.74000,25.00000,24.17000,24.80000,1800
67,2023-01-03,24.72000,24.72000,24.72000,24.72000,400
68,2022-12-30,24.67000,24.72000,24.52000,24.72000,600
69,2022-12-29,25.35000,25.36000,24.47000,24.47000,1500
70,2022-12-28,24.30000,24.48000,24.30000,24.48000,2900
71,2022-12-27,22.94000,24.30000,22.94000,23.98000,6500
72,2022-12-23,23.13000,23.13000,23.13000,23.13000,300
73,2022-12-22,23.00000,23.00000,23.00000,23.00000,300
74,2022-12-21,23.24000,23.24000,22.70000,23.00000,1600
75,2022-12-20,24.00000,24.20000,22.67000,22.98000,5300
76,2022-12-19,22.68000,24.13000,21.79000,23.76000,9200
77,2022-12-16,22.40000,22.40000,22.37000,22.37000,5500
78,2022-12-15,24.00000,24.47000,22.67000,24.00000,3600
79,2022-12-14,25.45000,26.70000,24.52000,24.66000,1900
80,2022-12-13,25.47000,26.00000,25.10000,25.10000,4200
81,2022-12-12,24.54000,27.50000,24.20000,25.81000,4400
82,2022-12-09,24.06000,25.25000,24.00000,24.75000,16100
83,2022-12-08,24.22000,24.51000,23.86000,24.05000,2000
84,2022-12-07,24.00000,24.70000,23.86000,24.17000,1600
85,2022-12-06,24.48000,24.99000,23.99000,24.11000,6100
86,2022-12-05,23.90000,24.33000,23.90000,24.33000,1400
87,2022-12-02,23.38000,24.50000,22.39000,24.33000,5100
88,2022-12-01,22.98000,24.00000,21.58000,23.56000,6400
89,2022-11-30,23.71000,23.71000,23.37000,23.37000,2900
90,2022-11-29,23.59000,23.69000,23.37000,23.37000,1700
91,2022-11-28,23.80000,23.95000,23.80000,23.80000,2200
92,2022-11-25,23.31000,23.31000,23.31000,23.31000,600
93,2022-11-23,23.35000,23.90000,23.14000,23.70000,2000
94,2022-11-22,22.65000,23.94000,22.14000,23.73000,3600
95,2022-11-21,23.20000,23.44000,22.91000,22.91000,2100
96,2022-11-18,23.35000,24.70000,23.35000,23.69000,7700
97,2022-11-17,21.50000,23.65000,21.50000,22.85000,19200
98,2022-11-16,21.15000,21.45000,21.15000,21.45000,3600
99,2022-11-15,21.01000,21.90000,21.01000,21.43000,3400
100,2022-11-14,20.74000,21.62000,20.60000,20.95000,8500
101,2022-11-11,20.22000,20.95000,20.22000,20.50000,2800
102,2022-11-10,20.56000,21.52000,20.56000,21.15000,3900
103,2022-11-09,20.68000,22.51000,20.18000,21.00000,10100
104,2022-11-08,21.22000,21.40000,19.73000,20.71000,7000
105,2022-11-07,21.01000,21.90000,21.01000,21.20000,5500
106,2022-11-04,21.60000,22.38000,20.82000,21.00000,11000
107,2022-11-03,21.01000,21.65000,20.93000,21.50000,10500
108,2022-11-02,22.00000,22.00000,20.94000,21.28000,2600
109,2022-11-01,22.03000,22.81000,21.36000,21.41000,3900
110,2022-10-31,21.11000,23.49000,21.11000,21.72000,14300
111,2022-10-28,20.81000,22.04000,20.80000,21.11000,5700
112,2022-10-27,21.65000,21.65000,19.78000,20.97000,2100
113,2022-10-26,20.30000,20.30000,19.38000,19.62000,1200
114,2022-10-25,20.36000,20.36000,20.36000,20.36000,500
115,2022-10-24,20.81000,22.25000,20.75000,20.90000,7800
116,2022-10-21,20.05000,20.97000,19.97000,20.88000,5100
117,2022-10-20,18.40000,21.50000,18.40000,20.37000,16400
118,2022-10-19,19.77000,21.70000,19.02000,19.60000,8700
119,2022-10-18,18.81000,22.90000,18.81000,19.49000,13800
120,2022-10-17,18.86000,18.86000,18.82000,18.82000,1000
121,2022-10-14,19.19000,19.19000,18.71000,18.71000,2200
122,2022-10-13,19.20000,20.61000,19.20000,20.15000,2300
123,2022-10-12,19.89000,20.00000,19.50000,19.94000,2600
124,2022-10-11,19.30000,19.30000,19.30000,19.30000,600
125,2022-10-10,19.30000,19.30000,19.30000,19.30000,400
126,2022-10-07,19.95000,20.20000,18.61000,19.30000,25300
127,2022-10-06,20.00000,20.35000,20.00000,20.29000,3100
128,2022-10-05,19.59000,20.49000,19.45000,20.49000,10600
129,2022-10-04,19.59000,21.75000,19.59000,19.90000,16600
130,2022-10-03,18.10000,19.99000,18.00000,19.55000,9900
131,2022-09-30,18.00000,18.41000,16.75000,17.12000,24500
132,2022-09-29,19.00000,19.10000,18.01000,18.11000,14300
133,2022-09-28,19.39000,19.66000,18.63000,19.00000,33800
134,2022-09-27,21.32000,21.32000,19.14000,19.14000,1800
135,2022-09-26,22.07000,22.22000,20.68000,20.68000,13900
136,2022-09-23,22.71000,22.85000,20.34000,22.50000,25400
137,2022-09-22,22.13000,23.00000,20.56000,22.95000,27300
138,2022-09-21,19.44000,22.75000,19.44000,22.17000,21700
139,2022-09-20,17.81000,19.57000,17.20000,19.42000,23200
140,2022-09-19,15.51000,18.54000,15.51000,17.98000,25400
141,2022-09-16,15.30000,15.94000,14.60000,15.86000,28200
142,2022-09-15,15.40000,15.71000,14.63000,15.35000,15000
143,2022-09-14,15.74000,16.36000,15.03000,15.30000,25300
144,2022-09-13,16.87000,17.23000,15.68000,15.71000,15700
145,2022-09-12,18.74000,19.00000,16.66000,17.21000,21400
146,2022-09-09,18.36000,19.10000,17.73000,17.73000,6700
147,2022-09-08,17.24000,18.25000,17.24000,18.25000,5100
148,2022-09-07,17.02000,18.92000,16.74000,17.80000,8300
149,2022-09-06,18.00000,18.00000,16.86000,17.14000,1000
150,2022-09-02,18.30000,18.40000,17.61000,18.00000,2000
151,2022-09-01,17.05000,19.20000,16.99000,18.28000,8800
152,2022-08-31,17.34000,17.69000,17.34000,17.69000,900
153,2022-08-30,16.63000,17.81000,16.63000,17.71000,2500
154,2022-08-29,17.69000,17.69000,17.30000,17.30000,2400
155,2022-08-26,17.34000,17.39000,17.34000,17.39000,1400
156,2022-08-25,17.16000,18.47000,17.00000,17.88000,8000
157,2022-08-24,16.66000,16.88000,16.66000,16.73000,800
158,2022-08-23,16.36000,18.00000,16.18000,17.21000,4900
159,2022-08-22,17.01000,17.90000,16.43000,16.73000,10600
160,2022-08-19,16.88000,17.89000,16.15000,16.61000,4500
161,2022-08-18,17.70000,17.70000,16.95000,17.00000,3600
162,2022-08-17,15.30000,17.93000,15.30000,17.00000,18800
163,2022-08-16,14.94000,15.22000,14.94000,15.22000,1500
164,2022-08-15,15.02000,15.30000,15.02000,15.23000,1300
165,2022-08-12,15.23000,15.23000,15.23000,15.23000,800
166,2022-08-11,15.13000,15.13000,15.13000,15.13000,300
167,2022-08-10,15.59000,15.69000,14.70000,15.69000,900
168,2022-08-09,15.30000,15.30000,15.19000,15.19000,2300
169,2022-08-08,15.85000,15.85000,14.87000,15.29000,1700
170,2022-08-05,14.77000,15.30000,14.54000,15.30000,1200
171,2022-08-04,15.70000,15.80000,15.20000,15.80000,1400
172,2022-08-03,15.85000,16.00000,15.28000,16.00000,3600
173,2022-08-02,15.64000,15.64000,15.15000,15.15000,2500
174,2022-08-01,15.45000,15.99000,15.17000,15.24000,1400
175,2022-07-29,15.01000,15.80000,15.00000,15.80000,4400
176,2022-07-28,14.72000,15.60000,14.72000,15.06000,6800
177,2022-07-27,15.39000,15.60000,15.01000,15.02000,3300
178,2022-07-26,15.24000,15.40000,15.24000,15.40000,1800
179,2022-07-25,15.30000,15.71000,15.05000,15.25000,7000
180,2022-07-22,14.83000,15.75000,14.83000,15.10000,6000
181,2022-07-21,14.60000,15.95000,14.60000,15.30000,8300
182,2022-07-20,15.34000,15.34000,14.32000,14.60000,2700
183,2022-07-19,14.01000,14.50000,14.01000,14.50000,1700
184,2022-07-18,14.20000,14.52000,14.09000,14.09000,2400
185,2022-07-15,14.70000,14.91000,14.02000,14.09000,12400
186,2022-07-14,14.50000,14.50000,14.21000,14.39000,2100
187,2022-07-13,15.00000,15.43000,14.60000,14.65000,5500
188,2022-07-12,15.13000,15.40000,15.13000,15.13000,1100
189,2022-07-11,15.33000,15.53000,15.31000,15.43000,2200
190,2022-07-08,15.50000,15.50000,15.37000,15.37000,3400
191,2022-07-07,15.99000,15.99000,15.60000,15.60000,5400
192,2022-07-06,15.88000,15.89000,15.65000,15.65000,2200
193,2022-07-05,15.70000,16.18000,15.70000,15.75000,2300
194,2022-07-01,16.34000,16.34000,16.34000,16.34000,300
195,2022-06-30,15.80000,16.69000,15.78000,16.46000,1700
196,2022-06-29,16.00000,16.40000,15.84000,16.39000,1400
197,2022-06-28,16.36000,16.60000,15.58000,15.85000,6000
198,2022-06-27,16.57000,16.57000,15.54000,16.07000,7700
199,2022-06-24,15.97000,17.20000,15.97000,16.88000,6000
200,2022-06-23,17.52000,19.00000,16.07000,16.07000,21600
201,2022-06-22,17.55000,17.55000,17.55000,17.55000,0
202,2022-06-21,16.70000,17.55000,16.70000,17.55000,400
203,2022-06-17,16.00000,16.69000,15.80000,16.69000,2200
204,2022-06-16,16.01000,16.01000,16.01000,16.01000,0
205,2022-06-15,16.00000,16.15000,15.54000,16.01000,3600
206,2022-06-14,16.59000,17.61000,16.00000,16.00000,9600
207,2022-06-13,17.87000,18.49000,16.31000,16.53000,10700
208,2022-06-10,19.51000,20.70000,18.11000,18.20000,14300
209,2022-06-09,20.19000,21.69000,19.83000,20.22000,21200
210,2022-06-08,19.10000,20.71000,18.86000,20.32000,45700
211,2022-06-07,18.45000,20.20000,18.45000,19.64000,25400
212,2022-06-06,17.16000,19.42000,17.16000,18.51000,20100
213,2022-06-03,16.80000,17.68000,16.38000,17.30000,9200
214,2022-06-02,15.74000,17.00000,15.74000,16.81000,20500
215,2022-06-01,15.95000,16.05000,15.29000,15.95000,3600
216,2022-05-31,16.51000,16.56000,15.91000,16.00000,5000
217,2022-05-27,16.10000,16.25000,15.70000,16.20000,1100
218,2022-05-26,15.85000,16.88000,15.85000,16.25000,6200
219,2022-05-25,16.33000,16.33000,15.77000,16.00000,2100
220,2022-05-24,16.29000,16.89000,16.04000,16.33000,1800
221,2022-05-23,15.79000,17.00000,15.79000,16.32000,8600
222,2022-05-20,16.05000,16.05000,15.45000,15.65000,2600
223,2022-05-19,16.01000,16.55000,15.60000,16.00000,10400
224,2022-05-18,16.00000,16.31000,15.96000,16.30000,10700
225,2022-05-17,16.21000,16.21000,15.70000,15.84000,2800
226,2022-05-16,15.51000,16.50000,15.51000,16.00000,3300
227,2022-05-13,16.00000,17.00000,15.57000,16.01000,8400
228,2022-05-12,16.48000,17.18000,15.28000,16.25000,15200
229,2022-05-11,15.69000,16.68000,15.05000,16.65000,15400
230,2022-05-10,14.71000,16.10000,14.50000,15.65000,8400
231,2022-05-09,16.06000,16.06000,14.35000,14.55000,4800
232,2022-05-06,16.88000,16.88000,16.00000,16.00000,7200
233,2022-05-05,17.29000,17.48000,17.02000,17.48000,2600
