,datetime,open,high,low,close,volume
0,2023-04-19,0.33000,0.33000,0.33000,0.33000,3975
1,2023-04-18,0.32000,0.33500,0.32000,0.32740,4657
2,2023-04-17,0.35740,0.35740,0.33770,0.33770,7648
3,2023-04-14,0.33000,0.34300,0.29410,0.34250,1869
4,2023-04-13,0.33000,0.33000,0.33000,0.33000,0
5,2023-04-12,0.34000,0.34000,0.34000,0.34000,1038
6,2023-04-11,0.33660,0.34000,0.33660,0.34000,1910
7,2023-04-06,0.33000,0.33000,0.33000,0.33000,4212
8,2023-04-05,0.34990,0.34990,0.32120,0.32120,202
9,2023-04-04,0.37000,0.37010,0.35000,0.35000,21245
10,2023-04-03,0.31690,0.42000,0.31690,0.37000,3678
11,2023-03-31,0.36000,0.36000,0.36000,0.36000,25995
12,2023-03-30,0.35000,0.35000,0.35000,0.35000,4567
13,2023-03-29,0.36000,0.36000,0.36000,0.36000,33973
14,2023-03-28,0.33000,0.33000,0.33000,0.33000,75622
15,2023-03-27,0.45820,0.45820,0.45820,0.45820,0
16,2023-03-24,0.46010,0.46010,0.46010,0.46010,996
17,2023-03-23,0.46750,0.46750,0.38580,0.45380,19929
18,2023-03-22,0.47700,0.47700,0.47700,0.47700,0
19,2023-03-21,0.38010,0.38010,0.38010,0.38010,6151
20,2023-03-20,0.51250,0.51250,0.51250,0.51250,62
21,2023-03-17,0.50000,0.51000,0.50000,0.51000,219
22,2023-03-16,0.46750,0.47840,0.45000,0.46590,3476
23,2023-03-15,0.43000,0.43000,0.42000,0.43000,4633
24,2023-03-14,0.43430,0.43430,0.43430,0.43430,750
25,2023-03-13,0.41200,0.41200,0.41200,0.41200,1602
26,2023-03-10,0.35000,0.35000,0.33750,0.35000,4769
27,2023-03-09,0.40000,0.40000,0.35000,0.36000,28428
28,2023-03-08,0.39600,0.39600,0.39600,0.39600,12942
29,2023-03-07,0.42000,0.42000,0.42000,0.42000,3353
30,2023-03-06,0.48800,0.48800,0.42000,0.42250,11617
31,2023-03-03,0.50000,0.50000,0.50000,0.50000,8997
32,2023-03-02,0.51500,0.51500,0.51500,0.51500,50043
33,2023-03-01,0.60000,0.60000,0.60000,0.60000,58023
34,2023-02-28,0.77200,0.80000,0.73010,0.73010,1086
35,2023-02-27,0.65700,0.85250,0.57250,0.85250,41821
36,2023-02-24,0.71010,0.71010,0.57100,0.64000,32054
37,2023-02-23,0.57000,0.68000,0.57000,0.65000,91877
38,2023-02-22,0.65000,0.66550,0.60000,0.65000,24346
39,2023-02-21,0.70250,0.91580,0.60000,0.68000,375238
40,2023-02-17,0.40000,0.44000,0.40000,0.44000,3455
41,2023-02-16,0.38000,0.38000,0.33000,0.36000,7546
42,2023-02-15,0.40000,0.40000,0.33500,0.37010,13110
43,2023-02-14,0.31000,0.38750,0.30000,0.33650,1418
44,2023-02-13,0.40780,0.40780,0.40780,0.40780,0
45,2023-02-07,0.41970,0.41970,0.31300,0.31300,1109
46,2023-02-06,0.39000,0.40300,0.38510,0.38750,4300
47,2023-02-03,0.25000,0.39000,0.25000,0.34000,19716
48,2023-02-02,0.35000,0.38000,0.27370,0.36320,14324
49,2023-02-01,0.37000,0.37000,0.37000,0.37000,160
50,2023-01-31,0.38480,0.38500,0.35540,0.38000,645
51,2023-01-27,0.37630,0.39000,0.35000,0.39000,9999
52,2023-01-26,0.37620,0.39000,0.35000,0.38750,8662
53,2023-01-25,0.38990,0.39000,0.38960,0.38990,18265
54,2023-01-24,0.37940,0.39990,0.36500,0.39980,666
55,2023-01-23,0.40000,0.40000,0.40000,0.40000,0
56,2023-01-20,0.44000,0.44000,0.40000,0.40000,5165
57,2023-01-18,0.42490,0.44000,0.42490,0.44000,4746
58,2023-01-17,0.41950,0.41950,0.39400,0.39410,4101
59,2023-01-13,0.33000,0.40520,0.31250,0.40520,79717
60,2023-01-12,0.32990,0.33000,0.30500,0.33000,19007
61,2023-01-11,0.30000,0.33000,0.30000,0.32210,28715
62,2023-01-10,0.31500,0.33000,0.30390,0.33000,32392
63,2023-01-09,0.27000,0.36000,0.27000,0.32990,37976
64,2023-01-06,0.27000,0.27000,0.23500,0.25990,1000
65,2023-01-05,0.24000,0.24000,0.21000,0.23990,6147
66,2023-01-04,0.20000,0.24000,0.20000,0.24000,12544
67,2023-01-03,0.22000,0.24000,0.22000,0.22000,5973
68,2022-12-30,0.23000,0.23000,0.19500,0.19500,600
69,2022-12-29,0.24000,0.24000,0.19000,0.19000,0
70,2022-12-28,0.18250,0.23920,0.17010,0.22015,54558
71,2022-12-27,0.29750,0.30000,0.18250,0.18250,7257
72,2022-12-23,0.25000,0.30000,0.25000,0.29000,4643
73,2022-12-22,0.18000,13.90000,0.18000,0.24000,6943
74,2022-12-22,13.80000,14.30000,13.80000,13.90000,800
75,2022-12-21,0.24000,14.30000,0.18610,14.10000,56609
76,2022-12-21,13.70000,13.90000,13.60000,13.90000,800
77,2022-12-20,13.70000,13.90000,0.20160,13.80000,0
78,2022-12-20,13.50000,13.70000,13.10000,13.50000,800
79,2022-12-19,0.21000,13.50000,0.18000,13.10000,29629
80,2022-12-19,13.50000,13.70000,13.50000,13.50000,800
81,2022-12-16,13.70000,13.80000,13.50000,13.80000,0
82,2022-12-15,12.70000,13.80000,12.70000,13.40000,800
83,2022-12-14,13.60000,13.80000,13.20000,13.20000,800
84,2022-12-13,13.70000,14.20000,13.50000,13.50000,800
85,2022-12-12,14.40000,14.50000,13.60000,13.60000,800
86,2022-12-09,15.50000,15.50000,14.50000,14.50000,800
87,2022-12-08,15.10000,16.20000,14.70000,14.80000,800
88,2022-12-07,15.90000,15.90000,14.70000,15.00000,800
89,2022-12-06,15.50000,15.90000,15.20000,15.90000,800
90,2022-12-05,16.90000,17.40000,15.60000,15.70000,800
91,2022-12-02,15.60000,16.50000,15.60000,16.40000,800
92,2022-12-01,15.80000,15.80000,15.40000,15.80000,800
93,2022-11-30,14.50000,15.80000,14.50000,15.80000,800
94,2022-11-29,14.60000,15.10000,14.50000,14.50000,800
95,2022-11-28,13.50000,14.30000,13.40000,14.00000,800
96,2022-11-25,14.20000,14.50000,13.60000,13.60000,800
97,2022-11-24,14.20000,14.30000,14.20000,14.30000,800
