,datetime,open,high,low,close,volume
0,2023-04-19,31.03000,31.73000,31.03000,31.31000,65800
1,2023-04-18,32.01000,32.01000,30.94000,31.02000,59000
2,2023-04-17,32.08000,32.14000,31.44500,31.93000,86100
3,2023-04-14,32.61000,32.80000,31.80500,31.91000,54200
4,2023-04-13,32.90000,33.45500,32.29000,32.62000,55500
5,2023-04-12,33.39000,33.43000,32.79000,32.83000,77900
6,2023-04-11,33.21000,33.96000,32.88000,33.26000,155000
7,2023-04-10,33.95000,34.15500,33.09400,33.54000,197100
8,2023-04-06,33.82000,34.16000,33.32000,34.09000,102300
9,2023-04-05,33.42000,34.21000,33.25000,33.66000,191300
10,2023-04-04,32.57000,33.47000,32.10000,33.46000,93700
11,2023-04-03,33.00000,33.68000,32.28000,32.45000,107800
12,2023-03-31,30.33000,33.09000,30.33000,33.04000,641200
13,2023-03-30,29.87000,30.48000,29.57000,30.09000,117400
14,2023-03-29,30.04000,30.64000,29.68000,29.70000,174600
15,2023-03-28,28.74000,30.48000,28.69000,29.87000,182700
16,2023-03-27,28.28000,29.56000,28.18000,28.75000,185800
17,2023-03-24,28.12000,28.55000,27.59000,28.14000,146800
18,2023-03-23,29.10000,29.52000,28.30000,28.36000,220500
19,2023-03-22,30.08000,30.38000,28.94000,28.97000,165700
20,2023-03-21,30.40000,30.78000,29.97000,30.08000,107500
21,2023-03-20,30.20000,30.51000,29.76000,30.12000,201800
22,2023-03-17,30.41000,30.90000,29.81000,29.92000,280900
23,2023-03-16,30.83000,31.64000,30.60000,30.70000,187300
24,2023-03-15,31.30000,32.25000,30.26000,31.24000,160900
25,2023-03-14,31.05000,31.85000,29.86500,31.73000,137100
26,2023-03-13,29.11000,30.65000,29.08000,30.39000,247300
27,2023-03-10,29.10000,29.91000,28.76000,29.31000,155800
28,2023-03-09,29.34000,30.24500,28.99000,29.15000,149000
29,2023-03-08,29.56000,30.34000,29.18000,29.26000,151400
30,2023-03-07,29.69000,30.11000,29.30500,29.58000,64000
31,2023-03-06,30.38000,30.49000,29.51000,29.75000,87300
32,2023-03-03,30.01000,30.97000,30.01000,30.48000,168800
33,2023-03-02,29.82000,30.57000,29.80000,29.99000,176100
34,2023-03-01,30.20000,30.84000,29.85000,30.11000,156400
35,2023-02-28,29.14000,30.95000,29.09500,30.20000,215700
36,2023-02-27,29.58000,30.47000,29.05000,29.05000,134400
37,2023-02-24,28.61000,29.61000,28.39000,29.33000,317400
38,2023-02-23,30.43000,30.68000,28.22000,28.76000,232100
39,2023-02-22,30.63000,31.06000,30.13000,30.17000,194200
40,2023-02-21,31.25000,31.35000,29.96500,30.34000,232100
41,2023-02-17,31.01000,31.99000,30.89000,31.48000,94400
42,2023-02-16,32.25000,32.70000,30.50000,30.76000,139000
43,2023-02-15,33.87000,33.91500,32.61000,32.73000,119800
44,2023-02-14,35.11000,35.53000,33.92000,34.11000,107400
45,2023-02-13,34.11000,35.56000,34.11000,35.36000,76100
46,2023-02-10,35.32000,35.44000,33.77000,34.29000,99000
47,2023-02-09,36.16000,36.51000,34.58000,34.92000,115600
48,2023-02-08,36.40000,36.51000,35.86000,36.22000,88800
49,2023-02-07,36.72000,36.72000,35.29000,36.46000,105500
50,2023-02-06,36.94000,37.00000,35.78000,36.76000,94400
51,2023-02-03,37.19000,39.16000,36.50000,36.94000,96800
52,2023-02-02,36.89000,37.92400,36.34300,37.40000,136600
53,2023-02-01,35.81000,37.05000,35.43000,36.64000,65200
54,2023-01-31,34.70000,36.19500,34.12000,36.07000,151400
55,2023-01-30,35.96000,37.17500,34.52000,34.62000,105800
56,2023-01-27,36.77000,38.20000,36.08000,36.25000,132500
57,2023-01-26,37.00000,37.01000,35.87000,36.91000,53400
58,2023-01-25,36.79000,37.50000,36.00000,36.88000,58100
59,2023-01-24,37.21000,37.67000,36.65000,36.90000,36300
60,2023-01-23,36.47000,37.64000,35.90000,37.17000,56700
61,2023-01-20,36.65000,36.91000,35.59200,36.58000,70600
62,2023-01-19,34.73000,36.73500,34.18000,36.25000,116600
63,2023-01-18,36.37000,36.83000,34.47000,34.86000,119200
64,2023-01-17,36.62000,36.71000,35.85000,36.37000,55000
65,2023-01-13,36.85000,37.08000,36.46000,36.56000,35100
66,2023-01-12,35.87000,37.31500,35.41000,37.00000,68800
67,2023-01-11,34.81000,36.19000,34.60000,35.47000,46200
68,2023-01-10,33.55000,34.85000,33.23000,34.80000,46400
69,2023-01-09,34.60000,34.80000,33.47000,33.53000,49600
70,2023-01-06,33.44000,34.56500,32.93000,34.34000,48700
71,2023-01-05,33.59000,33.59000,32.63000,33.02000,36500
72,2023-01-04,34.12000,34.43000,33.00000,33.49000,48300
73,2023-01-03,32.42000,34.06000,32.41000,33.78000,99600
74,2022-12-30,32.00000,32.35000,31.56400,32.17000,58200
75,2022-12-29,30.98000,32.66000,30.90000,32.22000,71800
76,2022-12-28,30.59000,31.12000,30.27500,30.75000,61300
77,2022-12-27,31.00000,31.66300,30.29000,30.57000,51100
78,2022-12-23,30.24000,31.05000,29.62000,30.87000,69400
79,2022-12-22,30.39000,31.67000,29.29000,30.17000,113500
80,2022-12-21,30.80000,31.38000,30.43000,30.50000,170600
81,2022-12-20,30.72000,31.89500,30.46000,30.53000,60700
82,2022-12-19,31.38000,32.40000,30.03000,30.89000,127400
83,2022-12-16,32.06000,33.23000,31.36000,31.63000,166400
84,2022-12-15,32.53000,33.35000,32.00000,32.21000,134500
85,2022-12-14,32.88000,34.28000,32.88000,33.11000,131200
86,2022-12-13,33.51000,34.74000,32.70000,33.13000,204400
87,2022-12-12,33.72000,34.30000,31.62500,32.75000,145900
88,2022-12-09,32.13000,33.77000,32.01000,33.69000,174700
89,2022-12-08,32.60000,33.22000,31.98000,32.17000,92700
90,2022-12-07,32.29000,32.56000,30.67000,32.44000,113800
91,2022-12-06,31.84000,32.39000,31.17000,32.39000,80900
92,2022-12-05,33.25000,34.78500,31.55000,31.78000,96300
93,2022-12-02,32.58000,33.33000,32.23000,33.18000,86000
94,2022-12-01,34.34000,34.68000,32.73000,32.84000,49500
95,2022-11-30,33.84000,34.85000,32.66000,34.00000,169600
96,2022-11-29,34.46000,35.27000,33.85000,34.07000,87800
97,2022-11-28,36.06000,36.61000,34.65000,34.82000,59300
98,2022-11-25,36.82000,37.20000,35.96000,36.20000,35300
99,2022-11-23,36.51000,36.95000,36.00000,36.73000,51900
100,2022-11-22,36.88000,36.88000,35.86000,36.67000,68900
101,2022-11-21,36.11000,36.74000,35.78000,36.65000,88300
102,2022-11-18,36.83000,36.86500,35.76000,35.95000,61200
103,2022-11-17,35.96000,36.75000,35.50000,36.23000,108600
104,2022-11-16,37.06000,37.09000,35.95500,36.60000,91500
105,2022-11-15,36.25000,37.06000,35.56000,36.98000,111100
106,2022-11-14,38.30000,40.11000,35.47500,35.92000,190200
107,2022-11-11,38.21000,38.93000,35.79000,37.97000,96900
108,2022-11-10,35.95000,38.12000,35.95000,37.62000,157900
109,2022-11-09,36.51000,37.00000,35.22000,35.33000,99900
110,2022-11-08,37.15000,37.58000,36.28000,36.96000,132200
111,2022-11-07,37.85000,38.30400,36.79000,36.89000,149300
112,2022-11-04,38.66000,38.75000,37.70000,38.08000,68000
113,2022-11-03,39.72000,39.74000,37.70500,38.25000,103900
114,2022-11-02,38.00000,40.93000,37.89000,39.88000,250400
115,2022-11-01,38.99000,38.99000,37.46000,38.08000,173700
116,2022-10-31,37.17000,40.26000,36.10200,38.35000,390500
117,2022-10-28,33.11000,34.85500,33.11000,34.46000,122000
118,2022-10-27,33.17000,33.32000,32.47000,33.01000,95300
