,datetime,open,high,low,close,volume
0,2023-04-19,0.02100,0.02100,0.02100,0.02100,43276
1,2023-04-18,0.01900,0.01900,0.01900,0.01900,69438
2,2023-04-17,0.01860,0.01860,0.01800,0.01830,18554
3,2023-04-14,0.02000,0.02000,0.02000,0.02000,17898
4,2023-04-13,0.02000,0.02540,0.02000,0.02000,218209
5,2023-04-12,0.02550,0.02550,0.02000,0.02010,83469
6,2023-04-11,0.02300,0.02300,0.02300,0.02300,248604
7,2023-04-10,0.02100,0.02100,0.01860,0.01860,41980
8,2023-04-06,0.01790,0.01790,0.01790,0.01790,144295
9,2023-04-05,0.03000,0.03270,0.02050,0.02640,1518778
10,2023-04-04,0.02000,0.02000,0.02000,0.02000,26259
11,2023-04-03,0.02950,0.02950,0.02000,0.02500,17876
12,2023-03-31,0.01770,0.01980,0.01740,0.01980,55913
13,2023-03-30,0.01990,0.01990,0.01710,0.01980,40605
14,2023-03-29,0.02000,0.02000,0.02000,0.02000,52609
15,2023-03-28,0.02000,0.02000,0.02000,0.02000,497881
16,2023-03-27,0.02000,0.02000,0.02000,0.02000,105637
17,2023-03-24,0.02650,0.02650,0.02480,0.02480,32278
18,2023-03-23,0.02000,0.02000,0.02000,0.02000,660402
19,2023-03-22,0.02640,0.02640,0.02640,0.02640,0
20,2023-03-21,0.03000,0.03000,0.02210,0.02620,104363
21,2023-03-20,0.03000,0.03000,0.02930,0.03000,53172
22,2023-03-17,0.03200,0.03200,0.03000,0.03000,7870
23,2023-03-16,0.03300,0.03300,0.03020,0.03020,4000
24,2023-03-15,0.03000,0.03000,0.03000,0.03000,95515
25,2023-03-14,0.03100,0.03100,0.03100,0.03100,25380
26,2023-03-13,0.03050,0.03400,0.03050,0.03090,19003
27,2023-03-10,0.03510,0.03570,0.03020,0.03300,5115
28,2023-03-09,0.03300,0.03300,0.03300,0.03300,0
29,2023-03-08,0.03220,0.03220,0.03080,0.03200,9818
30,2023-03-07,0.03150,0.03970,0.03110,0.03940,96984
31,2023-03-06,0.03110,0.03260,0.03110,0.03200,19233
32,2023-03-03,0.03100,0.03280,0.03100,0.03230,7818
33,2023-03-02,0.03670,0.03670,0.03100,0.03100,43801
34,2023-03-01,0.03300,0.03300,0.03300,0.03300,14697
35,2023-02-28,0.03850,0.03850,0.03500,0.03850,0
36,2023-02-24,0.03600,0.03610,0.03550,0.03570,62029
37,2023-02-23,0.04000,0.04000,0.03410,0.03980,89515
38,2023-02-22,0.04000,0.04480,0.03800,0.04430,1396
39,2023-02-21,0.04000,0.04490,0.03910,0.03910,77547
40,2023-02-17,0.03510,0.04000,0.03350,0.03350,19693
41,2023-02-16,0.04000,0.04000,0.04000,0.04000,0
42,2023-02-15,0.04200,0.04200,0.03540,0.04000,16536
43,2023-02-14,0.03960,0.03980,0.03960,0.03980,24199
44,2023-02-13,0.03350,0.03500,0.03350,0.03500,18332
45,2023-02-10,0.03700,0.03990,0.03500,0.03500,11284
46,2023-02-09,0.04250,0.04250,0.03500,0.03500,0
47,2023-02-08,0.04010,0.04100,0.04010,0.04010,17650
48,2023-02-07,0.04100,0.04100,0.04100,0.04100,0
49,2023-02-06,0.04000,0.04120,0.03810,0.03980,35089
50,2023-02-03,0.04490,0.04490,0.04000,0.04000,78144
51,2023-02-02,0.04200,0.04500,0.03930,0.03990,195434
52,2023-02-01,0.04700,0.04990,0.03030,0.03800,195442
53,2023-01-31,0.04110,0.04410,0.04060,0.04060,9587
54,2023-01-30,0.05000,0.05000,0.05000,0.05000,0
55,2023-01-27,0.04800,0.04800,0.04760,0.04760,13519
56,2023-01-26,0.04900,0.05500,0.04610,0.05500,20398
57,2023-01-25,0.04780,0.05260,0.04510,0.05000,6620
58,2023-01-24,0.04600,0.04710,0.04540,0.04540,8290
59,2023-01-23,0.04050,0.04890,0.04000,0.04800,75428
60,2023-01-20,0.04750,0.05000,0.04030,0.04380,15884
61,2023-01-19,0.04730,0.04730,0.04030,0.04480,42839
62,2023-01-18,0.05450,0.05450,0.04900,0.05000,5990
63,2023-01-17,0.04990,0.05500,0.04980,0.05500,62190
64,2023-01-13,0.05000,0.05000,0.03880,0.04610,87353
65,2023-01-12,0.05050,0.05760,0.04800,0.04970,200828
66,2023-01-11,0.04750,0.05200,0.04750,0.04800,29904
67,2023-01-10,0.05550,0.06100,0.05020,0.05280,83958
68,2023-01-09,0.06100,0.06610,0.05900,0.05900,260614
69,2023-01-06,0.06100,0.06590,0.06100,0.06400,341342
70,2023-01-05,0.06990,0.08060,0.06450,0.06800,1080299
71,2023-01-04,0.07500,0.07500,0.05620,0.06990,418502
72,2023-01-03,0.07000,0.09500,0.06070,0.07300,1713526
73,2022-12-30,0.04200,0.07490,0.04200,0.05700,1367671
74,2022-12-29,0.04000,0.04800,0.03560,0.04800,102856
75,2022-12-28,0.05870,0.05870,0.03910,0.03910,329106
76,2022-12-27,0.06800,0.07600,0.05520,0.05870,44080
77,2022-12-23,0.06290,0.06570,0.05260,0.05260,430734
78,2022-12-22,0.77400,0.78800,0.77200,0.78400,2200
79,2022-12-21,0.80800,0.80800,0.77000,0.77200,2200
80,2022-12-20,0.79600,0.79800,0.78800,0.79800,2200
81,2022-12-19,0.85400,0.85600,0.77200,0.78000,2200
82,2022-12-16,0.89400,0.90400,0.83200,0.83200,0
83,2022-12-15,0.94000,0.94000,0.90000,0.90200,2200
84,2022-12-14,0.94200,0.94200,0.92400,0.93200,2200
85,2022-12-13,0.94200,0.94200,0.92800,0.92800,2200
86,2022-12-12,0.93000,0.93200,0.90800,0.93200,2200
87,2022-12-09,0.93200,0.93400,0.90800,0.92400,2200
88,2022-12-08,0.92800,0.93200,0.92600,0.92600,2200
89,2022-12-07,0.94600,0.94600,0.92200,0.92400,2200
90,2022-12-06,0.94400,0.94400,0.91400,0.91400,2200
91,2022-12-05,0.89800,0.91400,0.89800,0.91200,2200
92,2022-12-02,0.91000,0.91000,0.90000,0.90600,2200
93,2022-12-01,0.91800,0.91800,0.90200,0.90600,2200
94,2022-11-30,0.91800,0.91800,0.90200,0.91200,2200
95,2022-11-29,0.92600,0.92600,0.91200,0.92000,2200
96,2022-11-28,0.92000,0.92200,0.91400,0.91800,2200
97,2022-11-25,0.92600,0.92600,0.91200,0.92000,2200
98,2022-11-24,0.92400,0.92400,0.91600,0.92200,2200
99,2022-11-23,0.92000,0.92000,0.91200,0.91400,2200
100,2022-11-22,0.92200,0.92200,0.90600,0.91000,2200
101,2022-11-21,0.86400,0.92000,0.86400,0.92000,2200
102,2022-11-18,0.92200,0.92200,0.91000,0.91600,2200
103,2022-11-17,0.91600,0.91600,0.90400,0.91000,0
104,2022-11-16,0.91400,0.91400,0.89400,0.89600,0
105,2022-11-15,0.93000,0.93000,0.89800,0.90400,2200
106,2022-11-14,0.92200,0.93200,0.91400,0.93200,2200
107,2022-11-11,0.91800,0.91800,0.90400,0.91800,0
108,2022-11-10,0.90000,0.93800,0.89800,0.93800,2200
109,2022-11-09,0.89600,0.90200,0.89000,0.90000,2000
110,2022-11-08,0.90400,0.90400,0.89600,0.89800,2000
111,2022-11-07,0.90000,0.90200,0.89400,0.90200,2000
112,2022-11-04,0.90200,0.90200,0.88600,0.90000,2000
113,2022-11-03,0.90000,0.90000,0.88600,0.89800,0
114,2022-11-02,0.89800,0.91000,0.89600,0.89600,2000
115,2022-11-01,0.89800,0.91000,0.89600,0.90000,2000
116,2022-10-31,0.88600,0.90800,0.86000,0.86000,2000
117,2022-10-28,0.88600,0.90000,0.88600,0.89600,0
118,2022-10-27,0.86800,0.88600,0.85200,0.88000,2000
119,2022-10-26,0.86200,0.87000,0.85600,0.85600,2000
120,2022-10-25,0.83800,0.86600,0.79200,0.85400,2000
121,2022-10-24,0.83200,0.84000,0.83200,0.83800,2000
122,2022-10-21,0.84800,0.84800,0.82600,0.84600,0
123,2022-10-20,0.84200,0.84400,0.83400,0.83400,2000
124,2022-10-19,0.85200,0.85200,0.83800,0.83800,0
125,2022-10-18,0.85000,0.85000,0.83600,0.84000,0
126,2022-10-17,0.84200,0.84400,0.83600,0.83800,2000
127,2022-10-14,0.83600,0.83800,0.83200,0.83200,2000
128,2022-10-13,0.83200,0.83600,0.82200,0.82800,2000
129,2022-10-12,0.82600,0.83600,0.82600,0.83400,2000
130,2022-10-11,0.84000,0.84000,0.83400,0.83600,0
131,2022-10-10,0.83600,0.83600,0.83000,0.83400,2000
132,2022-10-07,0.81800,0.83400,0.81600,0.83000,2000
133,2022-10-06,0.83400,0.83400,0.82600,0.82600,2000
134,2022-10-05,0.81000,0.82800,0.80600,0.82200,0
135,2022-10-04,0.83000,0.83000,0.80800,0.80800,2000
136,2022-10-03,0.82600,0.82600,0.80800,0.80800,0
137,2022-09-30,0.80000,0.81800,0.80000,0.80400,2000
138,2022-09-29,0.79400,0.81800,0.79400,0.80600,2000
139,2022-09-28,0.80200,0.81800,0.80000,0.80800,2000
140,2022-09-27,0.83000,0.83200,0.81000,0.81400,2000
141,2022-09-26,0.82000,0.82200,0.81400,0.81400,2000
142,2022-09-23,0.83000,0.83800,0.82600,0.82600,2000
143,2022-09-22,0.82200,0.83800,0.82200,0.83600,2000
144,2022-09-21,0.83000,0.84000,0.82600,0.84000,2000
145,2022-09-20,0.85200,0.85200,0.83400,0.83400,2000
146,2022-09-19,0.83800,0.84000,0.83000,0.83400,2000
147,2022-09-16,0.83800,0.83800,0.82800,0.83000,2000
148,2022-09-15,0.81800,0.83000,0.81400,0.82800,2000
149,2022-09-14,0.83000,0.83200,0.80800,0.80800,2000
150,2022-09-13,0.81200,0.82000,0.81000,0.81000,2000
151,2022-09-12,0.81400,0.82200,0.80800,0.81800,2000
152,2022-09-09,0.81200,0.81200,0.80600,0.80800,2000
153,2022-09-08,0.80400,0.80800,0.80000,0.80400,2000
154,2022-09-07,0.81600,0.81800,0.80400,0.80800,2000
155,2022-09-06,0.79600,0.82000,0.79600,0.81200,2000
156,2022-09-05,0.78200,0.80000,0.78200,0.79800,2000
157,2022-09-02,0.79800,0.80200,0.78600,0.78600,2000
158,2022-09-01,0.79400,0.80400,0.79400,0.80400,2000
159,2022-08-31,0.80200,0.80600,0.80000,0.80200,2000
160,2022-08-30,0.83000,0.83000,0.80000,0.80400,2000
