,datetime,open,high,low,close,volume
0,2023-04-19,608.00000,608.00000,608.00000,608.00000,1600
1,2023-04-18,626.89001,627.66998,599.82001,599.82001,6600
2,2023-04-17,626.95001,638.50000,624.48999,628.48999,4900
3,2023-04-14,644.78003,644.78003,644.78003,644.78003,1400
4,2023-04-13,642.44000,660.00000,642.44000,648.20001,3100
5,2023-04-12,666.67999,666.67999,644.39001,644.39001,1400
6,2023-04-11,660.26001,668.40002,653.72998,653.72998,3900
7,2023-04-10,626.70001,650.97998,626.70001,650.97998,4800
8,2023-04-06,627.00000,630.00000,622.00000,622.00000,3100
9,2023-04-05,635.00000,635.00000,633.53998,634.00000,2300
10,2023-04-04,632.50000,632.50000,632.50000,632.50000,1900
11,2023-04-03,626.96002,640.28998,626.96002,637.87000,5400
12,2023-03-31,637.04999,641.29999,627.90997,627.90997,5100
13,2023-03-30,612.00000,623.69000,612.00000,623.69000,3700
14,2023-03-29,611.88000,611.88000,611.88000,611.88000,2800
15,2023-03-28,636.03998,644.50000,620.00000,620.00000,9000
16,2023-03-27,624.00000,634.98999,624.00000,630.40997,4800
17,2023-03-24,645.00000,650.98999,640.31000,647.79999,2900
18,2023-03-23,637.06000,642.59998,637.06000,642.25000,4000
19,2023-03-22,630.23999,642.00000,630.23999,634.20001,3100
20,2023-03-21,644.35999,648.00000,637.65002,640.00000,7100
21,2023-03-20,626.98999,626.98999,626.98999,626.98999,2019
22,2023-03-17,605.39001,625.53992,597.96997,607.00000,12148
23,2023-03-16,576.90002,601.01001,576.90002,601.01001,4652
24,2023-03-15,594.01001,594.01001,594.01001,594.01001,2762
25,2023-03-14,597.20001,597.20001,597.20001,597.20001,3736
26,2023-03-13,600.65002,600.65002,600.65002,600.65002,2929
27,2023-03-10,605.25000,605.25000,605.25000,605.25000,2082
28,2023-03-09,606.14001,606.14001,606.14001,606.14001,1512
29,2023-03-08,602.20001,624.89001,602.20001,624.89001,3378
30,2023-03-07,605.65997,605.65997,605.65997,605.65997,2498
31,2023-03-06,633.83002,633.83002,614.98999,614.98999,3972
32,2023-03-03,601.73999,642.90002,601.73999,628.21002,6489
33,2023-03-02,565.01941,598.79999,564.64502,598.79999,5995
34,2023-03-01,554.02502,566.03003,554.02502,565.00000,4149
35,2023-02-28,609.95001,610.55499,568.00000,568.00000,9962
36,2023-02-27,652.60999,652.60999,652.60999,652.60999,2562
37,2023-02-24,677.03998,682.79999,677.03998,682.79999,2801
38,2023-02-23,679.58002,679.58002,670.03003,670.03003,2798
39,2023-02-22,684.98999,695.00000,684.98999,685.20001,4097
40,2023-02-21,683.97998,683.97998,680.40002,680.40002,5233
41,2023-02-17,692.75000,694.87000,691.00000,694.87000,2695
42,2023-02-16,700.00000,700.00000,691.78003,691.78003,2831
43,2023-02-15,681.09998,681.09998,681.09998,681.09998,2708
44,2023-02-14,685.10938,685.10938,676.00000,676.00000,2129
45,2023-02-13,690.00000,700.00000,683.00000,683.00000,2884
46,2023-02-10,665.71997,679.78998,665.71997,679.21997,2504
47,2023-02-09,679.01001,685.01001,670.29999,670.29999,2122
48,2023-02-08,684.03003,690.00000,677.00000,679.00000,1858
49,2023-02-07,681.59998,697.89001,679.02002,692.25000,4659
50,2023-02-06,692.50000,693.78998,687.75000,693.78998,1892
51,2023-02-03,699.50000,699.50000,683.85999,683.85999,3316
52,2023-02-02,671.71997,700.87000,671.71997,694.58002,8920
53,2023-02-01,674.00000,674.00000,674.00000,674.00000,2672
54,2023-01-31,691.29999,692.00000,687.29999,687.29999,3752
55,2023-01-30,647.69000,700.00000,647.69000,692.00000,7694
56,2023-01-27,653.00000,653.00000,653.00000,653.00000,2342
57,2023-01-26,638.59998,638.59998,638.59998,638.59998,899
58,2023-01-25,637.09998,648.01001,627.50000,627.50000,2069
59,2023-01-24,644.97998,647.00000,644.97998,647.00000,2355
60,2023-01-23,679.21997,700.00000,638.01001,641.03003,8820
61,2023-01-20,666.78003,683.32001,666.78003,679.00000,3411
62,2023-01-19,669.00000,669.00000,658.20001,658.20001,2989
63,2023-01-18,667.98999,667.98999,639.65009,657.00000,5414
64,2023-01-17,632.35999,705.73999,632.35999,670.09998,11707
65,2023-01-13,631.50739,632.21997,631.50739,632.21997,2970
66,2023-01-12,608.79999,620.23999,608.79999,614.28003,4507
67,2023-01-11,592.00000,592.00000,592.00000,592.00000,1231
68,2023-01-10,578.40112,598.00000,578.40112,591.59998,2508
69,2023-01-09,603.98993,604.00000,590.34998,590.34998,7022
70,2023-01-06,579.78998,579.78998,579.78998,579.78998,2154
71,2023-01-05,577.39020,591.00000,569.16998,582.29999,3780
72,2023-01-04,568.94000,568.99969,568.00000,568.00000,1827
73,2023-01-03,551.09998,606.20001,543.00000,568.00000,8922
74,2022-12-30,560.21008,576.59998,555.98999,559.45001,8513
75,2022-12-29,574.70251,584.96997,571.50000,573.00000,6632
76,2022-12-28,558.00000,564.31000,556.10999,561.96997,2925
77,2022-12-27,563.10999,592.07001,559.72931,562.29999,3361
78,2022-12-23,569.78003,583.31000,542.01001,560.81000,2439
79,2022-12-22,566.50000,568.11719,540.01001,568.00000,3412
80,2022-12-21,563.70001,563.79999,563.60999,563.79999,2522
81,2022-12-20,558.00000,558.33002,553.32147,556.69000,4461
82,2022-12-19,557.66998,582.09998,538.40997,551.09998,7311
83,2022-12-16,577.96997,577.96997,534.98999,553.63000,21667
84,2022-12-15,608.37000,608.37000,580.40002,590.00000,5885
85,2022-12-14,611.71997,611.71997,591.26001,600.85999,5614
86,2022-12-13,610.41071,633.34998,610.41071,633.34998,4832
87,2022-12-12,572.79010,620.80560,572.79010,612.47998,5139
88,2022-12-09,648.75000,648.75000,629.46002,635.52002,3022
89,2022-12-08,596.09998,631.79999,596.09998,631.79999,5420
90,2022-12-07,606.90002,606.90002,598.51001,598.51001,3285
91,2022-12-06,618.47998,618.47998,602.20001,602.20001,3825
92,2022-12-05,619.59003,621.40002,601.08002,611.56000,6810
93,2022-12-02,632.27502,636.55328,614.27002,618.85999,7815
94,2022-12-01,609.13000,626.00000,596.48993,626.00000,9448
95,2022-11-30,583.17999,604.79999,583.17999,604.79999,6439
96,2022-11-29,579.40002,579.40002,579.40002,579.40002,2329
97,2022-11-28,603.89001,607.47998,583.87000,595.34003,5682
98,2022-11-25,600.50000,604.40997,600.50000,604.40997,1538
99,2022-11-23,590.00000,602.00000,584.59998,598.04999,6550
100,2022-11-22,604.06000,604.06000,599.34998,603.14001,6838
101,2022-11-21,611.12000,611.53998,599.39001,602.89001,13626
102,2022-11-18,613.40997,617.28027,596.01001,606.00000,7966
103,2022-11-17,616.81000,616.81000,600.00000,605.09998,8779
104,2022-11-16,616.84003,626.27002,616.84003,626.27002,3634
105,2022-11-15,635.04999,635.04999,619.02502,620.92999,5000
106,2022-11-14,687.00940,687.00940,632.20001,632.20001,5573
107,2022-11-11,700.00000,701.87000,684.40002,688.50000,5886
108,2022-11-10,649.64990,700.00000,649.64990,685.69000,7024
109,2022-11-09,618.52002,636.99988,614.42999,623.96002,8038
110,2022-11-08,619.84003,625.00000,615.00000,619.53003,8408
111,2022-11-07,605.00000,638.99500,605.00000,629.17999,8234
112,2022-11-04,615.90002,615.90002,615.90002,615.90002,2105
113,2022-11-03,615.23999,615.23999,605.23999,608.95001,2020
114,2022-11-02,600.00000,605.13000,600.00000,605.13000,3326
115,2022-11-01,590.32001,595.00000,590.32001,595.00000,6967
116,2022-10-31,605.52002,605.52002,595.34998,600.31000,13698
117,2022-10-28,616.53998,620.85999,600.00000,601.14001,11319
118,2022-10-27,680.07599,680.07599,638.00000,639.71997,9286
119,2022-10-26,669.53003,682.46997,666.00000,666.00000,5550
120,2022-10-25,657.82001,669.53003,657.82001,669.53003,3564
121,2022-10-24,633.28003,647.52002,630.41309,647.52002,3599
122,2022-10-21,607.21997,628.34998,605.00000,627.97998,6188
123,2022-10-20,612.28003,612.28003,607.00000,607.00000,3105
124,2022-10-19,611.27002,611.27002,611.27002,611.27002,3487
125,2022-10-18,621.94000,628.98999,612.01001,612.01001,6188
126,2022-10-17,605.35999,616.40002,605.35999,613.00000,6344
127,2022-10-14,611.10999,611.10999,593.79999,593.79999,6013
128,2022-10-13,595.20001,595.20001,595.20001,595.20001,3762
129,2022-10-12,573.89001,587.00000,573.89001,586.71002,3814
130,2022-10-11,573.60699,585.59998,573.60699,585.59998,3673
131,2022-10-10,581.78497,582.88000,580.96002,582.88000,3729
132,2022-10-07,575.56000,594.14001,575.56000,583.72998,10645
133,2022-10-06,566.53998,577.40002,566.53998,568.90002,7716
134,2022-10-05,568.78003,568.78003,568.78003,568.78003,2840
135,2022-10-04,575.28998,576.44000,575.28998,576.44000,5544
136,2022-10-03,566.72998,580.46002,566.72998,574.00000,6267
