,datetime,open,high,low,close,volume
0,2023-04-19,19.50000,19.55000,19.50000,19.55000,700
1,2023-04-18,19.99000,21.28000,19.98000,19.98000,3800
2,2023-04-17,20.37000,20.37500,19.45000,19.45000,3700
3,2023-04-14,19.44000,19.44000,19.44000,19.44000,0
4,2023-04-13,19.44000,19.44000,19.44000,19.44000,0
5,2023-04-12,20.66000,20.66000,19.44000,19.44000,400
6,2023-04-11,21.30000,21.30000,21.30000,21.30000,300
7,2023-04-10,20.66000,21.30000,20.66000,21.27000,500
8,2023-04-06,21.00000,21.45000,20.65000,20.65000,800
9,2023-04-05,21.98000,22.00000,21.45000,21.45000,1200
10,2023-04-04,22.17000,22.36000,22.17000,22.36000,700
11,2023-04-03,22.39000,22.39000,21.52000,22.17100,1300
12,2023-03-31,21.21900,21.21900,21.21900,21.21900,0
13,2023-03-30,20.50000,21.21900,20.50000,21.21900,300
14,2023-03-29,20.30000,20.30000,20.30000,20.30000,200
15,2023-03-28,20.00000,20.00000,20.00000,20.00000,300
16,2023-03-27,19.02000,19.10000,19.01000,19.01000,1700
17,2023-03-24,21.20000,21.20000,19.65000,19.65000,4300
18,2023-03-23,22.48000,22.48000,21.49000,21.49000,3800
19,2023-03-22,20.52000,22.48000,20.52000,20.52000,5500
20,2023-03-21,21.40000,22.46000,20.50000,20.80900,4800
21,2023-03-20,20.50000,21.85000,20.50000,21.50000,3400
22,2023-03-17,20.43000,22.49000,20.43000,22.15000,3300
23,2023-03-16,20.00000,22.37000,18.40000,20.49000,5600
24,2023-03-15,22.07000,22.07000,19.40000,19.40000,500
25,2023-03-14,22.06000,22.17400,20.00000,20.00000,3900
26,2023-03-13,18.87400,22.50000,18.85000,19.29000,7900
27,2023-03-10,21.95000,22.33400,21.30000,21.30000,5500
28,2023-03-09,22.93000,22.93000,21.95000,21.95000,2000
29,2023-03-08,22.00000,22.00000,22.00000,22.00000,600
30,2023-03-07,22.01000,22.01000,21.90000,22.00000,600
31,2023-03-06,22.92000,22.92000,22.92000,22.92000,400
32,2023-03-03,22.73900,22.73900,22.50100,22.50400,1700
33,2023-03-02,22.92000,23.14000,22.90000,22.90000,1100
34,2023-03-01,22.65000,23.09000,22.65000,22.89500,1400
35,2023-02-28,22.65000,23.14000,22.37100,22.92200,1700
36,2023-02-27,22.89000,22.89000,22.89000,22.89000,400
37,2023-02-24,22.08000,22.50000,21.82500,22.50000,2000
38,2023-02-23,22.01000,22.72200,22.01000,22.08000,3300
39,2023-02-22,23.29000,23.30000,22.58000,22.58000,2900
40,2023-02-21,21.95000,22.00000,21.95000,22.00000,2800
41,2023-02-17,21.58500,21.90200,21.58500,21.90200,300
42,2023-02-16,21.50000,21.93000,21.50000,21.80400,2600
43,2023-02-15,21.95000,21.95000,21.12900,21.94000,2500
44,2023-02-14,19.98000,19.98000,19.98000,19.98000,300
