,datetime,open,high,low,close,volume
0,2023-04-19,14.50000,14.50000,14.05000,14.30000,11000
1,2023-04-18,14.76000,14.92000,14.34000,14.50000,10600
2,2023-04-17,14.87000,15.09000,14.52000,14.83000,7900
3,2023-04-14,15.00000,15.22000,14.85000,15.00000,4200
4,2023-04-13,15.13000,15.13000,15.02000,15.10000,4000
5,2023-04-12,15.11000,15.55000,15.11000,15.14000,3000
6,2023-04-11,15.75000,15.86000,15.10000,15.22000,7500
7,2023-04-10,15.86000,15.86000,15.54000,15.54000,2800
8,2023-04-06,15.93000,15.93000,15.46560,15.88480,2001
9,2023-04-05,15.79000,16.14000,15.44000,15.46000,6316
10,2023-04-04,16.06000,16.06000,15.80520,15.80520,1530
11,2023-04-03,16.16730,16.25000,16.16730,16.25000,409
12,2023-03-31,16.38000,16.38000,15.82000,15.82000,3537
13,2023-03-30,16.55000,16.56500,16.54120,16.54120,1293
14,2023-03-29,16.05000,16.63000,16.05000,16.55000,4687
15,2023-03-28,16.47000,16.50000,15.73000,15.99000,2445
16,2023-03-27,15.59000,16.25000,15.59000,16.25000,1827
17,2023-03-24,15.20000,16.22000,15.20000,16.22000,2301
18,2023-03-23,16.46990,16.46990,15.78350,16.02000,3406
19,2023-03-22,15.95500,16.24410,15.70270,15.85000,10448
20,2023-03-21,15.88000,16.24000,15.15170,15.74000,4971
21,2023-03-20,15.60000,17.14990,15.60000,15.65000,8283
22,2023-03-17,15.00870,15.31000,14.81000,15.04000,13310
23,2023-03-16,14.95000,15.45000,14.95000,15.31000,5616
24,2023-03-15,15.00000,15.41580,14.90000,14.91000,9570
25,2023-03-14,15.25000,16.23000,14.90000,15.01000,24954
26,2023-03-13,15.80000,15.80000,14.44000,15.12400,17614
27,2023-03-10,15.92000,16.09990,15.61000,15.80000,9276
28,2023-03-09,16.17000,16.30000,15.95780,16.06000,3983
29,2023-03-08,16.58000,16.58000,16.15010,16.15010,2168
30,2023-03-07,16.30000,16.40000,16.30000,16.40000,1477
31,2023-03-06,16.26000,16.45000,16.12000,16.12000,6065
32,2023-03-03,16.44500,16.68990,16.40000,16.45000,2505
33,2023-03-02,16.40000,16.51040,16.40000,16.45000,1140
34,2023-03-01,16.35000,16.69990,16.32000,16.33000,1665
35,2023-02-28,16.34700,16.57000,16.34700,16.57000,618
36,2023-02-27,16.53990,16.53990,16.53990,16.53990,344
37,2023-02-24,16.21000,16.38000,16.21000,16.37000,685
38,2023-02-23,16.25000,16.31000,16.20000,16.20000,1188
39,2023-02-22,16.15000,16.40000,16.11000,16.25000,5444
40,2023-02-21,16.15000,16.54990,16.15000,16.54990,2173
41,2023-02-17,16.17010,16.63990,16.12010,16.63990,3574
42,2023-02-16,16.59000,16.67380,16.35800,16.66990,2403
