,datetime,open,high,low,close,volume
0,2023-04-18,0.05270,0.05270,0.05270,0.05270,2423
1,2023-04-13,0.06490,0.06990,0.06490,0.06990,11558
2,2023-04-12,0.06080,0.06080,0.06080,0.06080,16
3,2023-04-06,0.05100,0.05100,0.05100,0.05100,0
4,2023-04-05,0.05100,0.05100,0.05100,0.05100,0
5,2023-04-04,0.05270,0.07890,0.05270,0.07890,122
6,2023-03-31,0.05250,0.05250,0.05250,0.05250,1
7,2023-03-29,0.05310,0.05310,0.05310,0.05310,1900
8,2023-03-28,0.05300,0.05300,0.05300,0.05300,0
9,2023-03-27,0.04950,0.04950,0.04950,0.04950,0
10,2023-03-24,0.04400,0.04400,0.04400,0.04400,15000
11,2023-03-23,0.04790,0.04800,0.04790,0.04800,5895
12,2023-03-22,0.04530,0.04560,0.04300,0.04560,2700
13,2023-03-21,0.05285,0.05285,0.04500,0.04560,7152
14,2023-03-20,0.08000,0.08000,0.04100,0.06070,31826
15,2023-03-17,0.06900,0.06900,0.02870,0.05280,492260
16,2023-03-16,0.00720,0.00720,0.00720,0.00720,445531
17,2023-03-13,0.06425,0.06425,0.06425,0.06425,0
18,2023-03-10,0.05430,0.05430,0.05430,0.05430,900
19,2023-03-08,0.05500,0.05500,0.05500,0.05500,500
20,2023-03-06,0.05510,0.05510,0.05510,0.05510,0
21,2023-03-03,0.07645,0.07645,0.05500,0.05500,652
22,2023-03-02,0.08290,0.08290,0.08290,0.08290,5933
23,2023-02-27,0.05200,0.08630,0.05110,0.07490,38600
24,2023-02-23,0.08900,0.09000,0.08900,0.08900,0
25,2023-02-16,0.06110,0.07590,0.06100,0.07560,2620
26,2023-02-13,0.08900,0.09000,0.08900,0.08990,3689
27,2023-02-10,0.08900,0.09000,0.06000,0.06010,1000
28,2023-02-09,0.08120,0.08120,0.08010,0.08010,10100
29,2023-02-07,0.08000,0.08100,0.08000,0.08100,200
30,2023-02-06,0.07510,0.07510,0.07510,0.07510,11
31,2023-02-03,0.07700,0.07713,0.07700,0.07713,4244
32,2023-01-31,0.08000,0.08000,0.08000,0.08000,51
33,2023-01-30,0.04790,0.08990,0.04790,0.07320,55403
34,2023-01-27,0.07000,0.07000,0.07000,0.07000,0
35,2023-01-25,0.05310,0.05660,0.05150,0.05660,116
36,2023-01-24,0.10780,0.10780,0.05000,0.05720,11594
37,2023-01-20,0.09110,0.09110,0.04600,0.04600,5021
38,2023-01-17,0.07050,0.08000,0.07050,0.07060,157891
39,2023-01-10,0.06000,0.07000,0.06000,0.07000,2000
40,2023-01-09,0.06150,0.06370,0.06140,0.06370,0
41,2023-01-06,0.08800,0.08800,0.06000,0.06000,40467
42,2023-01-05,0.06000,0.06010,0.05290,0.06000,703
43,2022-12-30,0.03510,0.03510,0.03510,0.03510,0
44,2022-12-29,0.05000,0.06000,0.03000,0.06000,5800
45,2022-12-22,0.05770,0.05770,0.05000,0.05200,347753
46,2022-12-20,0.06000,0.06430,0.06000,0.06430,25000
47,2022-12-19,0.06020,0.06020,0.06010,0.06010,500
