,datetime,open,high,low,close,volume
0,2023-04-19,98.40000,99.51000,98.13000,99.06000,950900
1,2023-04-18,100.25000,100.31000,98.11000,98.41000,759100
2,2023-04-17,99.55000,100.38000,98.83000,100.30000,881200
3,2023-04-14,98.40000,99.18000,98.06000,99.01000,841700
4,2023-04-13,97.31000,98.98000,97.31000,98.34000,1039300
5,2023-04-12,99.00000,99.45000,97.85000,97.96000,856600
6,2023-04-11,98.06000,98.82000,97.48000,97.84000,1026900
7,2023-04-10,99.56000,99.66000,97.28000,98.05000,869500
8,2023-04-06,96.28000,99.80000,95.75000,99.60000,1488200
9,2023-04-05,95.99000,96.99000,95.47000,96.57000,1072200
10,2023-04-04,96.80000,96.86000,95.13000,95.43000,946500
11,2023-04-03,97.09000,97.42000,96.46000,96.60000,881300
12,2023-03-31,95.57000,97.70000,95.56000,97.24000,1434600
13,2023-03-30,94.45000,95.89000,94.34000,95.29000,1226500
14,2023-03-29,91.89000,94.45000,91.39000,94.20000,1072600
15,2023-03-28,91.23000,92.10000,90.81000,91.44000,859900
16,2023-03-27,91.50000,92.10000,91.10000,91.50000,1078400
17,2023-03-24,90.01000,91.16000,89.34000,90.74000,772200
18,2023-03-23,91.69000,91.69000,89.35000,90.11000,1244800
19,2023-03-22,92.25000,92.25000,89.98000,90.08000,963200
20,2023-03-21,92.24000,92.82000,91.77000,92.08000,1581100
21,2023-03-20,92.07000,93.76000,91.23000,92.34000,1201300
22,2023-03-17,92.37000,92.45000,90.49000,91.67000,1757400
23,2023-03-16,87.45000,93.63000,87.34000,93.41000,2829200
24,2023-03-15,89.25000,89.64000,87.52000,87.74000,1512400
25,2023-03-14,91.47000,91.57000,89.96000,90.25000,1538800
26,2023-03-13,90.45000,92.64000,89.83000,90.02000,1956700
27,2023-03-10,92.28000,92.91000,89.39000,90.49000,1692400
28,2023-03-09,94.13000,94.61000,92.17000,93.00000,1340439
29,2023-03-08,93.53000,94.60000,92.81000,94.31000,1582400
30,2023-03-07,93.47000,95.50000,92.88000,93.42000,2359300
31,2023-03-06,94.99000,97.11000,93.38000,94.30000,4401200
32,2023-03-03,100.26000,101.48000,98.65000,101.20000,1340400
33,2023-03-02,100.39000,100.79000,99.25000,100.12000,1182200
34,2023-03-01,100.26000,102.79000,100.26000,100.99000,1689100
35,2023-02-28,99.30000,102.96000,97.37000,99.59000,2826200
36,2023-02-27,102.31000,103.58000,102.09000,103.24000,1445200
37,2023-02-24,102.50000,102.97000,101.48000,102.07000,1467900
38,2023-02-23,103.20000,103.98000,102.78000,103.18000,979800
39,2023-02-22,104.37000,105.69000,102.94000,103.12000,1944000
40,2023-02-21,108.44000,108.44000,105.92000,105.97000,987000
41,2023-02-17,107.04000,108.36000,106.55000,108.31000,969900
