,datetime,open,high,low,close,volume
0,2023-04-19,10.50000,10.51000,10.50000,10.51000,30700
1,2023-04-18,10.50000,10.50000,10.50000,10.50000,500
2,2023-04-17,10.50000,10.50000,10.50000,10.50000,100
3,2023-04-14,10.50000,10.50000,10.50000,10.50000,0
4,2023-04-13,10.50000,10.50000,10.50000,10.50000,0
5,2023-04-12,10.50000,10.50000,10.50000,10.50000,200
6,2023-04-11,10.47000,10.47000,10.47000,10.47000,0
7,2023-04-10,10.47000,10.47000,10.47000,10.47000,0
8,2023-04-06,10.47000,10.47000,10.47000,10.47000,100
9,2023-04-05,10.46000,10.46000,10.46000,10.46000,0
10,2023-04-04,10.46000,10.46000,10.46000,10.46000,0
11,2023-04-03,10.46000,10.46000,10.46000,10.46000,4200
12,2023-03-31,10.45000,10.45000,10.45000,10.45000,0
13,2023-03-30,10.45000,10.45000,10.45000,10.45000,0
14,2023-03-29,10.45000,10.45000,10.45000,10.45000,0
15,2023-03-28,10.45000,10.45000,10.45000,10.45000,0
16,2023-03-27,10.45000,10.45000,10.45000,10.45000,600
17,2023-03-24,10.45000,10.45000,10.45000,10.45000,100
18,2023-03-23,10.44000,10.44000,10.44000,10.44000,100
19,2023-03-22,10.43000,10.43000,10.43000,10.43000,0
20,2023-03-21,10.43000,10.43000,10.43000,10.43000,0
21,2023-03-20,10.43000,10.43000,10.43000,10.43000,0
22,2023-03-17,10.43000,10.43000,10.43000,10.43000,0
23,2023-03-16,10.43000,10.43000,10.43000,10.43000,0
24,2023-03-15,10.48000,10.48000,10.43000,10.43000,200
25,2023-03-14,10.43000,10.43000,10.43000,10.43000,200
26,2023-03-13,10.44000,10.44000,10.44000,10.44000,0
27,2023-03-10,10.40500,10.44000,10.39000,10.44000,400
28,2023-03-09,10.44000,10.97000,10.44000,10.46000,2800
29,2023-03-08,10.44000,10.44000,10.44000,10.44000,0
30,2023-03-07,10.44000,10.44000,10.44000,10.44000,2200
31,2023-03-06,10.43000,10.43000,10.43000,10.43000,0
32,2023-03-03,10.43000,10.43000,10.43000,10.43000,3300
33,2023-03-02,10.43000,10.43000,10.43000,10.43000,5000
34,2023-03-01,10.43000,10.44000,10.43000,10.43000,5200
35,2023-02-28,10.43000,10.43000,10.42600,10.42600,1100
36,2023-02-27,10.43000,10.43000,10.43000,10.43000,5500
37,2023-02-24,10.42000,10.43000,10.42000,10.43000,5500
38,2023-02-23,10.42000,10.42000,10.42000,10.42000,5000
39,2023-02-22,10.41000,10.42000,10.41000,10.42000,7900
40,2023-02-21,10.40000,10.41000,10.40000,10.41000,5400
41,2023-02-15,10.39000,10.39000,10.39000,10.39000,10200
42,2023-02-07,10.38000,10.39000,10.38000,10.39000,600
43,2022-12-29,10.28000,10.28000,10.28000,10.28000,99990
44,2022-12-16,10.24000,10.24000,10.22000,10.24000,7900
45,2022-12-13,10.22000,10.22000,10.22000,10.22000,3500
46,2022-12-12,10.26000,10.26000,10.23000,10.26000,2100
47,2022-12-08,10.22000,10.22000,10.22000,10.22000,3000
48,2022-12-05,10.24000,10.24000,10.23000,10.24000,5300
49,2022-11-30,10.20000,10.20000,10.20000,10.20000,36000
50,2022-11-28,10.18500,10.18500,10.18500,10.18500,1300
51,2022-11-22,10.17000,10.17000,10.17000,10.17000,600
52,2022-11-17,10.16000,10.19000,10.15000,10.15000,4100
53,2022-11-16,10.14000,10.14000,10.14000,10.14000,100
54,2022-11-14,10.15000,10.15000,10.15000,10.15000,100
55,2022-11-11,10.16000,10.16000,10.16000,10.16000,0
56,2022-11-10,10.16000,10.16000,10.16000,10.16000,200
57,2022-11-09,10.16000,10.16000,10.16000,10.16000,200
58,2022-11-08,10.16000,10.16000,10.16000,10.16000,0
59,2022-11-07,10.16000,10.16000,10.16000,10.16000,0
60,2022-11-03,10.16000,10.16000,10.16000,10.16000,200
61,2022-10-26,10.11000,10.11000,10.10000,10.11000,3700
62,2022-10-25,10.11000,10.11000,10.11000,10.11000,3000
63,2022-10-24,10.10000,10.11000,10.10000,10.11000,3900
64,2022-10-20,10.08000,10.08000,10.07700,10.08000,28700
65,2022-10-19,10.07000,10.08000,10.05000,10.08000,18600
66,2022-10-18,10.07000,10.08000,10.07000,10.08000,3100
67,2022-10-14,10.07000,10.07000,10.07000,10.07000,1400
68,2022-10-12,10.06000,10.07000,10.05500,10.06000,83800
69,2022-10-11,10.05000,10.06000,10.05000,10.06000,5700
70,2022-10-10,10.04000,10.04000,10.04000,10.04000,100
71,2022-10-07,10.06000,10.06000,10.06000,10.06000,6000
72,2022-10-06,10.07000,10.07000,10.07000,10.07000,300
73,2022-10-05,10.06000,10.06000,10.06000,10.06000,400
74,2022-09-30,10.04000,10.05000,10.04000,10.05000,3800
75,2022-09-28,10.06000,10.06000,10.06000,10.06000,400
76,2022-09-27,10.04000,10.05000,10.03000,10.05000,10900
77,2022-09-26,10.03000,10.08000,10.00000,10.05000,15000
78,2022-09-23,10.04000,10.04000,10.03000,10.03000,1900
79,2022-09-22,10.04000,10.05000,10.03000,10.03000,4000
80,2022-09-19,10.01000,10.04000,10.01000,10.04000,1300
81,2022-09-15,10.04000,10.04000,10.01500,10.02000,6000
82,2022-09-09,10.03000,10.03000,10.02000,10.02000,7600
83,2022-09-07,10.03000,10.04000,10.03000,10.04000,10700
84,2022-09-06,10.03000,10.03000,10.02000,10.02000,700
85,2022-09-02,9.91000,10.00000,9.91000,10.00000,1700
86,2022-08-29,9.99000,9.99000,9.99000,9.99000,1600
87,2022-08-26,10.01000,10.01000,9.99000,9.99000,1900
88,2022-08-17,10.03000,10.03000,10.03000,10.03000,200
89,2022-08-16,9.98000,10.01000,9.98000,10.01000,1100
90,2022-08-15,10.03000,10.03000,10.03000,10.03000,200
91,2022-08-12,10.01000,10.01000,10.01000,10.01000,100
92,2022-08-11,10.06000,10.06000,10.06000,10.06000,0
93,2022-08-09,10.01000,10.01000,10.01000,10.01000,100
94,2022-08-08,9.98000,10.01000,9.98000,10.01000,8500
95,2022-08-05,10.01000,10.02100,10.01000,10.02100,1100
96,2022-07-29,9.97000,10.01000,9.97000,10.01000,4600
97,2022-07-27,9.98000,9.98000,9.98000,9.98000,100
98,2022-07-22,10.05000,10.05000,9.97000,9.97000,6200
99,2022-07-21,9.97000,9.97000,9.97000,9.97000,800
100,2022-07-19,10.00000,10.00000,10.00000,10.00000,1700
101,2022-07-05,9.94000,9.96000,9.94000,9.96000,11300
102,2022-07-01,9.96000,9.96000,9.96000,9.96000,200
103,2022-06-28,9.94000,9.94000,9.94000,9.94000,5500
104,2022-06-15,9.99000,10.00000,9.94000,9.99000,14900
105,2022-06-14,9.94000,9.94000,9.94000,9.94000,0
106,2022-06-10,9.99000,9.99000,9.99000,9.99000,100
107,2022-06-02,9.92000,9.93000,9.91000,9.92000,54200
108,2022-05-27,9.93000,9.93000,9.92000,9.92000,8000
109,2022-05-24,9.93000,9.93000,9.93000,9.93000,200
110,2022-05-23,10.03000,10.03000,10.03000,10.03000,300
111,2022-05-13,9.95000,9.95000,9.91000,9.94000,12300
112,2022-05-11,9.98000,9.99000,9.95000,9.95000,10300
113,2022-05-10,10.00000,10.00000,9.99000,9.99000,2600
114,2022-05-09,10.03000,10.03000,10.02000,10.02000,300
115,2022-05-04,10.07000,10.07000,10.07000,10.07000,300
116,2022-05-02,10.03000,10.03000,10.03000,10.03000,100
117,2022-04-27,10.04000,10.06000,10.01000,10.05000,47900
118,2022-04-26,10.02000,10.03000,9.98000,10.02000,13200
119,2022-04-25,10.03000,10.06000,10.03000,10.03000,52700
120,2022-04-14,10.00000,10.00000,9.99000,10.00000,4200
121,2022-04-11,10.01580,10.01580,10.01580,10.01580,0
122,2022-04-04,10.00000,10.01600,9.99000,10.01600,7500
123,2022-04-01,10.00000,10.00000,9.99200,9.99200,2000
124,2022-03-24,9.91000,9.91000,9.91000,9.91000,300
125,2022-03-18,10.00000,10.00000,10.00000,10.00000,500
126,2022-03-14,10.00000,10.00000,10.00000,10.00000,300000
127,2022-03-09,9.97000,9.97000,9.97000,9.97000,100
128,2022-03-08,9.96000,9.96000,9.96000,9.96000,200
129,2022-03-07,9.96000,9.96000,9.96000,9.96000,100
130,2022-03-03,9.94000,9.94000,9.94000,9.94000,44600
131,2022-03-02,9.93000,9.94500,9.92000,9.92000,2400
132,2022-03-01,9.90000,9.94000,9.90000,9.92000,10500
133,2022-02-24,9.93000,9.93000,9.93000,9.93000,1000
134,2022-02-22,10.00000,10.00000,10.00000,10.00000,700
135,2022-02-14,10.10000,10.10000,10.10000,10.10000,0
136,2022-02-11,9.99000,9.99000,9.98000,9.98000,700
137,2022-02-10,9.99000,9.99000,9.99000,9.99000,34100
138,2022-02-09,9.95500,10.00000,9.95500,10.00000,1300
139,2022-02-08,9.97000,9.99700,9.97000,9.99700,1100
140,2022-02-01,9.99000,10.01000,9.99000,10.01000,11400
141,2022-01-31,9.94000,9.94000,9.94000,9.94000,200
142,2022-01-28,9.94000,10.00000,9.94000,9.94000,3000
143,2022-01-27,9.98500,9.98500,9.97000,9.97000,700
144,2022-01-26,10.02000,10.02000,9.98000,9.98000,3700
145,2022-01-25,10.00000,10.00000,9.99000,9.99000,4900
146,2022-01-21,10.00000,10.00000,9.99000,9.99000,1100
147,2022-01-20,10.10000,10.10000,10.10000,10.10000,0
148,2022-01-19,10.10000,10.10000,10.05000,10.05000,2000
149,2022-01-18,10.00000,10.00000,10.00000,10.00000,1200
150,2022-01-14,10.02000,10.02000,10.00000,10.00000,2400
151,2022-01-12,10.01000,10.01000,10.00500,10.01000,91200
152,2022-01-04,10.00000,10.00000,10.00000,10.00000,1400
153,2021-12-30,9.99000,9.99000,9.99000,9.99000,900
154,2021-12-28,10.01000,10.01000,9.99000,9.99000,7100
155,2021-12-27,9.99000,10.01000,9.99000,10.01000,3500
156,2021-12-23,9.99000,9.99000,9.99000,9.99000,2600
