,datetime,open,high,low,close,volume
0,2023-04-19,0.38200,0.39700,0.37300,0.37300,417500
1,2023-04-18,0.37700,0.40600,0.37600,0.39100,397700
2,2023-04-17,0.38000,0.39500,0.37600,0.38000,309900
3,2023-04-14,0.39000,0.41000,0.37600,0.37600,465500
4,2023-04-13,0.38500,0.41800,0.38000,0.39700,796100
5,2023-04-12,0.38000,0.40000,0.37000,0.38500,358400
6,2023-04-11,0.38800,0.40000,0.38100,0.38600,359100
7,2023-04-10,0.37300,0.39000,0.36500,0.38800,352900
8,2023-04-06,0.40000,0.40000,0.36500,0.38200,345100
9,2023-04-05,0.39200,0.41200,0.37700,0.38000,311100
10,2023-04-04,0.40000,0.41200,0.38500,0.39200,380500
11,2023-04-03,0.37700,0.42900,0.37700,0.41000,440600
12,2023-03-31,0.37200,0.41000,0.37200,0.38300,700600
13,2023-03-30,0.36000,0.38500,0.36000,0.37900,578600
14,2023-03-29,0.36000,0.37000,0.35800,0.36000,240400
15,2023-03-28,0.37400,0.37800,0.35200,0.37000,447900
16,2023-03-27,0.38000,0.38500,0.36200,0.37100,353100
17,2023-03-24,0.38700,0.39700,0.37800,0.38000,280200
18,2023-03-23,0.39400,0.40000,0.36500,0.38900,546800
19,2023-03-22,0.40000,0.42700,0.38500,0.39000,761000
20,2023-03-21,0.41000,0.42800,0.40000,0.41300,265200
21,2023-03-20,0.44000,0.44000,0.38400,0.38800,893000
22,2023-03-17,0.48000,0.50000,0.43000,0.44300,579000
23,2023-03-16,0.47500,0.50000,0.43100,0.44000,1172400
24,2023-03-15,0.50000,0.54500,0.48100,0.52000,657000
25,2023-03-14,0.47900,0.52000,0.47000,0.50500,419800
26,2023-03-13,0.46000,0.49000,0.42000,0.47500,983900
27,2023-03-10,0.55000,0.55000,0.45000,0.49100,1076300
28,2023-03-09,0.55000,0.56500,0.53000,0.54100,275600
29,2023-03-08,0.54000,0.56000,0.52000,0.56000,432900
30,2023-03-07,0.54700,0.58000,0.53000,0.54200,536000
31,2023-03-06,0.55000,0.55000,0.51200,0.54700,409300
32,2023-03-03,0.51600,0.56200,0.51600,0.55400,397300
33,2023-03-02,0.55000,0.55000,0.51000,0.52500,353100
34,2023-03-01,0.59000,0.59600,0.55200,0.55300,475100
35,2023-02-28,0.58600,0.60000,0.56000,0.60000,618400
36,2023-02-27,0.63000,0.64200,0.56500,0.59300,964100
37,2023-02-24,0.59000,0.65700,0.59000,0.62100,718600
38,2023-02-23,0.56000,0.60000,0.56000,0.59500,692100
39,2023-02-22,0.64000,0.65000,0.55000,0.57000,1346100
40,2023-02-21,0.68000,0.70000,0.63300,0.66000,1222900
41,2023-02-17,0.72000,0.73000,0.62000,0.68000,2981600
42,2023-02-16,0.62000,0.75800,0.60400,0.71400,3626500
43,2023-02-15,0.49700,0.66700,0.48600,0.65500,5937600
44,2023-02-14,0.40000,0.58900,0.39000,0.55800,17000500
45,2023-02-13,0.40500,0.42000,0.40000,0.40000,228900
46,2023-02-10,0.41000,0.41000,0.39000,0.40400,402300
47,2023-02-09,0.43800,0.44000,0.38500,0.39000,705500
48,2023-02-08,0.42800,0.44700,0.42800,0.43200,223000
49,2023-02-07,0.44000,0.44100,0.41100,0.42200,457600
50,2023-02-06,0.46000,0.46000,0.42900,0.43800,394800
51,2023-02-03,0.46500,0.47000,0.45100,0.46000,341600
52,2023-02-02,0.45800,0.48500,0.45100,0.46000,695700
53,2023-02-01,0.47600,0.48000,0.44500,0.44800,1003400
54,2023-01-31,0.44300,0.51000,0.41400,0.46200,2973000
55,2023-01-30,0.38300,0.43900,0.37900,0.41300,2034200
56,2023-01-27,0.37000,0.38500,0.35500,0.37900,442400
57,2023-01-26,0.37000,0.38000,0.36600,0.36900,167100
58,2023-01-25,0.37000,0.38000,0.36000,0.37800,211300
59,2023-01-24,0.37800,0.38000,0.36800,0.37300,200700
60,2023-01-23,0.35500,0.37800,0.35000,0.37400,386600
61,2023-01-20,0.34000,0.35800,0.34000,0.35000,242500
62,2023-01-19,0.35500,0.36000,0.32700,0.33800,315200
63,2023-01-18,0.38000,0.38800,0.36100,0.36200,198100
64,2023-01-17,0.37000,0.38600,0.37000,0.38100,459800
65,2023-01-13,0.34800,0.37400,0.33000,0.36800,586800
66,2023-01-12,0.33000,0.34800,0.32500,0.34800,591100
67,2023-01-11,0.37600,0.38900,0.27000,0.32000,3418500
68,2023-01-10,0.34000,0.38400,0.34000,0.38000,412500
69,2023-01-09,0.32600,0.35800,0.32600,0.34000,414200
70,2023-01-06,0.32000,0.33300,0.31500,0.32500,238600
71,2023-01-05,0.32000,0.34000,0.31500,0.32500,352600
72,2023-01-04,0.31000,0.33000,0.30300,0.32700,309100
73,2023-01-03,0.30900,0.32300,0.30300,0.31000,296000
74,2022-12-30,0.28200,0.32800,0.27700,0.31100,766700
