,datetime,open,high,low,close,volume
0,2023-04-19,15.15000,15.20000,14.92800,14.96000,45800
1,2023-04-18,15.61000,15.61000,15.24400,15.24700,32400
2,2023-04-17,15.80000,15.80000,15.45500,15.60000,18200
3,2023-04-14,15.58900,15.78000,15.55000,15.64000,13400
4,2023-04-13,15.97000,15.97000,15.65000,15.65000,7100
5,2023-04-12,15.91000,15.99000,15.53000,15.53000,9400
6,2023-04-11,15.75000,15.85000,15.47000,15.69500,24100
7,2023-04-10,15.60000,15.92000,15.56500,15.67000,34900
8,2023-04-06,15.58000,15.60000,15.39000,15.56000,14000
9,2023-04-05,15.83000,15.83000,15.43000,15.43000,19600
10,2023-04-04,15.91000,15.95000,15.50000,15.76000,17300
11,2023-04-03,15.91000,15.99000,15.61000,15.85000,15100
12,2023-03-31,16.14000,16.24000,15.52000,15.91000,29100
13,2023-03-30,16.51000,16.51000,15.76000,16.34000,26000
14,2023-03-29,15.72000,16.44000,15.71000,16.40000,25700
15,2023-03-28,15.58000,15.82200,15.50000,15.60000,15700
16,2023-03-27,16.01000,16.01000,15.70000,15.77000,19200
17,2023-03-24,16.01000,16.28000,15.49000,16.28000,30800
18,2023-03-23,16.22000,16.39900,16.00000,16.00000,7200
19,2023-03-22,16.30500,16.54000,16.04000,16.04000,7700
20,2023-03-21,16.27000,16.40000,16.04000,16.04000,11000
21,2023-03-20,16.65000,16.65000,16.05000,16.26000,15000
22,2023-03-17,16.41000,16.55000,16.32000,16.42500,7200
23,2023-03-16,16.60000,16.86000,16.43000,16.43000,29600
24,2023-03-15,16.65000,16.65900,16.39000,16.57500,8300
25,2023-03-14,16.95000,16.95000,16.65000,16.73700,9700
26,2023-03-13,16.65000,16.99000,16.65000,16.82000,13300
27,2023-03-10,16.76000,16.98000,16.65000,16.65000,29700
28,2023-03-09,18.04000,18.09000,16.61000,16.85000,56300
29,2023-03-08,18.85000,18.88300,18.02000,18.22000,21500
30,2023-03-07,18.73000,19.06800,18.73000,18.99000,21900
31,2023-03-06,18.75000,18.80000,18.64000,18.80000,8700
32,2023-03-03,18.67000,19.41000,18.53800,18.72000,5700
33,2023-03-02,18.50000,18.70000,18.40000,18.52000,11700
34,2023-03-01,18.97000,18.97000,18.75000,18.75000,16600
35,2023-02-28,19.44000,19.50100,18.92000,19.03000,65100
36,2023-02-27,19.75000,19.87000,19.56600,19.87000,8100
37,2023-02-24,19.48100,19.63300,19.31000,19.63300,9100
38,2023-02-23,19.32900,19.91000,19.32900,19.87000,5200
39,2023-02-22,21.86000,21.86000,18.81700,19.13000,11600
40,2023-02-21,20.00000,20.00000,18.72000,18.72000,18100
41,2023-02-17,20.40000,20.42000,19.97000,20.02000,14600
42,2023-02-16,20.97000,20.97000,20.40000,20.47000,11600
43,2023-02-15,20.70500,20.78000,20.50000,20.74000,12500
44,2023-02-14,20.93000,21.14000,20.61000,20.82000,20300
45,2023-02-13,21.00000,21.16000,20.60000,21.00000,32100
46,2023-02-10,20.77000,20.85000,20.50000,20.85000,6900
47,2023-02-09,20.73000,20.90000,20.47000,20.76000,24100
48,2023-02-08,20.88000,20.89000,20.51000,20.73000,13000
49,2023-02-07,20.70000,20.88000,20.54500,20.88000,29100
50,2023-02-06,20.50000,20.73600,20.45000,20.45000,12400
51,2023-02-03,20.45000,21.04000,20.45000,20.76000,19300
52,2023-02-02,20.46000,20.93000,20.44000,20.93000,20400
53,2023-02-01,20.25000,20.48000,20.15000,20.33000,24200
54,2023-01-31,19.51000,20.47000,19.51000,20.18000,22700
55,2023-01-30,19.50000,19.79000,19.41000,19.52000,18700
56,2023-01-27,19.58000,19.79000,19.38000,19.41000,15300
57,2023-01-26,18.94000,19.60000,18.94000,19.57000,7100
58,2023-01-25,18.88000,18.95000,18.70000,18.92500,19700
59,2023-01-24,19.15000,19.22000,18.64000,18.81000,29900
60,2023-01-23,18.76000,19.28000,18.76000,19.10000,32000
61,2023-01-20,18.87000,19.00000,18.76000,18.76000,23800
62,2023-01-19,18.56000,18.91000,18.56000,18.87000,5900
63,2023-01-18,18.73000,19.00000,18.64000,18.90000,25800
64,2023-01-17,18.25000,18.63000,18.25000,18.63000,18300
65,2023-01-13,17.74000,18.38000,17.74000,18.38000,8000
66,2023-01-12,17.88000,18.00000,17.72000,17.74000,27300
67,2023-01-11,17.45000,17.76000,17.45000,17.76000,16500
68,2023-01-10,17.70000,17.82000,17.43000,17.50000,24900
69,2023-01-09,18.41000,18.52700,17.53000,17.78000,28100
70,2023-01-06,18.01000,18.46100,17.89000,18.25000,45400
71,2023-01-05,17.60000,17.99000,17.57000,17.99000,27400
72,2023-01-04,16.78000,17.65000,16.78000,17.58000,38000
73,2023-01-03,16.73000,16.93000,16.00000,16.87000,31900
74,2022-12-30,14.96000,16.07000,14.96000,15.83000,191800
75,2022-12-29,14.94000,15.15000,14.69800,14.88000,61000
76,2022-12-28,15.10000,15.34000,14.91000,14.91000,37200
77,2022-12-27,15.44000,15.45000,14.93000,15.09000,44700
78,2022-12-23,15.14000,15.48000,14.94000,15.45000,34700
79,2022-12-22,15.59000,15.68300,15.20200,15.39000,31800
80,2022-12-21,15.68000,15.76000,15.62000,15.71000,18100
81,2022-12-20,15.93000,15.93000,15.57000,15.74000,35900
82,2022-12-19,16.04000,16.17000,15.79000,15.95000,30800
83,2022-12-16,15.85000,16.14000,15.83000,16.14000,18800
84,2022-12-15,16.27000,16.49000,15.96000,16.06000,32100
85,2022-12-14,16.38000,16.64000,16.34100,16.36000,26000
86,2022-12-13,16.86000,16.96800,16.34000,16.45000,43800
87,2022-12-12,16.85000,17.04000,16.70000,16.71000,15200
88,2022-12-09,16.90000,17.00000,16.76000,16.86000,15600
89,2022-12-08,17.22000,17.22000,16.92000,16.97000,23100
90,2022-12-07,17.17000,17.46200,17.00000,17.09000,24800
91,2022-12-06,17.50000,17.50000,17.14000,17.22000,28300
92,2022-12-05,18.14000,18.15000,17.43000,17.63000,26000
93,2022-12-02,17.67000,18.18000,17.67000,18.14000,38100
94,2022-12-01,17.17000,17.95000,16.91000,17.83000,44800
95,2022-11-30,16.78000,17.23500,16.45000,17.08000,74600
96,2022-11-29,16.90000,16.99900,16.77000,16.97000,44500
97,2022-11-28,17.04000,17.25000,16.81000,16.93000,49500
98,2022-11-25,16.97000,17.18000,16.97000,17.12000,42500
99,2022-11-23,16.76000,16.97000,16.67000,16.97000,34300
100,2022-11-22,16.95000,16.95000,16.61000,16.76000,40700
101,2022-11-21,16.67000,16.99000,16.60000,16.88000,89400
102,2022-11-18,16.56000,16.67000,16.10000,16.67000,43800
103,2022-11-17,16.46000,16.66000,16.28000,16.41000,32600
104,2022-11-16,16.67000,16.70000,16.46000,16.69000,36300
105,2022-11-15,16.68000,16.76000,16.62000,16.76000,30800
106,2022-11-14,16.84000,16.95000,16.45000,16.52000,52800
107,2022-11-11,17.23000,17.23000,16.62000,16.88000,43300
108,2022-11-10,16.71000,17.25000,16.70000,17.23000,51500
109,2022-11-09,16.64000,16.87000,16.40000,16.66000,25200
110,2022-11-08,16.35000,16.67000,16.35000,16.65000,53400
111,2022-11-07,16.39000,16.40000,16.25000,16.35000,94900
112,2022-11-04,16.30000,16.39000,16.20000,16.33000,16200
113,2022-11-03,16.50000,16.50000,16.25000,16.32000,11100
114,2022-11-02,16.78000,16.80000,16.38000,16.75000,20400
115,2022-11-01,16.86000,16.86000,16.46000,16.62000,12900
116,2022-10-31,16.34000,16.77000,16.20000,16.65000,24700
117,2022-10-28,16.24000,16.34000,16.04500,16.34000,21400
118,2022-10-27,16.20000,16.31000,15.99000,16.20000,81600
119,2022-10-26,15.81000,16.17000,15.81000,16.07000,58800
120,2022-10-25,15.80000,16.00000,15.65000,15.94000,84400
121,2022-10-24,15.62000,15.92000,15.54000,15.79000,73600
122,2022-10-21,16.16000,16.18000,15.55000,15.62000,36300
123,2022-10-20,16.25000,16.35000,16.17000,16.22000,43100
124,2022-10-19,16.45000,16.46100,16.20500,16.30000,36100
125,2022-10-18,16.68000,16.68000,16.44000,16.50000,11200
126,2022-10-17,16.64400,16.65000,16.25000,16.43000,43000
127,2022-10-14,16.77700,16.77700,16.34600,16.43000,24600
128,2022-10-13,16.68000,16.68000,16.37000,16.66000,41400
129,2022-10-12,17.00000,17.00000,16.75000,16.77500,21400
130,2022-10-11,17.60000,17.60000,16.95000,17.00000,17900
131,2022-10-10,17.85000,17.86000,17.32000,17.46000,10500
132,2022-10-07,18.01000,18.05000,17.80000,17.82000,12600
133,2022-10-06,18.41000,18.41000,18.01000,18.16000,22800
134,2022-10-05,18.42000,18.60000,18.15000,18.30000,38200
135,2022-10-04,18.43000,18.76000,18.32000,18.43000,16300
136,2022-10-03,18.74000,18.74000,18.26000,18.30000,51200
137,2022-09-30,18.60000,19.23000,18.52000,18.97000,56800
138,2022-09-29,19.10000,19.10000,18.57000,18.63000,26000
139,2022-09-28,19.00000,19.28000,18.84000,19.07000,50600
140,2022-09-27,19.05000,19.10000,18.85000,19.08500,34800
141,2022-09-26,19.42000,19.42000,18.98000,19.05000,15500
142,2022-09-23,19.56100,19.59000,19.27000,19.30000,13900
143,2022-09-22,19.70000,19.76600,19.54000,19.57000,6300
144,2022-09-21,19.46000,20.00500,19.45000,19.72000,13800
145,2022-09-20,19.70000,19.71000,19.26000,19.38000,13500
146,2022-09-19,19.65000,19.91000,19.63000,19.75000,10200
147,2022-09-16,19.75000,19.79000,19.60000,19.79000,16400
148,2022-09-15,19.81000,19.91000,19.79000,19.79000,8400
149,2022-09-14,19.82000,19.96500,19.76000,19.82000,12000
150,2022-09-13,20.09000,20.09000,19.81000,19.90000,39100
151,2022-09-12,20.20000,20.34000,20.10000,20.21400,13100
152,2022-09-09,20.15000,20.48600,20.10000,20.23000,18400
153,2022-09-08,20.15000,20.51000,20.10000,20.10000,11300
154,2022-09-07,19.95000,20.50000,19.95000,20.25000,16100
155,2022-09-06,20.38000,20.38000,20.00000,20.00000,7300
156,2022-09-02,20.36000,20.60000,20.30800,20.48000,4100
157,2022-09-01,20.42500,20.87000,20.15000,20.43000,21900
158,2022-08-31,20.45400,20.78000,20.25000,20.40000,16500
159,2022-08-30,21.16000,21.20000,20.69600,20.86000,11300
160,2022-08-29,21.41200,21.41200,21.12000,21.16000,4000
161,2022-08-26,21.24000,21.53600,21.00000,21.23800,5300
162,2022-08-25,21.46000,21.46000,21.22000,21.34000,8600
163,2022-08-24,21.21500,21.43000,20.96000,21.06000,5900
164,2022-08-23,21.43000,21.51000,20.51000,20.84000,13300
165,2022-08-22,21.51700,21.51700,21.29000,21.29000,8400
166,2022-08-19,21.99000,21.99000,21.47000,21.67000,18600
167,2022-08-18,22.40000,22.40000,21.92000,22.09000,13500
168,2022-08-17,23.05000,23.20800,22.29000,22.35000,14100
169,2022-08-16,23.11000,23.26000,22.99000,23.04000,6600
170,2022-08-15,23.22000,23.27000,23.11000,23.20000,14500
171,2022-08-12,23.00000,23.20000,22.90000,23.19000,9500
172,2022-08-11,23.02000,23.18000,23.00000,23.03500,9900
173,2022-08-10,22.74000,23.12400,22.70000,22.95100,5500
174,2022-08-09,22.84500,22.84500,22.40000,22.65000,4600
175,2022-08-08,23.19000,23.19000,22.68800,22.76000,6000
176,2022-08-05,23.26000,23.26000,22.63000,22.63000,6100
177,2022-08-04,22.92000,23.36000,22.75000,23.36000,8700
178,2022-08-03,23.14000,23.14000,22.68000,23.14000,14400
179,2022-08-02,22.47000,23.25000,22.47000,22.99000,35500
180,2022-08-01,22.29000,22.50000,22.29000,22.49000,15000
181,2022-07-29,21.29000,22.47000,21.29000,22.47000,15900
182,2022-07-28,21.40000,21.43900,21.21000,21.31600,8900
183,2022-07-27,21.22000,21.27000,21.12000,21.27000,7200
184,2022-07-26,21.25000,21.30000,21.11000,21.18100,9100
185,2022-07-25,21.00000,21.17000,20.83000,21.10000,3700
186,2022-07-22,20.92000,21.06000,20.92000,20.99900,3100
187,2022-07-21,21.06600,21.08000,20.86000,21.08000,2700
188,2022-07-20,20.85000,21.00000,20.81900,20.97000,10800
189,2022-07-19,20.76000,20.97000,20.76000,20.76000,4700
190,2022-07-18,20.59000,20.84000,20.59000,20.73500,4700
191,2022-07-15,20.69500,20.70000,20.41000,20.50000,8300
192,2022-07-14,20.59000,20.68000,20.48500,20.68000,1100
193,2022-07-13,20.16500,20.63000,20.16000,20.55000,11500
194,2022-07-12,20.21000,20.40000,20.21000,20.26000,3000
195,2022-07-11,20.38000,20.38000,20.26000,20.27000,2100
196,2022-07-08,20.48000,20.48000,20.25000,20.26500,3800
197,2022-07-07,20.30000,20.40000,20.17000,20.17000,8000
198,2022-07-06,20.30000,20.30000,20.26000,20.30000,2700
199,2022-07-05,20.15000,20.30000,20.15000,20.28000,6200
200,2022-07-01,20.13000,20.32000,20.04300,20.15000,6600
201,2022-06-30,20.09000,20.39000,19.94000,19.95000,22900
202,2022-06-29,20.22000,20.31000,20.19000,20.28000,6200
203,2022-06-28,20.13000,20.27000,19.97000,20.19000,5200
204,2022-06-27,20.25000,20.29000,20.08000,20.18700,8400
205,2022-06-24,20.05000,20.20000,19.98000,20.08000,4900
206,2022-06-23,19.80000,20.06000,19.80000,20.06000,9600
207,2022-06-22,20.21000,20.61500,19.59000,19.79000,17800
208,2022-06-21,20.80000,21.25000,20.18000,20.20000,27100
209,2022-06-17,20.99000,21.00000,20.61800,20.95000,7000
210,2022-06-16,20.05000,20.83000,20.05000,20.83000,8400
211,2022-06-15,21.00000,21.07000,20.86000,21.07000,3500
212,2022-06-14,20.80000,21.14000,20.68000,20.74000,14500
213,2022-06-13,21.00000,21.00000,20.50000,20.81000,16200
214,2022-06-10,21.50000,21.50000,21.05000,21.23000,12400
215,2022-06-09,21.68000,21.83500,21.44000,21.58000,7500
216,2022-06-08,21.94000,22.05000,21.85000,21.85000,15100
217,2022-06-07,21.98000,22.15000,21.87000,22.05000,6800
218,2022-06-06,22.20000,22.20000,22.05000,22.05000,1800
219,2022-06-03,22.03500,22.21900,21.85500,22.10000,13900
220,2022-06-02,22.44600,22.44600,22.01000,22.15000,12100
221,2022-06-01,21.94000,22.33000,21.92200,22.15000,13700
222,2022-05-31,22.12500,22.12500,21.95000,21.98000,7000
223,2022-05-27,22.00000,22.50000,21.87000,22.17000,13000
224,2022-05-26,21.07700,22.00200,21.07700,22.00200,9300
225,2022-05-25,20.83000,21.21000,20.83000,21.21000,8900
226,2022-05-24,20.78000,20.78000,20.53000,20.75000,4600
227,2022-05-23,20.68000,20.85000,20.60800,20.77000,9900
228,2022-05-20,20.74500,20.89000,20.57000,20.70000,19600
229,2022-05-19,20.73500,20.77000,20.53000,20.56000,16300
230,2022-05-18,21.21000,21.21000,20.53000,20.63000,23600
231,2022-05-17,21.50000,21.52000,21.21000,21.21000,11000
232,2022-05-16,21.40000,21.41000,21.20000,21.37000,6400
233,2022-05-13,21.42000,21.74200,21.16000,21.18000,17400
234,2022-05-12,21.08500,21.45000,20.90000,21.30000,41200
235,2022-05-11,21.27000,21.45000,21.12300,21.16000,13400
