,datetime,open,high,low,close,volume
0,2023-04-19,2.80000,2.95000,2.80000,2.90000,8200
1,2023-04-18,2.29000,2.40000,2.29000,2.40000,400
2,2023-04-17,2.35000,2.35000,2.35000,2.35000,800
3,2023-04-14,2.32000,2.49000,2.32000,2.34100,900
4,2023-04-13,2.40000,2.59000,2.26000,2.59000,1700
5,2023-04-12,2.80000,2.83000,2.74000,2.74000,1400
6,2023-04-11,2.60000,2.85000,2.50000,2.85000,3600
7,2023-04-10,2.69000,2.69000,2.69000,2.69000,300
8,2023-04-06,2.60200,2.60200,2.50000,2.50000,500
9,2023-04-05,2.86300,2.86300,2.65000,2.65000,300
10,2023-04-04,2.63000,2.63000,2.55000,2.55000,3200
11,2023-04-03,2.69000,2.94000,2.69000,2.83000,1200
12,2023-03-31,2.95000,2.95000,2.95000,2.95000,500
13,2023-03-30,2.63700,2.95000,2.62000,2.95000,2800
14,2023-03-29,2.57000,2.85000,2.57000,2.85000,6900
15,2023-03-28,2.69400,2.85000,2.54000,2.85000,4300
16,2023-03-27,2.99000,2.99000,2.85000,2.85000,2300
17,2023-03-24,2.76000,3.00000,2.72500,3.00000,14000
18,2023-03-23,2.70000,2.75000,2.70000,2.75000,3700
19,2023-03-22,2.70000,2.87000,2.70000,2.87000,1200
20,2023-03-21,2.99000,2.99000,2.95000,2.95000,1900
21,2023-03-20,2.90000,3.00000,2.75000,2.96500,4800
22,2023-03-17,2.50000,2.90000,2.50000,2.85000,10900
23,2023-03-16,2.47300,2.47300,2.47300,2.47300,300
24,2023-03-15,2.60500,2.60500,2.60500,2.60500,200
25,2023-03-14,2.75000,2.75000,2.48000,2.60500,1500
26,2023-03-13,2.59000,2.75000,2.41200,2.75000,5400
27,2023-03-10,2.39000,2.49000,2.39000,2.49000,6100
28,2023-03-09,2.18000,2.37000,2.18000,2.30000,8100
29,2023-03-08,2.08500,2.08500,2.08500,2.08500,100
30,2023-03-07,2.20000,2.20000,2.20000,2.20000,500
31,2023-03-06,2.23000,2.23000,2.23000,2.23000,0
32,2023-03-03,2.19500,2.24000,2.05100,2.23000,1000
33,2023-03-02,2.10000,2.12000,2.10000,2.12000,3000
34,2023-03-01,1.80000,2.00000,1.74000,2.00000,2600
35,2023-02-28,2.20000,2.28000,2.08000,2.10000,5500
36,2023-02-27,2.16000,2.40000,2.15000,2.30000,17100
37,2023-02-24,1.96000,2.20000,1.96000,2.20000,31900
38,2023-02-23,1.63000,1.85000,1.55000,1.85000,8800
39,2023-02-22,1.84600,1.84600,1.84600,1.84600,0
40,2023-02-17,1.84600,1.84600,1.84600,1.84600,1600
41,2023-02-14,1.78900,1.84600,1.77300,1.84600,900
42,2023-02-13,1.74000,1.74000,1.74000,1.74000,600
43,2023-02-09,1.90900,1.90900,1.74000,1.74000,1200
44,2023-02-08,1.71000,1.71000,1.71000,1.71000,500
45,2023-02-07,1.86000,1.87000,1.67000,1.67000,7400
46,2023-02-06,1.80500,1.80500,1.80500,1.80500,400
47,2023-02-03,1.74700,1.75000,1.74700,1.75000,700
48,2023-02-02,1.90800,1.90800,1.71000,1.71000,1300
49,2023-02-01,2.01000,2.01000,1.70000,1.71000,18400
50,2023-01-31,1.82000,1.88000,1.82000,1.82000,400
51,2023-01-30,1.94000,1.94000,1.94000,1.94000,500
52,2023-01-27,1.90000,1.90000,1.81000,1.81000,700
53,2023-01-26,1.82500,1.82500,1.71000,1.73000,5200
54,2023-01-24,1.88000,1.91500,1.85000,1.89000,5300
55,2023-01-23,2.00000,2.00000,1.77000,1.87000,31000
56,2023-01-20,1.85000,1.90800,1.85000,1.90800,1100
57,2023-01-18,1.88000,1.89000,1.87000,1.89000,4200
58,2023-01-17,1.81000,1.89000,1.70000,1.80500,14300
59,2023-01-13,1.64400,1.89000,1.63000,1.81500,1500
60,2023-01-12,1.60000,1.86000,1.60000,1.86000,150600
61,2023-01-11,1.70000,1.70000,1.64000,1.64000,1400
62,2023-01-10,1.69000,1.69000,1.69000,1.69000,200
63,2023-01-09,1.71000,1.77800,1.69000,1.69000,4000
64,2023-01-05,1.68000,1.81000,1.68000,1.81000,2200
65,2023-01-03,1.74200,1.80000,1.65000,1.80000,4100
66,2022-12-30,1.70000,1.82800,1.61000,1.82800,18100
67,2022-12-29,1.68300,1.80400,1.62000,1.80400,3800
68,2022-12-28,1.68000,1.68000,1.56500,1.64000,88000
69,2022-12-27,1.57000,1.70000,1.55000,1.64700,1800
70,2022-12-23,1.65000,1.80000,1.63400,1.71000,2800
71,2022-12-22,1.70000,1.96000,1.70000,1.73000,7200
72,2022-12-21,1.82500,1.90000,1.70000,1.90000,3300
73,2022-12-20,1.75000,1.96000,1.61000,1.94800,12200
74,2022-12-19,1.85000,1.92000,1.75000,1.92000,2100
75,2022-12-16,1.95000,1.95000,1.83000,1.90000,1300
76,2022-12-15,1.83000,1.83000,1.83000,1.83000,400
77,2022-12-14,1.83000,1.83000,1.83000,1.83000,300
78,2022-12-13,1.86000,2.04000,1.81000,2.04000,5700
