,datetime,open,high,low,close,volume
0,2023-04-19,41.19000,41.94000,40.76000,41.15000,17000
1,2023-04-18,41.01000,41.15000,40.72000,40.85000,18900
2,2023-04-17,40.80000,41.28000,40.80000,41.14000,12000
3,2023-04-14,41.50000,41.51000,40.76000,41.00000,11200
4,2023-04-13,41.17000,42.34000,41.17000,41.44000,11100
5,2023-04-12,41.40000,41.60000,41.25000,41.34000,17400
6,2023-04-11,40.40000,41.75000,40.40000,41.40000,30400
7,2023-04-10,40.03000,40.71000,39.81000,40.59000,79100
8,2023-04-06,40.39000,40.39000,40.00000,40.24000,11100
9,2023-04-05,40.29000,40.75000,40.09000,40.15000,12400
10,2023-04-04,41.27000,43.20000,40.35000,40.51000,13900
11,2023-04-03,41.51000,41.74000,41.35000,41.45000,10700
12,2023-03-31,42.30000,42.40000,41.25000,41.50000,14000
13,2023-03-30,42.25000,42.47000,41.50000,41.57000,6800
14,2023-03-29,42.04000,42.04000,41.56000,41.85000,35200
15,2023-03-28,42.55000,42.90000,41.75000,41.94000,13100
16,2023-03-27,42.79000,43.12000,42.50000,42.50000,4900
17,2023-03-24,42.51000,42.85000,41.60000,42.79000,14000
18,2023-03-23,43.53000,43.53000,42.48000,42.48000,12660
19,2023-03-22,44.25000,44.25000,43.13500,43.36000,6951
20,2023-03-21,44.36000,45.10000,43.20000,43.88000,13348
21,2023-03-20,44.37000,45.10000,43.85000,43.85000,15603
22,2023-03-17,45.70000,46.00000,44.05000,44.05000,11134
23,2023-03-16,44.50000,46.91000,44.00000,45.38000,24480
24,2023-03-15,44.20000,45.44000,43.41500,43.66000,7887
25,2023-03-14,44.50000,46.86500,44.21000,44.21000,16159
26,2023-03-13,48.65000,48.65000,43.00000,44.40000,33770
27,2023-03-10,48.70000,48.89000,47.19000,48.58000,7828
28,2023-03-09,49.75000,49.75000,48.24000,48.69000,15459
29,2023-03-08,49.92000,49.92000,49.23000,49.52000,7968
30,2023-03-07,49.53000,49.65000,49.34000,49.60000,8563
31,2023-03-06,50.38000,50.90500,49.21000,49.64000,11660
32,2023-03-03,50.94040,50.94040,49.09010,49.99000,8504
33,2023-03-02,49.94000,50.10000,49.50000,50.09000,8906
34,2023-03-01,50.40000,50.40000,49.72000,49.94000,26476
35,2023-02-28,50.34000,50.69500,50.21000,50.28000,5338
36,2023-02-27,50.80000,50.80000,50.00260,50.34000,10967
37,2023-02-24,50.15000,50.41000,50.15000,50.35000,4669
38,2023-02-23,50.89000,50.89000,50.17680,50.40000,8375
39,2023-02-22,51.20000,51.20000,50.22000,50.55000,3711
40,2023-02-21,50.96000,50.96000,49.78810,50.40000,5771
41,2023-02-17,51.22000,51.44000,50.16000,50.81000,6482
42,2023-02-16,51.02000,52.20000,50.52000,51.05000,18758
43,2023-02-15,51.40000,51.65000,51.21000,51.40000,6513
44,2023-02-14,51.36000,52.05000,50.10560,51.22000,12158
45,2023-02-13,51.78000,51.99000,51.50000,51.94000,5945
46,2023-02-10,52.25000,52.52000,51.11000,51.48000,15194
