,datetime,open,high,low,close,volume
0,2023-04-19,0.04990,0.04990,0.04990,0.04990,0
1,2023-04-18,0.04580,0.04580,0.04580,0.04580,0
2,2023-04-17,0.03990,0.03990,0.03990,0.03990,0
3,2023-04-12,0.04055,0.04055,0.04055,0.04055,390
4,2023-04-11,0.04950,0.04950,0.04950,0.04950,100
5,2023-04-06,0.03000,0.03780,0.03000,0.03470,15900
6,2023-04-04,0.04000,0.04000,0.04000,0.04000,774
7,2023-03-31,0.04310,0.04310,0.04310,0.04310,1243
8,2023-03-29,0.04680,0.04680,0.04680,0.04680,902
9,2023-03-27,0.04500,0.04500,0.04500,0.04500,450
10,2023-03-24,0.03500,0.04290,0.03000,0.03500,929
11,2023-03-23,0.03080,0.03340,0.03080,0.03340,1338
12,2023-03-20,0.06250,0.06250,0.05090,0.05090,6316
13,2023-03-17,0.03500,0.03505,0.03500,0.03505,250
14,2023-03-16,0.03080,0.03420,0.03000,0.03420,4038
15,2023-03-10,0.03120,0.03120,0.03120,0.03120,0
16,2023-03-09,0.04100,0.04100,0.03200,0.03690,0
17,2023-03-07,0.04490,0.04490,0.04490,0.04490,0
18,2023-03-03,0.04250,0.04250,0.04250,0.04250,0
19,2023-03-01,0.04250,0.04250,0.04000,0.04250,2134
20,2023-02-28,0.04360,0.05000,0.04360,0.05000,378
21,2023-02-27,0.05200,0.05200,0.05200,0.05200,0
22,2023-02-24,0.04540,0.04540,0.04530,0.04530,1000
23,2023-02-23,0.04530,0.05120,0.04530,0.05120,0
24,2023-02-22,0.05500,0.05500,0.05250,0.05250,100
25,2023-02-21,0.06500,0.06510,0.04520,0.04520,10760
26,2023-02-16,0.06500,0.06500,0.06500,0.06500,418
27,2023-02-14,0.05600,0.05600,0.05400,0.05400,100
28,2023-02-13,0.04320,0.05600,0.04320,0.05600,9075
29,2023-02-10,0.06990,0.06990,0.06990,0.06990,0
30,2023-02-09,0.04320,0.04320,0.04320,0.04320,0
31,2023-02-07,0.06115,0.06115,0.04400,0.04620,15724
32,2023-02-03,0.06500,0.06500,0.06500,0.06500,0
33,2023-02-02,0.05770,0.05770,0.05160,0.05160,0
34,2023-02-01,0.04700,0.04700,0.04700,0.04700,0
35,2023-01-31,0.05000,0.05000,0.04310,0.04310,1400
36,2023-01-27,0.04608,0.04608,0.04608,0.04608,0
37,2023-01-25,0.06500,0.06990,0.03420,0.06990,14398
