,datetime,open,high,low,close,volume
0,2023-04-19,1.90000,1.91200,1.85000,1.88000,12200
1,2023-04-18,1.83500,1.90000,1.82000,1.83000,14100
2,2023-04-17,1.79000,1.86000,1.77300,1.83000,7900
3,2023-04-14,1.83000,1.84000,1.72000,1.76000,7100
4,2023-04-13,1.70000,1.71000,1.70000,1.71000,1500
5,2023-04-12,1.65000,1.69700,1.65000,1.69700,2800
6,2023-04-11,1.77000,1.81700,1.63000,1.63000,15700
7,2023-04-10,1.79000,1.82000,1.79000,1.80900,2200
8,2023-04-06,1.81000,1.90000,1.79000,1.84000,5500
9,2023-04-05,1.68300,1.79000,1.68300,1.73700,2400
10,2023-04-04,1.76000,1.82600,1.70000,1.80000,7600
11,2023-04-03,1.68300,1.83600,1.68300,1.83500,4100
12,2023-03-31,1.84000,1.84000,1.79000,1.79000,3100
13,2023-03-30,1.70000,1.83000,1.70000,1.76700,9600
14,2023-03-29,1.58000,1.79000,1.58000,1.77000,17200
15,2023-03-28,1.60000,1.67000,1.60000,1.62000,5500
16,2023-03-27,1.53000,1.66000,1.53000,1.63000,7500
17,2023-03-24,1.47000,1.50000,1.43000,1.43000,2700
18,2023-03-23,1.57000,1.58500,1.47000,1.47000,9200
19,2023-03-22,1.64000,1.65000,1.54000,1.57000,13000
20,2023-03-21,1.59000,1.66000,1.55500,1.60000,10700
21,2023-03-20,1.63000,1.72000,1.54000,1.57000,10800
22,2023-03-17,1.64000,1.76000,1.51000,1.51000,18300
23,2023-03-16,1.70000,1.71000,1.62000,1.71000,6700
24,2023-03-15,1.74100,1.79000,1.71000,1.71000,4800
25,2023-03-14,1.70000,1.83000,1.70000,1.79000,8700
26,2023-03-13,1.70000,1.73700,1.68000,1.69000,6700
27,2023-03-10,1.88000,1.88000,1.72000,1.73000,11500
28,2023-03-09,1.93000,1.93000,1.83000,1.87000,3400
29,2023-03-08,2.07900,2.07900,1.89000,1.89000,15800
30,2023-03-07,1.95300,2.11000,1.95000,1.98000,9800
31,2023-03-06,2.19000,2.19000,1.97000,2.03000,39100
32,2023-03-03,1.79000,2.23000,1.79000,2.12000,98218
33,2023-03-02,1.91000,1.91000,1.82000,1.85000,5836
34,2023-03-01,1.93000,1.94570,1.82000,1.82000,18315
35,2023-02-28,1.96000,2.09000,1.94000,1.98000,5434
36,2023-02-27,1.90000,1.92000,1.85000,1.92000,12493
37,2023-02-24,1.96000,2.01470,1.94990,1.98000,7995
38,2023-02-23,2.12000,2.12000,2.00000,2.04000,9372
39,2023-02-22,2.00000,2.16000,2.00000,2.06000,8784
40,2023-02-21,2.22000,2.23010,2.04000,2.13000,23652
41,2023-02-17,2.27000,2.35010,2.25000,2.25000,10658
42,2023-02-16,2.30000,2.36050,2.23000,2.27000,10444
43,2023-02-15,2.37000,2.39090,2.30000,2.30000,8249
44,2023-02-14,2.21000,2.21030,2.18000,2.21000,6210
45,2023-02-13,2.12000,2.20000,2.12000,2.20000,10410
46,2023-02-10,2.52920,2.52920,2.12000,2.16000,14131
47,2023-02-09,2.45000,2.72870,2.42000,2.45000,9268
48,2023-02-08,2.95000,2.95000,2.41000,2.41000,11137
49,2023-02-07,2.58000,2.71000,2.56000,2.62000,7795
50,2023-02-06,2.73000,2.73000,2.55000,2.55000,15892
51,2023-02-03,2.82000,2.82000,2.68000,2.73000,14732
52,2023-02-02,2.58000,2.88000,2.52000,2.86000,21019
53,2023-02-01,2.35000,2.64190,2.23770,2.52000,24871
54,2023-01-31,2.36000,2.37000,2.23320,2.36000,18660
55,2023-01-30,2.21000,2.35000,2.17620,2.35000,29608
56,2023-01-27,2.08000,2.23000,2.05000,2.19000,18854
57,2023-01-26,2.17140,2.17140,2.04000,2.08000,13556
58,2023-01-25,2.08000,2.21080,2.08000,2.19000,12964
59,2023-01-24,2.14000,2.18000,2.05000,2.09000,14139
60,2023-01-23,2.06000,2.16000,2.02990,2.14000,6113
61,2023-01-20,2.06200,2.23000,2.00000,2.06000,16898
62,2023-01-19,2.39000,2.39000,2.01000,2.04000,37275
63,2023-01-18,2.19000,2.41000,2.05000,2.11000,52764
64,2023-01-17,2.15000,2.37000,2.06000,2.19000,58574
65,2023-01-13,2.07000,2.14920,2.00000,2.05000,53687
66,2023-01-12,1.97000,2.09260,1.93000,2.06000,21809
67,2023-01-11,2.06000,2.13990,1.95500,2.03000,28880
68,2023-01-10,2.15000,2.19000,1.93000,2.06000,53052
69,2023-01-09,2.10000,2.14420,2.04000,2.08000,40729
70,2023-01-06,1.98000,2.33000,1.91000,2.13000,110301
71,2023-01-05,1.75000,1.99000,1.75000,1.95000,15062
72,2023-01-04,1.87200,1.99000,1.71000,1.78000,27279
73,2023-01-03,1.65000,1.81240,1.65000,1.70000,8884
74,2022-12-30,1.80000,1.80000,1.60000,1.69490,43390
75,2022-12-29,1.60000,1.90000,1.60000,1.74010,124541
76,2022-12-28,1.55000,1.61940,1.52930,1.57730,20080
77,2022-12-27,1.59000,1.59000,1.51000,1.54790,21461
78,2022-12-23,1.61730,1.64000,1.56000,1.56140,17360
79,2022-12-22,1.64000,1.72900,1.60000,1.64000,9185
80,2022-12-21,1.61100,1.71000,1.55000,1.64000,21606
81,2022-12-20,1.68000,1.80000,1.60000,1.66000,49554
82,2022-12-19,1.82000,1.90170,1.58000,1.67000,41360
83,2022-12-16,1.96000,1.96000,1.70870,1.81000,46137
84,2022-12-15,1.99000,1.99000,1.81000,1.93000,63733
85,2022-12-14,1.66000,2.11000,1.66000,1.87000,220813
86,2022-12-13,1.61000,2.03760,1.61000,1.65000,69993
87,2022-12-12,1.65400,1.72000,1.60000,1.72000,26415
88,2022-12-09,1.68000,1.75000,1.62000,1.71000,16990
89,2022-12-08,1.76000,1.76000,1.64670,1.71000,25909
90,2022-12-07,1.76000,1.87000,1.69000,1.75000,45887
91,2022-12-06,1.66000,1.78990,1.65000,1.71000,17921
92,2022-12-05,1.82000,1.93000,1.60000,1.76000,12861
93,2022-12-02,1.72000,1.81000,1.68000,1.73000,14172
94,2022-12-01,1.61000,1.74000,1.55000,1.68000,14544
95,2022-11-30,1.65000,1.65000,1.54000,1.60000,3197
96,2022-11-29,1.57000,1.60000,1.50000,1.56000,5616
97,2022-11-28,1.55000,1.60000,1.51000,1.51000,14071
98,2022-11-25,1.57000,1.61810,1.55000,1.55000,4118
99,2022-11-23,1.56000,1.80000,1.56000,1.58000,10119
100,2022-11-22,1.73000,1.74020,1.57000,1.58000,14167
101,2022-11-21,1.81000,1.84000,1.72000,1.72000,7239
102,2022-11-18,1.95590,1.97500,1.81000,1.81010,8264
