,datetime,open,high,low,close,volume
0,2023-04-19,0.19800,0.21000,0.19400,0.19600,194000
1,2023-04-18,0.20000,0.24000,0.19200,0.20400,860100
2,2023-04-17,0.20200,0.22100,0.19700,0.20000,129700
3,2023-04-14,0.21700,0.22500,0.20100,0.22000,141700
4,2023-04-13,0.22000,0.23300,0.20400,0.21700,190800
5,2023-04-12,0.22000,0.23500,0.21800,0.23300,61900
6,2023-04-11,0.22300,0.24000,0.22100,0.23400,49800
7,2023-04-10,0.23400,0.25900,0.22200,0.22200,92700
8,2023-04-06,0.25100,0.26200,0.23800,0.25000,106600
9,2023-04-05,0.24100,0.28000,0.24000,0.24100,48600
10,2023-04-04,0.27000,0.27000,0.23700,0.24800,59100
11,2023-04-03,0.27000,0.29200,0.22200,0.27000,223300
12,2023-03-31,0.26000,0.36000,0.24600,0.35000,475100
13,2023-03-30,0.26300,0.27000,0.24600,0.24600,35800
14,2023-03-29,0.23900,0.27000,0.23900,0.25000,44600
15,2023-03-28,0.24000,0.27000,0.24000,0.25200,31100
16,2023-03-27,0.24200,0.26300,0.22800,0.22800,80300
17,2023-03-24,0.24100,0.24900,0.22600,0.23000,21200
18,2023-03-23,0.24000,0.26000,0.23500,0.25000,15500
19,2023-03-22,0.23000,0.25000,0.23000,0.25000,8200
20,2023-03-21,0.24400,0.26500,0.22500,0.24000,37300
21,2023-03-20,0.26100,0.27000,0.22200,0.22900,92200
22,2023-03-17,0.26500,0.28000,0.24800,0.26300,60100
23,2023-03-16,0.26800,0.29000,0.25900,0.26300,48100
24,2023-03-15,0.27300,0.27300,0.26000,0.26000,15000
25,2023-03-14,0.26500,0.30000,0.26000,0.26000,65900
26,2023-03-13,0.28700,0.28700,0.27000,0.27000,20500
27,2023-03-10,0.30000,0.30000,0.27200,0.27300,30100
28,2023-03-09,0.30200,0.30500,0.28000,0.28000,26300
29,2023-03-08,0.30000,0.30000,0.27200,0.28800,24400
30,2023-03-07,0.28000,0.30000,0.27200,0.28000,23300
31,2023-03-06,0.30000,0.30000,0.28400,0.29000,33600
32,2023-03-03,0.29400,0.30000,0.28000,0.29200,14200
33,2023-03-02,0.30000,0.30000,0.27200,0.28000,26600
34,2023-03-01,0.28000,0.28500,0.26300,0.27000,36500
35,2023-02-28,0.28000,0.30000,0.26100,0.28500,99700
36,2023-02-27,0.27200,0.27200,0.26100,0.26800,32600
37,2023-02-24,0.29000,0.29000,0.26100,0.26600,34200
38,2023-02-23,0.29500,0.31000,0.27200,0.27600,33400
39,2023-02-22,0.28000,0.29500,0.27000,0.29000,37300
40,2023-02-21,0.31200,0.31200,0.28000,0.28100,43200
41,2023-02-17,0.33000,0.33000,0.29000,0.29700,52200
42,2023-02-16,0.33500,0.33500,0.29400,0.30000,30600
43,2023-02-15,0.32300,0.34000,0.30000,0.33400,92500
44,2023-02-14,0.31500,0.33000,0.29000,0.33000,28600
45,2023-02-13,0.34700,0.34700,0.29100,0.29100,45000
46,2023-02-10,0.34000,0.34000,0.30000,0.32200,47700
47,2023-02-09,0.36500,0.36500,0.30000,0.30000,93100
48,2023-02-08,0.37500,0.37500,0.33700,0.35300,129400
49,2023-02-07,0.37800,0.39400,0.36900,0.37500,109500
50,2023-02-06,0.46400,0.49000,0.36000,0.39000,305800
51,2023-02-03,0.36200,0.49400,0.35000,0.45400,2055000
52,2023-02-02,0.27800,0.52000,0.26300,0.36800,5918800
53,2023-02-01,0.27000,0.27900,0.26000,0.27800,55500
54,2023-01-31,0.26000,0.27000,0.25200,0.26700,32200
55,2023-01-30,0.26700,0.28000,0.26000,0.26000,18400
56,2023-01-27,0.26000,0.26000,0.25300,0.25400,37900
57,2023-01-26,0.26100,0.26100,0.25200,0.25500,83100
58,2023-01-25,0.25500,0.25500,0.25000,0.25400,16000
59,2023-01-24,0.25100,0.25800,0.25100,0.25500,38800
60,2023-01-23,0.25500,0.25500,0.25000,0.25300,63700
61,2023-01-20,0.26700,0.26700,0.24700,0.25500,52900
62,2023-01-19,0.28500,0.28500,0.25000,0.25500,45100
63,2023-01-18,0.28000,0.28000,0.26500,0.27100,16300
64,2023-01-17,0.28900,0.28900,0.27000,0.27000,14200
65,2023-01-13,0.30000,0.30000,0.27400,0.27500,85200
66,2023-01-12,0.30000,0.30000,0.27400,0.27400,56200
67,2023-01-11,0.28000,0.29900,0.25400,0.28500,99400
68,2023-01-10,0.27000,0.27900,0.26500,0.26700,11400
69,2023-01-09,0.27000,0.27000,0.26500,0.26600,33800
70,2023-01-06,0.26500,0.27800,0.26400,0.26900,39400
71,2023-01-05,0.25000,0.27000,0.25000,0.26400,20900
72,2023-01-04,0.25300,0.27000,0.25300,0.26100,49900
73,2023-01-03,0.26500,0.28000,0.25200,0.25300,34200
74,2022-12-30,0.22000,0.25300,0.22000,0.22900,40500
75,2022-12-29,0.25000,0.25000,0.21000,0.22500,22100
76,2022-12-28,0.24000,0.25200,0.20000,0.22900,55200
77,2022-12-27,0.26600,0.26600,0.22500,0.22500,50800
78,2022-12-23,0.25600,0.25600,0.24500,0.25000,44500
79,2022-12-22,0.26300,0.26300,0.25000,0.25000,46700
80,2022-12-21,0.27000,0.27000,0.24500,0.25000,75000
81,2022-12-20,0.26000,0.27000,0.25000,0.27000,88100
82,2022-12-19,0.26700,0.28000,0.25000,0.25800,26700
83,2022-12-16,0.27000,0.27800,0.25500,0.27400,25700
84,2022-12-15,0.28000,0.29000,0.26300,0.26500,45200
85,2022-12-14,0.28000,0.31300,0.27200,0.27200,255600
86,2022-12-13,0.29900,0.29900,0.27000,0.27500,2200
87,2022-12-12,0.28800,0.28800,0.25000,0.28500,69100
88,2022-12-09,0.28000,0.28000,0.26000,0.27400,44600
89,2022-12-08,0.29300,0.30000,0.26000,0.27500,8600
90,2022-12-07,0.29000,0.29000,0.27000,0.27900,27500
91,2022-12-06,0.28100,0.28100,0.26200,0.26600,18700
92,2022-12-05,0.29800,0.29800,0.26900,0.28200,56800
93,2022-12-02,0.28400,0.28400,0.27300,0.28200,13300
94,2022-12-01,0.30000,0.30000,0.26000,0.28500,67900
95,2022-11-30,0.26900,0.28000,0.25000,0.25200,28400
96,2022-11-29,0.27400,0.27400,0.25600,0.26800,7400
97,2022-11-28,0.28000,0.28000,0.25500,0.27000,57400
98,2022-11-25,0.28000,0.28000,0.26800,0.28000,4300
99,2022-11-23,0.30000,0.30000,0.25500,0.28000,37600
100,2022-11-22,0.26000,0.27500,0.24000,0.25300,25700
101,2022-11-21,0.27200,0.28000,0.24100,0.27500,49600
102,2022-11-18,0.30000,0.30000,0.24500,0.28000,252400
103,2022-11-17,0.26300,0.27000,0.26000,0.26000,38100
104,2022-11-16,0.27400,0.27400,0.26000,0.26700,31400
105,2022-11-15,0.28000,0.30000,0.26800,0.27200,57500
106,2022-11-14,0.27400,0.28000,0.25000,0.27000,160900
107,2022-11-11,0.27700,0.28000,0.25000,0.27300,75500
108,2022-11-10,0.32000,0.32000,0.26000,0.26900,54200
109,2022-11-09,0.30000,0.30000,0.25000,0.25700,99000
110,2022-11-08,0.30200,0.30200,0.29000,0.29000,14700
111,2022-11-07,0.31000,0.31000,0.29500,0.30200,56300
112,2022-11-04,0.29000,0.29900,0.28800,0.29400,14500
113,2022-11-03,0.30900,0.31000,0.28000,0.28000,64500
114,2022-11-02,0.31000,0.31400,0.29200,0.31200,63700
115,2022-11-01,0.30400,0.33000,0.29500,0.31500,60700
116,2022-10-31,0.33000,0.33000,0.29000,0.30800,60000
117,2022-10-28,0.30000,0.31000,0.29000,0.30300,41600
118,2022-10-27,0.31600,0.31600,0.29000,0.30500,55300
119,2022-10-26,0.30000,0.30900,0.30000,0.30600,12000
120,2022-10-25,0.29900,0.30000,0.29000,0.29600,66000
121,2022-10-24,0.29000,0.31500,0.29000,0.29900,43600
122,2022-10-21,0.33000,0.33000,0.29100,0.29200,41900
123,2022-10-20,0.31000,0.32200,0.30000,0.30100,29900
124,2022-10-19,0.31000,0.32000,0.29100,0.31900,36300
125,2022-10-18,0.30000,0.32000,0.30000,0.30000,25800
126,2022-10-17,0.31500,0.31600,0.28000,0.30000,59300
127,2022-10-14,0.30500,0.31900,0.28800,0.29000,22400
128,2022-10-13,0.27400,0.31000,0.27400,0.29700,32800
129,2022-10-12,0.30800,0.31000,0.27300,0.28500,37300
130,2022-10-11,0.30000,0.31900,0.28000,0.29300,35100
131,2022-10-10,0.32000,0.32000,0.27000,0.29900,78200
132,2022-10-07,0.33100,0.33900,0.30000,0.31800,186700
133,2022-10-06,0.37000,0.37000,0.31800,0.34100,280000
134,2022-10-05,0.30000,0.37200,0.29100,0.34000,1345600
135,2022-10-04,0.31000,0.31000,0.28000,0.29100,36000
136,2022-10-03,0.31000,0.31000,0.27000,0.29900,78900
137,2022-09-30,0.28000,0.29000,0.27000,0.27700,213700
138,2022-09-29,0.28700,0.29100,0.28000,0.28000,66800
139,2022-09-28,0.28400,0.31000,0.27000,0.29600,264900
140,2022-09-27,0.28000,0.28000,0.26000,0.27000,103400
141,2022-09-26,0.27000,0.29400,0.27000,0.27000,72700
142,2022-09-23,0.29400,0.29400,0.26300,0.26600,129600
143,2022-09-22,0.30000,0.33000,0.27100,0.28000,150600
144,2022-09-21,0.30000,0.34000,0.28500,0.30400,152200
145,2022-09-20,0.31900,0.33400,0.27100,0.30200,432600
146,2022-09-19,0.38500,0.39900,0.26100,0.33400,694800
147,2022-09-16,0.45000,0.47900,0.36700,0.36700,197700
148,2022-09-15,0.45000,0.45000,0.40400,0.44900,88900
149,2022-09-14,0.40000,0.45000,0.39000,0.45000,51900
150,2022-09-13,0.38100,0.40000,0.37800,0.39100,37500
151,2022-09-12,0.42000,0.45200,0.38500,0.38500,140800
152,2022-09-09,0.37800,0.43000,0.37800,0.39500,104800
153,2022-09-08,0.39000,0.40000,0.37200,0.37700,74800
154,2022-09-07,0.40000,0.42000,0.36100,0.38000,305600
155,2022-09-06,0.46000,0.46000,0.38000,0.42000,79100
