,datetime,open,high,low,close,volume
0,2023-04-19,17.24000,19.57000,16.90000,19.37000,605600
1,2023-04-18,16.82000,17.55000,16.02000,17.36000,615600
2,2023-04-17,16.16000,17.35000,15.83200,16.67000,554600
3,2023-04-14,16.78000,17.09000,16.02100,16.17000,323800
4,2023-04-13,14.66000,17.45000,14.66000,16.85000,788600
5,2023-04-12,15.90000,16.05000,14.99000,15.16000,520200
6,2023-04-11,16.07000,16.57000,15.45500,15.71000,527400
7,2023-04-10,16.13000,16.27000,15.64000,16.07000,370600
8,2023-04-06,16.13000,16.96000,15.59000,16.12000,596900
9,2023-04-05,16.93000,17.29000,16.06000,16.11000,204800
10,2023-04-04,17.39000,17.55500,16.56000,17.08000,265200
11,2023-04-03,17.13000,17.98500,16.88000,17.31000,199700
12,2023-03-31,16.86000,17.64000,16.70000,17.19000,509000
13,2023-03-30,17.90000,18.42000,16.49000,16.75000,282000
14,2023-03-29,17.02000,17.96000,16.94000,17.80000,267100
15,2023-03-28,17.00000,17.72000,16.01000,16.72000,189600
16,2023-03-27,17.03000,17.96000,16.87800,17.09000,214200
17,2023-03-24,17.24000,17.36000,16.40000,17.26000,275700
18,2023-03-23,17.07000,17.47000,16.60500,17.43000,223000
19,2023-03-22,17.64000,17.71000,16.79000,16.85000,250700
20,2023-03-21,17.84000,17.95000,16.70000,17.68000,329900
21,2023-03-20,17.16000,17.63500,15.49000,17.50000,420000
22,2023-03-17,18.32000,18.38500,16.46000,17.20000,2072600
23,2023-03-16,17.37000,19.18000,16.72000,18.36000,516800
24,2023-03-15,18.03000,18.43000,16.62000,17.37000,351200
25,2023-03-14,17.97000,18.76500,17.45000,18.49000,486900
26,2023-03-13,15.66000,17.60000,15.18000,17.51000,609900
27,2023-03-10,15.90000,16.10000,14.67000,15.45000,597900
28,2023-03-09,17.83000,17.98000,15.93000,15.98000,335400
29,2023-03-08,18.00000,18.58000,17.26500,17.79000,305400
30,2023-03-07,17.20000,18.79000,16.66100,18.13000,356500
31,2023-03-06,18.88000,18.88000,16.76000,17.17000,345900
32,2023-03-03,18.19000,19.15000,18.00000,18.93500,234000
33,2023-03-02,18.11000,18.39000,17.22000,18.13000,295800
34,2023-03-01,19.30000,19.30000,18.32000,18.37000,528600
35,2023-02-28,19.38000,19.54000,18.96000,19.24000,673200
36,2023-02-27,19.19000,19.53200,18.77000,19.37000,285100
37,2023-02-24,18.49000,19.04500,17.92000,18.92000,284900
38,2023-02-23,20.48000,20.91000,18.27000,18.88000,416700
39,2023-02-22,20.11000,20.86000,19.88500,20.25000,295700
40,2023-02-21,21.70000,21.79000,20.06000,20.16000,405400
41,2023-02-17,19.40000,21.05000,18.91000,21.01000,365300
42,2023-02-16,18.17000,19.54000,17.85000,19.33000,866700
43,2023-02-15,19.16000,19.24000,18.08000,18.47000,327400
44,2023-02-14,19.53000,19.84000,18.81000,19.35000,159100
45,2023-02-13,20.24000,20.24000,19.55000,19.82000,180600
46,2023-02-10,20.12000,20.36500,19.65000,20.24000,143800
47,2023-02-09,20.82000,20.82000,20.08000,20.31000,300500
48,2023-02-08,21.47000,21.47000,20.48000,20.54000,163800
49,2023-02-07,21.71000,21.87000,21.01000,21.74000,198600
50,2023-02-06,22.61000,22.61000,21.52000,21.70000,192800
51,2023-02-03,22.88000,23.81000,21.56000,22.92000,335900
52,2023-02-02,21.90000,23.09000,21.34000,23.05000,296600
53,2023-02-01,21.05000,21.98000,20.42000,21.48000,333700
54,2023-01-31,21.28000,21.87000,20.88100,21.05000,254500
55,2023-01-30,22.65000,22.65000,21.01000,21.29000,308200
56,2023-01-27,20.23000,21.29500,19.87000,21.26000,218100
