,datetime,open,high,low,close,volume
0,2023-04-19,0.24600,0.25100,0.22400,0.23200,66863400
1,2023-04-18,0.26400,0.26400,0.25000,0.25100,59529100
2,2023-04-17,0.28000,0.29200,0.25100,0.25800,76104800
3,2023-04-14,0.28300,0.28800,0.26200,0.26800,66125800
4,2023-04-13,0.27800,0.33100,0.27200,0.31000,93340800
5,2023-04-12,0.30000,0.30000,0.26100,0.27400,54718400
6,2023-04-11,0.28000,0.30000,0.27500,0.28100,53848100
7,2023-04-10,0.29000,0.29000,0.27000,0.27400,54950100
8,2023-04-06,0.28600,0.29600,0.28400,0.28500,30246400
9,2023-04-05,0.30300,0.30300,0.27700,0.28300,44281900
10,2023-04-04,0.30200,0.31200,0.29800,0.30500,46550400
11,2023-04-03,0.35400,0.35800,0.30000,0.30100,88602600
12,2023-03-31,0.35800,0.35900,0.34000,0.35400,45063400
13,2023-03-30,0.40000,0.40400,0.33500,0.35100,183451400
14,2023-03-29,0.36400,0.38700,0.35000,0.35500,57962300
15,2023-03-28,0.36000,0.36200,0.34100,0.34800,32979800
16,2023-03-27,0.39700,0.40000,0.34100,0.35600,55618700
17,2023-03-24,0.40200,0.40400,0.37000,0.37300,47036000
18,2023-03-23,0.49200,0.49200,0.39000,0.39100,81677000
19,2023-03-22,0.50700,0.51000,0.47200,0.47900,30376500
20,2023-03-21,0.51300,0.54800,0.49000,0.50900,52195300
21,2023-03-20,0.46000,0.50800,0.43200,0.50700,51708100
22,2023-03-17,0.41800,0.46400,0.41100,0.45100,90820200
23,2023-03-16,0.41400,0.42800,0.38500,0.42500,55891100
24,2023-03-15,0.37700,0.43000,0.36100,0.42500,69015300
25,2023-03-14,0.43000,0.44000,0.38200,0.38500,71566200
26,2023-03-13,0.43400,0.46000,0.36000,0.42000,85399300
27,2023-03-10,0.51000,0.52000,0.45100,0.47000,46356600
28,2023-03-09,0.51000,0.54500,0.50100,0.52800,39626900
29,2023-03-08,0.54200,0.56300,0.50000,0.51400,39797800
30,2023-03-07,0.59300,0.60000,0.55000,0.55900,33329200
31,2023-03-06,0.58100,0.61800,0.54700,0.59000,50106700
32,2023-03-03,0.51300,0.59800,0.50800,0.57000,59809700
33,2023-03-02,0.53000,0.53000,0.50100,0.50800,25679300
34,2023-03-01,0.56000,0.56500,0.50500,0.52400,41097600
35,2023-02-28,0.51000,0.54800,0.50500,0.53200,36297300
36,2023-02-27,0.57300,0.58200,0.51100,0.51400,41977000
37,2023-02-24,0.56000,0.59500,0.54300,0.55700,35390700
38,2023-02-23,0.59000,0.59600,0.55100,0.57800,42893700
39,2023-02-22,0.62000,0.64000,0.55200,0.58400,35392500
