,datetime,open,high,low,close,volume
0,2023-04-19,10.42000,10.42000,10.42000,10.42000,0
1,2023-04-18,10.42000,10.42000,10.42000,10.42000,500
2,2023-04-17,10.42000,10.42000,10.42000,10.42000,0
3,2023-04-14,10.42000,10.42000,10.42000,10.42000,0
4,2023-04-13,10.43000,10.43000,10.42000,10.42000,500
5,2023-04-12,10.41000,10.41000,10.41000,10.41000,0
6,2023-04-11,10.41000,10.42100,10.41000,10.41000,1200
7,2023-04-10,10.41000,10.42200,10.41000,10.41000,6500
8,2023-04-06,10.42000,10.42000,10.42000,10.42000,0
9,2023-04-05,10.42300,10.42800,10.41000,10.42000,3300
10,2023-04-04,10.43000,10.43000,10.43000,10.43000,0
11,2023-04-03,10.78500,10.78500,10.41000,10.43000,15600
12,2023-03-31,10.44000,10.90500,10.42000,10.42000,11400
13,2023-03-30,10.41000,10.41000,10.41000,10.41000,1600
14,2023-03-29,10.50000,10.50000,10.40500,10.41000,3600
15,2023-03-28,10.40000,10.40000,10.40000,10.40000,1200
16,2023-03-27,10.40000,10.40000,10.40000,10.40000,300
17,2023-03-24,10.40000,10.40000,10.40000,10.40000,1600
18,2023-03-23,10.40000,10.40000,10.40000,10.40000,1600
19,2023-03-22,10.40000,10.40000,10.40000,10.40000,100
20,2023-03-21,10.37000,10.42000,10.37000,10.40000,27100
21,2023-03-20,10.36500,10.36500,10.36000,10.36000,1200
22,2023-03-17,10.36000,10.36000,10.36000,10.36000,0
23,2023-03-16,10.36000,10.36000,10.36000,10.36000,0
24,2023-03-15,10.36000,10.36000,10.36000,10.36000,0
25,2023-03-14,10.36500,10.36500,10.36000,10.36000,4200
26,2023-03-13,10.36000,10.43400,10.36000,10.36000,7800
27,2023-03-10,10.37000,10.37000,10.36000,10.36000,9500
28,2023-03-09,10.36000,10.36500,10.36000,10.36100,8100
29,2023-03-08,10.35000,10.35000,10.35000,10.35000,500
30,2023-03-07,10.35000,10.35000,10.35000,10.35000,5800
31,2023-03-06,10.33000,10.37000,10.33000,10.35000,13000
32,2023-03-03,10.36000,10.36000,10.33000,10.33000,3200
33,2023-03-02,10.36000,10.37000,10.34500,10.36000,15600
34,2023-03-01,10.31000,10.33000,10.31000,10.33000,7400
35,2023-02-28,10.31000,10.31000,10.31000,10.31000,900
36,2023-02-27,10.31000,10.31000,10.30000,10.30500,25400
37,2023-02-24,10.30500,10.30500,10.30500,10.30500,0
38,2023-02-23,10.31000,10.31000,10.30500,10.30500,700
39,2023-02-22,10.30000,10.73000,10.30000,10.31000,12200
40,2023-02-21,10.30000,10.55000,10.30000,10.30000,45800
41,2023-02-17,10.30000,10.30000,10.30000,10.30000,11500
42,2023-02-16,10.29000,10.31000,10.29000,10.30000,42000
43,2023-02-15,10.29000,10.29000,10.29000,10.29000,400
44,2023-02-13,10.34000,10.34000,10.28000,10.33000,700
45,2023-02-10,10.28000,10.28000,10.28000,10.28000,12400
46,2023-02-09,10.28000,10.29000,10.28000,10.28000,18700
47,2023-02-08,10.28000,10.28000,10.28000,10.28000,5200
48,2023-02-07,10.28000,10.48400,10.28000,10.28000,34000
49,2023-02-06,10.28000,10.28000,10.28000,10.28000,6500
50,2023-02-03,10.28000,10.44000,10.28000,10.28000,142900
51,2023-02-02,10.27000,10.73500,10.27000,10.28000,30400
52,2023-02-01,10.27500,10.28000,10.27000,10.27000,1300
53,2023-01-31,10.28000,10.53000,10.26000,10.28000,171800
54,2023-01-30,10.26000,10.60000,10.26000,10.28000,20800
55,2023-01-27,10.26000,10.26500,10.26000,10.26000,110600
56,2023-01-25,10.31000,10.31000,10.26000,10.27000,20700
57,2023-01-24,10.27000,10.31000,10.26000,10.27000,15700
58,2023-01-23,10.26000,10.61000,10.26000,10.27000,40600
59,2023-01-20,10.25000,10.59000,10.25000,10.26000,106600
60,2023-01-19,10.25000,10.25000,10.25000,10.25000,202200
61,2023-01-18,10.25000,10.25000,10.24000,10.24500,68500
62,2023-01-17,10.55000,10.55000,10.24500,10.25000,46700
63,2023-01-13,10.26000,10.26000,10.26000,10.26000,5000
64,2023-01-12,10.24000,10.75000,10.24000,10.26000,76200
65,2023-01-11,10.24000,10.24000,10.23000,10.24000,70800
66,2023-01-10,10.24000,10.25000,10.23000,10.24000,26000
67,2023-01-09,10.23000,10.23000,10.23000,10.23000,5700
68,2023-01-05,10.17000,10.22000,10.16000,10.22000,952400
69,2023-01-04,10.21000,10.21000,10.21000,10.21000,1400
70,2023-01-03,10.23000,10.25000,10.18000,10.18000,1000
