,datetime,open,high,low,close,volume
0,2023-04-19,29.44000,29.44000,29.00000,29.25000,7500
1,2023-04-18,29.64000,29.64000,29.28000,29.37000,3900
2,2023-04-17,29.84000,29.90000,29.62000,29.62000,3600
3,2023-04-14,29.59000,29.90000,29.59000,29.90000,4600
4,2023-04-13,29.39000,29.63000,29.39000,29.59000,3500
5,2023-04-12,29.62000,29.65000,29.60000,29.64000,2400
6,2023-04-11,29.66000,29.88000,29.46000,29.74000,10100
7,2023-04-10,29.68000,30.00000,29.55000,29.80000,14200
8,2023-04-06,29.72000,30.00000,29.69000,30.00000,10200
9,2023-04-05,29.61000,29.78000,29.55000,29.73000,2400
10,2023-04-04,30.08000,30.08000,29.66000,29.85000,5400
11,2023-04-03,29.66000,30.05000,29.66000,30.04000,2100
12,2023-03-31,29.55000,30.25000,29.53000,29.64000,15200
13,2023-03-30,30.27000,30.79000,30.00000,30.00000,10400
14,2023-03-29,30.50000,30.50000,30.50000,30.50000,400
15,2023-03-28,30.70000,31.06000,30.34000,30.65000,4600
16,2023-03-27,31.01000,31.40000,30.56000,30.65000,11000
17,2023-03-24,30.45000,31.19000,30.32000,31.19000,4300
18,2023-03-23,31.20000,31.20000,30.79000,30.88000,4500
19,2023-03-22,30.87000,31.30000,30.41000,31.19000,3100
20,2023-03-21,30.99000,30.99000,30.70000,30.85000,5200
21,2023-03-20,30.80000,31.60000,30.51000,30.67000,16100
22,2023-03-17,31.44000,31.45000,30.41000,31.07000,5200
23,2023-03-16,30.74000,31.92000,30.50000,31.34000,4100
24,2023-03-15,31.00000,31.60000,30.45000,30.99000,11800
25,2023-03-14,31.80000,31.96000,31.01000,31.50000,15700
26,2023-03-13,31.56000,32.10000,31.41000,31.82000,4300
27,2023-03-10,32.25000,32.75000,31.60000,32.21000,5600
28,2023-03-09,32.39000,32.75000,32.39000,32.48000,1700
29,2023-03-08,32.25000,32.75000,32.25000,32.75000,500
30,2023-03-07,32.52000,32.89000,32.40000,32.40000,3100
31,2023-03-06,32.82000,32.82000,32.82000,32.82000,400
32,2023-03-03,32.45000,32.89000,32.45000,32.82000,1202
33,2023-03-02,32.00010,32.70000,32.00010,32.70000,1281
34,2023-03-01,32.30000,32.66000,32.25000,32.50000,1609
35,2023-02-28,32.89000,32.89000,32.25010,32.72000,2029
36,2023-02-27,32.89350,32.89350,32.58000,32.77000,2065
37,2023-02-24,32.83000,32.83000,32.83000,32.83000,388
38,2023-02-23,33.07000,33.07000,32.81000,32.81000,776
39,2023-02-22,32.73000,33.99990,32.50000,32.70000,4482
40,2023-02-21,32.42000,32.42000,32.42000,32.42000,1094
41,2023-02-17,32.34540,32.80000,32.03000,32.50000,3251
42,2023-02-16,32.60000,32.78000,32.07490,32.49000,3380
43,2023-02-15,32.25000,32.86000,32.25000,32.59000,9141
44,2023-02-14,32.31280,32.90000,32.31280,32.44000,7569
