,datetime,open,high,low,close,volume
0,2023-04-19,22.50000,22.76000,22.15000,22.76000,3400
1,2023-04-18,22.82000,22.82000,22.30400,22.75000,3100
2,2023-04-17,22.51000,22.99000,22.30000,22.99000,4700
3,2023-04-14,22.64100,22.80000,22.50000,22.80000,3200
4,2023-04-13,23.05300,23.14000,22.50000,23.14000,1100
5,2023-04-12,23.00000,23.15000,22.25000,23.12500,7600
6,2023-04-11,23.10000,23.10000,22.77000,23.07000,4100
7,2023-04-10,23.61300,23.61300,22.98000,23.14000,7700
8,2023-04-06,22.85000,23.48000,22.85000,23.00000,5000
9,2023-04-05,22.77900,23.67000,22.77900,23.07000,2400
10,2023-04-04,23.71000,23.71000,23.69000,23.69000,900
11,2023-04-03,23.72000,23.72000,22.43000,23.01000,9600
12,2023-03-31,22.50000,23.72000,22.50000,23.72000,22800
13,2023-03-30,22.63900,22.78000,22.63900,22.78000,1000
14,2023-03-29,21.65000,22.80000,21.65000,22.78000,2600
15,2023-03-28,21.66000,21.77500,21.36000,21.75000,18300
16,2023-03-27,21.31000,22.79000,21.31000,22.33000,3400
17,2023-03-24,22.05000,22.05000,20.61500,21.35000,28900
18,2023-03-23,22.06000,22.06000,22.06000,22.06000,1000
19,2023-03-22,22.40000,22.75000,22.00000,22.71000,5800
20,2023-03-21,21.62000,22.49000,21.62000,22.06200,12300
21,2023-03-20,21.43000,21.43000,21.43000,21.43000,900
22,2023-03-17,21.27000,22.50000,21.27000,21.43000,15400
23,2023-03-16,21.79500,22.50000,21.79000,22.50000,2900
24,2023-03-15,21.78000,21.80000,21.78000,21.79000,1900
25,2023-03-14,21.85200,22.49000,21.85200,22.09000,4700
26,2023-03-13,22.53000,23.11000,21.40500,21.72000,10700
27,2023-03-10,23.11000,23.11000,22.54000,22.54000,3900
28,2023-03-09,23.98700,23.98700,22.75000,22.90000,4700
29,2023-03-08,23.50800,24.11000,23.50800,23.97500,3800
30,2023-03-07,24.20000,24.34000,24.08500,24.10000,34100
31,2023-03-06,23.98000,24.44000,23.60000,24.10000,14500
32,2023-03-03,24.25000,24.66000,23.82000,24.02200,14100
33,2023-03-02,24.68000,24.68000,24.21000,24.50500,2200
34,2023-03-01,24.38900,24.40000,24.33000,24.33000,3600
35,2023-02-28,24.19500,24.44000,24.07000,24.14000,5500
36,2023-02-27,24.01000,24.24000,24.01000,24.11000,7600
37,2023-02-24,23.83500,24.10000,23.83500,24.01000,5800
38,2023-02-23,23.92500,23.92500,23.92500,23.92500,700
39,2023-02-22,23.84000,23.90000,23.75000,23.90000,2300
40,2023-02-21,24.10000,24.10000,23.75000,23.81000,9400
41,2023-02-17,24.16000,24.16000,24.01000,24.05500,1900
42,2023-02-16,24.09000,24.16000,24.09000,24.10000,2300
43,2023-02-15,23.94000,24.20000,23.80000,23.80000,3200
44,2023-02-14,23.97000,24.24000,23.79000,23.99500,19300
45,2023-02-13,23.85000,24.09000,23.84000,24.04000,14400
46,2023-02-10,24.00000,24.28600,23.81800,24.24000,6200
47,2023-02-09,23.94800,24.29000,23.94800,24.29000,4900
48,2023-02-08,24.12500,24.29000,23.90000,24.29000,10200
49,2023-02-07,23.76000,24.25000,23.76000,24.00000,24000
50,2023-02-06,23.90000,24.20000,23.75000,23.98000,25900
51,2023-02-03,24.06000,24.29000,23.75000,24.21000,5400
52,2023-02-02,24.06000,24.18000,24.06000,24.06000,3200
53,2023-02-01,24.00000,24.20000,23.90000,24.19000,9600
54,2023-01-31,24.21000,24.30300,24.00000,24.07000,23300
55,2023-01-30,23.60000,24.22000,23.60000,24.05000,24200
56,2023-01-27,23.66000,23.70000,23.07400,23.68000,8400
57,2023-01-26,23.55000,23.70000,23.32000,23.69400,6600
58,2023-01-25,23.07000,23.66000,23.07000,23.45000,5900
59,2023-01-24,23.02000,23.25000,23.02000,23.10000,7500
60,2023-01-23,23.25000,23.25000,22.97000,23.10000,5500
61,2023-01-20,23.30000,23.59900,23.25500,23.25500,2200
62,2023-01-19,23.53700,23.53700,23.09500,23.35000,5200
63,2023-01-18,23.15000,23.60000,23.15000,23.30000,7200
64,2023-01-17,23.30000,23.30000,22.53000,23.05500,12800
65,2023-01-13,23.50000,23.50000,23.30000,23.31000,7800
66,2023-01-12,23.41500,23.70000,23.13000,23.30000,9900
67,2023-01-11,22.95000,23.38000,22.95000,23.10000,3100
68,2023-01-10,23.00000,23.00000,22.75000,22.90000,10500
69,2023-01-09,22.68000,23.00000,22.65000,23.00000,4800
70,2023-01-06,23.19000,23.19000,22.50000,22.90000,16400
71,2023-01-05,22.40000,23.26000,22.33500,22.72000,24700
72,2023-01-04,22.07000,22.65000,22.07000,22.50000,8500
73,2023-01-03,22.24000,22.63000,21.81500,22.13000,24700
74,2022-12-30,20.08000,22.56000,19.90000,22.50000,194900
75,2022-12-29,20.10000,20.57500,19.64000,20.05000,25000
76,2022-12-28,19.75000,20.50000,19.75000,20.37000,16100
77,2022-12-27,20.30000,20.30000,19.56000,19.84000,21600
78,2022-12-23,20.60000,21.10000,19.55000,20.29000,29600
79,2022-12-22,20.11000,20.93400,20.11000,20.50000,10400
80,2022-12-21,20.50000,20.50000,20.11000,20.11800,8300
81,2022-12-20,20.00000,21.09000,20.00000,20.11000,900
82,2022-12-19,19.57000,20.00000,19.57000,19.80000,7700
83,2022-12-16,19.60000,19.77000,19.60000,19.66500,7800
84,2022-12-15,19.62000,19.83000,19.51000,19.65000,17300
85,2022-12-14,20.00000,20.00000,19.66000,19.66000,1900
86,2022-12-13,20.24000,20.50000,19.61000,19.80000,15000
87,2022-12-12,20.00000,20.27000,19.81000,19.81000,20300
88,2022-12-09,20.40000,20.50000,19.75000,20.00000,25100
89,2022-12-08,20.92000,20.92000,20.25000,20.47000,24200
90,2022-12-07,20.81000,21.21500,20.75000,20.90000,6300
91,2022-12-06,21.17000,21.99000,20.81000,21.05000,9200
92,2022-12-05,21.60000,22.18000,21.17000,21.17000,4000
93,2022-12-02,21.50000,22.20800,21.13000,21.74000,16900
94,2022-12-01,21.79000,22.15000,21.02000,21.68000,28700
95,2022-11-30,23.71000,23.71000,20.63000,21.61000,171100
96,2022-11-29,23.31000,24.19000,23.31000,24.09000,39800
97,2022-11-28,23.07000,23.79000,22.38500,23.64000,17400
98,2022-11-25,23.11000,23.59000,22.79000,23.20000,4700
