,datetime,open,high,low,close,volume
0,2023-04-19,9.50000,9.51000,9.28000,9.39000,1140800
1,2023-04-18,9.50000,9.67000,9.46000,9.56000,1315900
2,2023-04-17,9.60000,9.65000,9.49000,9.50000,1630500
3,2023-04-14,9.56000,9.59000,9.37000,9.47000,946600
4,2023-04-13,9.34000,9.62000,9.34000,9.53000,1535700
5,2023-04-12,9.27000,9.28000,9.15000,9.25000,903200
6,2023-04-11,8.98000,9.19000,8.96000,9.14000,1574400
7,2023-04-10,8.83000,9.17000,8.83000,9.10000,998100
8,2023-04-06,8.95000,8.96000,8.81000,8.83000,1216600
9,2023-04-05,9.07000,9.09000,8.82000,8.95000,1755200
10,2023-04-04,9.21000,9.32000,9.15000,9.23000,1442700
11,2023-04-03,9.30000,9.32000,9.07000,9.17000,1954100
12,2023-03-31,9.35000,9.54000,9.34000,9.52000,1246800
13,2023-03-30,9.50000,9.51000,9.28000,9.32000,942200
14,2023-03-29,9.44000,9.52000,9.39000,9.44000,1094600
15,2023-03-28,9.31000,9.39000,9.21000,9.25000,700700
16,2023-03-27,9.48000,9.49000,9.16000,9.36000,1106100
17,2023-03-24,9.36000,9.53000,9.31000,9.50000,1319000
18,2023-03-23,9.51000,9.66000,9.36000,9.40000,1518600
19,2023-03-22,9.32000,9.50000,9.22000,9.22000,1636000
20,2023-03-21,9.39000,9.55000,9.35000,9.38000,1261000
21,2023-03-20,9.24000,9.36000,9.11000,9.18000,1651000
22,2023-03-17,9.52000,9.58000,9.19000,9.24000,2616100
23,2023-03-16,9.36000,9.61000,9.28000,9.58000,1467300
24,2023-03-15,9.45000,9.60000,9.32000,9.49000,2948900
25,2023-03-14,9.94000,10.24000,9.91000,10.02000,2569000
26,2023-03-13,9.52000,9.70000,9.37000,9.49000,2625400
27,2023-03-10,9.83000,9.94000,9.55000,9.63000,1949300
28,2023-03-09,10.09000,10.12000,9.62000,9.63000,2190100
29,2023-03-08,10.10000,10.19000,10.01000,10.13000,1752800
30,2023-03-07,10.08000,10.11000,9.94000,10.02000,1338200
31,2023-03-06,10.21000,10.27000,10.07000,10.10000,2175300
32,2023-03-03,10.45000,10.54500,10.40000,10.47000,1915678
33,2023-03-02,10.32000,10.36000,10.13500,10.27000,1519621
34,2023-03-01,10.49000,10.58000,10.34000,10.39000,1952697
35,2023-02-28,10.34000,10.43000,10.23500,10.38000,2237421
36,2023-02-27,10.22380,10.26910,10.03500,10.08000,2203124
37,2023-02-24,10.23000,10.38000,10.20000,10.34000,2445181
38,2023-02-23,10.25000,10.39500,10.13500,10.34000,2467843
39,2023-02-22,9.82000,10.01000,9.77000,9.95000,2484093
40,2023-02-21,9.80000,10.03000,9.65500,9.74000,3656300
41,2023-02-17,9.46000,9.48000,9.28000,9.37000,2488041
42,2023-02-16,9.35000,9.49000,9.23000,9.36000,2281843
43,2023-02-15,9.45000,9.56000,9.32160,9.50000,1520062
44,2023-02-14,9.56500,9.68000,9.46000,9.57000,1309613
45,2023-02-13,9.62000,9.73000,9.43000,9.70000,2025594
46,2023-02-10,9.91000,9.92000,9.48500,9.73000,2452982
47,2023-02-09,9.75000,9.86500,9.69500,9.76000,1718063
48,2023-02-08,9.71000,9.81650,9.58000,9.70000,1422256
49,2023-02-07,9.34000,9.61000,9.32500,9.60000,1507946
50,2023-02-06,9.25000,9.36500,9.19000,9.28000,1382432
51,2023-02-03,9.29000,9.42000,9.25000,9.28000,1975482
52,2023-02-02,9.62000,9.71000,9.33000,9.46000,2706068
53,2023-02-01,9.63000,9.72000,9.43500,9.65000,2129814
