,datetime,open,high,low,close,volume
0,2023-04-19,10.36000,10.37000,10.34000,10.36000,10100
1,2023-04-18,10.36000,10.37000,10.35000,10.35000,1800
2,2023-04-17,10.36000,10.37000,10.35000,10.37000,5200
3,2023-04-14,10.36000,10.36000,10.35000,10.35000,3000
4,2023-04-13,10.34000,10.35000,10.34000,10.35000,343400
5,2023-04-12,10.42000,10.42000,10.25000,10.27000,16000
6,2023-04-11,10.45000,11.15000,9.84000,10.36000,80000
7,2023-04-10,10.25000,10.50000,10.25000,10.40000,34200
8,2023-04-06,10.39000,10.64000,10.23000,10.23000,37900
9,2023-04-05,10.40000,10.45000,10.23000,10.30100,8300
10,2023-04-04,10.39000,10.40000,10.33500,10.38000,1300
11,2023-04-03,10.36000,10.55000,10.25000,10.35000,61600
12,2023-03-31,10.33000,10.49000,10.27000,10.35000,32400
13,2023-03-30,10.25900,10.31000,10.25900,10.30000,3900
14,2023-03-29,10.26000,10.38000,10.26000,10.27000,29400
15,2023-03-28,10.10000,10.75000,9.89000,10.26000,165600
16,2023-03-27,10.33000,10.39000,9.95000,9.97000,12900
17,2023-03-24,10.32000,10.33000,10.30000,10.33000,26500
18,2023-03-23,10.34000,10.34000,10.29000,10.32000,621600
19,2023-03-22,10.30500,10.32000,10.29000,10.29000,722500
20,2023-03-21,10.31000,10.31000,10.30000,10.30000,2100
21,2023-03-20,10.26000,10.31000,10.25000,10.31000,749400
22,2023-03-17,10.26000,10.26000,10.25000,10.26000,39500
23,2023-03-16,10.25100,10.26900,10.25000,10.26900,7400
24,2023-03-15,10.25500,10.25500,10.25000,10.25000,400
25,2023-03-14,10.25900,10.25900,10.25000,10.25000,4900
26,2023-03-13,10.23200,10.23200,10.23200,10.23200,200
27,2023-03-10,10.24000,10.25000,10.24000,10.25000,14500
28,2023-03-09,10.25000,10.25000,10.25000,10.25000,300
29,2023-03-08,10.29000,10.29000,10.25000,10.25000,584400
30,2023-03-07,10.24000,10.24000,10.24000,10.24000,100
31,2023-03-06,10.26000,10.26000,10.24000,10.24000,400
32,2023-03-03,10.25000,10.25000,10.25000,10.25000,400
33,2023-03-02,10.25000,10.25000,10.24000,10.24000,32000
34,2023-03-01,10.24500,10.25000,10.24000,10.25000,79100
35,2023-02-28,10.24000,10.24000,10.23000,10.24000,35600
36,2023-02-27,10.23000,10.24800,10.22000,10.24800,23700
37,2023-02-24,10.23000,10.23000,10.22000,10.22000,18000
