,datetime,open,high,low,close,volume
0,2023-04-19,11.65000,11.89000,11.47000,11.84000,15947900
1,2023-04-18,11.73000,11.74000,11.49000,11.60000,18141000
2,2023-04-17,11.49000,11.75000,11.14000,11.71000,16107100
3,2023-04-14,11.56000,11.58000,11.28000,11.41000,13932100
4,2023-04-13,11.30000,11.45000,11.12000,11.33000,14317400
5,2023-04-12,11.44000,11.56000,11.27000,11.32000,14995200
6,2023-04-11,11.30000,11.50000,11.27000,11.40000,10479400
7,2023-04-10,11.10000,11.48000,11.03000,11.30000,16774200
8,2023-04-06,11.15000,11.34000,11.02000,11.19000,14406000
9,2023-04-05,10.76000,11.09000,10.71000,11.04000,16483100
10,2023-04-04,11.23000,11.25000,10.73000,10.98000,17010600
11,2023-04-03,11.27000,11.39000,11.00000,11.17000,17960900
12,2023-03-31,11.26000,11.30000,11.03000,11.20000,15357600
13,2023-03-30,11.51000,11.53000,11.07000,11.14000,15931100
14,2023-03-29,11.25000,11.36000,11.18000,11.34000,14239500
15,2023-03-28,11.11000,11.24000,10.94000,11.12000,14751700
16,2023-03-27,11.19000,11.42000,10.96000,11.12000,24809600
17,2023-03-24,10.51000,10.82000,10.41000,10.78000,21344900
18,2023-03-23,10.75000,11.07000,10.62000,10.68000,38661264
19,2023-03-22,11.22000,11.22000,10.62000,10.66000,25801108
20,2023-03-21,11.11000,11.32000,10.90000,11.24000,30697878
21,2023-03-20,10.57500,10.89000,10.45000,10.64000,30256044
22,2023-03-17,10.62000,10.70000,10.25000,10.34000,80446720
23,2023-03-16,10.75000,11.26000,10.10000,11.13000,47795408
24,2023-03-15,10.68000,10.86000,9.94000,10.85000,71091232
25,2023-03-14,13.02000,13.28000,10.70000,11.05000,67259136
26,2023-03-13,11.96000,11.96000,10.56000,11.12000,79742784
27,2023-03-10,13.24000,13.68000,12.66000,13.37000,43247692
28,2023-03-09,14.27000,14.36000,13.72000,13.74000,20982372
29,2023-03-08,14.46000,14.57000,14.37000,14.44000,17392836
30,2023-03-07,15.13000,15.13000,14.41000,14.45000,18582464
31,2023-03-06,15.24000,15.36000,15.12000,15.18000,11530854
32,2023-03-03,15.03000,15.25000,14.90000,15.22000,13933336
33,2023-03-02,15.18000,15.20500,14.78500,14.97000,11099279
34,2023-03-01,15.31000,15.35990,15.13000,15.30000,11667581
35,2023-02-28,15.34000,15.41000,15.27000,15.32000,14643160
36,2023-02-27,15.44000,15.54000,15.27000,15.31000,10134930
37,2023-02-24,14.97000,15.31000,14.90500,15.29000,10727690
38,2023-02-23,15.01000,15.13000,14.90000,15.09000,9539601
39,2023-02-22,15.01000,15.06500,14.86000,14.93000,15023125
40,2023-02-21,15.34000,15.36000,14.95000,15.03000,10887674
41,2023-02-17,15.37000,15.43000,15.13000,15.40000,12383948
42,2023-02-16,15.27000,15.42000,15.18500,15.34000,8596435
43,2023-02-15,15.22000,15.44000,15.18000,15.41000,8150588
44,2023-02-14,15.36000,15.41450,15.16000,15.35000,9903875
45,2023-02-13,15.17000,15.42000,15.15000,15.38000,8486031
46,2023-02-10,15.21000,15.28000,15.10000,15.23000,7695809
47,2023-02-09,15.50000,15.52910,15.19000,15.26000,10167725
48,2023-02-08,15.45000,15.59000,15.39000,15.44000,9641141
49,2023-02-07,15.34000,15.62000,15.29000,15.57000,12364869
50,2023-02-06,15.36000,15.40000,15.25000,15.36000,9787966
51,2023-02-03,15.39500,15.57000,15.34500,15.45000,12975885
52,2023-02-02,15.30000,15.60000,15.15000,15.50000,16912028
53,2023-02-01,15.00000,15.37000,14.93000,15.22000,16821144
54,2023-01-31,14.83000,15.19500,14.75000,15.17000,29536636
55,2023-01-30,14.94000,15.02000,14.83000,14.84000,9498953
56,2023-01-27,14.91500,15.06000,14.90000,15.01000,11921762
57,2023-01-26,14.89000,14.95000,14.78000,14.92000,11506743
58,2023-01-25,14.61000,14.75000,14.46010,14.75000,13121528
59,2023-01-24,14.76000,14.81760,14.58500,14.68000,11084728
60,2023-01-23,14.18000,14.75500,14.11500,14.74000,20103528
