,datetime,open,high,low,close,volume
0,2023-04-19,4.76000,4.80000,4.71000,4.76000,94600
1,2023-04-18,4.82000,4.96000,4.52000,4.74000,261300
2,2023-04-17,4.92000,5.04000,4.88000,4.94000,136800
3,2023-04-14,5.00000,5.10000,4.86000,4.93000,271300
4,2023-04-13,4.82000,5.14000,4.58000,5.04000,236100
5,2023-04-12,4.75000,5.15000,4.50000,4.81000,227100
6,2023-04-11,4.85000,5.14000,4.31000,5.05000,423100
7,2023-04-10,4.26000,4.90000,4.19000,4.87000,367000
8,2023-04-06,4.20000,4.26000,3.97000,4.26000,90800
9,2023-04-05,4.23000,4.32000,4.01000,4.20000,167100
10,2023-04-04,4.19000,4.39000,3.91000,4.23000,349300
11,2023-04-03,4.20000,4.22000,3.81000,4.19000,236900
12,2023-03-31,4.25000,4.39000,4.02000,4.20000,281700
13,2023-03-30,4.00000,4.25000,3.82000,4.22000,273700
14,2023-03-29,3.81000,4.02000,3.45000,3.92000,293600
15,2023-03-28,3.37000,3.78000,3.26000,3.75000,200200
16,2023-03-27,3.09000,3.37000,3.08000,3.34000,120600
17,2023-03-24,3.18000,3.18000,3.01000,3.10000,73800
18,2023-03-23,3.05000,3.18000,2.99000,3.18000,112900
19,2023-03-22,2.92000,3.05000,2.90000,3.01000,48700
20,2023-03-21,2.96000,3.01000,2.85000,2.88000,114300
21,2023-03-20,3.00000,3.01000,2.87000,2.92000,109000
22,2023-03-17,2.75000,3.05000,2.73000,3.01000,123000
23,2023-03-16,2.65000,2.81000,2.62000,2.79000,101700
24,2023-03-15,2.59000,2.68000,2.55000,2.64000,115700
25,2023-03-14,2.64000,2.74000,2.61000,2.67000,98800
26,2023-03-13,2.57000,2.68000,2.43000,2.56000,103600
27,2023-03-10,2.73000,2.81000,2.57000,2.67000,134400
28,2023-03-09,2.45000,2.72000,2.45000,2.66000,46800
29,2023-03-08,2.47000,2.56000,2.42000,2.48000,40700
30,2023-03-07,2.48000,2.64000,2.43000,2.45000,34700
31,2023-03-06,2.64000,2.64000,2.50000,2.51000,26700
32,2023-03-03,2.63000,2.77000,2.52000,2.62000,69200
33,2023-03-02,2.72000,2.72000,2.62000,2.65000,22800
34,2023-03-01,2.80000,2.81000,2.72000,2.72000,21400
35,2023-02-28,2.84000,2.89000,2.80000,2.83000,37100
36,2023-02-27,2.97000,2.97000,2.80000,2.87000,44200
37,2023-02-24,2.87000,2.97000,2.80000,2.95000,22300
38,2023-02-23,2.83000,2.91000,2.77000,2.91000,21100
39,2023-02-22,2.90000,2.97000,2.71000,2.87000,49300
40,2023-02-21,2.97000,2.99000,2.90000,2.92000,27400
41,2023-02-17,3.09000,3.10000,3.00000,3.02000,22900
42,2023-02-16,3.07000,3.14000,3.00000,3.04000,16700
43,2023-02-15,3.13000,3.13000,3.04000,3.07000,32900
44,2023-02-14,3.13000,3.16000,3.08000,3.09000,29100
45,2023-02-13,3.22000,3.22000,3.06000,3.14000,65900
46,2023-02-10,3.26000,3.30000,3.05000,3.20000,119900
47,2023-02-09,3.24000,3.25000,3.10000,3.24000,102800
48,2023-02-08,3.10000,3.23000,3.04000,3.21000,99800
49,2023-02-07,3.03000,3.11000,2.95000,3.09000,73200
50,2023-02-06,3.06000,3.08000,2.96000,3.06000,77600
51,2023-02-03,3.04000,3.12000,2.98000,3.11000,36200
52,2023-02-02,3.05000,3.05000,2.96000,3.05000,64300
53,2023-02-01,2.94000,3.06000,2.94000,3.02000,23600
54,2023-01-31,2.97000,3.01000,2.90000,2.98000,58000
55,2023-01-30,2.97000,3.00000,2.90000,2.94000,18400
56,2023-01-27,2.89000,3.00000,2.83000,2.96000,47100
57,2023-01-26,2.90000,2.90000,2.83000,2.87000,17400
58,2023-01-25,2.87000,2.89000,2.80000,2.89000,49400
59,2023-01-24,2.95000,2.97000,2.81000,2.83000,26000
60,2023-01-23,2.90000,2.94000,2.85000,2.93000,44100
61,2023-01-20,2.75000,2.90000,2.63000,2.89000,88400
62,2023-01-19,2.85000,2.85000,2.72000,2.77000,21100
63,2023-01-18,2.93000,3.00000,2.84000,2.85000,19800
64,2023-01-17,2.97000,3.00000,2.82000,2.89000,78000
65,2023-01-13,2.93000,3.00000,2.86000,2.93000,38900
66,2023-01-12,2.86000,2.99000,2.81000,2.93000,49100
67,2023-01-11,2.75000,2.96000,2.75000,2.84000,176700
68,2023-01-10,2.71000,2.80000,2.71000,2.77000,24100
69,2023-01-09,2.83000,2.83000,2.71000,2.77000,46900
70,2023-01-06,2.82000,2.86000,2.77000,2.81000,257900
71,2023-01-05,2.92000,2.92000,2.75000,2.84000,66000
72,2023-01-04,2.65000,2.94000,2.63000,2.90000,273000
73,2023-01-03,2.75000,2.77000,2.56000,2.68000,102100
74,2022-12-30,2.57000,2.77000,2.46000,2.77000,104900
75,2022-12-29,2.48000,2.59000,2.44000,2.55000,95700
76,2022-12-28,2.56000,2.56000,2.40000,2.50000,86600
77,2022-12-27,2.69000,2.69000,2.49000,2.58000,67100
78,2022-12-23,2.72000,2.75000,2.60000,2.73000,156000
79,2022-12-22,2.25000,2.71000,2.17000,2.71000,245400
80,2022-12-21,2.14000,2.34000,1.98000,2.30000,2020800
81,2022-12-20,2.17000,2.24000,2.05000,2.12000,175000
82,2022-12-19,2.22000,2.37000,2.01000,2.14000,133300
83,2022-12-16,2.33000,2.44000,2.20000,2.24000,444700
84,2022-12-15,2.32000,2.47000,2.24000,2.40000,97800
85,2022-12-14,2.34000,2.49000,2.32000,2.36000,100900
86,2022-12-13,2.66000,2.76000,2.35000,2.36000,79400
87,2022-12-12,2.67000,2.69000,2.59000,2.62000,89600
88,2022-12-09,2.75000,2.76000,2.54000,2.76000,45600
89,2022-12-08,2.59000,2.76000,2.59000,2.76000,34900
90,2022-12-07,2.59000,2.72000,2.51000,2.61000,63500
91,2022-12-06,2.86000,2.86000,2.55000,2.62000,317400
92,2022-12-05,2.96000,2.97000,2.71000,2.84000,139100
93,2022-12-02,2.72000,2.89000,2.72000,2.86000,100200
94,2022-12-01,2.55000,2.79000,2.49000,2.77000,143900
95,2022-11-30,2.36000,2.56000,2.31000,2.56000,77700
96,2022-11-29,2.24000,2.39000,2.24000,2.35000,67100
97,2022-11-28,2.37000,2.42000,2.22000,2.27000,65300
98,2022-11-25,2.38000,2.44000,2.27000,2.41000,55300
99,2022-11-23,2.49000,2.49000,2.33000,2.44000,34600
100,2022-11-22,2.32000,2.47000,2.27000,2.43000,87900
101,2022-11-21,2.24000,2.27000,2.18000,2.24000,46200
102,2022-11-18,2.31000,2.34000,2.17000,2.28000,43700
103,2022-11-17,2.32000,2.35000,2.19000,2.34000,101200
104,2022-11-16,2.38000,2.41000,2.20000,2.32000,140400
105,2022-11-15,2.65000,2.69000,2.39000,2.40000,220900
106,2022-11-14,2.38000,2.66000,2.32000,2.65000,101200
107,2022-11-11,2.34000,2.41000,2.24000,2.40000,104600
108,2022-11-10,2.23000,2.37000,2.22000,2.34000,133800
109,2022-11-09,2.31000,2.35000,2.10000,2.19000,435000
110,2022-11-08,2.50000,2.58000,2.34000,2.42000,470000
111,2022-11-07,2.54000,2.58000,2.47000,2.51000,38900
112,2022-11-04,2.70000,2.70000,2.51000,2.54000,32700
113,2022-11-03,2.65000,2.75000,2.62000,2.65000,48000
114,2022-11-02,2.75000,2.77000,2.65000,2.68000,51100
115,2022-11-01,2.74000,2.76000,2.65000,2.76000,68000
116,2022-10-31,2.59000,2.71000,2.47000,2.69000,81400
117,2022-10-28,2.53000,2.63000,2.52000,2.63000,52400
118,2022-10-27,2.42000,2.55000,2.37000,2.52000,67600
119,2022-10-26,2.29000,2.44000,2.29000,2.41000,51900
120,2022-10-25,2.29000,2.34000,2.26000,2.30000,50000
121,2022-10-24,2.27000,2.31000,2.26000,2.30000,55300
122,2022-10-21,2.18000,2.31000,2.15000,2.26000,78700
123,2022-10-20,2.16000,2.22000,2.15000,2.18000,38100
124,2022-10-19,2.28000,2.29000,2.17000,2.17000,62800
125,2022-10-18,2.34000,2.40000,2.22000,2.26000,44100
126,2022-10-17,2.29000,2.37000,2.29000,2.34000,21000
127,2022-10-14,2.36000,2.37000,2.15000,2.26000,190800
128,2022-10-13,2.25000,2.34000,2.24000,2.34000,65600
129,2022-10-12,2.31000,2.32000,2.23000,2.29000,82400
130,2022-10-11,2.50000,2.76000,2.32000,2.32000,50000
131,2022-10-10,2.50000,2.53000,2.27000,2.48000,64300
132,2022-10-07,2.43000,2.49000,2.36000,2.45000,129600
133,2022-10-06,2.42000,2.55000,2.42000,2.51000,121400
134,2022-10-05,2.62000,2.62000,2.46000,2.46000,101800
135,2022-10-04,2.73000,2.82000,2.66000,2.67000,115600
136,2022-10-03,2.59000,2.70000,2.57000,2.65000,48400
137,2022-09-30,2.60000,2.74000,2.55000,2.56000,111300
138,2022-09-29,2.53000,2.66000,2.50000,2.60000,79200
139,2022-09-28,2.37000,2.76000,2.37000,2.56000,167000
140,2022-09-27,2.42000,2.49000,2.27000,2.33000,533000
141,2022-09-26,2.53000,2.63000,2.40000,2.40000,314100
142,2022-09-23,2.60000,2.62000,2.56000,2.58000,205000
143,2022-09-22,2.75000,2.75000,2.60000,2.60000,67900
144,2022-09-21,2.84000,2.84000,2.75000,2.75000,65100
145,2022-09-20,2.89000,2.89000,2.76000,2.84000,203700
146,2022-09-19,2.93000,2.94000,2.86000,2.88000,106100
147,2022-09-16,3.05000,3.12000,2.89000,2.97000,256900
148,2022-09-15,3.09000,3.13000,3.08000,3.10000,50500
149,2022-09-14,3.10000,3.12000,3.06000,3.10000,112200
150,2022-09-13,3.12000,3.14000,3.04000,3.12000,73000
151,2022-09-12,3.15000,3.24000,3.15000,3.15000,153200
152,2022-09-09,3.20000,3.28000,3.16000,3.16000,72300
153,2022-09-08,3.18000,3.30000,3.15000,3.19000,21500
154,2022-09-07,3.15000,3.21000,3.10000,3.20000,74800
155,2022-09-06,3.21000,3.24000,3.15000,3.15000,64800
156,2022-09-02,3.24000,3.38000,3.22000,3.22000,67200
157,2022-09-01,3.28000,3.33000,3.20000,3.22000,59100
158,2022-08-31,3.28000,3.38000,3.25000,3.30000,68300
159,2022-08-30,3.35000,3.41000,3.28000,3.29000,59800
160,2022-08-29,3.30000,3.34000,3.29000,3.31000,45500
161,2022-08-26,3.43000,3.48000,3.28000,3.29000,96800
162,2022-08-25,3.24000,3.45000,3.23000,3.40000,87700
163,2022-08-24,3.14000,3.29000,3.13000,3.19000,98400
164,2022-08-23,3.23000,3.27000,3.17000,3.17000,112300
165,2022-08-22,3.24000,3.25000,3.11000,3.17000,117500
166,2022-08-19,3.23000,3.31000,3.22000,3.25000,139900
167,2022-08-18,3.17000,3.24000,3.15000,3.18000,69700
168,2022-08-17,3.14000,3.25000,3.10000,3.19000,101900
169,2022-08-16,3.22000,3.25000,3.15000,3.16000,116500
170,2022-08-15,3.28000,3.33000,3.22000,3.23000,115500
171,2022-08-12,3.32000,3.34000,3.23000,3.28000,142500
172,2022-08-11,3.34000,3.39000,3.28000,3.29000,129100
173,2022-08-10,3.38000,3.39000,3.32000,3.33000,92800
174,2022-08-09,3.37000,3.44000,3.30000,3.36000,149200
175,2022-08-08,3.53000,3.55000,3.38000,3.40000,156700
176,2022-08-05,3.57000,3.60000,3.50000,3.53000,169800
177,2022-08-04,3.70000,3.73000,3.50000,3.60000,606400
178,2022-08-03,3.75000,3.83000,3.69000,3.81000,95500
179,2022-08-02,3.71000,3.81000,3.71000,3.72000,67700
180,2022-08-01,3.70000,3.73000,3.65000,3.73000,364900
181,2022-07-29,3.66000,3.81000,3.60000,3.76000,64300
182,2022-07-28,3.71000,3.81000,3.59000,3.67000,32900
183,2022-07-27,3.56000,3.71000,3.56000,3.69000,58700
184,2022-07-26,3.66000,3.66000,3.54000,3.56000,81800
