,datetime,open,high,low,close,volume
0,2023-04-19,4.57000,4.57000,4.36000,4.38000,11500
1,2023-04-18,5.06000,5.06000,4.52000,4.60000,41000
2,2023-04-17,5.06000,5.96000,4.52000,4.82000,173200
3,2023-04-14,4.95000,5.34600,4.89000,5.05000,45200
4,2023-04-13,4.80500,5.09000,4.65000,4.87000,24100
5,2023-04-12,4.46000,5.10000,4.33000,4.65000,65200
6,2023-04-11,4.36000,4.69000,4.36000,4.53000,11300
7,2023-04-10,4.93000,4.93000,4.20000,4.59000,47000
8,2023-04-06,4.41000,5.71000,4.05000,4.98000,178200
9,2023-04-05,5.13000,5.29000,4.29000,4.45000,36400
10,2023-04-04,5.50000,5.58000,4.78000,5.30000,58100
11,2023-04-03,4.35000,7.50000,4.35000,5.99000,1101300
12,2023-03-31,5.36000,5.38900,3.58000,4.34000,72000
13,2023-03-30,5.47000,5.53000,5.30000,5.30000,13500
14,2023-03-29,5.56000,5.75500,5.07000,5.31800,17600
15,2023-03-28,5.48000,5.79000,5.44000,5.49000,22400
16,2023-03-27,5.07000,6.44000,5.06000,5.57000,59800
17,2023-03-24,5.26000,5.37000,5.10000,5.18000,13100
18,2023-03-23,5.54000,5.81000,5.25000,5.43000,35200
19,2023-03-22,5.75000,6.23500,5.36000,5.63000,88300
20,2023-03-21,6.25000,6.33000,5.82000,5.82000,48400
21,2023-03-20,5.60000,8.30000,5.57000,6.18000,414100
22,2023-03-17,5.38000,5.90000,5.36000,5.56000,40900
23,2023-03-16,5.68000,5.80000,5.45000,5.45000,8600
24,2023-03-15,5.51000,5.90000,5.51000,5.61000,15300
25,2023-03-14,5.79000,6.04000,5.60000,5.60000,6300
26,2023-03-13,5.59000,6.07000,5.59000,5.76000,12700
27,2023-03-10,6.63000,6.63000,5.68000,5.68000,24300
28,2023-03-09,7.05000,7.73000,6.61000,6.61000,51866
29,2023-03-08,6.97000,8.10000,6.80000,7.06000,90900
30,2023-03-07,7.94000,10.98000,7.81000,8.86000,340600
31,2023-03-06,7.66000,9.12000,7.61000,8.20000,123400
32,2023-03-03,10.90200,10.90200,8.40400,9.00200,38945
33,2023-03-02,10.40000,11.80000,9.20000,10.79800,12567
34,2023-03-01,9.40000,12.40000,8.96400,11.00000,50313
35,2023-02-28,8.60000,9.60000,8.00000,9.58798,18893
36,2023-02-27,8.88000,10.06000,8.25000,8.45000,9670
37,2023-02-24,8.60000,11.00000,8.60000,9.20000,48600
38,2023-02-23,10.60000,11.20000,8.84200,8.87000,26257
39,2023-02-22,9.16000,10.86600,8.60000,10.76000,100341
40,2023-02-21,7.00000,14.80000,6.94998,10.20000,1404076
41,2023-02-17,6.99800,7.39600,6.80000,7.00000,5569
42,2023-02-16,7.00000,7.40000,6.88000,6.88000,6910
43,2023-02-15,7.19800,7.60000,6.60000,7.40000,6321
44,2023-02-14,7.00000,7.59800,7.00000,7.19800,4448
45,2023-02-13,7.80000,7.84200,7.00000,7.04600,5446
46,2023-02-10,8.15000,8.15000,7.32000,7.56800,7936
47,2023-02-09,8.08000,8.36800,7.80200,7.80200,4706
48,2023-02-08,9.02802,9.02802,8.08000,8.32800,3646
49,2023-02-07,9.19800,9.19800,8.51000,8.60200,2759
50,2023-02-06,9.99000,9.99000,8.60000,8.80200,3404
51,2023-02-03,9.50600,10.00000,9.42000,9.46000,2966
52,2023-02-02,9.58000,10.39800,9.50000,9.80000,9937
53,2023-02-01,9.40000,9.59168,9.00002,9.33200,1057
54,2023-01-31,10.16000,10.16000,9.20000,9.40000,2911
55,2023-01-30,8.98200,9.68098,8.80200,9.67800,1443
56,2023-01-27,10.20000,10.20000,8.40000,9.39800,3378
57,2023-01-26,9.80000,10.99600,9.20200,9.64000,3550
58,2023-01-25,10.67000,11.00000,9.30000,9.89600,12853
59,2023-01-24,11.60000,11.60000,10.70000,11.00000,6256
60,2023-01-23,11.58000,11.58000,11.19000,11.44900,1971
61,2023-01-20,11.00000,11.99998,10.48000,11.58000,1875
62,2023-01-19,12.00000,12.00000,10.79800,10.90600,1959
63,2023-01-18,10.84000,11.96800,10.84000,11.60000,2092
64,2023-01-17,12.00000,12.00000,10.84000,11.60000,3400
65,2023-01-13,12.80000,12.80000,10.20600,11.66200,9425
66,2023-01-12,9.82200,13.98000,9.36800,13.00200,72100
67,2023-01-11,9.41800,9.41800,8.40400,9.28000,587
68,2023-01-10,9.59998,9.60000,8.91000,8.97000,462
69,2023-01-09,8.76400,9.50000,8.76400,9.17500,1026
70,2023-01-06,9.58000,9.59800,8.60000,9.22800,784
71,2023-01-05,9.70000,9.80000,8.00000,9.60000,1380
72,2023-01-04,8.30400,8.80200,7.80000,8.40000,1409
73,2023-01-03,7.60202,8.00000,7.60202,8.00000,1232
74,2022-12-30,8.00000,8.36000,7.41400,7.41400,4455
75,2022-12-29,7.31800,8.15000,7.31800,7.80000,2684
76,2022-12-28,7.95600,8.50000,7.60000,7.70000,4522
77,2022-12-27,9.48000,9.80000,7.10000,8.20200,7802
78,2022-12-23,9.17800,9.80000,9.00000,9.46400,1492
79,2022-12-22,10.00000,10.19600,9.12000,9.40000,2615
80,2022-12-21,10.00802,10.60200,9.40000,9.80000,8459
81,2022-12-20,11.00000,11.09000,10.00000,11.09000,6048
82,2022-12-19,10.27600,10.80000,10.01000,10.58400,2585
83,2022-12-16,10.41000,11.18000,10.01200,10.80000,2065
84,2022-12-15,10.20000,11.20000,10.02200,11.20000,925
85,2022-12-14,11.47600,11.47600,10.20200,10.78200,1915
86,2022-12-13,10.60000,11.80000,10.20200,11.47600,2466
87,2022-12-12,10.40000,11.60000,10.01000,10.59000,4075
88,2022-12-09,10.40000,10.98200,10.20200,10.40000,1913
89,2022-12-08,10.90000,11.41800,10.77600,10.77600,1527
90,2022-12-07,11.21200,12.40000,10.50000,11.83600,7151
91,2022-12-06,12.10000,12.40000,11.00000,11.99800,8266
92,2022-12-05,12.20000,12.39998,11.60000,11.60000,1581
93,2022-12-02,11.78002,12.40000,11.60202,12.00000,1625
94,2022-12-01,12.00000,12.16000,11.80000,11.96000,1020
95,2022-11-30,12.00000,12.31400,11.64000,12.00000,2417
96,2022-11-29,12.40000,12.40000,11.90000,12.10800,5500
97,2022-11-28,13.40000,13.40000,12.04000,12.40000,2828
98,2022-11-25,12.80000,13.20000,12.40000,12.93800,1005
99,2022-11-23,12.47600,13.20000,12.24000,12.59000,1451
100,2022-11-22,13.59800,13.59800,12.40200,12.60200,4115
101,2022-11-21,13.11800,13.95800,12.04000,13.24800,2375
102,2022-11-18,13.90000,14.20200,13.80000,13.80000,1330
103,2022-11-17,13.47600,14.91800,13.30600,13.60200,2826
104,2022-11-16,13.00000,14.40000,13.00000,13.47600,6981
105,2022-11-15,13.60000,14.40000,12.67200,13.43000,6738
106,2022-11-14,17.60000,18.77800,13.20000,13.20200,16830
107,2022-11-11,17.60000,17.80000,17.00200,17.47600,2445
108,2022-11-10,18.99800,18.99800,17.20000,17.40000,4196
109,2022-11-09,19.59600,19.60000,17.71800,18.15800,3351
110,2022-11-08,19.00000,19.59800,18.66400,18.76200,1615
111,2022-11-07,19.36000,19.60000,18.80000,19.10400,942
112,2022-11-04,19.84000,19.94800,18.80000,18.80000,1095
113,2022-11-03,19.79800,19.80000,19.30200,19.31000,2237
114,2022-11-02,20.00000,20.00000,19.26400,19.40600,1129
115,2022-11-01,20.00000,20.00000,19.15000,19.70200,1070
116,2022-10-31,20.00000,20.80000,18.93200,19.60000,3758
117,2022-10-28,19.49600,21.60000,19.38200,21.20000,2665
118,2022-10-27,20.00000,20.20000,19.00000,20.10000,3299
119,2022-10-26,19.52200,20.80000,19.46400,20.00000,1899
120,2022-10-25,18.80000,19.97600,18.60000,19.20200,1239
121,2022-10-24,18.30000,19.97400,17.39600,18.67820,1011
122,2022-10-21,18.85000,19.80000,17.97600,18.04200,3378
123,2022-10-20,18.50000,20.99800,18.18600,18.80200,4738
124,2022-10-19,18.00400,19.00000,17.24562,18.50000,657
125,2022-10-18,18.40000,19.14000,18.40000,18.42000,2350
126,2022-10-17,18.60000,19.20000,18.36000,18.60000,632
127,2022-10-14,18.66400,19.00000,18.20000,18.83600,946
128,2022-10-13,18.40200,18.99800,18.40000,18.89800,706
129,2022-10-12,18.60000,19.19800,18.60000,19.00000,554
130,2022-10-11,19.70600,19.70600,18.42400,18.65000,2064
131,2022-10-10,19.50000,20.60000,19.50000,20.00200,1301
132,2022-10-07,20.00000,20.40000,18.14600,20.40000,2374
133,2022-10-06,19.20800,21.20000,19.20800,20.36400,4959
134,2022-10-05,20.00000,21.20000,17.81400,20.40000,1590
135,2022-10-04,18.60000,19.00000,18.20000,18.44000,729
136,2022-10-03,18.56000,18.56000,17.34200,17.80000,1980
137,2022-09-30,18.00000,18.96000,17.25800,17.60000,1047
138,2022-09-29,18.60000,18.60000,17.00000,17.91800,3172
139,2022-09-28,17.46200,20.95400,17.46200,18.49400,2288
140,2022-09-27,20.00000,20.20000,17.20000,18.00200,7316
141,2022-09-26,20.00000,20.60000,19.58400,20.20000,2235
142,2022-09-23,20.40000,20.60000,20.10000,20.20000,2337
143,2022-09-22,21.00000,21.80000,20.40000,20.40000,1221
144,2022-09-21,22.20000,22.20000,21.20000,21.20000,1668
145,2022-09-20,22.00000,22.40000,21.59800,22.20000,2561
146,2022-09-19,22.60000,23.00000,22.20000,22.60000,2500
147,2022-09-16,21.80000,23.80000,21.80000,23.60000,6758
148,2022-09-15,20.80000,23.30000,20.80000,22.20000,2537
149,2022-09-14,22.95800,24.01600,22.80000,23.60000,1711
150,2022-09-13,23.80000,24.00000,23.20000,23.40000,2890
151,2022-09-12,22.60000,24.50000,22.60000,23.80000,9655
152,2022-09-09,22.00000,24.00000,21.20000,22.60000,9890
153,2022-09-08,22.00000,22.20000,21.40000,22.00000,3195
154,2022-09-07,22.20000,22.60200,22.00000,22.00000,1613
155,2022-09-06,24.00000,24.00000,22.00000,22.20000,1085
156,2022-09-02,22.20000,23.80000,22.00000,22.80000,2814
157,2022-09-01,23.00000,24.20000,22.38400,22.40000,1493
158,2022-08-31,22.79800,23.70000,22.20000,22.80000,2852
159,2022-08-30,22.60000,23.20000,22.20000,22.60000,1068
160,2022-08-29,23.80000,23.80000,22.40000,23.20000,5860
161,2022-08-26,24.40000,24.94400,23.60000,23.80000,3659
162,2022-08-25,24.20000,25.00000,24.00000,25.00000,3849
163,2022-08-24,25.00000,25.00000,23.20200,23.60000,6288
164,2022-08-23,25.00000,26.39800,24.80000,25.00000,6019
165,2022-08-22,24.40000,25.42200,24.20000,25.20000,3524
166,2022-08-19,25.02200,25.39800,24.40000,24.60000,3523
167,2022-08-18,24.40000,25.40000,24.40000,25.20000,1726
168,2022-08-17,25.20000,25.60000,24.60000,25.02000,2785
169,2022-08-16,24.20000,25.70000,23.50200,25.20000,9205
170,2022-08-15,28.00000,28.60000,25.00200,25.20000,21720
171,2022-08-12,27.79800,29.00000,27.20200,27.80000,13682
172,2022-08-11,26.60000,28.20000,26.60000,27.40000,3423
173,2022-08-10,27.60000,27.60000,26.40000,27.20000,5120
174,2022-08-09,27.38200,27.38200,26.40000,26.60000,1764
175,2022-08-08,27.00000,27.37800,26.40000,26.80000,3223
176,2022-08-05,27.20000,27.40000,26.80000,27.00000,1611
177,2022-08-04,26.80000,27.40000,26.40800,27.00000,2200
178,2022-08-03,28.40000,28.60000,26.20000,26.80000,24574
179,2022-08-02,27.20000,28.80000,26.40000,28.00000,4510
180,2022-08-01,26.00000,28.20000,26.00000,28.20000,3505
181,2022-07-29,25.60000,26.80000,25.60000,26.60000,789
182,2022-07-28,25.80000,26.39200,25.00000,26.00000,1621
183,2022-07-27,26.40000,26.40000,24.80000,25.80000,7103
184,2022-07-26,28.04000,28.30000,26.00000,26.00000,10266
185,2022-07-25,28.00000,29.00000,28.00000,28.40000,2646
186,2022-07-22,28.00000,29.59800,28.00000,28.20000,1313
187,2022-07-21,28.60000,29.60000,28.10000,28.20000,2453
188,2022-07-20,30.60000,30.60000,29.20000,29.60000,3002
189,2022-07-19,28.70000,30.40000,27.80000,29.80000,34506
190,2022-07-18,29.20000,29.60000,28.00000,28.00000,4267
191,2022-07-15,28.00000,28.37200,27.20000,28.20000,2192
192,2022-07-14,27.60000,27.85400,27.40000,27.60000,1359
193,2022-07-13,27.88000,28.22400,27.20000,27.60000,2478
194,2022-07-12,27.40000,30.19800,27.20200,28.80000,10172
195,2022-07-11,27.20000,28.18400,27.20000,27.80000,1005
196,2022-07-08,26.40000,28.96400,26.40000,27.60000,4980
197,2022-07-07,26.00000,27.79800,25.80000,26.40000,7454
198,2022-07-06,27.40000,28.00000,26.20000,26.40000,7066
199,2022-07-05,27.40000,28.00000,27.20000,27.60000,3621
200,2022-07-01,27.20000,29.20000,27.00800,28.00000,3353
201,2022-06-30,28.00000,28.60000,27.20000,27.80000,10903
202,2022-06-29,30.60000,31.20000,28.00000,28.80000,13654
203,2022-06-28,30.60000,31.44200,30.40000,31.00000,1884
204,2022-06-27,30.89600,31.80000,30.20200,31.00000,4405
205,2022-06-24,31.00000,31.20000,30.40000,30.40000,2189
206,2022-06-23,31.40000,31.80000,30.40000,31.00000,5090
207,2022-06-22,31.20000,32.20000,31.00000,31.60000,2164
208,2022-06-21,30.20000,33.00000,30.20000,31.20000,12293
209,2022-06-17,30.20000,31.80000,29.64000,30.80000,7490
210,2022-06-16,32.20000,32.63400,30.40000,30.80000,14450
211,2022-06-15,33.00000,34.25000,32.40200,33.60000,3449
212,2022-06-14,32.40000,34.03000,32.40000,32.80000,8260
213,2022-06-13,32.80000,34.00000,32.00000,32.40000,13102
214,2022-06-10,35.40000,36.03800,32.80000,34.20000,24438
215,2022-06-09,37.00000,37.00000,35.60000,35.62200,4764
216,2022-06-08,35.80000,37.80000,35.60000,37.00000,14025
217,2022-06-07,35.40000,37.40000,35.20000,35.80000,15417
218,2022-06-06,36.20000,36.20000,35.60000,35.60000,4725
219,2022-06-03,35.80000,36.80000,35.80000,36.20000,4199
220,2022-06-02,35.60000,37.39800,35.60000,36.80000,10231
221,2022-06-01,36.40000,36.69800,35.20000,35.80000,9147
222,2022-05-31,37.40000,37.40000,35.60000,36.40000,9158
223,2022-05-27,36.20000,38.00000,36.20000,37.20000,12240
224,2022-05-26,38.60000,39.20000,36.20000,36.20000,12572
225,2022-05-25,35.40000,38.80000,35.40000,37.20000,21545
226,2022-05-24,36.40000,36.96600,35.20000,35.60000,14791
227,2022-05-23,38.00000,38.00000,36.60000,37.40000,11505
228,2022-05-20,39.20000,39.90000,37.40000,38.00000,24660
229,2022-05-19,39.40000,40.00000,38.00000,38.80000,27337
230,2022-05-18,40.80000,40.80000,38.60000,39.60000,25463
231,2022-05-17,39.60000,41.70000,38.00000,41.60000,41224
232,2022-05-16,42.80000,45.00000,39.00000,39.60000,111619
233,2022-05-13,37.60000,39.20000,35.80000,37.80000,51954
234,2022-05-12,41.80000,44.00000,38.00200,39.80000,103322
235,2022-05-11,44.00000,49.40000,43.80000,45.40000,50267
236,2022-05-10,45.80000,49.20000,45.80000,47.00000,38310
237,2022-05-09,53.00000,53.20000,47.80000,48.60000,62817
238,2022-05-06,55.40000,57.40000,53.20000,55.20000,69802
239,2022-05-05,55.80000,61.20000,53.60000,60.00000,149202
240,2022-05-04,55.80000,60.40000,52.40000,57.40000,240911
241,2022-05-03,75.60000,76.00000,55.20000,56.00000,939456
242,2022-05-02,58.00000,67.96800,57.74400,64.00000,421945
243,2022-04-29,52.40000,60.80000,52.40000,56.40000,241006
244,2022-04-28,50.00000,53.20000,48.00000,52.00000,46951
245,2022-04-27,56.00000,56.60000,46.60000,49.80000,65045
246,2022-04-26,50.80000,53.80000,47.40000,52.20000,68454
247,2022-04-25,49.80000,50.80000,44.80000,49.40000,94730
248,2022-04-22,47.40000,59.60000,46.80000,50.60000,984220
249,2022-04-21,40.20000,51.00000,40.20000,44.80000,107653
250,2022-04-20,39.72400,40.60000,37.40000,39.80000,3756
251,2022-04-19,40.00000,41.00000,39.40000,39.40000,4939
252,2022-04-18,39.40000,40.99800,39.20000,39.80000,1392
253,2022-04-14,39.60000,40.80000,39.40000,39.40000,2054
254,2022-04-13,40.20000,41.20000,39.40000,41.00000,2915
255,2022-04-12,40.00000,42.00000,39.79800,40.60000,3717
256,2022-04-11,41.16600,41.60000,39.60000,39.60000,4781
257,2022-04-08,40.60000,42.40000,40.40000,41.20000,1174
258,2022-04-07,42.00000,42.20000,40.40000,41.20000,6425
259,2022-04-06,42.10200,43.40000,41.15400,41.60000,3678
260,2022-04-05,43.60000,44.00000,41.60000,42.60000,2039
261,2022-04-04,43.40000,45.00000,42.80000,43.20000,3714
262,2022-04-01,45.60000,46.20000,43.80000,43.80000,1430
263,2022-03-31,43.80000,46.39000,43.60000,45.60000,2575
264,2022-03-30,45.40000,45.40000,43.02000,44.80000,1612
265,2022-03-29,42.40000,45.50000,42.00000,45.20000,6046
266,2022-03-28,43.60000,44.00000,41.30000,42.80000,3649
267,2022-03-25,49.20000,49.20000,43.00000,43.40000,7383
268,2022-03-24,52.00000,52.00000,46.00000,47.80000,11714
269,2022-03-23,47.80000,49.00000,47.04000,48.60000,1537
270,2022-03-22,47.60000,49.60000,47.60000,48.60000,4600
271,2022-03-21,47.00000,48.80000,45.20000,47.60000,4218
272,2022-03-18,43.20000,47.80000,43.20000,47.20000,4353
273,2022-03-17,41.80000,45.00000,41.80000,44.20000,1863
274,2022-03-16,42.00000,43.77800,42.00000,42.40000,1872
275,2022-03-15,41.60000,42.40000,40.80000,41.80000,1866
276,2022-03-14,41.60000,42.80000,40.26200,41.80000,2570
277,2022-03-11,44.00000,44.00000,41.60000,42.00000,1296
278,2022-03-10,45.00000,45.60000,43.00000,44.20000,5896
279,2022-03-09,40.40000,43.40000,40.40000,42.90000,1816
280,2022-03-08,40.00000,43.00000,40.00000,41.60000,1305
281,2022-03-07,41.30800,42.80000,40.00000,40.00000,3264
282,2022-03-04,44.80000,45.00000,42.80000,43.00000,1904
283,2022-03-03,41.00000,44.00000,41.00000,43.20000,710
284,2022-03-02,44.00000,44.00000,41.28600,42.40000,804
285,2022-03-01,41.60000,43.80000,40.82600,43.40000,2710
286,2022-02-28,41.40000,44.00000,40.80200,42.00000,1387
287,2022-02-25,42.00000,43.00000,40.16400,41.40000,2330
288,2022-02-24,40.00000,41.00000,38.40000,40.00000,3492
289,2022-02-23,43.00000,43.04000,40.20000,40.60000,2108
290,2022-02-22,42.80000,44.80000,42.00000,42.80000,1441
291,2022-02-18,41.80000,43.80000,40.86600,43.80000,1626
292,2022-02-17,43.80000,44.70000,42.00000,42.00000,2422
293,2022-02-16,43.80000,45.60000,43.80000,44.40000,1385
294,2022-02-15,44.20000,45.50000,44.20000,44.20000,2010
295,2022-02-14,43.80000,45.20000,43.80000,44.00000,2655
296,2022-02-11,46.00000,47.20000,43.60000,43.80000,2630
297,2022-02-10,46.20000,47.50000,45.80000,46.20000,1208
298,2022-02-09,45.60000,47.00000,45.21200,46.20000,1565
299,2022-02-08,45.40000,47.14200,45.00000,46.00000,3775
300,2022-02-07,47.00000,47.94000,46.00000,46.00000,2832
301,2022-02-04,49.00000,50.40000,47.20000,47.20000,2455
302,2022-02-03,47.00000,51.80000,47.00000,49.80000,6322
303,2022-02-02,48.60000,48.60000,47.21600,47.40000,452
304,2022-02-01,47.46200,49.00000,46.00000,48.80000,1897
305,2022-01-31,45.80000,48.80000,44.80000,48.00000,1603
306,2022-01-28,42.00000,45.20000,41.91200,44.60000,2166
307,2022-01-27,43.00000,44.00000,41.80000,42.20000,3301
308,2022-01-26,43.60000,45.00000,43.00000,43.00000,1257
309,2022-01-25,43.80000,44.60000,43.00000,43.60000,2299
310,2022-01-24,44.00000,44.99800,41.80000,44.20000,6325
311,2022-01-21,46.00000,47.30000,43.60000,44.40000,8407
312,2022-01-20,46.60000,48.13800,46.20000,47.00000,4053
313,2022-01-19,47.00000,48.99600,46.00000,46.60000,3310
314,2022-01-18,49.20000,49.80000,47.00000,48.60000,3875
315,2022-01-14,48.40000,50.80000,46.80000,49.80000,5153
316,2022-01-13,47.80000,50.20000,47.80000,49.60000,4075
317,2022-01-12,48.52800,49.20000,46.80000,48.00000,3584
318,2022-01-11,46.80000,49.60000,46.80000,48.80000,2756
319,2022-01-10,47.60000,48.30000,46.20000,47.40000,6347
320,2022-01-07,47.60000,49.00000,47.00000,48.40000,3563
321,2022-01-06,50.30000,50.40000,47.60000,48.20000,4839
322,2022-01-05,51.40000,53.20000,48.40000,50.00000,6596
323,2022-01-04,53.80000,54.00000,51.80000,52.00000,4739
