,datetime,open,high,low,close,volume
0,2023-04-19,3.64000,3.69000,3.52000,3.54000,4900
1,2023-04-18,3.64000,3.80000,3.64000,3.65000,3200
2,2023-04-17,3.54000,3.69000,3.54000,3.69000,3900
3,2023-04-14,3.36000,3.97000,3.36000,3.66000,11200
4,2023-04-13,3.54000,3.80000,3.33000,3.35000,32900
5,2023-04-12,3.94000,3.98000,3.59000,3.73000,28200
6,2023-04-11,3.98000,4.10000,3.91000,3.91000,29900
7,2023-04-10,4.21000,4.39000,4.01000,4.11000,8500
8,2023-04-06,4.18000,4.34000,4.06000,4.30000,27700
9,2023-04-05,4.37000,4.49000,4.25000,4.29000,4500
10,2023-04-04,5.05000,5.05000,4.35000,4.47000,55700
11,2023-04-03,5.41000,5.89000,5.01000,5.02000,42700
12,2023-03-31,5.69000,5.69000,5.50000,5.61000,5000
13,2023-03-30,5.89000,5.89000,5.65000,5.86400,6100
14,2023-03-29,5.47000,5.93000,5.31100,5.89000,24700
15,2023-03-28,5.46000,5.63000,5.25000,5.45000,11700
16,2023-03-27,5.63000,5.76000,5.50000,5.68000,11400
17,2023-03-24,5.81000,5.81000,5.41000,5.47000,5200
18,2023-03-23,5.81000,5.95000,5.72000,5.95000,9200
19,2023-03-22,5.85000,5.92500,5.85000,5.92500,2200
20,2023-03-21,5.90000,6.04000,5.77000,5.85000,4100
21,2023-03-20,6.00000,6.12000,5.76000,5.76000,11800
22,2023-03-17,5.48000,5.98000,5.48000,5.92000,19500
23,2023-03-16,5.79000,5.98000,5.69700,5.71000,15900
24,2023-03-15,5.83000,5.96000,5.40000,5.80000,24300
25,2023-03-14,5.85000,5.95000,5.80000,5.82000,2300
26,2023-03-13,5.65000,6.10000,5.50000,6.10000,31900
27,2023-03-10,5.62000,6.00000,5.62000,5.67000,12200
28,2023-03-09,5.99000,5.99000,5.61000,5.68000,11100
29,2023-03-08,6.00000,6.04000,5.71000,6.04000,77200
30,2023-03-07,5.76000,6.10000,5.76000,6.10000,19500
31,2023-03-06,5.88000,6.10000,5.76000,5.84000,52300
32,2023-03-03,5.73000,5.89000,5.72000,5.88000,46000
33,2023-03-02,5.77000,5.90000,5.72000,5.90000,15400
34,2023-03-01,5.79000,5.99000,5.61000,5.78000,22500
35,2023-02-28,5.95000,5.95000,5.60000,5.78000,16500
36,2023-02-27,5.71000,6.00000,5.70000,5.98720,18186
37,2023-02-24,121.80000,121.80000,114.00000,115.00000,1856
38,2023-02-23,6.02000,6.19900,5.95000,6.10000,16100
39,2023-02-22,6.34000,6.34000,6.09000,6.22000,10700
40,2023-02-21,6.00000,6.40000,6.00000,6.20000,69100
41,2023-02-17,5.95000,6.00000,5.85000,6.00000,24900
42,2023-02-16,6.00000,6.00000,5.85000,5.95000,18800
43,2023-02-15,5.70000,6.00000,5.48900,5.81000,21800
44,2023-02-14,5.90000,5.90000,5.70000,5.72500,8100
45,2023-02-13,6.00000,6.07000,5.85000,5.85000,9800
46,2023-02-10,5.88000,6.04000,5.88000,5.95000,4400
47,2023-02-09,6.00000,6.00000,5.85000,5.88000,8200
48,2023-02-08,5.96000,6.10800,5.90000,6.05000,14900
49,2023-02-07,5.85000,6.28000,5.83000,6.01000,39500
50,2023-02-06,4.93000,6.00000,4.93000,5.79000,85300
51,2023-02-03,5.00000,5.02000,4.90000,5.00000,31700
52,2023-02-02,5.20000,5.20000,4.89000,4.97500,44100
53,2023-02-01,5.38000,5.38000,4.86000,5.20500,31100
54,2023-01-31,5.80000,5.94000,5.25000,5.36000,67000
55,2023-01-30,5.71000,5.97000,5.71000,5.94000,27400
56,2023-01-27,6.14000,6.34000,5.98500,6.04000,33900
57,2023-01-26,6.09000,6.23000,5.90000,6.13500,44500
58,2023-01-25,5.99000,6.54000,5.62000,6.02500,143100
59,2023-01-24,7.80000,7.86000,7.26000,7.38000,32100
60,2023-01-23,7.69000,7.90000,7.69000,7.88000,26200
61,2023-01-20,7.68000,7.76000,7.26000,7.49000,23600
62,2023-01-19,7.51000,7.56000,7.29000,7.38000,17700
63,2023-01-18,7.67000,7.77000,7.19000,7.34000,22500
64,2023-01-17,8.06000,8.39000,7.50000,7.59000,30300
65,2023-01-13,8.01000,8.03000,7.20000,7.80000,19900
66,2023-01-12,7.60000,8.40000,7.60000,8.13100,23200
67,2023-01-11,7.69000,7.69000,7.43000,7.47000,10800
68,2023-01-10,7.15000,7.21500,7.15000,7.19000,9100
69,2023-01-09,7.02000,7.26000,6.97100,7.19000,9500
70,2023-01-06,6.70000,6.90000,6.66500,6.90000,13900
71,2023-01-05,6.50000,6.90000,6.50000,6.65000,4100
72,2023-01-04,6.47000,6.99000,6.41400,6.53000,17000
73,2023-01-03,6.49000,6.49000,6.35000,6.47000,7200
74,2022-12-30,6.40000,6.46000,6.22000,6.45000,15700
75,2022-12-29,6.41000,6.59000,6.40000,6.54600,9400
76,2022-12-28,6.39000,6.57000,6.38000,6.49000,10300
77,2022-12-27,6.51000,6.54000,6.40000,6.40000,13600
78,2022-12-23,6.59000,6.59000,6.45000,6.54000,6600
79,2022-12-22,6.41000,6.49000,6.41000,6.42000,22900
80,2022-12-21,6.55000,6.71000,6.45000,6.49000,16500
