,datetime,open,high,low,close,volume
0,2023-04-19,18.25000,18.25000,18.16000,18.20000,2200
1,2023-04-18,18.16000,18.40000,17.50000,18.25000,2000
2,2023-04-17,18.33000,18.50000,18.03000,18.45000,4800
3,2023-04-14,18.22000,18.90000,18.22000,18.90000,800
4,2023-04-13,18.93000,18.93000,18.09500,18.30000,2800
5,2023-04-12,18.10000,18.10000,18.10000,18.10000,0
6,2023-04-11,18.10000,18.10000,18.10000,18.10000,300
7,2023-04-10,18.10000,18.10000,18.10000,18.10000,0
8,2023-04-06,18.08000,18.45000,18.08000,18.10000,900
9,2023-04-05,18.05000,18.12000,18.05000,18.12000,1200
10,2023-04-04,18.11000,18.11000,18.11000,18.11000,700
11,2023-04-03,18.29000,18.29000,18.29000,18.29000,200
12,2023-03-31,18.00000,18.48000,18.00000,18.00000,6000
13,2023-03-30,18.19000,18.32000,18.06000,18.30000,4900
14,2023-03-29,18.09000,18.42000,18.09000,18.29000,3200
15,2023-03-28,18.35000,18.35000,18.35000,18.35000,400
16,2023-03-27,18.26000,18.41000,18.16000,18.16000,2100
17,2023-03-24,18.40000,18.42000,18.40000,18.42000,1400
18,2023-03-23,19.10000,19.10000,18.20000,18.60000,6800
19,2023-03-22,18.83000,19.10000,18.26100,19.10000,9600
20,2023-03-21,18.99000,19.00000,18.99000,19.00000,1700
21,2023-03-20,18.61000,19.00000,18.57000,19.00000,4700
22,2023-03-17,18.61000,18.99000,18.61000,18.99000,2900
23,2023-03-16,19.10000,19.10000,19.10000,19.10000,1500
24,2023-03-15,19.20000,19.20000,19.20000,19.20000,1200
25,2023-03-14,19.09700,19.20000,18.46000,18.46000,1800
26,2023-03-13,19.27000,19.30000,19.00000,19.00000,1300
27,2023-03-10,19.38000,19.90600,19.31000,19.90600,3000
28,2023-03-09,19.90000,19.90000,19.70000,19.70000,4500
29,2023-03-08,19.75000,19.75000,19.70000,19.70000,6800
30,2023-03-07,19.73000,19.73000,19.71000,19.72000,900
31,2023-03-06,19.74000,19.75000,19.73000,19.75000,1200
32,2023-03-03,19.84000,19.84000,19.76000,19.76000,1044
33,2023-03-02,19.77000,19.96000,19.76000,19.76000,1112
34,2023-03-01,19.77000,19.93000,19.77000,19.85000,1264
35,2023-02-28,19.63000,19.90000,19.63000,19.90000,2123
36,2023-02-27,19.96270,19.96270,19.71000,19.74000,1969
37,2023-02-24,19.65000,19.68000,19.65000,19.68000,1020
38,2023-02-23,19.79060,19.79060,19.63000,19.68000,1416
39,2023-02-22,19.70000,19.77000,19.70000,19.75000,1101
40,2023-02-21,19.64000,20.61000,19.64000,20.02920,4058
41,2023-02-17,19.97000,19.97000,19.56000,19.56000,1157
42,2023-02-16,19.55000,19.55000,19.55000,19.55000,1199
43,2023-02-15,19.57000,19.57000,19.49000,19.56000,1282
44,2023-02-14,19.67000,19.98000,19.40000,19.63500,1976
45,2023-02-13,19.60000,19.70000,19.42000,19.50000,1336
46,2023-02-10,19.74000,19.75000,19.39000,19.48000,1365
47,2023-02-09,19.61000,19.76000,19.32000,19.32000,2195
48,2023-02-08,19.69000,19.69000,19.32000,19.39000,983
49,2023-02-07,19.58000,19.97000,19.36000,19.57000,1369
50,2023-02-06,19.60000,19.62000,19.26000,19.42000,2435
51,2023-02-03,19.65000,20.00000,19.53000,19.60000,7919
52,2023-02-02,19.70000,19.90000,19.50000,19.60000,4185
53,2023-02-01,19.57000,19.58000,19.55000,19.55000,978
54,2023-01-31,19.92000,19.92000,19.55000,19.55000,4081
55,2023-01-30,19.75000,19.83000,19.75000,19.75000,1256
56,2023-01-27,19.98000,20.40000,19.90000,19.90000,21556
57,2023-01-26,19.99000,19.99000,19.99000,19.99000,328
58,2023-01-25,20.35000,20.35000,19.43000,19.99000,15804
59,2023-01-24,19.99000,20.48000,19.70000,19.85000,5159
60,2023-01-23,19.94000,19.99990,19.67000,19.85000,7292
61,2023-01-20,19.79000,19.98500,19.41000,19.98000,3774
62,2023-01-19,20.36500,20.36500,19.57000,19.58000,1795
63,2023-01-18,19.68000,20.35000,19.51000,20.35000,3621
64,2023-01-17,19.75000,20.00000,19.71000,19.82000,2668
65,2023-01-13,19.74000,19.74000,19.51000,19.52000,618
66,2023-01-12,19.71000,20.14000,19.45000,19.81000,6065
67,2023-01-11,20.14000,20.19000,19.64000,19.99520,4038
68,2023-01-10,20.20000,20.23000,19.93000,20.10000,11340
69,2023-01-09,20.07000,20.27000,19.59000,20.09000,2848
70,2023-01-06,19.70000,20.38000,19.52000,20.14950,3244
71,2023-01-05,19.34000,19.80000,19.34000,19.52000,972
72,2023-01-04,20.20000,20.34500,19.11000,20.30000,2785
73,2023-01-03,19.81000,20.39000,19.66000,20.39000,1693
74,2022-12-30,20.11000,20.39000,19.80000,20.39000,2505
75,2022-12-29,19.48000,20.31000,19.44000,19.85000,2797
76,2022-12-28,20.31000,20.31000,19.28000,19.70000,16042
77,2022-12-27,19.62000,20.14000,19.41000,20.14000,1391
78,2022-12-23,19.86000,19.86000,19.62000,19.86000,1469
79,2022-12-22,19.46000,20.03000,19.46000,19.86000,2135
80,2022-12-21,20.17000,20.83000,19.52000,19.90000,10257
81,2022-12-20,20.26000,20.61000,19.66000,20.00000,83528
