,datetime,open,high,low,close,volume
0,2023-04-19,3.33000,3.57000,3.29000,3.35000,210300
1,2023-04-18,3.42000,3.47000,3.23000,3.34000,134900
2,2023-04-17,3.28000,3.55000,3.20300,3.41000,112400
3,2023-04-14,3.36000,3.42700,3.21500,3.25000,150500
4,2023-04-13,3.48000,3.60000,3.27500,3.31000,168500
5,2023-04-12,3.78000,3.78000,3.47000,3.48000,188500
6,2023-04-11,3.33000,3.79000,3.20500,3.75000,282300
7,2023-04-10,3.24000,3.39000,3.20500,3.33000,156200
8,2023-04-06,2.98000,3.23000,2.98000,3.22000,112100
9,2023-04-05,3.05000,3.10000,2.90100,2.96000,71100
10,2023-04-04,3.09000,3.09500,3.00000,3.07000,76500
11,2023-04-03,3.09000,3.20000,3.02000,3.10000,141200
12,2023-03-31,2.96000,3.11000,2.86000,3.09000,181300
13,2023-03-30,3.08000,3.08000,2.88000,2.91000,111700
14,2023-03-29,3.18000,3.24900,3.02000,3.05000,113700
15,2023-03-28,3.17000,3.30900,3.12900,3.18000,79200
16,2023-03-27,2.95000,3.33000,2.94000,3.24000,208100
17,2023-03-24,3.17000,3.17000,2.75000,2.91000,179600
18,2023-03-23,3.05000,3.34000,3.05000,3.09000,191000
19,2023-03-22,2.91000,3.27000,2.87000,3.02000,211500
20,2023-03-21,2.73000,2.96000,2.73000,2.90000,180700
21,2023-03-20,2.92000,2.92000,2.65000,2.68000,195500
22,2023-03-17,2.79000,2.96000,2.73000,2.94000,704100
23,2023-03-16,2.81000,2.89000,2.65000,2.84000,161100
24,2023-03-15,2.89000,3.03500,2.81000,2.85000,190900
25,2023-03-14,2.77000,3.00000,2.70000,2.98000,418400
26,2023-03-13,2.68000,2.73000,2.53000,2.66000,238200
27,2023-03-10,2.86000,2.93100,2.67500,2.72000,313000
28,2023-03-09,3.03000,3.07000,2.74000,2.85000,654500
29,2023-03-08,3.22000,3.22000,2.98500,3.00000,197800
30,2023-03-07,3.28000,3.29000,3.16000,3.21000,113100
31,2023-03-06,3.14000,3.27000,3.04000,3.25000,159700
