,datetime,open,high,low,close,volume
0,2023-04-19,0.05800,0.05900,0.04100,0.05900,12900
1,2023-04-18,0.04900,0.06400,0.04300,0.06400,9300
2,2023-04-17,0.05200,0.05900,0.04500,0.05100,28600
3,2023-04-14,0.05000,0.05900,0.04800,0.05900,31700
4,2023-04-13,0.06700,0.06800,0.06100,0.06300,51400
5,2023-04-12,0.06300,0.06900,0.06000,0.06900,4800
6,2023-04-11,0.04500,0.08000,0.04300,0.06300,62400
7,2023-04-10,0.05500,0.06300,0.05500,0.05600,29600
8,2023-04-06,0.04600,0.09000,0.04600,0.05200,78900
9,2023-04-05,0.05100,0.05200,0.05000,0.05100,7400
10,2023-04-04,0.05100,0.05200,0.04600,0.05100,65400
11,2023-04-03,0.04000,0.05400,0.04000,0.04100,68500
12,2023-03-31,0.06000,0.06400,0.03100,0.04000,156200
13,2023-03-30,0.04800,0.05200,0.04300,0.05200,62800
14,2023-03-29,0.04500,0.05000,0.04300,0.04300,29400
15,2023-03-28,0.04300,0.05000,0.04300,0.04300,6600
16,2023-03-27,0.05200,0.05200,0.04300,0.04300,1200
17,2023-03-24,0.05100,0.05400,0.05100,0.05100,12900
18,2023-03-23,0.05000,0.05100,0.04200,0.05100,3800
19,2023-03-22,0.05000,0.05500,0.04000,0.04800,21800
20,2023-03-21,0.04500,0.05000,0.04500,0.05000,2500
21,2023-03-20,0.05900,0.05900,0.04500,0.05200,37500
22,2023-03-17,0.04700,0.06000,0.04500,0.05000,21900
23,2023-03-16,0.05200,0.06700,0.04400,0.04500,46500
24,2023-03-15,0.06100,0.07000,0.05200,0.05200,75800
25,2023-03-14,0.06600,0.07000,0.06100,0.06600,67800
26,2023-03-13,0.04100,0.07800,0.04000,0.06900,111000
27,2023-03-10,0.04100,0.05000,0.04000,0.05000,3200
28,2023-03-09,0.06000,0.06000,0.04000,0.05000,18200
29,2023-03-08,0.04000,0.05900,0.04000,0.05100,7000
30,2023-03-07,0.04600,0.06000,0.04000,0.05000,32600
31,2023-03-06,0.05000,0.06000,0.04600,0.04600,15300
32,2023-03-03,0.05000,0.05300,0.05000,0.05000,6400
33,2023-03-02,0.04700,0.05400,0.04600,0.04900,30400
34,2023-03-01,0.05000,0.06000,0.05000,0.05200,34300
35,2023-02-28,0.05100,0.06000,0.05000,0.06000,18300
36,2023-02-27,0.06000,0.08000,0.06000,0.07000,258700
37,2023-02-24,0.05000,0.06000,0.05000,0.05800,41600
38,2023-02-23,0.06000,0.06500,0.05000,0.05000,35600
39,2023-02-22,0.07000,0.07000,0.05600,0.06500,33500
40,2023-02-21,0.06600,0.07000,0.06100,0.07000,56700
41,2023-02-17,0.08000,0.08000,0.07200,0.07700,4400
42,2023-02-16,0.07800,0.08200,0.07800,0.07900,1000
43,2023-02-15,0.08300,0.09000,0.06600,0.09000,12100
44,2023-02-14,0.08300,0.08300,0.08000,0.08000,8300
45,2023-02-13,0.08300,0.08300,0.07400,0.07400,500
46,2023-02-10,0.08300,0.08300,0.06500,0.06500,38300
47,2023-02-09,0.08200,0.08400,0.07700,0.08300,11400
48,2023-02-08,0.09900,0.11000,0.08100,0.08100,14500
49,2023-02-07,0.09500,0.09500,0.08100,0.08100,13200
50,2023-02-06,0.08000,0.09200,0.08000,0.09200,200
51,2023-02-02,0.08100,0.08100,0.08100,0.08100,1200
52,2023-02-01,0.08100,0.08100,0.08100,0.08100,600
53,2023-01-31,0.10000,0.10300,0.10000,0.10000,18200
54,2023-01-30,0.10000,0.10000,0.10000,0.10000,200
55,2023-01-27,0.09600,0.10000,0.09600,0.10000,2100
56,2023-01-26,0.10000,0.10000,0.08300,0.09100,27000
57,2023-01-24,0.09000,0.09700,0.08100,0.08100,15300
58,2023-01-20,0.08200,0.08200,0.08200,0.08200,2000
59,2023-01-19,0.09000,0.09000,0.08100,0.08100,9500
60,2023-01-18,0.10500,0.10500,0.09000,0.09000,10200
61,2023-01-17,0.08100,0.09000,0.08100,0.09000,5200
62,2023-01-13,0.10500,0.10500,0.10000,0.10500,4300
63,2023-01-12,0.10000,0.10500,0.09000,0.10500,4900
64,2023-01-11,0.10100,0.10500,0.09600,0.10500,6500
65,2023-01-10,0.11000,0.11000,0.11000,0.11000,1300
66,2023-01-09,0.09000,0.09200,0.09000,0.09200,2200
67,2023-01-06,0.08400,0.09300,0.08000,0.08000,6900
68,2023-01-05,0.11000,0.11000,0.08900,0.08900,6200
69,2023-01-04,0.07700,0.11000,0.07300,0.08000,36900
70,2023-01-03,0.07700,0.07700,0.07300,0.07300,1800
71,2022-12-30,0.09000,0.09000,0.06100,0.06100,30500
72,2022-12-29,0.08000,0.08000,0.08000,0.08000,1100
73,2022-12-28,0.08000,0.08800,0.08000,0.08800,6900
74,2022-12-27,0.10000,0.10000,0.08500,0.10000,9400
75,2022-12-23,0.08000,0.10000,0.08000,0.10000,15300
76,2022-12-22,0.09000,0.09000,0.08000,0.08000,1100
77,2022-12-22,14.94000,14.96000,14.50000,14.52000,76
78,2022-12-21,0.11000,0.11000,0.07000,0.07000,7100
79,2022-12-21,14.76000,14.90000,14.62000,14.90000,76
80,2022-12-20,0.07000,0.10400,0.07000,0.10400,14000
81,2022-12-20,14.22000,14.78000,14.18000,14.68000,76
82,2022-12-19,0.07000,0.08000,0.07000,0.08000,14400
83,2022-12-19,14.76000,14.76000,14.08000,14.24000,76
84,2022-12-16,0.09000,0.09000,0.07800,0.08000,800
85,2022-12-16,15.26000,15.26000,14.58000,14.66000,0
86,2022-12-15,0.08000,0.08000,0.07300,0.07500,4000
87,2022-12-15,15.62000,15.62000,15.22000,15.24000,76
88,2022-12-14,0.10000,0.10000,0.09800,0.10000,900
89,2022-12-14,15.32000,15.84000,15.12000,15.64000,76
90,2022-12-13,0.09300,0.10000,0.08000,0.10000,11200
91,2022-12-13,15.26000,15.66000,14.94000,15.28000,76
92,2022-12-12,0.09000,0.09000,0.09000,0.09000,100
93,2022-12-12,14.78000,15.20000,14.64000,15.20000,76
94,2022-12-09,0.08000,0.08100,0.08000,0.08100,1900
95,2022-12-09,14.72000,14.88000,14.72000,14.88000,0
96,2022-12-08,0.09300,0.10000,0.08000,0.10000,6400
97,2022-12-08,14.78000,14.78000,14.48000,14.66000,76
98,2022-12-07,0.09200,0.12400,0.09200,0.10500,6900
99,2022-12-07,15.34000,15.34000,14.76000,14.78000,76
100,2022-12-06,0.09000,0.09400,0.08500,0.08500,10100
101,2022-12-06,15.72000,15.74000,15.28000,15.28000,76
102,2022-12-05,0.09500,0.09500,0.08800,0.08800,5500
103,2022-12-05,15.86000,16.34000,15.76000,15.76000,76
104,2022-12-02,0.09500,0.15000,0.08100,0.10000,13600
105,2022-12-02,15.60000,16.14000,15.60000,15.96000,76
106,2022-12-01,0.10000,0.11000,0.09500,0.10000,45700
107,2022-12-01,15.04000,15.76000,14.94000,15.68000,76
108,2022-11-30,0.17000,0.17000,0.09400,0.09500,174500
109,2022-11-30,15.16000,15.16000,14.92000,15.08000,76
110,2022-11-29,0.15000,0.17500,0.15000,0.17500,700
111,2022-11-29,15.08000,15.26000,14.90000,15.20000,76
112,2022-11-28,0.15700,0.17500,0.12000,0.12100,700
113,2022-11-28,15.20000,15.32000,14.92000,15.04000,76
114,2022-11-25,0.12000,0.12000,0.12000,0.12000,1100
115,2022-11-25,15.36000,15.38000,15.04000,15.36000,76
116,2022-11-24,15.50000,15.52000,15.12000,15.42000,76
117,2022-11-23,0.15700,0.15700,0.15600,0.15600,5600
118,2022-11-23,15.48000,15.58000,15.46000,15.54000,76
119,2022-11-22,0.15300,0.15300,0.14100,0.14600,900
120,2022-11-22,14.94000,15.52000,14.82000,15.52000,76
121,2022-11-21,0.12000,0.12000,0.12000,0.12000,300
122,2022-11-21,14.66000,15.04000,14.52000,15.04000,76
123,2022-11-18,0.14000,0.15000,0.14000,0.14500,2400
124,2022-11-18,14.48000,14.76000,14.34000,14.76000,76
125,2022-11-17,0.12000,0.12000,0.12000,0.12000,500
126,2022-11-17,14.34000,14.52000,14.10000,14.52000,0
127,2022-11-16,0.19500,0.19500,0.12000,0.14100,11800
128,2022-11-16,15.18000,15.18000,14.32000,14.32000,76
129,2022-11-15,0.13500,0.19000,0.13500,0.14500,14400
130,2022-11-15,15.24000,15.48000,15.18000,15.22000,76
131,2022-11-14,0.15000,0.16000,0.13000,0.14500,6000
132,2022-11-14,15.06000,15.24000,14.78000,15.24000,76
133,2022-11-11,0.10300,0.15000,0.09300,0.14000,10500
