,datetime,open,high,low,close,volume
0,2023-04-19,19.00000,19.10000,18.76000,18.99000,7900
1,2023-04-18,19.10000,19.20000,19.01000,19.08000,15700
2,2023-04-17,19.25000,19.25000,19.12000,19.22000,9900
3,2023-04-14,19.28000,19.44000,19.11000,19.42000,4400
4,2023-04-13,19.04000,19.39000,19.04000,19.25000,6200
5,2023-04-12,19.26000,19.57000,19.00000,19.00000,13700
6,2023-04-11,19.35000,19.44000,19.10000,19.26000,13600
7,2023-04-10,19.25000,19.57000,19.01000,19.15000,7800
8,2023-04-06,19.29000,19.38000,19.25000,19.28000,3300
9,2023-04-05,19.08000,19.67000,19.01000,19.18000,20100
10,2023-04-04,19.00000,19.70000,19.00000,19.30000,10300
11,2023-04-03,19.23000,19.50000,18.86000,18.86000,10100
12,2023-03-31,19.01000,20.39000,18.34000,19.78000,48600
13,2023-03-30,18.51000,19.26000,18.51000,19.22000,51600
14,2023-03-29,18.07000,18.79000,17.88000,18.79000,13500
15,2023-03-28,18.45000,18.45000,17.91000,17.98000,13400
16,2023-03-27,18.00000,18.75000,18.00000,18.18000,8400
17,2023-03-24,17.91000,18.20000,17.50000,17.86000,12500
18,2023-03-23,19.19000,19.19000,17.65000,17.86000,13700
19,2023-03-22,18.42000,19.08000,18.38000,18.65000,18100
20,2023-03-21,18.40000,18.83000,18.13000,18.59000,5600
21,2023-03-20,18.55000,18.70000,18.11000,18.18000,10700
22,2023-03-17,19.07000,19.14000,18.50000,18.50000,10600
23,2023-03-16,18.44000,19.40000,18.26000,19.22000,25400
24,2023-03-15,18.50000,18.80000,18.15000,18.47000,12900
25,2023-03-14,18.51000,19.40000,18.51000,18.73000,41200
26,2023-03-13,18.20000,18.79000,18.15000,18.25000,21500
27,2023-03-10,18.66000,18.89000,18.25000,18.84000,17500
28,2023-03-09,19.64000,19.80000,18.97000,19.00000,15700
29,2023-03-08,19.12000,19.64000,18.92000,19.50000,24000
30,2023-03-07,19.57000,19.65000,19.04000,19.15000,25600
31,2023-03-06,19.75000,20.12000,19.00000,19.54000,17800
32,2023-03-03,19.15000,20.00000,18.88000,19.75000,17200
33,2023-03-02,19.09000,19.15000,18.63000,18.93000,13200
34,2023-03-01,19.38000,19.62000,19.00000,19.20000,11000
35,2023-02-28,19.31000,19.60000,19.12000,19.57000,27300
36,2023-02-27,19.92000,19.92000,19.40000,19.40000,11200
37,2023-02-24,19.60000,20.07000,19.44000,19.60000,8100
38,2023-02-23,19.86000,19.86000,19.54000,19.72000,9900
39,2023-02-22,20.00000,20.15000,19.50000,19.87000,16500
40,2023-02-21,20.90000,20.93000,19.92000,20.02000,12300
41,2023-02-17,21.35000,21.35000,20.90000,21.18000,4100
42,2023-02-16,21.11000,21.33000,20.56000,21.14000,14700
43,2023-02-15,21.53000,21.69000,21.00000,21.48000,4500
44,2023-02-14,21.33000,21.83000,20.95000,21.36000,12300
45,2023-02-13,20.52000,21.60000,20.52000,21.47000,22100
46,2023-02-10,20.93000,21.52000,20.45000,20.45000,8100
47,2023-02-09,20.81000,21.64000,20.81000,20.84000,30100
48,2023-02-08,20.77000,21.48000,20.26000,21.48000,25900
49,2023-02-07,20.61000,21.23000,20.23000,20.73000,7600
50,2023-02-06,20.87000,21.00000,20.37000,20.82000,19900
51,2023-02-03,20.72000,21.00000,20.25000,20.87000,10200
52,2023-02-02,20.92000,21.25000,20.76000,21.18000,8300
53,2023-02-01,20.13000,20.96000,19.90000,20.92000,13100
54,2023-01-31,19.59000,20.50000,19.59000,20.37000,28500
55,2023-01-30,19.20000,19.59000,19.20000,19.59000,16300
56,2023-01-27,19.19000,19.78000,19.19000,19.57000,11300
57,2023-01-26,19.40000,19.40000,19.06000,19.19000,13000
58,2023-01-25,18.96000,19.40000,18.96000,19.33000,4700
59,2023-01-24,19.15000,19.25000,18.98000,19.07000,7200
60,2023-01-23,18.52000,19.27000,18.52000,19.25000,36400
61,2023-01-20,18.70000,18.84000,18.42000,18.65000,14900
62,2023-01-19,18.74000,18.97000,18.44000,18.73000,12200
63,2023-01-18,18.96000,19.30000,18.73000,18.79000,19600
64,2023-01-17,18.90000,19.02000,18.70000,18.70000,12100
65,2023-01-13,18.83000,18.88000,18.51000,18.88000,5000
66,2023-01-12,18.53000,18.80000,18.50000,18.78000,11300
67,2023-01-11,18.26000,18.66000,18.26000,18.56000,17600
68,2023-01-10,18.25000,18.59000,18.05000,18.38000,10600
69,2023-01-09,18.44000,18.73000,18.16000,18.25000,13800
70,2023-01-06,18.27000,18.79000,18.00000,18.41000,22700
71,2023-01-05,17.88000,18.36000,17.83000,17.99000,6800
72,2023-01-04,17.75000,18.21000,17.66000,18.14000,15200
73,2023-01-03,17.72000,17.98000,17.62000,17.78000,7300
74,2022-12-30,17.70000,17.89000,17.50000,17.62000,35200
75,2022-12-29,17.81000,18.00000,17.65000,17.70000,21600
76,2022-12-28,17.81000,17.89000,17.70000,17.71000,16400
77,2022-12-27,18.20000,18.26000,17.70000,17.88000,23400
78,2022-12-23,18.59000,18.59000,18.00000,18.14000,15900
79,2022-12-22,18.49000,18.84000,18.35000,18.84000,18300
80,2022-12-21,18.55000,18.84000,18.45000,18.78000,14000
81,2022-12-20,18.31000,18.69000,18.31000,18.54000,9300
82,2022-12-19,18.04000,18.60000,18.01000,18.18000,15900
83,2022-12-16,18.32000,18.55000,18.11000,18.21000,6600
84,2022-12-15,18.60000,18.70000,18.30000,18.30000,20400
85,2022-12-14,18.32000,18.85000,18.30000,18.38000,9000
86,2022-12-13,18.35000,18.70000,18.30000,18.45000,18200
87,2022-12-12,18.92000,18.92000,18.15000,18.15000,27700
88,2022-12-09,18.50000,18.67000,18.31000,18.43000,13600
89,2022-12-08,18.79000,18.92000,18.48000,18.54000,10900
90,2022-12-07,18.70000,18.83000,18.52000,18.66000,9500
91,2022-12-06,18.70000,19.00000,18.50000,18.65000,9000
92,2022-12-05,18.69000,19.49000,18.50000,18.70000,6500
93,2022-12-02,18.66000,18.96000,18.40000,18.74000,9300
94,2022-12-01,18.65000,19.50000,18.50000,19.39000,12100
95,2022-11-30,18.30000,18.61000,18.25000,18.61000,14300
96,2022-11-29,18.65000,18.73000,18.25000,18.25000,24900
97,2022-11-28,18.40000,18.69000,18.35000,18.51000,40600
98,2022-11-25,18.30000,18.69000,18.30000,18.36000,2600
