,datetime,open,high,low,close,volume
0,2023-04-19,47.44000,47.74000,47.04000,47.55000,346400
1,2023-04-18,48.61000,48.85000,47.50000,47.95000,374500
2,2023-04-17,48.71000,48.83000,47.83000,48.25000,403900
3,2023-04-14,49.06000,49.80000,48.25000,48.97000,353200
4,2023-04-13,49.32000,49.76000,48.60000,49.31000,310900
5,2023-04-12,50.40000,50.40000,49.07000,49.25000,391300
6,2023-04-11,50.55000,50.95000,50.02000,50.08000,298700
7,2023-04-10,48.90000,50.43000,48.90000,50.40000,230900
8,2023-04-06,49.40000,49.77000,48.83000,49.49000,286000
9,2023-04-05,49.50000,50.11000,48.77000,49.75000,482600
10,2023-04-04,52.24000,52.24000,49.73000,49.96000,291300
11,2023-04-03,52.12000,52.37000,50.76000,51.96000,340600
12,2023-03-31,51.83000,52.70000,51.83000,52.69000,332500
13,2023-03-30,52.24000,52.69000,51.70000,52.00000,306200
14,2023-03-29,50.81000,52.08000,50.54000,51.83000,417600
15,2023-03-28,51.32000,51.38000,49.68000,50.38000,320906
16,2023-03-27,52.08000,52.32000,51.18000,51.66000,317667
17,2023-03-24,51.98000,52.38000,51.30000,51.94000,239605
18,2023-03-23,52.54000,53.69000,51.85000,52.39000,290223
19,2023-03-22,52.38000,53.76000,51.76000,51.80000,583812
20,2023-03-21,52.88000,53.80000,52.00000,52.57000,380417
21,2023-03-20,52.60000,53.00000,51.72010,52.46000,516788
22,2023-03-17,53.58000,53.82500,52.26000,52.49000,1532038
23,2023-03-16,51.29000,54.25000,51.24000,53.69000,333062
24,2023-03-15,51.55000,51.94000,50.66000,51.89000,418809
25,2023-03-14,53.03000,53.94000,52.00000,52.82000,370023
26,2023-03-13,50.20200,52.39000,50.20200,51.69000,389878
27,2023-03-10,52.54000,52.59000,51.02000,51.37000,474103
28,2023-03-09,52.74000,53.80000,51.90000,52.18000,307742
29,2023-03-08,52.27000,53.22000,51.90050,53.01000,429655
30,2023-03-07,52.51000,52.62000,51.23000,51.93000,355145
31,2023-03-06,53.70000,53.90000,52.28000,52.62000,410061
32,2023-03-03,53.83000,53.83000,53.00000,53.65000,265278
33,2023-03-02,53.38000,54.09000,52.71000,53.87000,214068
34,2023-03-01,53.50000,54.50000,53.23000,54.15000,292662
35,2023-02-28,53.00000,54.16000,52.70500,53.30000,374746
36,2023-02-27,53.27000,53.81000,52.92000,53.11000,297867
37,2023-02-24,51.86000,53.12500,51.58000,52.53000,304574
38,2023-02-23,53.82000,54.22500,52.21000,52.80000,375210
39,2023-02-22,51.86000,52.82000,51.56000,52.71000,491447
40,2023-02-21,52.51000,53.52000,51.93000,52.02000,414937
41,2023-02-17,54.27000,54.50000,53.11000,53.54000,352464
42,2023-02-16,53.78000,54.80000,53.65000,54.08000,214490
43,2023-02-15,54.03000,55.47000,53.50000,55.01000,265532
44,2023-02-14,54.11000,55.32000,53.68000,54.74000,229200
45,2023-02-13,53.98000,54.75000,53.34000,54.69000,243670
46,2023-02-10,54.18000,54.34500,52.89500,53.82000,347238
47,2023-02-09,55.29000,56.38000,54.38000,54.76000,543102
48,2023-02-08,55.51000,56.00000,54.19020,54.33000,430865
