,datetime,open,high,low,close,volume
0,2023-04-19,161.00999,161.00999,158.95000,160.33000,170500
1,2023-04-18,161.00000,161.72000,159.62000,161.08000,181200
2,2023-04-17,159.42999,160.61000,159.42999,160.17000,225500
3,2023-04-14,159.08000,161.74001,158.38000,159.00000,243300
4,2023-04-13,159.73000,159.98000,156.45000,159.53999,329400
5,2023-04-12,161.35001,161.67999,159.91000,160.21001,371800
6,2023-04-11,160.37000,161.39999,159.47000,160.38000,240000
7,2023-04-10,153.38000,159.67999,152.36000,159.55000,630900
8,2023-04-06,158.63000,158.63000,153.59000,154.17999,733600
9,2023-04-05,161.39000,161.87000,157.17999,158.86000,465100
10,2023-04-04,168.69000,168.69000,161.62000,162.58000,408600
11,2023-04-03,168.71001,170.63000,167.56000,169.13000,297100
12,2023-03-31,168.67000,169.64000,167.80000,169.10001,285000
13,2023-03-30,167.58000,168.44000,166.86000,167.78999,254700
14,2023-03-29,165.21001,167.00999,164.56000,166.87000,257440
15,2023-03-28,162.66000,165.09500,162.50000,164.87000,291639
16,2023-03-27,161.86000,163.63000,160.67999,162.28000,351669
17,2023-03-24,162.11000,162.62500,158.74001,160.77000,537781
18,2023-03-23,163.25999,165.52000,162.03500,163.72000,412062
19,2023-03-22,166.67000,167.03000,162.81000,163.06000,428448
20,2023-03-21,165.99001,167.20000,165.00000,167.08000,300656
21,2023-03-20,161.53999,164.60741,161.53999,163.92000,369583
22,2023-03-17,162.09000,162.09000,159.41000,160.59000,1155796
23,2023-03-16,161.25999,163.57001,160.82001,162.78999,664129
24,2023-03-15,165.77000,166.32001,160.74001,163.02000,370102
25,2023-03-14,168.03000,170.17000,166.98000,169.39999,293427
26,2023-03-13,164.48000,167.32001,164.09700,165.47000,193777
27,2023-03-10,170.94000,170.94000,166.23500,166.53000,436764
28,2023-03-09,172.10001,173.89000,171.07500,171.33000,397225
29,2023-03-08,170.00000,172.03999,170.00000,171.73000,209142
30,2023-03-07,170.50999,171.16000,169.77000,170.34000,408322
31,2023-03-06,173.00999,174.12000,169.75000,170.74001,425361
32,2023-03-03,172.62000,174.12000,171.07001,173.44000,276235
33,2023-03-02,168.75999,171.89999,168.02000,171.89999,318820
34,2023-03-01,167.00999,170.00000,166.79700,169.20000,285583
35,2023-02-28,168.50999,169.87000,167.45000,167.92999,417743
36,2023-02-27,167.08000,170.75000,166.99001,168.02000,596493
37,2023-02-24,165.00000,166.23000,162.69810,165.91000,307668
38,2023-02-23,164.92999,166.78999,163.30000,166.31000,914888
39,2023-02-22,164.56000,165.55000,162.03000,164.05000,742657
40,2023-02-21,168.71001,173.00000,163.11000,163.34000,918352
41,2023-02-17,174.25999,176.52000,173.42000,176.28999,601893
42,2023-02-16,173.92000,176.00000,173.07001,174.38000,441486
43,2023-02-15,173.31000,176.18500,173.31000,175.97000,256116
44,2023-02-14,173.97000,174.64999,172.53000,174.31000,250359
45,2023-02-13,172.05000,174.20000,172.05000,173.89999,288127
46,2023-02-10,171.98000,172.63000,171.05000,172.34000,186178
47,2023-02-09,173.66000,174.27000,171.69000,171.98000,194701
48,2023-02-08,172.72000,173.53999,172.14000,172.32001,330794
49,2023-02-07,171.80000,173.92999,171.02000,173.70000,437907
50,2023-02-06,172.80000,174.00000,171.53000,172.50000,347136
51,2023-02-03,171.50999,174.62000,171.16499,174.50000,627002
52,2023-02-02,169.77000,172.84000,169.15500,172.14999,333645
53,2023-02-01,166.60001,170.74500,165.89999,169.57001,337099
54,2023-01-31,162.78999,167.31000,162.39999,166.87000,585658
55,2023-01-30,163.20000,163.50000,161.92999,162.78999,343763
56,2023-01-27,160.13000,163.95500,160.09000,163.10001,391287
57,2023-01-26,158.23000,160.78000,157.50000,160.71001,334066
58,2023-01-25,157.41000,158.49001,156.00000,157.92999,966526
59,2023-01-24,158.67999,159.96001,157.00000,158.25000,434468
60,2023-01-23,157.00000,158.17000,156.24001,157.95000,364660
61,2023-01-20,154.82001,156.96001,153.77000,156.73000,298461
62,2023-01-19,156.46001,156.52000,154.03999,154.30000,431481
63,2023-01-18,159.36000,159.78999,155.62000,156.59000,387663
64,2023-01-17,158.22000,159.39999,157.34000,159.00000,233555
65,2023-01-13,156.74001,158.78999,152.19231,158.07001,218792
66,2023-01-12,157.98000,158.92990,156.48000,157.17999,232775
67,2023-01-11,155.78000,157.75000,155.54010,157.17999,204124
68,2023-01-10,154.14999,155.71001,153.30000,155.24001,494038
69,2023-01-09,153.64999,156.60001,153.38000,154.27000,401030
70,2023-01-06,149.85001,154.80000,149.85001,153.64999,381987
71,2023-01-05,148.62000,149.22000,147.74500,148.35001,226150
72,2023-01-04,147.27000,149.02000,146.61000,148.86000,370906
73,2023-01-03,144.94000,146.67999,143.75500,146.17999,268710
74,2022-12-30,144.52000,145.07001,143.52000,144.49001,214916
75,2022-12-29,142.89000,145.91000,141.98000,145.47000,250247
76,2022-12-28,146.74001,147.48000,142.47000,142.66000,676999
77,2022-12-27,145.94000,148.21001,145.69000,146.55000,443406
78,2022-12-23,143.95000,145.50999,143.36000,145.05000,224849
79,2022-12-22,142.98000,144.95000,141.73000,143.95000,362056
80,2022-12-21,141.39999,144.30000,141.20000,144.14000,292352
81,2022-12-20,140.13000,142.98480,139.94000,140.50000,236275
82,2022-12-19,141.84000,143.42000,139.92000,140.50000,209261
83,2022-12-16,141.67000,143.50999,141.00999,142.09000,920081
84,2022-12-15,144.81000,144.81000,141.71001,143.06000,367563
85,2022-12-14,148.42000,149.47940,145.64999,146.14999,221587
86,2022-12-13,150.14999,150.34000,147.28000,147.73000,228913
87,2022-12-12,146.37000,147.89000,144.72000,147.67000,163077
88,2022-12-09,147.75999,148.50000,145.53000,145.75999,199081
89,2022-12-08,147.42999,148.44000,146.11000,147.82001,249549
90,2022-12-07,143.82001,146.90500,143.82001,146.63000,326631
91,2022-12-06,146.60001,146.83000,142.09000,143.82001,291550
92,2022-12-05,147.48000,147.56500,145.87000,146.59000,163358
93,2022-12-02,147.28000,149.10001,146.38000,148.23000,230344
94,2022-12-01,149.11000,149.99001,146.86459,148.17000,251829
95,2022-11-30,145.17999,148.09000,142.84000,147.88000,379300
96,2022-11-29,145.06000,146.23750,144.39000,144.78999,177112
97,2022-11-28,147.83000,148.32001,145.13000,145.53999,186703
98,2022-11-25,149.00999,149.79500,148.35350,148.95000,93739
99,2022-11-23,149.69000,150.67999,148.07001,148.28999,826805
100,2022-11-22,149.89999,149.94501,147.38000,149.64000,324422
101,2022-11-21,147.87000,149.32390,147.70000,149.00000,172768
102,2022-11-18,147.67999,148.67000,146.24001,147.73000,291787
103,2022-11-17,146.74001,147.83000,143.23470,145.83000,274442
104,2022-11-16,148.39999,149.33000,146.98000,148.41000,254988
105,2022-11-15,146.55000,150.00520,146.37000,148.42000,311394
106,2022-11-14,145.53999,148.39000,143.80499,145.91000,361823
107,2022-11-11,145.70000,146.69000,144.45000,145.44000,252239
108,2022-11-10,148.00000,148.00000,144.14000,145.80000,487913
109,2022-11-09,144.14999,145.98900,143.02000,144.14000,247340
110,2022-11-08,143.91000,146.14999,143.23000,145.50999,245458
111,2022-11-07,142.77000,143.98000,141.14000,143.50999,242949
112,2022-11-04,142.50999,144.00000,140.32001,142.59000,220212
113,2022-11-03,137.67000,141.52000,136.00000,140.83000,261871
114,2022-11-02,141.89999,143.22000,138.67999,138.77000,348884
115,2022-11-01,143.36000,143.63000,141.30000,142.89999,408664
116,2022-10-31,140.74001,142.61000,139.43500,142.00000,635433
117,2022-10-28,141.46001,142.61000,140.10001,140.77000,415483
118,2022-10-27,139.22000,143.10001,138.47000,139.91000,614971
119,2022-10-26,137.48000,139.57500,136.38000,138.32001,481392
120,2022-10-25,132.89000,137.08000,132.50000,136.99001,369898
121,2022-10-24,132.21001,133.85001,131.77000,132.99001,362425
122,2022-10-21,127.01000,131.75000,126.78000,131.33000,405707
123,2022-10-20,130.44000,130.69000,126.44000,126.67000,254066
124,2022-10-19,130.05000,130.58501,127.98000,130.00999,325164
125,2022-10-18,128.50000,129.99001,127.34000,129.81000,347059
126,2022-10-17,124.19000,126.72000,124.13000,126.37000,303206
127,2022-10-14,126.27000,126.29000,122.16000,122.50000,346259
128,2022-10-13,120.17000,125.49500,120.01000,124.68000,270618
129,2022-10-12,123.80000,124.31000,122.37000,122.44000,187942
130,2022-10-11,121.93000,124.32000,121.67030,123.37000,268121
131,2022-10-10,124.29000,124.75000,120.49000,122.44000,356482
132,2022-10-07,126.24000,126.24000,122.98000,124.04000,240081
133,2022-10-06,129.49001,130.14999,126.98000,127.21000,341929
134,2022-10-05,129.60001,131.64500,129.24001,130.10001,300439
135,2022-10-04,128.80000,130.32001,128.08000,130.17999,366676
136,2022-10-03,127.22000,128.59000,125.94000,127.28000,354011
137,2022-09-30,127.22000,127.93500,125.48000,125.72000,301053
138,2022-09-29,126.42000,127.20000,124.95000,127.14000,245508
139,2022-09-28,126.74000,128.92000,125.57000,127.90000,293982
140,2022-09-27,127.72000,128.09000,124.66000,125.70000,467572
141,2022-09-26,127.22000,129.39000,126.21000,126.73000,292861
142,2022-09-23,128.63000,129.27000,126.17000,127.55000,388876
143,2022-09-22,133.85001,134.42999,129.77499,129.86000,271413
144,2022-09-21,137.00999,138.14000,134.57001,134.62000,201177
145,2022-09-20,137.32001,137.32001,134.40500,135.87000,163504
146,2022-09-19,133.89999,137.61501,133.60001,137.33000,316239
147,2022-09-16,135.70000,135.94000,132.75999,134.03000,454422
148,2022-09-15,139.08000,140.37000,136.42500,136.84000,267440
149,2022-09-14,139.67000,140.31000,137.75369,139.53999,317828
150,2022-09-13,139.05000,140.87000,139.03999,139.58000,249398
151,2022-09-12,141.39999,141.69000,140.39999,141.46001,192846
152,2022-09-09,139.25999,140.64000,139.09000,139.77000,188546
153,2022-09-08,136.92999,138.67000,135.82001,138.57001,147619
154,2022-09-07,135.57001,138.89000,134.85001,138.11000,203918
155,2022-09-06,135.08000,136.28000,133.99001,135.73000,158200
156,2022-09-02,137.72000,138.75999,135.08501,135.50999,242300
157,2022-09-01,135.98000,137.48000,135.25999,137.14999,226277
158,2022-08-31,138.25000,139.21001,136.14999,136.69000,158564
159,2022-08-30,139.77000,142.24001,137.56000,137.92999,251629
160,2022-08-29,140.61000,140.71001,138.75999,139.95000,121779
161,2022-08-26,145.70000,145.70000,140.78000,140.89999,165536
162,2022-08-25,144.35001,145.71001,143.96500,145.50000,170495
163,2022-08-24,143.52000,144.34000,142.94170,143.71001,159290
164,2022-08-23,144.31000,145.53999,143.50999,143.62000,172260
165,2022-08-22,146.17999,146.17999,143.67000,143.99001,153056
166,2022-08-19,147.03000,147.94000,146.23000,147.20000,153459
167,2022-08-18,147.70000,148.28000,147.14000,147.78000,95939
168,2022-08-17,147.05000,147.84000,146.22009,147.35001,174439
169,2022-08-16,147.55000,148.50000,147.00000,147.99001,194848
170,2022-08-15,146.82001,148.42000,145.95000,148.07001,180153
171,2022-08-12,145.35001,147.30000,143.67999,147.30000,125470
172,2022-08-11,144.86000,146.17500,143.47000,144.84000,186971
173,2022-08-10,143.92999,145.07001,143.50000,144.00000,246386
174,2022-08-09,142.30000,142.69000,138.92999,141.53000,243354
175,2022-08-08,142.75000,143.70000,141.55600,141.89999,195840
176,2022-08-05,140.20000,142.62000,140.20000,142.61000,209747
177,2022-08-04,139.60001,141.64999,138.89999,141.35001,285719
178,2022-08-03,139.09000,140.25000,137.74001,139.57001,146657
179,2022-08-02,140.50999,140.67999,138.42000,138.73000,186971
180,2022-08-01,140.27000,141.94000,139.80949,140.72000,269879
181,2022-07-29,138.10001,142.00000,133.44000,141.44000,449137
182,2022-07-28,134.55000,137.61000,133.61000,136.58000,382288
183,2022-07-27,130.25000,134.47000,129.81000,133.71001,353173
184,2022-07-26,129.35001,130.46001,126.96000,130.21001,240779
185,2022-07-25,128.22000,129.48500,127.13500,129.14000,298854
186,2022-07-22,129.31000,129.49001,126.88000,127.66000,220129
187,2022-07-21,127.51000,128.64000,124.06000,128.55000,270420
188,2022-07-20,126.41000,127.72500,125.30000,127.30000,184723
189,2022-07-19,123.48000,126.89000,123.36750,126.49000,191597
190,2022-07-18,122.66000,123.67500,121.77000,122.12000,210050
191,2022-07-15,121.14000,123.74000,119.98000,122.65000,584602
192,2022-07-14,119.89000,119.93000,118.17000,119.60000,368954
193,2022-07-13,121.00000,123.43000,119.92000,121.08000,171981
194,2022-07-12,122.84000,124.69000,121.86000,122.18000,207009
195,2022-07-11,122.22000,123.82000,122.22000,122.84000,173880
196,2022-07-08,124.90000,125.04000,123.30000,123.46000,146953
197,2022-07-07,123.21000,125.20000,123.21000,125.00000,259686
198,2022-07-06,121.87000,123.03000,120.54000,122.11000,320076
199,2022-07-05,122.09000,122.41000,118.95000,121.73000,489332
200,2022-07-01,123.23000,125.03000,121.80000,124.24000,187265
201,2022-06-30,121.85000,123.79000,121.33000,123.36000,315073
202,2022-06-29,124.65000,124.65000,122.12000,122.77000,246955
203,2022-06-28,127.56000,128.89999,124.65000,124.98000,458664
204,2022-06-27,126.35000,127.69000,125.06500,127.56000,204848
205,2022-06-24,123.02000,125.79900,122.49000,125.78000,497631
206,2022-06-23,123.76000,124.90000,120.35000,121.77000,307733
207,2022-06-22,122.57000,124.83000,121.98000,124.29000,289100
208,2022-06-21,123.39000,124.31000,121.01000,123.95000,342450
209,2022-06-17,124.87000,124.90500,121.93500,122.32000,656658
210,2022-06-16,125.86000,126.07000,121.84000,124.00000,523377
211,2022-06-15,128.71001,129.08000,126.37500,127.69000,278487
212,2022-06-14,129.62000,130.97000,126.36500,127.82000,341285
213,2022-06-13,132.31000,132.59000,129.17999,129.72000,286766
214,2022-06-10,136.57001,136.60001,134.12730,134.67000,244870
215,2022-06-09,138.71001,140.70000,137.84000,138.56000,326796
216,2022-06-08,139.81000,139.81000,138.07401,138.39999,162870
217,2022-06-07,138.27000,140.44000,137.43500,140.33000,167989
218,2022-06-06,138.22000,139.58600,137.64000,139.28000,174559
219,2022-06-03,138.03999,138.93900,136.93500,137.63000,161677
220,2022-06-02,136.61000,138.67000,135.71500,138.56000,173146
221,2022-06-01,136.46001,136.84000,133.88000,135.75999,161668
222,2022-05-31,135.14999,136.64000,134.02000,135.82001,275556
223,2022-05-27,133.97000,135.91000,133.97000,135.91000,165137
224,2022-05-26,131.12000,134.12000,130.69000,133.44000,164706
225,2022-05-25,129.14000,131.28500,128.48500,130.62000,213530
226,2022-05-24,129.55000,131.38000,127.45000,129.92999,220017
227,2022-05-23,131.82001,132.55000,130.24001,130.64999,302642
228,2022-05-20,132.97000,133.13000,128.10010,130.75999,252000
229,2022-05-19,131.25999,133.66000,129.84500,132.06000,223262
230,2022-05-18,135.13000,136.11000,131.85001,132.13000,286880
231,2022-05-17,135.36000,136.37000,133.89000,135.67999,272157
232,2022-05-16,133.14000,134.42000,130.63499,133.83000,218162
233,2022-05-13,133.80000,134.97501,131.45000,133.25000,450126
234,2022-05-12,134.21001,134.92000,129.78000,133.20000,532790
235,2022-05-11,133.75999,136.02499,132.95000,133.87000,388668
236,2022-05-10,138.32001,138.32001,132.02000,134.08000,306296
237,2022-05-09,135.66000,138.78000,135.66000,136.67999,405158
238,2022-05-06,135.22000,136.14000,132.39000,136.12000,300803
239,2022-05-05,139.08000,139.17999,134.78999,135.75000,192456
240,2022-05-04,135.17999,139.64000,134.84500,139.37000,216078
241,2022-05-03,133.14999,135.89500,132.42000,135.17999,261087
242,2022-05-02,135.25000,135.92000,131.20160,133.10001,364925
243,2022-04-29,134.94000,138.13000,134.48000,134.73000,564379
244,2022-04-28,136.16000,137.54500,133.14999,135.85001,546861
245,2022-04-27,127.39000,129.34000,126.83000,128.35001,284351
246,2022-04-26,128.81000,129.72000,126.84000,126.93000,225129
247,2022-04-25,129.73000,130.12000,126.61000,129.92999,246622
248,2022-04-22,132.25999,132.98000,129.53999,130.06000,204674
249,2022-04-21,134.67999,134.89999,132.74500,133.16000,233579
250,2022-04-20,133.48000,135.42999,132.97000,133.25000,275306
251,2022-04-19,129.32001,132.61000,129.32001,132.61000,201809
252,2022-04-18,129.00999,130.59000,128.69000,129.37000,310464
253,2022-04-14,128.99001,130.33000,128.78999,129.47000,204199
254,2022-04-13,127.39000,129.67999,127.39000,129.53000,182286
255,2022-04-12,127.31000,129.17999,126.80000,127.58000,296005
256,2022-04-11,129.55000,130.47000,127.13000,127.26000,237982
257,2022-04-08,130.74001,132.06000,129.71001,129.89000,200371
258,2022-04-07,130.46001,131.29500,129.09000,130.48000,244422
259,2022-04-06,131.02000,131.66000,128.71001,131.07001,357939
260,2022-04-05,135.07001,135.89000,131.55000,131.57001,593278
261,2022-04-04,137.44000,137.77699,135.49500,135.77000,409236
262,2022-04-01,138.20000,139.16000,136.96500,137.44000,379227
263,2022-03-31,138.44000,139.66000,136.76601,137.81000,281040
264,2022-03-30,138.97000,139.55000,137.17000,138.53999,279700
265,2022-03-29,135.75000,139.84000,135.41499,139.46001,447447
266,2022-03-28,134.52000,135.39999,133.53500,134.91000,200409
267,2022-03-25,133.47000,134.72000,132.84000,134.72000,221646
268,2022-03-24,134.12000,135.06000,133.11000,133.46001,268829
269,2022-03-23,135.34000,135.53000,133.31000,133.37000,289289
270,2022-03-22,134.41000,135.33000,133.88000,135.11000,338993
271,2022-03-21,134.64000,135.10001,133.46001,134.25000,254166
272,2022-03-18,132.71001,134.89000,131.00040,134.17999,517723
273,2022-03-17,131.85001,132.75000,130.91920,132.50999,184886
274,2022-03-16,129.83000,132.21001,129.02750,131.75999,364846
275,2022-03-15,127.39000,129.64999,127.39000,129.34000,226947
276,2022-03-14,126.70000,127.87000,125.95000,127.25000,286332
277,2022-03-11,126.48000,127.80000,125.50000,125.69000,253421
278,2022-03-10,125.79000,126.28000,124.77010,125.90000,211300
279,2022-03-09,128.35001,129.34000,126.44000,126.99000,415481
