,datetime,open,high,low,close,volume
0,2023-04-19,0.78000,0.79700,0.77000,0.79600,98300
1,2023-04-18,0.77000,0.79900,0.77000,0.79400,172500
2,2023-04-17,0.77000,0.80000,0.77000,0.77100,130300
3,2023-04-14,0.78000,0.80000,0.76000,0.78500,137800
4,2023-04-13,0.75100,0.78600,0.75000,0.78000,147600
5,2023-04-12,0.78400,0.83000,0.74100,0.74100,349300
6,2023-04-11,0.79000,0.80000,0.77300,0.80000,244000
7,2023-04-10,0.79000,0.82000,0.76600,0.80100,281500
8,2023-04-06,0.79200,0.84900,0.79000,0.80000,87500
9,2023-04-05,0.83300,0.85900,0.79000,0.79900,160500
10,2023-04-04,0.87000,0.88000,0.82500,0.83300,193000
11,2023-04-03,0.91200,0.91200,0.85800,0.88000,122900
12,2023-03-31,0.83000,0.87500,0.81500,0.85900,163400
13,2023-03-30,0.81300,0.83000,0.80000,0.80000,64900
14,2023-03-29,0.77000,0.81400,0.77000,0.80000,91100
15,2023-03-28,0.77000,0.80200,0.77000,0.77500,88600
16,2023-03-27,0.82000,0.82300,0.79000,0.80000,66700
17,2023-03-24,0.78800,0.81500,0.78000,0.81500,118200
18,2023-03-23,0.82000,0.85700,0.78000,0.78200,315500
19,2023-03-22,0.86800,0.91000,0.81300,0.82500,115700
20,2023-03-21,0.80300,0.87200,0.79800,0.86000,720300
21,2023-03-20,0.80000,0.84100,0.77000,0.78200,160200
22,2023-03-17,0.80000,0.84000,0.73900,0.80000,519500
23,2023-03-16,0.86800,0.86800,0.80000,0.81500,336600
24,2023-03-15,0.90500,0.90500,0.82500,0.83000,489400
25,2023-03-14,0.87000,0.95000,0.87000,0.92000,471200
26,2023-03-13,0.92000,0.94000,0.86000,0.86800,529700
27,2023-03-10,1.00000,1.02000,0.86000,0.97100,640400
28,2023-03-09,1.04000,1.06000,0.98600,0.98600,457900
29,2023-03-08,1.05000,1.06000,1.04000,1.04000,113400
30,2023-03-07,1.06000,1.09000,1.04000,1.06000,191700
31,2023-03-06,1.12000,1.12000,1.04000,1.07000,318600
32,2023-03-03,1.08000,1.11100,1.06000,1.09000,156200
33,2023-03-02,1.05000,1.07000,1.01000,1.07000,306800
34,2023-03-01,1.11000,1.12000,1.06000,1.07000,152400
35,2023-02-28,1.15000,1.15000,1.08000,1.11000,474100
36,2023-02-27,1.10000,1.14000,1.09000,1.13000,86600
37,2023-02-24,1.14000,1.15000,1.08000,1.08000,172000
38,2023-02-23,1.16000,1.18000,1.14000,1.15000,192600
39,2023-02-22,1.16000,1.19000,1.13000,1.14000,250500
40,2023-02-21,1.19000,1.20000,1.10000,1.15000,649700
