,datetime,open,high,low,close,volume
0,2023-04-19,6.68000,6.95500,6.60000,6.83000,373700
1,2023-04-18,6.86000,6.92000,6.56000,6.75000,257700
2,2023-04-17,6.58000,7.15000,6.57000,6.82000,428300
3,2023-04-14,6.77000,6.90000,6.47000,6.49000,258100
4,2023-04-13,6.37000,6.93000,6.37000,6.82000,304100
5,2023-04-12,6.35000,6.55000,6.22000,6.36000,492500
6,2023-04-11,6.44500,6.66000,6.18500,6.29500,603700
7,2023-04-10,7.27000,7.27000,6.48000,6.56000,510000
8,2023-04-06,7.38000,7.47000,7.21000,7.34000,279500
9,2023-04-05,7.43000,7.64000,7.25000,7.35000,508900
10,2023-04-04,7.54000,7.69000,7.35000,7.44000,334500
11,2023-04-03,7.14000,7.71200,7.14000,7.54000,592300
12,2023-03-31,7.14000,7.26000,6.99000,7.17000,411300
13,2023-03-30,7.27000,7.33000,6.86500,7.12000,434200
14,2023-03-29,6.75000,7.27000,6.56000,7.24000,432700
15,2023-03-28,6.76000,6.93500,6.61000,6.65000,304700
16,2023-03-27,6.68000,6.80300,6.55000,6.75000,677100
17,2023-03-24,6.88000,6.98200,6.65000,6.68000,317900
18,2023-03-23,7.15000,7.40000,6.72100,6.95000,736400
19,2023-03-22,7.16000,7.16000,6.71000,6.71000,622000
20,2023-03-21,6.87000,7.36000,6.80000,7.12000,802200
21,2023-03-20,6.80000,6.99000,6.57000,6.69000,596100
22,2023-03-17,6.35000,6.83000,5.89000,6.65000,971800
23,2023-03-16,6.85000,7.49000,6.29000,6.99000,2012600
24,2023-03-15,6.33000,6.46000,6.06000,6.34000,527100
25,2023-03-14,6.05000,6.46900,5.86000,6.45000,762800
26,2023-03-13,5.66000,6.15000,5.63000,5.88000,915700
27,2023-03-10,6.18000,6.18000,5.16500,5.32000,919000
28,2023-03-09,6.10000,6.46640,5.79780,6.16000,1629230
29,2023-03-08,5.88000,5.94000,5.43000,5.50000,330800
30,2023-03-07,5.59000,5.94000,5.50000,5.87000,236900
31,2023-03-06,6.01000,6.01000,5.55000,5.69000,466500
32,2023-03-03,6.22000,6.51000,6.03000,6.07000,462300
33,2023-03-02,6.10000,6.21000,5.82200,6.18000,598900
34,2023-03-01,6.08000,6.28000,5.98000,6.23000,351800
35,2023-02-28,5.97000,6.15000,5.88000,6.09000,400100
36,2023-02-27,6.22000,6.39000,5.83000,5.98000,440400
37,2023-02-24,6.19000,6.40000,5.85000,6.17000,513800
38,2023-02-23,6.68000,7.19000,6.19000,6.31000,1237800
39,2023-02-22,6.32000,6.79000,6.28000,6.55000,908200
40,2023-02-21,6.54000,6.80000,6.23000,6.24000,795900
41,2023-02-17,5.39000,6.81000,5.31500,6.61000,2897300
42,2023-02-16,4.71000,5.43000,4.71000,5.26000,808900
43,2023-02-15,5.17000,5.17000,4.73000,4.82000,736600
44,2023-02-14,6.21000,6.21000,4.53000,5.24000,3053000
45,2023-02-13,5.49000,6.43000,5.34000,6.35000,1072800
46,2023-02-10,5.59000,5.65000,5.49000,5.51000,328900
47,2023-02-09,5.58000,5.90000,5.51000,5.65000,553100
48,2023-02-08,5.71000,5.75000,5.48500,5.53000,365600
49,2023-02-07,5.79000,5.85000,5.61000,5.71000,275600
50,2023-02-06,5.56000,6.06500,5.47600,5.79000,611000
51,2023-02-03,5.70000,5.95000,5.47000,5.59000,571200
52,2023-02-02,5.92000,6.09000,5.79000,5.92000,342800
53,2023-02-01,5.79000,5.99500,5.67000,5.95000,364500
54,2023-01-31,5.62000,5.86000,5.57800,5.77000,560600
55,2023-01-30,5.70000,5.73000,5.48000,5.62000,372300
56,2023-01-27,5.90000,6.00000,5.70000,5.74000,388000
57,2023-01-26,6.39000,6.46000,5.82000,5.92000,349400
58,2023-01-25,6.13000,6.34000,5.94000,6.22000,452100
59,2023-01-24,6.04000,6.42000,6.03000,6.23000,598400
60,2023-01-23,5.79000,5.96000,5.73000,5.87000,524100
61,2023-01-20,5.34000,5.88000,5.25400,5.79000,670500
62,2023-01-19,5.25000,5.48000,4.76500,5.25000,1128900
63,2023-01-18,5.38000,5.49000,5.29000,5.39000,626100
64,2023-01-17,5.32000,5.54000,5.23000,5.40000,558700
65,2023-01-13,5.10000,5.38500,5.05000,5.29000,565200
66,2023-01-12,5.28000,5.28000,4.97000,5.21000,800000
67,2023-01-11,5.38000,5.43000,5.02500,5.17000,396500
68,2023-01-10,5.53000,5.70000,5.16000,5.37000,686800
69,2023-01-09,5.74000,5.77000,5.53000,5.54000,362100
70,2023-01-06,5.74000,5.94800,5.48000,5.70000,343600
71,2023-01-05,6.14000,6.17000,5.62000,5.72000,369300
72,2023-01-04,6.42000,6.45000,6.14000,6.15000,362200
73,2023-01-03,6.82500,7.00000,6.18000,6.36000,715300
74,2022-12-30,6.47000,6.77200,6.34000,6.71000,875300
75,2022-12-29,5.80000,6.54000,5.80000,6.50000,539000
76,2022-12-28,5.60000,5.78000,5.49000,5.69000,674400
77,2022-12-27,5.93000,5.95000,5.39000,5.62000,501900
78,2022-12-23,5.94000,5.98000,5.56000,5.94000,490600
79,2022-12-22,5.94000,5.97000,5.65000,5.90000,289300
80,2022-12-21,5.86000,6.06000,5.81000,5.99000,359400
81,2022-12-20,5.77000,5.86000,5.54000,5.85000,698000
82,2022-12-19,6.40000,6.40000,5.79000,5.82000,423000
83,2022-12-16,6.15000,6.46000,6.10500,6.39000,941000
84,2022-12-15,6.23000,6.34000,6.05000,6.17000,359400
85,2022-12-14,6.47000,6.61000,6.32000,6.38000,402700
86,2022-12-13,6.53000,6.58000,6.32000,6.48000,472000
87,2022-12-12,6.25000,6.46500,6.10000,6.31000,391000
88,2022-12-09,6.18000,6.41000,6.03000,6.24000,615500
89,2022-12-08,6.09000,6.30000,5.94000,6.22000,489900
90,2022-12-07,6.03000,6.27000,5.97000,6.04000,406200
91,2022-12-06,6.39000,6.39000,5.95000,6.07000,826400
92,2022-12-05,6.91000,6.91000,6.19000,6.38000,832000
93,2022-12-02,6.73000,6.95500,6.46000,6.90000,739700
94,2022-12-01,6.59000,7.22000,6.50000,6.92000,1458800
95,2022-11-30,7.01000,7.01000,6.38000,6.43000,2118100
96,2022-11-29,6.51000,6.96000,6.32000,6.89000,1272500
97,2022-11-28,5.94000,6.85500,5.92000,6.49000,1419000
98,2022-11-25,5.96000,6.11000,5.63000,5.92000,724400
99,2022-11-23,6.12000,6.31500,5.82900,6.17000,1393300
100,2022-11-22,5.99000,6.29500,5.05000,6.18000,2250500
101,2022-11-21,6.44000,6.57500,6.09500,6.37000,875400
102,2022-11-18,6.67000,6.72000,5.68000,6.48000,1986100
103,2022-11-17,6.62000,6.90000,6.37000,6.56000,1058200
104,2022-11-16,6.53000,6.81900,6.27000,6.74000,821600
105,2022-11-15,7.14000,7.33000,6.60500,6.63000,916700
106,2022-11-14,7.20000,7.57000,6.71000,6.98000,1544400
107,2022-11-11,6.42000,6.85000,6.30000,6.73000,1109000
108,2022-11-10,6.36000,7.04000,6.30000,6.51000,1302300
109,2022-11-09,6.24000,6.46000,5.93000,6.01000,946100
110,2022-11-08,6.42000,6.57500,6.18000,6.31000,1161700
111,2022-11-07,6.01000,6.52500,5.81500,6.42000,1793200
112,2022-11-04,5.20000,6.14700,4.87000,5.92000,1602300
113,2022-11-03,4.84000,5.07000,4.70000,4.84000,527900
114,2022-11-02,5.14000,5.21000,4.85000,4.85000,593500
115,2022-11-01,5.25000,5.40000,5.11000,5.18000,593800
116,2022-10-31,4.97000,5.24000,4.94500,5.12000,615400
117,2022-10-28,4.82000,4.99000,4.68000,4.98000,549700
118,2022-10-27,4.63000,4.91000,4.52000,4.78000,522300
119,2022-10-26,4.99000,5.10000,4.59000,4.62000,999500
120,2022-10-25,4.39000,5.09000,4.39000,4.95000,1253400
121,2022-10-24,4.85000,4.85000,4.09500,4.40000,1393100
122,2022-10-21,4.02000,4.82500,3.96000,4.80000,2053200
123,2022-10-20,3.99000,4.13000,3.87900,4.02000,1348700
124,2022-10-19,3.92000,4.10500,3.46000,3.82000,1054300
125,2022-10-18,4.08000,4.11000,3.81000,3.92000,893100
126,2022-10-17,3.79000,4.20000,3.38500,3.96000,5739700
127,2022-10-14,3.45000,3.58500,3.41500,3.52000,419200
128,2022-10-13,3.22000,3.48000,3.21000,3.41000,365200
129,2022-10-12,3.38000,3.43500,3.14500,3.34000,261200
130,2022-10-11,3.50000,3.55000,3.24000,3.36000,270300
131,2022-10-10,3.47000,3.52000,3.34000,3.44000,256600
132,2022-10-07,3.68000,3.77500,3.50500,3.52000,413900
133,2022-10-06,3.44000,3.77500,3.44000,3.75000,855300
134,2022-10-05,3.61000,3.68000,3.41000,3.45000,330700
135,2022-10-04,3.56000,3.73000,3.56000,3.71000,337000
136,2022-10-03,3.57000,3.57000,3.35000,3.50000,310100
137,2022-09-30,3.40000,3.61000,3.38000,3.46000,375300
138,2022-09-29,3.58000,3.58000,3.38500,3.41000,351600
139,2022-09-28,3.57000,3.71500,3.57000,3.64000,479200
140,2022-09-27,3.25000,3.51000,3.19000,3.50000,974600
141,2022-09-26,3.00000,3.27500,3.00000,3.21000,588100
142,2022-09-23,3.00000,3.07000,2.93500,3.04000,451000
143,2022-09-22,3.12000,3.12000,2.97000,3.01000,1071600
144,2022-09-21,3.28000,3.35000,3.13100,3.16000,375000
145,2022-09-20,3.42000,3.47000,3.22000,3.28000,374100
146,2022-09-19,3.41000,3.47500,3.21000,3.47000,523700
147,2022-09-16,3.48000,3.50000,3.32000,3.45000,654800
148,2022-09-15,3.55000,3.57500,3.37000,3.54000,428600
149,2022-09-14,3.52000,3.56000,3.39500,3.45000,345300
150,2022-09-13,3.80000,3.82000,3.50000,3.52000,491400
151,2022-09-12,4.16000,4.16000,3.85000,3.89000,618900
152,2022-09-09,4.29000,4.31500,4.21500,4.24000,834000
153,2022-09-08,4.20000,4.26000,4.15000,4.25000,400500
154,2022-09-07,4.10000,4.24000,4.01000,4.23000,667200
155,2022-09-06,4.31000,4.31400,3.97500,4.06000,800300
156,2022-09-02,4.18000,4.26000,4.05000,4.24000,1008100
157,2022-09-01,3.95000,4.14000,3.87000,4.11000,783000
158,2022-08-31,3.97000,4.04000,3.90000,3.97000,442300
159,2022-08-30,3.95000,4.04000,3.87000,4.00000,557500
160,2022-08-29,3.96000,4.00500,3.81000,3.92000,498500
161,2022-08-26,3.96000,3.96000,3.68000,3.72000,428600
162,2022-08-25,3.91000,3.97900,3.78000,3.92000,503800
163,2022-08-24,3.80000,3.93500,3.73000,3.88000,1525300
164,2022-08-23,3.76000,3.93000,3.75500,3.80000,1097500
165,2022-08-22,4.00000,4.04000,3.76000,3.80000,349200
166,2022-08-19,4.35000,4.39000,3.99000,4.06000,453800
167,2022-08-18,4.49000,4.50000,4.24000,4.40000,501000
168,2022-08-17,4.52000,4.59500,4.43000,4.49000,526600
169,2022-08-16,4.96000,4.96000,4.47000,4.51000,711600
170,2022-08-15,5.16000,5.26000,4.73000,4.97000,981700
171,2022-08-12,5.12000,5.41000,5.11000,5.22000,1162600
172,2022-08-11,5.03000,5.31000,4.94000,5.09000,1145600
173,2022-08-10,5.20000,5.28500,4.72000,4.98000,2184000
174,2022-08-09,4.60000,5.27000,4.41000,5.10000,1303800
175,2022-08-08,4.39000,4.69000,4.17000,4.55000,996600
176,2022-08-05,3.95000,4.40000,3.74000,4.39000,847000
177,2022-08-04,3.82000,3.95000,3.78000,3.94000,481400
178,2022-08-03,3.42000,3.89000,3.42000,3.75000,624000
179,2022-08-02,3.10000,3.35000,3.08500,3.34000,434500
180,2022-08-01,3.11000,3.24000,3.07000,3.12000,561400
181,2022-07-29,3.16000,3.16000,2.96000,3.13000,533400
182,2022-07-28,3.67000,3.68000,3.19000,3.20000,462200
183,2022-07-27,3.69000,3.74000,3.53000,3.68000,414200
184,2022-07-26,3.55000,3.79500,3.55000,3.65000,437800
185,2022-07-25,3.70000,3.71000,3.41000,3.57000,521100
186,2022-07-22,3.79000,3.84000,3.59000,3.63000,477700
187,2022-07-21,3.49000,3.79000,3.41500,3.79000,615500
188,2022-07-20,3.43000,3.64000,3.39000,3.48000,944100
189,2022-07-19,3.50000,3.69000,3.26000,3.45000,2442400
190,2022-07-18,4.12000,4.23000,3.37500,3.50000,3851900
191,2022-07-15,4.33000,4.37000,4.04000,4.21000,1428200
192,2022-07-14,4.06000,4.36000,4.03500,4.23000,2549700
193,2022-07-13,3.53000,4.20000,3.52000,4.20000,1758800
194,2022-07-12,3.39000,3.75000,3.31500,3.67000,2150200
195,2022-07-11,2.96000,3.56000,2.96000,3.55000,2385200
196,2022-07-08,3.48000,3.63000,3.46000,3.50000,604700
197,2022-07-07,3.44000,3.55000,3.41000,3.52000,734800
198,2022-07-06,3.30000,3.55000,3.24000,3.42000,942000
199,2022-07-05,2.99000,3.31000,2.97000,3.31000,893900
200,2022-07-01,2.95000,3.09000,2.91000,3.05000,661900
201,2022-06-30,3.07000,3.07000,2.90000,2.95000,663400
202,2022-06-29,3.02000,3.02000,2.89500,3.02000,815100
203,2022-06-28,3.23000,3.23000,2.96000,3.01000,588500
204,2022-06-27,3.37000,3.44500,3.15000,3.24000,788100
205,2022-06-24,3.31000,3.35000,3.08000,3.34000,2504300
206,2022-06-23,3.23000,3.38000,3.13000,3.33000,1197300
207,2022-06-22,2.80000,3.35000,2.80000,3.23000,2680100
208,2022-06-21,2.55000,3.01000,2.45000,2.88000,4193100
209,2022-06-17,2.24000,2.46000,2.24000,2.30000,11579000
210,2022-06-16,2.32000,2.38000,2.13000,2.25000,1956700
211,2022-06-15,2.44000,2.52000,2.29000,2.35000,5032100
212,2022-06-14,2.45000,2.64000,2.37000,2.42000,1148700
213,2022-06-13,2.74000,2.79900,2.43000,2.44000,1144000
214,2022-06-10,3.08000,3.08000,2.76000,2.80000,640000
215,2022-06-09,3.28000,3.28000,3.05500,3.07000,620000
216,2022-06-08,3.23000,3.57000,3.23000,3.31000,661000
217,2022-06-07,3.06000,3.31000,3.01000,3.27000,990900
218,2022-06-06,3.39000,3.60000,3.04400,3.06000,752200
219,2022-06-03,3.32000,3.60000,3.28000,3.34000,1110900
220,2022-06-02,3.31000,3.40500,3.26000,3.30000,682000
221,2022-06-01,3.49000,3.53000,3.26500,3.34000,895400
222,2022-05-31,3.51000,3.66000,3.41500,3.47000,1595400
223,2022-05-27,3.44000,3.53500,3.27000,3.50000,818400
224,2022-05-26,3.56000,3.63000,3.42000,3.43000,492300
225,2022-05-25,3.74000,3.74000,3.52500,3.57000,574600
226,2022-05-24,3.81000,3.96000,3.66000,3.73000,1146600
227,2022-05-23,3.98000,4.12000,3.92000,3.96000,681100
228,2022-05-20,3.99000,4.14500,3.79000,3.98000,815600
229,2022-05-19,3.97000,4.02000,3.76000,3.90000,820300
230,2022-05-18,4.16000,4.27000,3.84500,3.92000,585700
231,2022-05-17,4.23000,4.35000,4.15000,4.31000,877000
232,2022-05-16,4.18000,4.38500,3.97000,4.13000,720200
233,2022-05-13,4.28000,4.29000,4.08500,4.16000,846100
234,2022-05-12,4.03000,4.35000,3.96000,4.19000,860800
235,2022-05-11,4.55000,4.72000,4.07000,4.10000,1054600
236,2022-05-10,4.59000,4.89500,4.48000,4.63000,1036000
237,2022-05-09,4.46000,4.82000,4.22000,4.26000,1152800
238,2022-05-06,5.26000,5.30000,4.64500,4.69000,1447000
239,2022-05-05,6.21000,6.26000,5.03000,5.18000,1851800
240,2022-05-04,6.56000,6.65000,5.68000,6.44000,3022900
241,2022-05-03,7.49000,7.80000,7.42000,7.75000,333500
242,2022-05-02,7.15000,7.63000,7.10000,7.59000,1814700
243,2022-04-29,7.29000,7.57000,7.09000,7.15000,416300
244,2022-04-28,7.60000,7.62000,6.92000,7.40000,441200
245,2022-04-27,7.51000,7.78000,7.32000,7.43000,324800
246,2022-04-26,8.05000,8.30000,7.50000,7.52000,523700
247,2022-04-25,7.90000,8.22000,7.75000,8.20000,445400
248,2022-04-22,7.81000,8.08000,7.64000,7.81000,428400
249,2022-04-21,8.28000,8.28000,7.76000,7.77000,598300
250,2022-04-20,8.29000,8.34000,7.95000,8.20000,355300
251,2022-04-19,8.05000,8.42000,7.92000,8.22000,393000
252,2022-04-18,8.56000,8.66000,7.91000,7.97000,613200
253,2022-04-14,8.64000,8.72000,8.43000,8.61000,421200
254,2022-04-13,8.39000,8.81000,8.39000,8.67000,475800
255,2022-04-12,8.37000,8.63000,8.09000,8.32000,543600
256,2022-04-11,8.80000,8.83000,8.26000,8.27000,472000
257,2022-04-08,9.46000,9.46000,8.94000,8.98000,277300
258,2022-04-07,9.72000,9.85000,9.14000,9.35000,445000
259,2022-04-06,9.32000,9.87000,8.92500,9.76000,312500
260,2022-04-05,9.93000,10.05000,9.53000,9.58000,632500
261,2022-04-04,9.62000,10.20000,9.47000,9.99000,719400
262,2022-04-01,8.82000,9.57000,8.67000,9.54000,808800
263,2022-03-31,8.89000,9.10000,8.75000,8.81000,487800
264,2022-03-30,8.82000,9.31000,8.80000,8.86000,582700
265,2022-03-29,8.72000,9.12000,8.61000,9.06000,562200
266,2022-03-28,8.82000,8.94000,8.29000,8.43000,465800
267,2022-03-25,9.14000,9.16000,8.70000,8.76000,449100
268,2022-03-24,9.10000,9.20000,8.93000,9.18000,339800
269,2022-03-23,9.02000,9.37000,8.93000,8.96000,366400
270,2022-03-22,8.77000,9.17000,8.73000,9.14000,379300
271,2022-03-21,9.26000,9.31000,8.70000,8.77000,698800
272,2022-03-18,8.72000,9.33000,8.31000,9.31000,908300
273,2022-03-17,8.56000,8.99000,8.44000,8.93000,504500
274,2022-03-16,8.40000,8.70000,8.21000,8.69000,538600
275,2022-03-15,8.13000,8.23000,7.91000,8.21000,945500
276,2022-03-14,8.60000,8.70000,8.02000,8.12000,752100
277,2022-03-11,8.87000,9.04000,8.43000,8.49000,468900
278,2022-03-10,8.64000,8.92000,8.50500,8.89000,498000
279,2022-03-09,8.47000,8.90000,8.33500,8.83000,766700
280,2022-03-08,8.47000,8.78000,8.15000,8.32000,1292400
281,2022-03-07,8.26000,8.61500,8.22000,8.50000,779400
282,2022-03-04,8.43000,8.65000,8.13000,8.25000,641100
283,2022-03-03,9.31000,9.41000,8.28000,8.57000,1538400
284,2022-03-02,9.35000,9.72000,9.17000,9.30000,908800
285,2022-03-01,9.26000,9.53500,8.96000,9.22000,976600
286,2022-02-28,9.90000,10.00000,9.05000,9.35000,1059200
287,2022-02-25,9.31000,10.30000,8.91000,9.67000,1825800
288,2022-02-24,9.61000,10.53000,9.61000,10.49000,799300
289,2022-02-23,10.21000,10.59000,9.93000,10.03000,869500
290,2022-02-22,10.04000,10.54000,9.74000,10.15000,713900
291,2022-02-18,10.61000,10.61000,10.02000,10.14000,1161600
292,2022-02-17,11.01000,11.17000,10.43000,10.49000,640400
293,2022-02-16,11.09000,11.37000,10.86000,11.20000,314500
294,2022-02-15,10.64000,11.23000,10.55000,11.16000,623100
295,2022-02-14,10.72000,10.91000,10.32000,10.40000,495200
296,2022-02-11,11.83000,11.96000,10.59000,10.71000,882700
297,2022-02-10,11.42000,12.32000,11.26000,11.49000,824500
298,2022-02-09,11.62000,11.93000,11.49000,11.76000,343000
299,2022-02-08,12.02000,12.02000,11.30000,11.50000,319000
300,2022-02-07,11.43000,11.99000,11.34000,11.88000,377800
301,2022-02-04,11.57000,11.90500,11.16000,11.56000,664000
302,2022-02-03,11.31000,11.64000,10.93000,11.00000,550000
303,2022-02-02,11.98000,12.41000,11.35000,11.41000,525700
304,2022-02-01,12.36000,12.79000,11.65000,11.96000,696300
305,2022-01-31,12.05000,12.48000,11.44000,12.35000,462800
306,2022-01-28,11.24000,11.94000,10.95000,11.87000,515900
307,2022-01-27,12.15000,12.29000,11.20000,11.31000,398300
308,2022-01-26,12.97000,13.27000,11.90000,12.02000,491100
309,2022-01-25,12.61000,13.05000,12.15000,12.77000,395300
310,2022-01-24,12.62000,13.26500,11.68000,12.80000,707500
311,2022-01-21,12.72000,13.41000,12.69000,12.71000,437200
312,2022-01-20,13.45000,13.87000,12.81000,12.90000,385200
313,2022-01-19,13.53000,13.99000,13.22000,13.25000,334500
