,datetime,open,high,low,close,volume
0,2023-04-19,25.69000,26.36000,25.24000,26.01500,978400
1,2023-04-18,25.99000,26.27500,25.50000,25.84000,490400
2,2023-04-17,25.00000,25.79000,24.88000,25.75000,853300
3,2023-04-14,24.85000,25.11300,24.32000,24.99000,859600
4,2023-04-13,24.00000,25.01000,23.63000,24.79000,3654800
5,2023-04-12,23.42000,25.18000,22.34500,23.51000,5637400
6,2023-04-11,25.06000,25.58000,24.72000,24.99000,215500
7,2023-04-10,24.88000,25.10000,24.71000,24.96000,335000
8,2023-04-06,24.74000,25.40000,24.32300,25.00000,322600
9,2023-04-05,24.90000,25.39000,24.60000,24.71000,272100
10,2023-04-04,24.99000,24.99000,24.50000,24.95000,304600
11,2023-04-03,23.94000,25.02000,23.77000,25.00000,296000
12,2023-03-31,22.95000,24.10000,22.79000,24.02000,288600
13,2023-03-30,23.35000,23.46000,21.83500,22.78000,256300
14,2023-03-29,23.11000,23.44000,22.89000,23.36000,166000
15,2023-03-28,23.36000,23.61600,22.62000,22.89000,116100
16,2023-03-27,23.12000,24.01500,23.12000,23.50000,221800
17,2023-03-24,22.99000,23.11000,22.66000,22.99000,154400
18,2023-03-23,22.39000,23.17000,22.12000,23.07000,200400
19,2023-03-22,23.00000,23.23000,22.16000,22.25000,169400
20,2023-03-21,23.74000,23.74000,22.58000,23.08000,145000
21,2023-03-20,23.31000,24.25000,22.90000,23.60000,185800
22,2023-03-17,23.15000,23.28000,22.52000,23.04000,932800
23,2023-03-16,23.58000,23.75000,22.82500,23.28000,254500
24,2023-03-15,23.70000,24.00000,23.12000,23.63000,224700
25,2023-03-14,22.91000,24.32000,22.90000,24.10000,471300
26,2023-03-13,22.13000,23.18000,20.81000,22.66000,473700
27,2023-03-10,23.38000,24.06500,21.07000,22.30000,561100
28,2023-03-09,22.88000,24.14000,21.65000,23.52000,434100
29,2023-03-08,23.93000,24.25000,23.50000,23.76000,225900
30,2023-03-07,23.84000,24.12000,23.66000,23.79000,179900
31,2023-03-06,23.73000,23.95000,23.35000,23.88000,191000
32,2023-03-03,23.76000,24.10000,23.43000,23.86000,190200
33,2023-03-02,23.42000,23.86500,23.34500,23.55000,160400
34,2023-03-01,23.49000,23.73000,23.30000,23.70000,153100
35,2023-02-28,22.99000,23.59000,22.99000,23.51000,188400
36,2023-02-27,23.16000,23.58000,22.50900,23.03000,194500
37,2023-02-24,23.36000,23.65000,22.82000,23.02000,189100
38,2023-02-23,23.54000,24.36000,23.33500,23.59000,197800
39,2023-02-22,22.90000,23.97000,22.85000,23.51000,236600
40,2023-02-21,23.60000,24.26000,22.83000,22.88000,382500
41,2023-02-17,22.79000,23.97500,22.79000,23.83000,226800
42,2023-02-16,22.27000,23.31600,21.93000,22.74000,322800
43,2023-02-15,22.60000,22.86100,22.23000,22.56000,208600
