,datetime,open,high,low,close,volume
0,2023-04-19,4.24000,4.28500,4.18500,4.25000,717500
1,2023-04-18,4.33000,4.47000,4.22000,4.26000,962700
2,2023-04-17,4.18000,4.48000,4.14000,4.38000,1360500
3,2023-04-14,4.32000,4.33000,4.08000,4.15000,866800
4,2023-04-13,4.05000,4.41000,4.05000,4.35000,1242200
5,2023-04-12,4.18000,4.29000,4.01300,4.03000,800800
6,2023-04-11,4.20000,4.21500,4.06000,4.13000,1054100
7,2023-04-10,4.48000,4.48000,4.14000,4.16000,1112900
8,2023-04-06,4.39000,4.48000,4.28000,4.48000,1413200
9,2023-04-05,4.05000,4.31000,4.05000,4.28000,1748100
10,2023-04-04,4.38000,4.48500,4.02000,4.10000,1645100
11,2023-04-03,4.10000,4.25500,4.06000,4.25000,1123200
12,2023-03-31,4.02000,4.14600,3.97000,4.11000,1260400
13,2023-03-30,4.35000,4.35000,3.94000,4.00000,1145600
14,2023-03-29,4.16000,4.35500,4.11000,4.26000,1136500
15,2023-03-28,4.19000,4.29000,4.10000,4.10000,926200
16,2023-03-27,4.33000,4.33000,4.08500,4.19000,1706500
17,2023-03-24,4.08000,4.16000,3.92000,4.13000,2544400
18,2023-03-23,4.23000,4.31500,4.08500,4.19000,1259400
19,2023-03-22,4.47000,4.54000,4.14500,4.18000,1965900
20,2023-03-21,4.44000,4.56000,4.34000,4.49000,1030500
21,2023-03-20,4.62000,4.67000,4.20000,4.40000,1620500
22,2023-03-17,4.82000,4.87000,4.53000,4.67000,3288400
23,2023-03-16,4.91000,4.98000,4.61000,4.84000,1497500
24,2023-03-15,4.52000,4.60000,4.39500,4.55000,1000400
25,2023-03-14,4.70000,4.77000,4.57000,4.66000,1266200
26,2023-03-13,4.06000,4.60000,4.03000,4.58000,2642700
27,2023-03-10,5.20000,5.20000,4.49000,4.62000,2657200
28,2023-03-09,5.31000,5.50000,5.20000,5.25000,994413
29,2023-03-08,5.22000,5.34500,5.18000,5.29000,741000
30,2023-03-07,5.27000,5.34000,5.12000,5.30000,962900
31,2023-03-06,5.65000,5.67000,5.20000,5.30000,1361400
32,2023-03-03,5.76000,5.85500,5.52500,5.67000,861900
33,2023-03-02,5.75000,5.87500,5.67000,5.68000,2018700
34,2023-03-01,5.93000,5.99500,5.65000,5.81000,1818200
35,2023-02-28,5.83000,6.10000,5.61000,6.06000,1302600
36,2023-02-27,5.21000,5.51500,5.20000,5.43000,1761800
37,2023-02-24,5.49000,5.50000,5.15000,5.19000,865900
38,2023-02-23,5.83000,5.90000,5.51000,5.53000,937200
39,2023-02-22,5.83000,5.94000,5.67500,5.81000,1189100
40,2023-02-21,5.98000,6.08000,5.79000,5.84000,1100000
41,2023-02-17,6.06000,6.13000,5.92000,6.09000,1118200
42,2023-02-16,6.24000,6.47500,5.97000,6.04000,1994800
43,2023-02-15,6.63000,6.64000,6.28500,6.36000,1198500
44,2023-02-14,6.49000,6.67500,6.38000,6.64000,1229800
45,2023-02-13,6.50000,6.61500,6.34500,6.50000,1196800
46,2023-02-10,6.42000,6.55500,6.28000,6.50000,996100
47,2023-02-09,6.51000,6.56000,6.42000,6.48000,1137000
48,2023-02-08,6.58000,6.65000,6.45000,6.50000,822700
49,2023-02-07,6.66000,6.71000,6.49000,6.64000,723100
50,2023-02-06,7.02000,7.22000,6.67500,6.70000,1184400
