,datetime,open,high,low,close,volume
0,2023-04-19,14.85000,14.85000,14.81000,14.81000,1900
1,2023-04-18,14.90000,15.93000,14.81000,14.81000,2300
2,2023-04-17,15.13000,15.13000,14.90000,14.90000,1900
3,2023-04-14,15.50000,15.50000,15.50000,15.50000,300
4,2023-04-13,16.38000,16.38000,15.50000,15.50000,4800
5,2023-04-12,15.75000,15.75000,15.74000,15.75000,900
6,2023-04-11,16.50000,16.50000,15.90000,15.90000,3200
7,2023-04-10,17.88000,17.88000,16.40000,16.40000,4900
8,2023-04-06,16.36000,16.51000,16.36000,16.51000,500
9,2023-04-05,16.85000,17.16000,16.83000,16.83000,1900
10,2023-04-04,17.25000,17.25000,17.25000,17.25000,500
11,2023-04-03,17.25000,17.25000,17.25000,17.25000,300
12,2023-03-31,16.86000,17.25000,16.78000,17.25000,3300
13,2023-03-30,18.19000,18.19000,17.00000,17.00000,1500
14,2023-03-29,17.51000,17.70000,17.40000,17.70000,1000
15,2023-03-28,16.41000,17.25000,16.41000,17.12000,1800
16,2023-03-27,17.40000,17.40000,16.90000,17.10000,2300
17,2023-03-24,16.35000,18.37000,16.35000,16.75000,1800
18,2023-03-23,16.56000,17.20000,16.51000,16.51000,1000
19,2023-03-22,16.41000,16.49000,16.41000,16.49000,600
20,2023-03-21,16.94420,16.94420,16.35000,16.35000,1275
21,2023-03-20,17.08000,17.46000,17.08000,17.25670,1988
22,2023-03-16,17.85000,17.85000,17.25650,17.60000,775
23,2023-03-14,18.07000,18.67000,18.03000,18.03000,2184
24,2023-03-13,18.56920,19.60000,17.85000,18.02430,2124
25,2023-03-10,18.50000,21.23000,18.31000,18.42000,17204
26,2023-03-09,17.99000,18.50000,17.95000,18.12410,3179
27,2023-03-07,16.93180,16.93180,16.93180,16.93180,406
28,2023-03-06,17.17000,17.17000,17.17000,17.17000,384
29,2023-03-03,17.50000,17.50000,17.50000,17.50000,294
30,2023-03-02,17.15000,17.15000,17.15000,17.15000,351
31,2023-03-01,16.80000,16.80000,16.80000,16.80000,961
32,2023-02-28,17.20000,17.20000,17.20000,17.20000,462
33,2023-02-27,16.87000,16.89850,16.61000,16.61000,2202
34,2023-02-24,16.80000,17.69990,16.80000,17.19500,1299
35,2023-02-23,16.69210,16.69210,16.69210,16.69210,2605
36,2023-02-22,16.94000,16.94000,16.94000,16.94000,1356
37,2023-02-21,17.00000,17.00000,17.00000,17.00000,706
38,2023-02-17,17.66000,17.66000,17.00000,17.00000,1826
39,2023-02-16,16.70000,16.70000,16.70000,16.70000,1357
40,2023-02-15,17.05000,17.05000,17.05000,17.05000,2361
41,2023-02-14,17.03000,17.03000,16.95010,16.95010,2321
42,2023-02-13,16.76000,17.50000,16.76000,17.40000,2538
43,2023-02-10,16.92610,16.92610,16.92610,16.92610,531
44,2023-02-09,17.50000,17.50000,16.65000,17.10000,3693
45,2023-02-08,17.21000,17.21000,16.86500,16.91000,2069
46,2023-02-07,16.71000,17.22990,16.71000,16.86000,5159
47,2023-02-06,16.74000,17.41000,16.74000,16.95000,7071
48,2023-02-03,18.00000,18.20000,16.85000,16.85000,10424
49,2023-02-02,18.80960,19.00000,17.99000,18.00000,6606
50,2023-02-01,18.45000,18.89000,18.45000,18.60000,1654
51,2023-01-31,18.13000,18.50000,17.86000,18.00000,3431
52,2023-01-30,16.00000,17.55000,15.99000,17.55000,6601
53,2023-01-27,16.25000,16.25000,16.05000,16.05000,1184
54,2023-01-26,15.80000,16.65980,15.80000,16.28200,2841
55,2023-01-25,15.80000,15.80000,15.79000,15.80000,6847
56,2023-01-24,16.90000,16.90000,15.90000,15.90000,3839
57,2023-01-23,16.24000,16.24000,16.24000,16.24000,871
58,2023-01-20,16.53040,16.53040,16.53040,16.53040,540
59,2023-01-19,16.10000,16.60000,16.10000,16.43500,1687
60,2023-01-18,16.75000,17.82000,16.16000,16.16000,9209
61,2023-01-17,16.03000,16.10000,16.02000,16.10000,1501
62,2023-01-13,16.00000,16.86000,16.00000,16.53500,1606
63,2023-01-12,16.36000,16.73340,16.00000,16.15000,2382
64,2023-01-11,16.93000,16.93000,15.91000,15.91000,3458
65,2023-01-10,17.65000,17.65000,16.96750,16.96750,2445
66,2023-01-09,17.60000,17.65000,17.60000,17.65000,994
67,2023-01-06,18.25990,18.25990,16.70000,16.70000,6702
68,2023-01-05,17.80000,17.80000,16.77000,17.05000,5195
69,2023-01-03,17.63000,18.00000,17.10000,17.24200,2501
70,2022-12-30,17.77000,18.53000,17.06950,17.90000,4286
71,2022-12-29,17.55010,18.25000,17.34150,18.12000,4651
72,2022-12-28,18.65810,18.65810,18.20000,18.20000,623
73,2022-12-27,18.30000,18.99000,18.30000,18.73000,4104
74,2022-12-23,19.40000,19.59000,18.80000,18.80000,1925
75,2022-12-22,19.39000,19.45000,18.82000,19.29000,6769
76,2022-12-21,20.88000,20.90000,19.47500,19.61000,27167
77,2022-12-20,20.05000,20.93000,20.05000,20.30000,1635
78,2022-12-19,20.00000,21.50000,19.84000,20.87000,6929
79,2022-12-16,21.79000,22.13500,19.67000,19.97000,10243
80,2022-12-14,21.79750,21.79750,21.79750,21.79750,581
81,2022-12-13,21.79000,22.00000,21.79000,21.79000,1662
82,2022-12-12,22.56000,22.94000,21.31000,21.90000,2386
83,2022-12-09,22.07000,22.75000,22.00060,22.55000,1598
84,2022-12-08,22.20500,22.68000,21.66000,22.00000,9721
85,2022-12-07,21.57000,21.80000,21.53000,21.58020,2331
86,2022-12-06,21.91000,21.91000,21.91000,21.91000,431
87,2022-12-05,21.48000,22.33000,21.48000,22.30000,1049
88,2022-12-02,21.65000,22.35000,21.12000,21.95000,9694
89,2022-12-01,22.27000,23.46000,22.27000,22.50000,4585
90,2022-11-30,22.40000,22.66000,22.30000,22.34000,2465
91,2022-11-29,22.25000,23.89000,22.02000,22.85000,6217
92,2022-11-28,22.51000,24.10000,22.35880,22.96500,2131
93,2022-11-25,22.50000,23.96000,21.71500,22.75000,5198
94,2022-11-23,21.35000,22.60000,21.04000,22.50000,7336
95,2022-11-22,21.45000,22.44000,21.45000,22.15000,3563
96,2022-11-21,22.16000,22.16000,22.11650,22.11650,934
97,2022-11-18,22.21000,22.99990,21.45000,22.40000,6574
98,2022-11-17,21.45000,22.90000,21.45000,21.85000,2730
99,2022-11-16,22.50000,22.50000,22.50000,22.50000,172
100,2022-11-15,22.24000,23.59000,22.24000,22.81000,4846
101,2022-11-14,21.10000,23.40000,21.10000,22.00000,3644
102,2022-11-11,21.47000,21.47000,21.47000,21.47000,0
103,2022-11-10,21.60000,21.60000,21.60000,21.60000,0
104,2022-11-09,21.13000,21.42460,21.13000,21.23000,5282
105,2022-11-08,21.64800,21.64800,21.64800,21.64800,350
106,2022-11-07,21.45000,21.88420,21.44000,21.88000,1572
107,2022-11-04,21.83000,24.59000,21.83000,22.29000,4438
108,2022-11-03,20.77500,21.95000,20.60000,21.95000,4755
109,2022-11-02,21.10850,21.10850,20.68500,20.73000,1447
110,2022-11-01,21.07000,21.07000,21.07000,21.07000,518
111,2022-10-31,21.79000,21.79000,21.54000,21.55000,1024
112,2022-10-27,21.41000,21.85000,21.40010,21.55000,1760
113,2022-10-26,21.39000,21.39000,21.38000,21.38000,925
114,2022-10-25,22.92000,22.92000,22.92000,22.92000,0
115,2022-10-24,22.34000,22.34000,22.34000,22.34000,634
116,2022-10-21,22.05000,22.40000,22.05000,22.40000,1275
117,2022-10-20,22.48000,22.48000,22.48000,22.48000,0
118,2022-10-19,22.33000,22.61000,22.33000,22.61000,549
119,2022-10-18,22.89000,22.89000,22.89000,22.89000,0
120,2022-10-17,22.42010,22.42010,22.42010,22.42010,385
121,2022-10-14,23.89000,23.89000,23.01000,23.01000,1682
122,2022-10-13,23.74000,23.74000,21.57270,23.12650,3534
123,2022-10-12,23.00000,24.20000,22.99000,24.20000,4220
